date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2022-05-09,EQ,360.0,418.0,337.0,292.0,372.65,378.9,370.55,418.0,337.0,58753140,21770806957.25,1027013,CAMPUS
2022-05-10,EQ,372.55,408.8,360.05,378.9,364.9,367.65,386.11,418.0,337.0,22231974,8584023475.75,435693,CAMPUS
2022-05-11,EQ,369.75,382.0,328.15,367.65,353.05,348.45,351.61,418.0,328.15,11420193,4015510891.4,209223,CAMPUS
2022-05-12,EQ,345.85,345.85,323.3,348.45,344.0,340.0,333.98,418.0,323.3,6133738,2048545046.35,115024,CAMPUS
2022-05-13,EQ,349.05,357.0,330.0,340.0,331.0,332.6,345.1,418.0,323.3,3239264,1117863697.1,63030,CAMPUS
2022-05-16,EQ,325.05,335.7,324.0,332.6,325.05,326.5,329.98,418.0,323.3,2197235,725053547.95,33951,CAMPUS
2022-05-17,EQ,329.0,334.4,314.5,326.5,332.2,330.15,323.31,418.0,314.5,2530474,818133780.25,51913,CAMPUS
2022-05-18,EQ,333.0,347.9,325.55,330.15,342.9,342.2,338.08,418.0,314.5,3453151,1167450395.5,62172,CAMPUS
2022-05-19,EQ,330.0,337.75,325.05,342.2,331.0,334.2,332.38,418.0,314.5,1301807,432701070.65,23856,CAMPUS
2022-05-20,EQ,339.0,345.45,335.0,334.2,342.0,342.95,340.48,418.0,314.5,1332175,453576501.95,22388,CAMPUS
2022-05-23,EQ,345.0,345.0,336.0,342.95,340.05,340.15,339.74,418.0,314.5,826780,280893962.4,16140,CAMPUS
2022-05-24,EQ,341.0,341.85,330.0,340.15,331.0,330.75,334.17,418.0,314.5,568765,190062609.45,11957,CAMPUS
2022-05-25,EQ,331.45,344.15,318.5,330.75,338.8,339.65,332.52,418.0,314.5,1228169,408394470.5,21959,CAMPUS
2022-05-26,EQ,339.0,341.0,325.05,339.65,336.5,337.25,333.61,418.0,314.5,688738,229769223.0,12918,CAMPUS
