date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2004-08-30,EQ,162.0,199.4,150.25,10.0,193.1,194.6,188.44,0.0,0.0,3498191,659188112.1,0,NIITTECH
2004-08-31,EQ,192.0,192.85,185.2,194.6,186.35,186.9,188.11,199.4,150.25,684153,128695676.8,0,NIITTECH
2004-09-01,EQ,187.35,190.0,181.35,186.9,181.8,182.25,185.81,199.4,150.25,398793,74098042.3,0,NIITTECH
2004-09-02,EQ,184.0,186.75,176.15,182.25,177.75,177.3,181.84,199.4,150.25,348771,63419402.95,0,NIITTECH
2004-09-03,EQ,178.0,182.0,176.55,177.3,177.2,177.25,179.11,199.4,150.25,276982,49610574.8,0,NIITTECH
2004-09-06,EQ,178.95,180.1,171.65,177.25,172.45,172.2,174.7,199.4,150.25,276887,48372001.35,0,NIITTECH
2004-09-07,EQ,173.75,175.9,172.0,172.2,173.95,173.3,173.79,199.4,150.25,196484,34146961.3,0,NIITTECH
2004-09-08,EQ,174.0,174.7,170.35,173.3,171.25,171.05,172.25,199.4,150.25,131703,22686109.6,0,NIITTECH
2004-09-09,EQ,172.4,172.8,166.25,171.05,166.45,166.95,169.07,199.4,150.25,148246,25064216.15,0,NIITTECH
2004-09-10,EQ,168.4,170.9,165.0,166.95,169.7,168.95,168.96,199.4,150.25,183095,30936188.95,0,NIITTECH
2004-09-13,EQ,169.0,183.75,169.0,168.95,179.25,179.2,178.66,199.4,150.25,597023,106661842.9,0,NIITTECH
2004-09-14,EQ,180.0,183.95,177.0,179.2,179.8,180.15,180.91,199.4,150.25,313849,56777933.45,0,NIITTECH
2004-09-15,EQ,181.4,181.8,175.0,180.15,176.45,176.25,178.1,199.4,150.25,182486,32500870.1,0,NIITTECH
2004-09-16,EQ,170.1,176.5,170.1,176.25,172.0,171.8,172.67,199.4,150.25,160770,27760407.35,0,NIITTECH
2004-09-17,EQ,173.95,173.95,172.0,171.8,172.5,172.4,172.84,199.4,150.25,95335,16478144.0,0,NIITTECH
2004-09-20,EQ,175.0,175.0,171.0,172.4,171.5,171.25,171.9,199.4,150.25,57695,9917865.15,0,NIITTECH
2004-09-21,EQ,171.9,174.9,171.3,171.25,173.0,173.3,173.21,199.4,150.25,103328,17897862.75,0,NIITTECH
2004-09-22,EQ,173.0,175.5,172.0,173.3,172.5,172.5,173.78,199.4,150.25,103062,17909982.9,0,NIITTECH
2004-09-23,EQ,171.0,172.3,168.35,172.5,168.55,168.8,170.19,199.4,150.25,86052,14645014.4,0,NIITTECH
2004-09-24,EQ,166.5,169.7,166.25,168.8,167.05,167.0,168.27,199.4,150.25,73490,12366126.45,0,NIITTECH
2004-09-27,EQ,168.5,169.0,166.2,167.0,167.35,167.05,167.63,199.4,150.25,38104,6387416.8,0,NIITTECH
2004-09-28,EQ,169.0,169.0,164.0,167.05,164.0,164.25,165.67,199.4,150.25,55736,9233562.4,0,NIITTECH
2004-09-29,EQ,166.0,167.6,163.55,164.25,165.15,165.05,165.33,199.4,150.25,50576,8361773.45,0,NIITTECH
2004-09-30,EQ,169.0,169.0,166.0,165.05,166.1,166.65,167.52,199.4,150.25,71485,11974997.4,0,NIITTECH
2004-10-01,EQ,166.5,168.75,165.0,166.65,167.65,167.75,167.43,199.4,150.25,63757,10674996.6,0,NIITTECH
2004-10-04,EQ,169.9,173.9,168.0,167.75,168.5,168.3,169.99,199.4,150.25,81702,13888620.25,0,NIITTECH
2004-10-05,EQ,169.1,172.35,168.65,168.3,169.25,169.4,170.33,199.4,150.25,87757,14947483.45,0,NIITTECH
2004-10-06,EQ,168.0,175.0,168.0,169.4,168.55,169.3,171.37,199.4,150.25,169783,29095804.4,0,NIITTECH
2004-10-07,EQ,171.0,171.0,168.2,169.3,169.5,168.95,169.63,199.4,150.25,50003,8481831.95,0,NIITTECH
2004-10-08,EQ,168.5,173.3,168.5,168.95,169.8,169.95,170.87,199.4,150.25,118980,20329745.85,0,NIITTECH
2004-10-09,EQ,170.95,171.65,170.1,169.95,171.1,171.15,170.94,199.4,150.25,31800,5435922.4,0,NIITTECH
2004-10-11,EQ,180.0,180.0,168.2,171.15,169.25,168.65,171.47,199.4,150.25,77799,13340182.0,0,NIITTECH
2004-10-12,EQ,171.8,172.0,166.1,168.65,167.2,166.75,168.38,199.4,150.25,53162,8951644.9,0,NIITTECH
2004-10-14,EQ,167.0,171.0,166.4,166.75,168.5,169.55,169.54,199.4,150.25,85699,14529391.1,0,NIITTECH
2004-10-15,EQ,170.5,173.0,166.15,169.55,166.7,166.65,169.69,199.4,150.25,79132,13427869.55,0,NIITTECH
2004-10-18,EQ,170.0,170.0,164.5,166.65,164.5,165.0,166.65,199.4,150.25,41687,6946971.45,0,NIITTECH
2004-10-19,EQ,167.95,167.95,162.6,165.0,163.25,163.0,164.33,199.4,150.25,54846,9012759.0,0,NIITTECH
2004-10-20,EQ,164.05,165.0,162.0,163.0,164.5,164.05,163.39,199.4,150.25,46969,7674420.55,0,NIITTECH
2004-10-21,EQ,164.0,167.9,163.05,164.05,164.25,163.85,164.98,199.4,150.25,64665,10668362.8,0,NIITTECH
2004-10-25,EQ,165.0,165.0,159.55,163.85,160.1,160.65,161.7,199.4,150.25,54028,8736529.85,0,NIITTECH
