date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2021-08-16,EQ,140.9,140.9,120.8,90.0,122.6,123.5,130.46,140.9,120.8,152435148,19886628710.55,780776,DEVYANI
2021-08-17,EQ,124.4,131.75,123.5,123.5,125.7,125.65,127.89,140.9,120.8,40526062,5182969843.35,230236,DEVYANI
2021-08-18,EQ,127.5,127.5,123.0,125.65,124.35,124.15,124.98,140.9,120.8,12528072,1565714359.65,83990,DEVYANI
2021-08-20,EQ,120.0,123.0,117.5,124.15,118.2,118.5,119.88,140.9,117.5,11898633,1426453170.75,97106,DEVYANI
2021-08-23,EQ,120.6,121.25,107.55,118.5,114.0,114.7,113.41,140.9,107.55,18674108,2117837861.6,124362,DEVYANI
2021-08-24,EQ,115.0,115.8,112.0,114.7,113.05,113.25,113.15,140.9,107.55,5740819,649589153.35,45037,DEVYANI
2021-08-25,EQ,113.5,116.35,112.65,113.25,113.35,113.2,114.26,140.9,107.55,7285625,832470707.15,50288,DEVYANI
2021-08-26,EQ,113.5,114.75,111.6,113.2,112.0,112.1,112.97,140.9,107.55,3919088,442732636.0,28312,DEVYANI
2021-08-27,EQ,112.7,112.7,111.05,112.1,112.0,112.1,111.73,140.9,107.55,3064802,342439420.7,29078,DEVYANI
2021-08-30,EQ,113.5,122.25,112.3,112.1,121.25,120.95,118.32,140.9,107.55,11054528,1307975066.35,73194,DEVYANI
2021-08-31,EQ,121.4,127.4,119.5,120.95,125.0,125.1,124.85,140.9,107.55,16749260,2091065782.5,96948,DEVYANI
2021-09-01,EQ,125.6,128.75,124.25,125.1,126.0,126.25,126.46,140.9,107.55,7081885,895568717.2,62450,DEVYANI
2021-09-02,EQ,126.3,128.35,124.0,126.25,124.5,124.7,125.9,140.9,107.55,4545771,572312094.35,34951,DEVYANI
2021-09-03,EQ,125.25,129.7,125.0,124.7,126.5,126.9,127.34,140.9,107.55,8661075,1102888293.3,74110,DEVYANI
2021-09-06,EQ,127.15,128.45,124.15,126.9,125.85,125.6,126.18,140.9,107.55,4298778,542411435.25,33788,DEVYANI
2021-09-07,EQ,126.2,126.4,120.7,125.6,121.45,121.4,122.5,140.9,107.55,3733870,457406227.5,33415,DEVYANI
2021-09-08,EQ,121.95,123.0,120.7,121.4,121.2,121.0,121.66,140.9,107.55,2062474,250910471.5,18395,DEVYANI
2021-09-09,EQ,121.0,122.2,120.05,121.0,120.5,120.35,120.91,140.9,107.55,1722413,208260878.15,16376,DEVYANI
2021-09-13,EQ,117.85,118.45,114.8,120.35,115.5,115.1,115.74,140.9,107.55,15279128,1768451276.65,137660,DEVYANI
2021-09-14,EQ,116.9,121.95,116.05,115.1,119.7,119.55,119.64,140.9,107.55,8353968,999506676.4,60213,DEVYANI
2021-09-15,EQ,120.3,122.3,118.8,119.55,120.45,120.85,120.7,140.9,107.55,5049074,609403598.9,44977,DEVYANI
2021-09-16,EQ,120.1,121.7,118.8,120.85,119.4,119.35,120.18,140.9,107.55,2526336,303621905.95,35904,DEVYANI
2021-09-17,EQ,120.0,120.5,115.35,119.35,116.5,115.8,117.13,140.9,107.55,5269773,617266010.35,56711,DEVYANI
2021-09-20,EQ,115.5,120.4,115.05,115.8,117.7,117.7,117.99,140.9,107.55,5478030,646350711.35,66654,DEVYANI
2021-09-21,EQ,117.5,118.6,115.1,117.7,116.45,116.3,116.23,140.9,107.55,1959505,227759894.25,24844,DEVYANI
2021-09-22,EQ,117.0,120.35,115.9,116.3,119.3,119.65,117.58,140.9,107.55,5552538,652892779.0,23262,DEVYANI
2021-09-23,EQ,120.25,122.0,118.0,119.65,119.45,119.3,120.34,140.9,107.55,4081617,491201248.25,28760,DEVYANI
2021-09-24,EQ,120.4,121.05,119.0,119.3,119.65,119.7,119.94,140.9,107.55,1843651,221133594.25,27121,DEVYANI
2021-09-27,EQ,120.2,120.45,117.55,119.7,118.55,118.85,118.9,140.9,107.55,2242008,266569279.0,25790,DEVYANI
2021-09-28,EQ,119.0,119.45,115.8,118.85,116.0,116.4,117.53,140.9,107.55,2160490,253921591.3,27984,DEVYANI
2021-09-29,EQ,116.0,117.45,115.55,116.4,116.4,116.4,116.57,140.9,107.55,1724216,200994302.65,25984,DEVYANI
2021-09-30,EQ,116.8,117.1,115.7,116.4,115.9,115.8,116.19,140.9,107.55,1514865,176012433.65,23435,DEVYANI
2021-10-01,EQ,115.5,116.9,115.45,115.8,115.85,115.8,115.97,140.9,107.55,1641048,190312471.9,23442,DEVYANI
2021-10-04,EQ,116.5,116.85,115.6,115.8,115.75,115.8,116.02,140.9,107.55,1874155,217438964.25,26416,DEVYANI
2021-10-05,EQ,115.2,115.9,112.1,115.8,112.8,112.5,113.36,140.9,107.55,5977801,677648617.55,61150,DEVYANI
2021-10-06,EQ,113.6,115.1,112.8,112.5,113.25,113.0,113.89,140.9,107.55,2456312,279738994.85,19969,DEVYANI
2021-10-07,EQ,114.65,114.7,113.05,113.0,113.85,113.65,113.63,140.9,107.55,2664475,302771601.75,18672,DEVYANI
2021-10-08,EQ,114.45,114.5,113.25,113.65,113.65,113.4,113.62,140.9,107.55,1831316,208072213.25,16820,DEVYANI
2021-10-11,EQ,113.65,117.35,113.65,113.4,114.8,114.75,115.39,140.9,107.55,3254425,375540526.05,24674,DEVYANI
2021-10-12,EQ,114.95,115.55,113.75,114.75,113.95,113.95,114.5,140.9,107.55,3215778,368220309.1,29674,DEVYANI
2021-10-13,EQ,114.15,115.0,113.15,113.95,114.1,114.05,113.83,140.9,107.55,4895053,557222080.95,28595,DEVYANI
2021-10-14,EQ,114.5,114.8,112.35,114.05,112.65,112.55,113.29,140.9,107.55,4002402,453429342.95,33580,DEVYANI
2021-10-18,EQ,113.6,113.65,111.85,112.55,112.75,112.65,112.57,140.9,107.55,5664809,637681303.2,42399,DEVYANI
2021-10-19,EQ,113.5,128.4,113.4,112.65,119.75,119.4,121.47,140.9,107.55,25059129,3043914583.3,150107,DEVYANI
2021-10-20,EQ,121.7,125.5,120.5,119.4,124.45,124.5,123.26,140.9,107.55,13245703,1632626319.0,81570,DEVYANI
2021-10-21,EQ,126.0,127.0,122.25,124.5,122.7,122.9,124.46,140.9,107.55,5970096,743042684.2,45421,DEVYANI
2021-10-22,EQ,123.0,124.7,119.5,122.9,120.5,120.25,122.05,140.9,107.55,2113262,257917086.35,19675,DEVYANI
2021-10-25,EQ,121.2,121.75,114.0,120.25,117.05,117.05,116.72,140.9,107.55,2745832,320503238.65,28068,DEVYANI
2021-10-26,EQ,117.0,122.2,116.3,117.05,121.55,121.6,120.45,140.9,107.55,3396370,409102378.55,46862,DEVYANI
2021-10-27,EQ,121.6,122.45,119.2,121.6,119.8,120.05,120.39,140.9,107.55,1510892,181902806.35,15160,DEVYANI
2021-10-28,EQ,119.85,122.45,117.85,120.05,119.3,119.2,119.9,140.9,107.55,2735570,327984315.7,33714,DEVYANI
2021-10-29,EQ,119.2,124.0,118.0,119.2,122.85,122.7,121.73,140.9,107.55,4978128,605972519.25,48619,DEVYANI
2021-11-01,EQ,124.0,128.0,120.9,122.7,124.3,124.5,124.97,140.9,107.55,10472876,1308744018.05,75957,DEVYANI
2021-11-02,EQ,126.7,142.6,126.6,124.5,136.8,137.3,135.07,142.6,107.55,31927085,4312541024.6,231658,DEVYANI
2021-11-03,EQ,137.65,149.25,134.35,137.3,139.85,140.35,143.23,149.25,107.55,24332826,3485292888.15,217622,DEVYANI
2021-11-04,EQ,142.4,147.8,142.0,140.35,147.7,146.5,145.65,149.25,107.55,6310539,919130124.1,65475,DEVYANI
2021-11-08,EQ,149.0,154.75,145.7,146.5,150.6,149.9,150.91,154.75,107.55,18117872,2734169020.6,186797,DEVYANI
2021-11-09,EQ,150.4,152.0,145.7,149.9,146.5,147.15,148.18,154.75,107.55,6244990,925407247.15,58578,DEVYANI
2021-11-10,EQ,146.0,153.25,144.25,147.15,150.6,150.3,150.16,154.75,107.55,7463363,1120722213.8,73557,DEVYANI
2021-11-11,EQ,150.9,150.95,145.3,150.3,146.65,146.75,147.6,154.75,107.55,3192136,471159428.55,36173,DEVYANI
2021-11-12,EQ,147.95,168.35,147.65,146.75,160.5,160.55,160.51,168.35,107.55,29585065,4748802139.55,210536,DEVYANI
2021-11-15,EQ,161.8,167.7,156.25,160.55,162.95,163.85,162.06,168.35,107.55,12254901,1985978818.4,92437,DEVYANI
2021-11-16,EQ,163.5,168.3,161.1,163.85,162.8,163.35,164.4,168.35,107.55,7507262,1234225896.95,60871,DEVYANI
2021-11-17,EQ,162.95,166.5,160.15,163.35,162.25,162.25,162.87,168.35,107.55,5896345,960332797.2,57833,DEVYANI
2021-11-18,EQ,163.5,171.0,146.45,162.25,152.0,149.85,157.96,171.0,107.55,17084451,2698717461.9,146666,DEVYANI
2021-11-22,EQ,151.45,157.5,146.7,149.85,153.8,153.45,151.5,171.0,107.55,10422280,1579021867.25,89506,DEVYANI
2021-11-23,EQ,152.65,155.75,151.5,153.45,153.9,154.2,153.89,171.0,107.55,4667284,718235954.85,45295,DEVYANI
2021-11-24,EQ,155.0,156.6,152.2,154.2,152.55,153.55,154.87,171.0,107.55,4310673,667614778.25,37515,DEVYANI
2021-11-25,EQ,154.0,157.4,152.45,153.55,155.8,155.85,155.85,171.0,107.55,4335671,675693867.2,71853,DEVYANI
2021-11-26,EQ,152.65,154.1,146.05,155.85,146.95,147.0,149.96,171.0,107.55,5419185,812659188.35,56759,DEVYANI
2021-11-29,EQ,144.3,145.95,135.5,147.0,138.5,139.05,141.07,171.0,107.55,5112235,721187433.45,54680,DEVYANI
2021-11-30,EQ,142.7,151.15,142.5,139.05,146.05,148.15,148.03,171.0,107.55,11131410,1647758641.45,70945,DEVYANI
2021-12-01,EQ,150.0,155.8,148.75,148.15,155.3,154.75,152.68,171.0,107.55,5996114,915469900.05,55617,DEVYANI
2021-12-02,EQ,155.3,155.3,151.5,154.75,152.65,152.9,153.16,171.0,107.55,2501926,383200355.85,26275,DEVYANI
2021-12-03,EQ,152.7,154.75,151.3,152.9,153.35,153.7,153.07,171.0,107.55,3092348,473349321.4,24247,DEVYANI
2021-12-06,EQ,154.5,154.5,147.1,153.7,147.9,147.7,149.53,171.0,107.55,2953002,441572160.05,35343,DEVYANI
2021-12-07,EQ,149.0,164.7,149.0,147.7,162.9,160.7,156.82,171.0,107.55,7897452,1238513810.65,67528,DEVYANI
2021-12-08,EQ,163.95,183.8,162.85,160.7,176.0,175.75,175.22,183.8,107.55,32264155,5653335991.6,225974,DEVYANI
2021-12-09,EQ,177.0,190.4,176.2,175.75,184.25,184.6,184.95,190.4,107.55,24389590,4510806730.45,173789,DEVYANI
2021-12-10,EQ,184.6,194.55,179.2,184.6,187.85,188.6,187.65,194.55,107.55,16854998,3162910041.45,127673,DEVYANI
2021-12-13,EQ,189.8,192.9,183.3,188.6,186.65,186.45,187.69,194.55,107.55,7496748,1407092559.7,61836,DEVYANI
2021-12-14,EQ,185.95,198.9,183.75,186.45,191.6,191.1,193.07,198.9,107.55,14060901,2714784358.85,102491,DEVYANI
2021-12-15,EQ,192.1,193.85,184.1,191.1,185.2,185.4,188.16,198.9,107.55,5920720,1114040899.4,46944,DEVYANI
2021-12-16,EQ,187.0,188.55,178.0,185.4,181.2,181.0,181.53,198.9,107.55,5309232,963804736.25,44294,DEVYANI
2021-12-17,EQ,181.0,182.5,172.85,181.0,180.9,175.65,177.06,198.9,107.55,6822807,1208079400.25,55627,DEVYANI
2021-12-20,EQ,172.0,177.7,168.3,175.65,174.55,175.25,174.39,198.9,107.55,6443659,1123735210.75,95346,DEVYANI
2021-12-21,EQ,177.0,181.35,171.05,175.25,174.5,174.5,177.31,198.9,107.55,3180509,563951588.15,32994,DEVYANI
2021-12-22,EQ,175.8,180.9,173.0,174.5,174.4,174.05,176.23,198.9,107.55,3498817,616595835.05,35510,DEVYANI
2021-12-23,EQ,175.5,178.45,170.05,174.05,171.65,171.6,174.7,198.9,107.55,3905768,682346616.3,36119,DEVYANI
2021-12-24,EQ,172.45,172.45,166.8,171.6,168.0,167.6,168.51,198.9,107.55,2359289,397556891.55,34130,DEVYANI
2021-12-27,EQ,167.0,168.5,162.45,167.6,164.6,165.05,165.0,198.9,107.55,2943976,485757292.35,25703,DEVYANI
2021-12-28,EQ,166.4,175.2,165.75,165.05,171.9,171.75,171.25,198.9,107.55,4279356,732819441.95,39341,DEVYANI
2021-12-29,EQ,172.1,172.3,167.5,171.75,169.15,169.1,169.4,198.9,107.55,2310616,391428821.45,26067,DEVYANI
2021-12-30,EQ,168.5,168.9,164.0,169.1,164.45,164.4,165.88,198.9,107.55,1650651,273808380.5,20475,DEVYANI
2021-12-31,EQ,164.95,170.2,164.0,164.4,165.3,165.05,166.97,198.9,107.55,2507350,418641707.95,23290,DEVYANI
2022-01-03,EQ,166.2,170.9,166.15,165.05,169.65,169.35,168.59,198.9,107.55,2447794,412667114.25,26407,DEVYANI
2022-01-04,EQ,170.2,173.3,169.35,169.35,172.7,172.2,171.7,198.9,107.55,2916801,500806587.4,27849,DEVYANI
2022-01-05,EQ,172.0,181.8,167.1,172.2,177.3,178.9,175.08,198.9,107.55,6642011,1162856113.75,56074,DEVYANI
2022-01-06,EQ,175.7,178.05,173.6,178.9,174.0,174.05,175.45,198.9,107.55,3918156,687452415.4,35323,DEVYANI
2022-01-07,EQ,175.65,192.85,173.95,174.05,185.15,186.85,183.74,198.9,107.55,13122707,2411192167.3,101803,DEVYANI
2022-01-10,EQ,186.4,192.4,184.15,186.85,184.65,185.75,187.85,198.9,107.55,7881051,1480451452.4,65010,DEVYANI
2022-01-11,EQ,184.95,189.5,181.5,185.75,182.0,182.3,184.24,198.9,107.55,4258270,784543880.75,38753,DEVYANI
2022-01-12,EQ,183.4,191.3,183.0,182.3,186.9,186.95,187.86,198.9,107.55,6021287,1131175496.35,49729,DEVYANI
2022-01-13,EQ,187.5,188.7,185.6,186.95,186.95,186.85,187.03,198.9,107.55,2593222,485002546.25,19085,DEVYANI
2022-01-14,EQ,186.0,188.55,184.0,186.85,184.9,184.9,185.73,198.9,107.55,1900380,352960792.0,17462,DEVYANI
2022-01-17,EQ,185.75,190.6,183.1,184.9,186.75,186.8,187.23,198.9,107.55,3478895,651352672.5,31884,DEVYANI
2022-01-18,EQ,189.0,197.3,183.45,186.8,185.1,185.45,191.77,198.9,107.55,9371632,1797186223.15,76526,DEVYANI
