date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2010-02-24,EQ,46.0,48.3,26.65,45.0,28.2,28.75,38.14,48.3,26.65,61482682,2345126072.7,0,EMMBI
2010-02-25,EQ,28.95,31.75,27.6,28.75,29.25,29.35,30.06,48.3,26.65,12745026,383053135.35,0,EMMBI
2010-02-26,EQ,29.5,30.3,27.6,29.35,27.75,27.85,28.79,48.3,26.65,3024944,87077440.05,0,EMMBI
2010-03-02,EQ,28.0,28.7,26.1,27.85,26.2,26.25,26.79,48.3,26.1,1975827,52940339.85,0,EMMBI
2010-03-03,EQ,26.3,27.55,25.4,26.25,25.95,26.0,26.56,48.3,25.4,3071247,81562427.15,0,EMMBI
2010-03-04,EQ,25.6,26.85,25.6,26.0,25.95,25.95,26.31,48.3,25.4,1019764,26830250.45,0,EMMBI
2010-03-05,EQ,26.55,26.55,25.45,25.95,25.6,25.6,26.0,48.3,25.4,815261,21192806.6,0,EMMBI
2010-03-08,EQ,25.8,26.7,25.3,25.6,25.35,25.55,25.86,48.3,25.3,1481122,38301180.85,0,EMMBI
2010-03-09,EQ,25.5,26.5,25.5,25.55,25.65,25.65,26.07,48.3,25.3,1278004,33311732.6,0,EMMBI
2010-03-10,EQ,25.7,26.2,25.2,25.65,25.35,25.35,25.68,48.3,25.2,663949,17051240.4,0,EMMBI
2010-03-11,EQ,25.4,25.6,24.55,25.35,24.7,24.65,25.03,48.3,24.55,598719,14985555.95,0,EMMBI
2010-03-12,EQ,24.75,24.9,23.25,24.65,23.25,23.45,23.98,48.3,23.25,663968,15925036.1,0,EMMBI
2010-03-15,EQ,23.25,23.95,22.4,23.45,22.85,22.8,23.17,48.3,22.4,870550,20168270.65,0,EMMBI
2010-03-16,EQ,23.0,23.4,22.75,22.8,22.85,22.85,22.98,48.3,22.4,341380,7843311.05,0,EMMBI
2010-03-17,EQ,22.9,23.45,22.4,22.85,22.55,22.6,22.97,48.3,22.4,574765,13202777.0,0,EMMBI
2010-03-18,EQ,22.4,23.0,21.8,22.6,21.9,22.0,22.38,48.3,21.8,475166,10636320.8,0,EMMBI
2010-03-19,EQ,22.05,24.4,21.65,22.0,23.15,23.15,23.45,48.3,21.65,2164611,50768139.1,0,EMMBI
2010-03-22,EQ,23.1,23.1,22.25,23.15,22.35,22.3,22.6,48.3,21.65,343750,7769649.7,0,EMMBI
