date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2024-03-14,EQ,351.0,384.8,341.8,401.0,365.9,362.7,367.47,384.8,341.8,8463274,3109998004.7,109557,GOPAL
2024-03-15,EQ,373.95,392.85,370.1,362.7,375.9,379.15,381.68,392.85,341.8,1994031,761091618.0,32914,GOPAL
2024-03-18,EQ,379.6,384.0,365.3,379.15,366.55,369.15,376.31,392.85,341.8,541965,203945668.4,14341,GOPAL
2024-03-19,EQ,366.55,376.5,360.05,369.15,375.0,373.1,366.43,392.85,341.8,638038,233797142.4,13241,GOPAL
2024-03-20,EQ,373.0,377.95,367.45,373.1,373.0,374.8,372.54,392.85,341.8,281157,104742585.0,11851,GOPAL
2024-03-21,EQ,378.0,379.95,372.0,374.8,372.0,374.2,374.81,392.85,341.8,232351,87087336.75,8904,GOPAL
2024-03-22,EQ,370.1,374.7,364.5,374.2,365.05,366.0,369.09,392.85,341.8,134790,49750002.65,5422,GOPAL
2024-03-26,EQ,366.0,372.5,358.0,366.0,360.05,362.6,363.02,392.85,341.8,630453,228866095.25,12339,GOPAL
2024-03-27,EQ,362.6,364.9,358.05,362.6,358.7,358.8,360.09,392.85,341.8,313306,112818682.1,6244,GOPAL
2024-03-28,EQ,359.45,362.0,355.35,358.8,357.15,357.8,358.01,392.85,341.8,175050,62670408.95,4003,GOPAL
2024-04-01,EQ,357.0,364.2,357.0,357.8,359.0,360.4,360.78,392.85,341.8,153088,55231115.0,4561,GOPAL
2024-04-02,EQ,363.8,365.6,357.1,360.4,357.85,358.3,360.9,392.85,341.8,295532,106658576.35,7278,GOPAL
2024-04-03,EQ,341.05,357.4,341.05,358.3,351.0,353.45,350.89,392.85,341.05,620438,217707290.1,13841,GOPAL
2024-04-04,EQ,353.45,356.45,349.0,353.45,349.5,349.7,351.11,392.85,341.05,135486,47571053.3,5671,GOPAL
2024-04-05,EQ,349.65,354.0,347.5,349.7,348.1,348.15,348.7,392.85,341.05,106851,37258561.0,4018,GOPAL
2024-04-08,EQ,348.45,352.0,338.0,348.15,339.0,339.85,342.11,392.85,338.0,177305,60657947.35,7794,GOPAL
2024-04-09,EQ,337.1,339.75,326.0,339.85,326.35,327.35,331.78,392.85,326.0,211302,70105060.5,9274,GOPAL
2024-04-10,EQ,328.05,344.0,322.7,327.35,337.55,337.85,334.47,392.85,322.7,348191,116461160.3,10381,GOPAL
2024-04-12,EQ,337.85,338.0,327.0,337.85,328.0,328.15,330.84,392.85,322.7,196285,64939680.1,9015,GOPAL
2024-04-15,EQ,311.3,321.85,311.3,328.15,318.8,318.3,318.09,392.85,311.3,202268,64339224.35,9654,GOPAL
2024-04-16,EQ,318.3,328.3,318.3,318.3,318.5,319.1,320.2,392.85,311.3,153913,49282745.1,6334,GOPAL
2024-04-18,EQ,318.5,323.25,312.0,319.1,313.0,313.75,318.74,392.85,311.3,180182,57431926.5,8316,GOPAL
2024-04-19,EQ,313.95,319.0,308.2,313.75,314.45,315.0,314.67,392.85,308.2,133659,42058107.5,6017,GOPAL
2024-04-22,EQ,320.0,322.05,312.5,315.0,313.4,313.75,316.12,392.85,308.2,206544,65292474.75,6471,GOPAL
2024-04-23,EQ,317.0,319.9,313.5,313.75,313.6,315.0,315.69,392.85,308.2,112557,35532833.3,5769,GOPAL
2024-04-24,EQ,316.7,323.0,314.0,315.0,314.15,314.45,317.4,392.85,308.2,189460,60135172.0,4927,GOPAL
2024-04-25,EQ,313.1,328.7,313.1,314.45,319.1,320.2,322.36,392.85,308.2,443105,142837381.25,9545,GOPAL
2024-04-26,EQ,319.0,322.2,315.05,320.2,316.5,317.1,316.87,392.85,308.2,398295,126207825.05,7752,GOPAL
2024-04-29,EQ,318.0,326.45,317.8,317.1,320.95,320.4,321.34,392.85,308.2,189333,60839518.05,4878,GOPAL
2024-04-30,EQ,322.0,323.4,318.0,320.4,320.55,319.75,319.91,392.85,308.2,809000,258806195.45,5689,GOPAL
2024-05-02,EQ,318.5,325.5,318.05,319.75,319.05,319.2,320.11,392.85,308.2,123258,39455974.6,6592,GOPAL
2024-05-03,EQ,321.95,321.95,315.5,319.2,316.05,317.65,318.32,392.85,308.2,146414,46606401.55,6106,GOPAL
2024-05-06,EQ,317.0,324.0,314.45,317.65,318.3,319.3,317.81,392.85,308.2,213047,67708081.85,6756,GOPAL
2024-05-07,EQ,322.8,335.15,317.2,319.3,335.15,334.0,328.23,392.85,308.2,532287,174710580.45,15654,GOPAL
2024-05-08,EQ,336.5,345.15,335.0,334.0,341.9,342.25,341.44,392.85,308.2,338078,115432868.35,8696,GOPAL
2024-05-09,EQ,345.25,351.0,341.1,342.25,343.5,344.75,345.18,392.85,308.2,246728,85166762.5,5103,GOPAL
2024-05-10,EQ,339.0,345.0,327.05,344.75,333.0,330.2,335.74,392.85,308.2,325673,109342387.9,8847,GOPAL
2024-05-13,EQ,334.95,340.0,322.5,330.2,331.7,329.65,326.4,392.85,308.2,154239,50343862.65,5092,GOPAL
2024-05-14,EQ,329.95,345.5,329.95,329.65,339.25,340.7,340.4,392.85,308.2,171342,58325420.65,5490,GOPAL
2024-05-15,EQ,338.05,346.0,333.9,340.7,334.0,335.05,338.24,392.85,308.2,83834,28355837.75,3232,GOPAL
2024-05-16,EQ,335.25,344.0,334.2,335.05,337.0,336.65,340.54,392.85,308.2,158379,53933739.25,7383,GOPAL
2024-05-17,EQ,339.0,348.0,337.15,336.65,345.0,344.3,343.99,392.85,308.2,220578,75877691.65,11331,GOPAL
2024-05-18,EQ,349.0,349.0,342.0,344.3,342.25,343.05,345.39,392.85,308.2,20400,7045948.9,842,GOPAL
2024-05-21,EQ,343.1,344.65,333.05,343.05,334.15,334.75,336.85,392.85,308.2,80621,27156805.15,2938,GOPAL
2024-05-22,EQ,334.75,339.95,328.05,334.75,332.15,334.8,332.95,392.85,308.2,112392,37421268.2,3449,GOPAL
2024-05-23,EQ,334.8,335.95,331.0,334.8,332.4,331.75,332.63,392.85,308.2,57652,19176901.05,2300,GOPAL
2024-05-24,EQ,335.0,336.0,326.8,331.75,328.8,329.2,330.76,392.85,308.2,52525,17373393.2,2199,GOPAL
2024-05-27,EQ,325.05,332.5,311.3,329.2,320.0,320.1,321.75,392.85,308.2,193036,62109973.95,7468,GOPAL
2024-05-28,EQ,321.15,323.85,317.0,320.1,318.35,318.4,318.83,392.85,308.2,83583,26649158.5,2755,GOPAL
2024-05-29,EQ,319.15,321.7,316.5,318.4,319.0,317.9,318.15,392.85,308.2,49703,15813078.15,1878,GOPAL
2024-05-30,EQ,317.9,321.75,315.0,317.9,318.1,319.25,317.89,392.85,308.2,63304,20123467.0,2478,GOPAL
2024-05-31,EQ,320.0,322.85,315.8,319.25,316.95,316.5,318.46,392.85,308.2,61312,19525592.15,2270,GOPAL
