date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2006-09-11,EQ,147.0,147.0,133.05,131.65,133.6,134.8,139.57,147.0,133.05,22077,3081358.4,0,GRINDWELL
2006-09-12,EQ,131.25,134.85,120.15,134.8,132.3,131.15,130.29,147.0,120.15,5168,673314.6,0,GRINDWELL
2006-09-13,EQ,133.05,139.8,133.05,131.15,137.2,137.1,136.87,147.0,120.15,3120,427044.1,0,GRINDWELL
2006-09-14,EQ,140.0,140.75,135.6,137.1,136.05,136.15,138.0,147.0,120.15,6439,888569.25,0,GRINDWELL
2006-09-15,EQ,136.05,139.95,133.0,136.15,135.1,135.3,137.15,147.0,120.15,2943,403635.25,0,GRINDWELL
2006-09-18,EQ,135.0,136.0,133.7,135.3,133.8,133.8,134.81,147.0,120.15,2690,362647.05,0,GRINDWELL
2006-09-19,EQ,134.3,136.65,133.0,133.8,133.0,133.65,134.84,147.0,120.15,3109,419223.4,0,GRINDWELL
2006-09-20,EQ,133.5,134.5,130.55,133.65,130.55,130.8,132.55,147.0,120.15,1546,204922.6,0,GRINDWELL
2006-09-21,EQ,130.6,137.8,130.0,130.8,133.05,134.85,134.07,147.0,120.15,2500,335164.95,0,GRINDWELL
2006-09-22,EQ,134.0,134.7,132.0,134.85,132.0,133.4,133.4,147.0,120.15,1233,164478.6,0,GRINDWELL
2006-09-25,EQ,132.05,132.05,129.2,133.4,130.75,129.35,130.23,147.0,120.15,4965,646574.6,0,GRINDWELL
2006-09-26,EQ,131.0,132.15,130.0,129.35,132.0,132.0,131.45,147.0,120.15,1452,190868.1,0,GRINDWELL
2006-09-27,EQ,130.1,149.0,130.05,132.0,141.35,141.5,142.75,149.0,120.15,31742,4531315.95,0,GRINDWELL
2006-09-28,EQ,140.0,145.0,138.25,141.5,140.95,139.55,142.12,149.0,120.15,14707,2090106.6,0,GRINDWELL
2006-09-29,EQ,144.0,144.0,136.05,139.55,136.75,136.8,138.9,149.0,120.15,6750,937584.3,0,GRINDWELL
2006-10-03,EQ,140.0,142.0,136.55,136.8,141.0,140.6,139.44,149.0,120.15,3975,554278.75,0,GRINDWELL
2006-10-04,EQ,142.5,143.25,138.0,140.6,139.0,139.4,140.92,149.0,120.15,6083,857212.85,0,GRINDWELL
