date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2023-04-10,EQ,24.15,24.2,24.15,23.77,24.2,24.2,24.16,24.2,24.15,14,338.17,5,MAGS813ETF
2023-04-11,EQ,24.4,24.4,24.4,24.2,24.4,24.4,24.4,24.4,24.15,1,24.4,1,MAGS813ETF
2023-04-12,EQ,24.5,28.74,24.01,24.4,28.74,28.61,26.61,28.74,24.01,199,5294.66,69,MAGS813ETF
2023-04-13,EQ,28.74,28.74,23.98,28.61,23.98,24.2,24.86,28.74,23.98,8749,217509.98,133,MAGS813ETF
2023-04-17,EQ,24.81,24.81,23.9,24.2,24.0,24.12,24.03,28.74,23.9,230064,5529524.3,28,MAGS813ETF
2023-04-18,EQ,23.52,24.25,23.03,24.12,24.03,24.03,23.79,28.74,23.03,8173,194404.49,23,MAGS813ETF
2023-04-19,EQ,24.63,24.63,23.85,24.03,23.95,23.95,23.85,28.74,23.03,823,19629.73,8,MAGS813ETF
2023-04-20,EQ,24.01,24.01,23.85,23.95,23.89,23.89,23.85,28.74,23.03,503,11997.06,8,MAGS813ETF
2023-04-21,EQ,24.02,24.25,24.02,23.89,24.02,24.02,24.2,28.74,23.03,453,10964.32,10,MAGS813ETF
2023-04-25,EQ,24.29,24.29,24.0,24.02,24.02,24.02,24.03,28.74,23.03,533,12807.35,8,MAGS813ETF
2023-04-26,EQ,24.03,24.03,24.03,24.02,24.03,24.03,24.03,28.74,23.03,723,17373.69,3,MAGS813ETF
2023-04-27,EQ,24.04,24.04,24.04,24.03,24.04,24.04,24.04,28.74,23.03,200,4808.0,1,MAGS813ETF
2023-04-28,EQ,24.05,24.05,24.05,24.04,24.05,24.05,24.05,28.74,23.03,250,6012.5,1,MAGS813ETF
2023-05-02,EQ,24.65,29.0,19.33,24.05,24.3,24.3,24.37,29.0,19.33,461,11235.54,29,MAGS813ETF
2023-05-03,EQ,24.4,24.4,24.11,24.3,24.11,24.11,24.11,29.0,19.33,368,8873.05,8,MAGS813ETF
2023-05-09,EQ,24.11,24.5,24.11,24.11,24.5,24.5,24.15,29.0,19.33,43,1038.29,4,MAGS813ETF
2023-05-10,EQ,24.21,24.21,24.21,24.5,24.21,24.21,24.21,29.0,19.33,40,968.4,5,MAGS813ETF
2023-05-12,EQ,24.5,24.5,24.5,24.21,24.5,24.5,24.5,29.0,19.33,1,24.5,1,MAGS813ETF
2023-05-17,EQ,24.5,24.5,24.5,24.5,24.5,24.5,24.5,29.0,19.33,2,49.0,2,MAGS813ETF
2023-05-19,EQ,24.5,24.5,24.5,24.5,24.5,24.5,24.5,29.0,19.33,4,98.0,2,MAGS813ETF
2023-05-22,EQ,24.6,25.5,24.5,24.5,24.79,24.79,25.05,29.0,19.33,182,4559.01,22,MAGS813ETF
2023-05-23,EQ,24.6,24.63,24.4,24.79,24.63,24.63,24.62,29.0,19.33,65,1600.46,8,MAGS813ETF
2023-05-24,EQ,24.6,24.62,24.27,24.63,24.6,24.6,24.41,29.0,19.33,89,2172.39,6,MAGS813ETF
2023-05-25,EQ,24.6,24.6,24.6,24.6,24.6,24.6,24.6,29.0,19.33,12,295.2,8,MAGS813ETF
2023-05-26,EQ,24.6,24.6,24.3,24.6,24.3,24.3,24.45,29.0,19.33,1001,24474.6,5,MAGS813ETF
2023-05-29,EQ,24.6,24.64,24.6,24.3,24.6,24.6,24.62,29.0,19.33,9,221.56,7,MAGS813ETF
2023-05-30,EQ,24.25,24.25,24.25,24.6,24.25,24.25,24.25,29.0,19.33,40,970.0,1,MAGS813ETF
2023-05-31,EQ,24.3,24.5,24.25,24.25,24.36,24.36,24.4,29.0,19.33,818,19956.22,9,MAGS813ETF
2023-06-02,EQ,24.01,24.64,24.01,24.36,24.64,24.64,24.28,29.0,19.33,228,5535.01,8,MAGS813ETF
2023-06-05,EQ,24.32,24.69,24.32,24.64,24.64,24.64,24.58,29.0,19.33,55,1351.86,7,MAGS813ETF
2023-06-07,EQ,24.3,24.69,24.3,24.64,24.36,24.36,24.59,29.0,19.33,7,172.11,3,MAGS813ETF
2023-06-08,EQ,24.69,24.69,24.37,24.36,24.37,24.37,24.56,29.0,19.33,242,5942.98,5,MAGS813ETF
2023-06-09,EQ,24.65,24.65,24.32,24.37,24.65,24.65,24.34,29.0,19.33,4355,105992.8,7,MAGS813ETF
2023-06-13,EQ,24.65,24.65,24.3,24.65,24.65,24.47,24.43,29.0,19.33,531,12974.7,6,MAGS813ETF
2023-06-14,EQ,24.65,24.65,24.65,24.47,24.65,24.65,24.65,29.0,19.33,15,369.75,3,MAGS813ETF
2023-06-15,EQ,24.65,24.65,24.35,24.65,24.35,24.35,24.38,29.0,19.33,9,219.45,4,MAGS813ETF
2023-06-19,EQ,24.65,24.65,24.65,24.35,24.65,24.65,24.65,29.0,19.33,66,1626.9,3,MAGS813ETF
2023-06-20,EQ,24.31,24.65,24.3,24.65,24.65,24.65,24.35,29.0,19.33,156,3798.05,4,MAGS813ETF
2023-06-21,EQ,24.3,24.65,24.3,24.65,24.65,24.65,24.33,29.0,19.33,22,535.29,3,MAGS813ETF
2023-06-27,EQ,24.6,24.6,24.6,24.65,24.6,24.6,24.6,29.0,19.33,20,492.0,1,MAGS813ETF
2023-06-28,EQ,24.6,24.6,24.3,24.6,24.3,24.3,24.43,29.0,19.33,3,73.3,3,MAGS813ETF
2023-06-30,EQ,24.7,24.7,24.5,24.3,24.5,24.6,24.61,29.0,19.33,55,1353.5,2,MAGS813ETF
2023-07-03,EQ,24.45,24.45,24.37,24.6,24.37,24.37,24.37,29.0,19.33,250010,6092745.7,3,MAGS813ETF
2023-07-04,EQ,24.65,24.65,24.31,24.37,24.47,24.47,24.65,29.0,19.33,5110,125948.35,11,MAGS813ETF
2023-07-05,EQ,24.65,24.65,24.6,24.47,24.65,24.65,24.65,29.0,19.33,671,16538.9,6,MAGS813ETF
2023-07-06,EQ,24.65,24.65,24.34,24.65,24.65,24.65,24.34,29.0,19.33,260251,6334712.65,7,MAGS813ETF
2023-07-07,EQ,24.55,24.56,24.25,24.65,24.51,24.38,24.39,29.0,19.33,2055,50122.06,11,MAGS813ETF
2023-07-10,EQ,24.59,24.59,24.59,24.38,24.59,24.59,24.59,29.0,19.33,1,24.59,1,MAGS813ETF
2023-07-12,EQ,24.59,24.7,24.43,24.59,24.7,24.7,24.43,29.0,19.33,250265,6114042.55,10,MAGS813ETF
2023-07-14,EQ,24.7,25.3,24.3,24.7,24.7,24.7,24.66,29.0,19.33,392,9668.52,67,MAGS813ETF
2023-07-17,EQ,24.5,24.7,24.3,24.7,24.5,24.5,24.67,29.0,19.33,339,8363.9,15,MAGS813ETF
2023-07-19,EQ,24.75,24.75,24.31,24.5,24.31,24.31,24.64,29.0,19.33,12,295.68,6,MAGS813ETF
2023-07-20,EQ,24.75,24.75,24.75,24.31,24.75,24.75,24.75,29.0,19.33,514,12721.5,14,MAGS813ETF
