date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2007-03-09,EQ,85.0,92.0,84.4,75.0,85.25,85.7,87.72,92.0,84.4,174944156,15345822813.9,0,IDEA
2007-03-12,EQ,87.2,89.95,85.9,85.7,87.4,87.65,88.35,92.0,84.4,23357914,2063645281.25,0,IDEA
2007-03-13,EQ,88.0,91.2,86.15,87.65,90.0,90.0,89.27,92.0,84.4,27963532,2496392068.45,0,IDEA
2007-03-14,EQ,87.0,90.8,86.55,90.0,87.45,87.75,88.95,92.0,84.4,18547936,1649840367.15,0,IDEA
2007-03-15,EQ,88.25,94.2,88.25,87.75,91.2,91.55,92.47,94.2,84.4,33862360,3131364470.9,0,IDEA
2007-03-16,EQ,91.8,94.0,91.3,91.55,92.7,92.9,92.6,94.2,84.4,12971918,1201154735.5,0,IDEA
2007-03-19,EQ,93.0,94.15,92.5,92.9,93.1,93.6,93.44,94.2,84.4,8000856,747624418.8,0,IDEA
2007-03-20,EQ,94.25,95.5,93.4,93.6,93.7,93.85,94.56,95.5,84.4,5550395,524832528.7,0,IDEA
2007-03-21,EQ,94.25,94.35,92.65,93.85,92.9,92.95,93.34,95.5,84.4,6135100,572656232.9,0,IDEA
2007-03-22,EQ,93.9,97.0,93.6,92.95,96.4,96.45,95.61,97.0,84.4,10355804,990134786.15,0,IDEA
2007-03-23,EQ,103.0,103.0,94.35,96.45,94.75,94.75,95.63,103.0,84.4,6891606,659056301.6,0,IDEA
2007-03-26,EQ,95.6,95.6,92.3,94.75,93.1,93.0,93.56,103.0,84.4,5096599,476820151.35,0,IDEA
2007-03-28,EQ,93.0,93.0,90.0,93.0,90.35,90.4,91.32,103.0,84.4,6808251,621714762.75,0,IDEA
2007-03-29,EQ,90.6,99.8,89.6,90.4,96.0,96.15,94.57,103.0,84.4,21750075,2056818843.45,0,IDEA
2007-03-30,EQ,96.0,96.55,94.0,96.15,94.1,94.6,95.3,103.0,84.4,5989608,570787462.9,0,IDEA
2007-04-02,EQ,92.9,93.6,91.0,94.6,91.2,91.05,92.18,103.0,84.4,2881684,265642673.15,0,IDEA
2007-04-03,EQ,91.25,93.3,91.25,91.05,91.7,91.85,91.96,103.0,84.4,2671894,245712183.6,0,IDEA
2007-04-04,EQ,92.9,95.35,92.1,91.85,93.45,93.5,94.07,103.0,84.4,5790041,544694192.05,0,IDEA
2007-04-05,EQ,93.95,95.1,93.1,93.5,94.75,94.85,94.68,103.0,84.4,3870782,366479510.3,0,IDEA
2007-04-09,EQ,95.25,96.25,95.0,94.85,95.5,95.5,95.78,103.0,84.4,3690154,353461147.5,0,IDEA
2007-04-10,EQ,95.7,96.35,94.1,95.5,94.8,95.0,95.24,103.0,84.4,2351281,223936489.8,0,IDEA
2007-04-11,EQ,95.1,97.9,95.05,95.0,96.45,96.4,96.97,103.0,84.4,3770988,365660196.95,0,IDEA
2007-04-12,EQ,96.05,99.15,95.2,96.4,98.0,98.2,97.87,103.0,84.4,9011363,881977735.6,0,IDEA
2007-04-13,EQ,98.5,103.0,98.5,98.2,102.55,102.65,101.61,103.0,84.4,10999110,1117615631.75,0,IDEA
2007-04-16,EQ,104.0,107.35,103.5,102.65,104.85,104.7,105.56,107.35,84.4,10251795,1082188547.95,0,IDEA
2007-04-17,EQ,105.15,106.0,103.0,104.7,103.8,103.55,104.27,107.35,84.4,5825681,607430013.7,0,IDEA
2007-04-18,EQ,104.0,105.6,103.5,103.55,104.2,104.05,104.64,107.35,84.4,4120817,431213235.0,0,IDEA
2007-04-19,EQ,103.0,105.35,100.2,104.05,104.0,103.95,104.16,107.35,84.4,8170392,850991820.9,0,IDEA
2007-04-20,EQ,104.5,114.9,104.5,103.95,114.1,114.3,111.03,114.9,84.4,25542802,2835929094.35,0,IDEA
2007-04-23,EQ,115.55,119.8,114.35,114.3,114.4,114.95,117.07,119.8,84.4,12103419,1416975512.0,0,IDEA
2007-04-24,EQ,113.6,117.0,113.6,114.95,114.7,114.6,115.51,119.8,84.4,5713496,659958117.25,0,IDEA
2007-04-25,EQ,108.0,119.7,108.0,114.6,117.8,117.6,117.42,119.8,84.4,8912506,1046549787.85,0,IDEA
2007-04-26,EQ,119.0,120.25,115.8,117.6,116.2,116.25,117.71,120.25,84.4,7568999,890970622.25,0,IDEA
2007-04-27,EQ,116.0,116.85,111.75,116.25,112.9,112.5,113.84,120.25,84.4,5876992,669042342.85,0,IDEA
2007-04-30,EQ,112.7,115.7,111.5,112.5,114.5,114.2,113.89,120.25,84.4,4630751,527378408.65,0,IDEA
2007-05-03,EQ,115.0,116.85,115.0,114.2,115.9,115.95,115.94,120.25,84.4,3875705,449354954.15,0,IDEA
2007-05-04,EQ,116.0,117.25,113.1,115.95,113.6,113.6,114.39,120.25,84.4,4807838,549954657.3,0,IDEA
2007-05-07,EQ,114.8,114.95,112.6,113.6,113.0,112.9,113.63,120.25,84.4,2023784,229956918.6,0,IDEA
2007-05-08,EQ,113.25,115.9,112.5,112.9,113.3,113.3,114.3,120.25,84.4,4503023,514702617.05,0,IDEA
2007-05-09,EQ,113.5,114.8,112.8,113.3,114.0,113.55,113.7,120.25,84.4,6186221,703381584.05,0,IDEA
2007-05-10,EQ,114.45,116.8,114.0,113.55,114.4,114.65,115.29,120.25,84.4,5083265,586041226.5,0,IDEA
2007-05-11,EQ,113.85,114.35,112.1,114.65,113.8,113.5,113.71,120.25,84.4,3553336,404055800.65,0,IDEA
2007-05-14,EQ,114.2,115.15,113.7,113.5,114.2,114.2,114.2,120.25,84.4,4407273,503306095.7,0,IDEA
2007-05-15,EQ,114.6,116.9,113.6,114.2,115.0,115.4,115.6,120.25,84.4,9143260,1056968029.7,0,IDEA
2007-05-16,EQ,116.0,116.6,113.85,115.4,114.95,114.45,114.97,120.25,84.4,4371374,502559182.65,0,IDEA
2007-05-17,EQ,115.8,119.1,115.05,114.45,116.0,116.05,117.34,120.25,84.4,7888225,925588863.1,0,IDEA
2007-05-18,EQ,115.5,117.1,115.5,116.05,115.6,115.8,116.13,120.25,84.4,3435463,398976932.5,0,IDEA
2007-05-21,EQ,116.8,117.85,115.25,115.8,115.3,115.55,116.27,120.25,84.4,3783889,439958904.15,0,IDEA
2007-05-22,EQ,116.25,117.4,115.0,115.55,115.45,115.75,116.07,120.25,84.4,5214154,605185546.6,0,IDEA
2007-05-23,EQ,116.0,121.25,115.2,115.75,119.1,118.8,119.34,121.25,84.4,17954745,2142702547.8,0,IDEA
2007-05-24,EQ,119.6,123.65,119.0,118.8,120.7,121.0,121.99,123.65,84.4,15070289,1838381401.3,0,IDEA
2007-05-25,EQ,120.0,126.4,118.1,121.0,125.9,125.85,124.29,126.4,84.4,13330651,1656932338.25,0,IDEA
2007-05-28,EQ,126.5,129.45,125.7,125.85,126.2,126.15,127.94,129.45,84.4,12441467,1591793580.75,0,IDEA
2007-05-29,EQ,127.0,127.4,124.05,126.15,126.0,125.75,125.56,129.45,84.4,4598993,577437816.1,0,IDEA
2007-05-30,EQ,126.0,128.0,122.25,125.75,123.15,122.85,125.25,129.45,84.4,6534853,818485862.45,0,IDEA
2007-05-31,EQ,126.0,127.8,124.2,122.85,126.35,125.85,125.84,129.45,84.4,7110233,894778480.55,0,IDEA
2007-06-01,EQ,127.7,128.1,124.65,125.85,124.9,125.0,125.95,129.45,84.4,9911677,1248387129.85,0,IDEA
2007-06-04,EQ,126.25,126.6,120.9,125.0,122.0,121.6,122.33,129.45,84.4,8110991,992255946.4,0,IDEA
2007-06-05,EQ,122.0,123.8,121.2,121.6,123.2,123.3,122.78,129.45,84.4,4231302,519538253.55,0,IDEA
2007-06-06,EQ,123.5,124.75,121.2,123.3,122.0,121.95,123.24,129.45,84.4,5453787,672139154.9,0,IDEA
2007-06-07,EQ,121.0,122.9,120.1,121.95,121.25,121.05,121.62,129.45,84.4,4467849,543396806.0,0,IDEA
2007-06-08,EQ,120.9,120.9,118.0,121.05,118.0,118.35,119.13,129.45,84.4,3768128,448915565.65,0,IDEA
2007-06-11,EQ,119.5,120.35,115.1,118.35,116.05,115.55,117.83,129.45,84.4,3395179,400044361.1,0,IDEA
2007-06-12,EQ,116.25,116.5,110.5,115.55,113.75,113.15,112.96,129.45,84.4,6734916,760785270.1,0,IDEA
2007-06-13,EQ,114.25,114.25,111.1,113.15,111.75,111.85,112.12,129.45,84.4,5143729,576724513.25,0,IDEA
2007-06-14,EQ,113.6,116.5,111.85,111.85,116.15,114.6,113.33,129.45,84.4,9037661,1024267198.05,0,IDEA
2007-06-15,EQ,116.85,118.75,115.2,114.6,116.05,115.6,117.05,129.45,84.4,7800203,912986123.75,0,IDEA
2007-06-18,EQ,116.5,117.25,115.05,115.6,115.8,115.5,116.05,129.45,84.4,3914212,454260576.7,0,IDEA
2007-06-19,EQ,116.0,117.9,113.25,115.5,117.35,116.6,115.28,129.45,84.4,2764819,318715398.15,0,IDEA
2007-06-20,EQ,118.6,118.6,114.75,116.6,115.25,115.1,115.94,129.45,84.4,3956266,458674641.3,0,IDEA
2007-06-21,EQ,116.0,116.7,115.2,115.1,115.6,115.75,115.77,129.45,84.4,4204057,486698356.2,0,IDEA
2007-06-22,EQ,115.75,119.35,115.65,115.75,117.05,117.05,117.73,129.45,84.4,7908930,931133675.05,0,IDEA
2007-06-25,EQ,117.0,118.4,116.35,117.05,117.4,117.45,117.42,129.45,84.4,2474000,290502916.05,0,IDEA
2007-06-26,EQ,118.4,121.5,110.0,117.45,121.4,120.2,119.22,129.45,84.4,4966702,592124907.5,0,IDEA
2007-06-27,EQ,120.2,123.35,119.05,120.2,119.95,120.2,121.63,129.45,84.4,8497677,1033593368.75,0,IDEA
2007-06-28,EQ,121.75,121.8,118.35,120.2,119.2,118.95,119.68,129.45,84.4,6231732,745842135.9,0,IDEA
2007-06-29,EQ,118.0,127.1,118.0,118.95,127.0,124.5,122.14,129.45,84.4,11143368,1361003245.65,0,IDEA
2007-07-02,EQ,125.5,126.9,124.25,124.5,124.7,124.75,125.53,129.45,84.4,3887930,488038015.85,0,IDEA
2007-07-03,EQ,125.25,126.9,122.9,124.75,123.9,123.5,124.93,129.45,84.4,5346754,667975864.4,0,IDEA
2007-07-04,EQ,124.0,125.2,121.65,123.5,122.0,122.05,122.73,129.45,84.4,3386263,415605279.15,0,IDEA
2007-07-05,EQ,123.4,123.4,118.5,122.05,120.2,120.0,119.57,129.45,84.4,3268231,390787871.35,0,IDEA
2007-07-06,EQ,120.9,121.2,119.05,120.0,119.4,119.5,120.33,129.45,84.4,2761915,332327667.75,0,IDEA
2007-07-09,EQ,120.6,121.7,119.2,119.5,120.8,120.95,120.23,129.45,84.4,2058650,247510553.25,0,IDEA
2007-07-10,EQ,121.65,121.65,118.6,120.95,119.5,119.5,120.23,129.45,84.4,1834316,220538451.5,0,IDEA
2007-07-11,EQ,118.9,120.6,118.05,119.5,119.6,119.4,119.59,129.45,84.4,2261190,270419421.55,0,IDEA
2007-07-12,EQ,120.0,122.7,119.9,119.4,121.0,121.0,121.31,129.45,84.4,3968596,481424352.15,0,IDEA
2007-07-13,EQ,122.4,123.0,121.05,121.0,121.05,121.3,121.91,129.45,84.4,2996531,365315143.55,0,IDEA
2007-07-16,EQ,122.0,126.0,121.7,121.3,124.75,124.7,124.57,129.45,84.4,8067329,1004927853.15,0,IDEA
2007-07-17,EQ,126.2,128.75,125.1,124.7,127.7,127.75,126.39,129.45,84.4,17642861,2229854862.7,0,IDEA
2007-07-18,EQ,127.5,130.95,126.75,127.75,130.8,129.9,129.33,130.95,84.4,13997959,1810329946.9,0,IDEA
2007-07-19,EQ,131.0,132.3,130.35,129.9,131.75,131.8,131.38,132.3,84.4,5559879,730432081.3,0,IDEA
2007-07-20,EQ,132.7,133.5,127.5,131.8,128.1,128.25,130.49,133.5,84.4,4481531,584788197.3,0,IDEA
2007-07-23,EQ,129.65,133.0,127.0,128.25,132.65,132.65,130.69,133.5,84.4,5750577,751528230.05,0,IDEA
2007-07-24,EQ,133.15,135.4,131.05,132.65,134.15,134.1,133.76,135.4,84.4,13036900,1743838260.1,0,IDEA
2007-07-25,EQ,134.5,134.5,130.0,134.1,131.9,131.85,132.16,135.4,84.4,5105083,674670484.7,0,IDEA
2007-07-26,EQ,132.9,133.0,130.25,131.85,130.65,131.05,131.61,135.4,84.4,5058340,665729261.5,0,IDEA
2007-07-27,EQ,128.0,128.8,121.55,131.05,125.45,125.25,126.46,135.4,84.4,4050713,512234151.3,0,IDEA
2007-07-30,EQ,124.0,127.95,123.15,125.25,125.75,125.85,125.66,135.4,84.4,2989270,375639506.0,0,IDEA
2007-07-31,EQ,127.4,130.5,124.85,125.85,129.6,129.6,127.87,135.4,84.4,4784495,611810472.95,0,IDEA
2007-08-01,EQ,127.95,127.95,123.25,129.6,123.3,124.0,125.49,135.4,84.4,5754468,722117864.5,0,IDEA
2007-08-02,EQ,124.25,125.9,123.0,124.0,123.8,123.85,124.78,135.4,84.4,2360740,294569955.4,0,IDEA
2007-08-03,EQ,124.5,126.4,124.5,123.85,125.65,125.55,125.57,135.4,84.4,2302337,289110241.55,0,IDEA
2007-08-06,EQ,125.6,125.6,121.0,125.55,123.55,123.25,122.51,135.4,84.4,2470349,302640520.4,0,IDEA
2007-08-07,EQ,124.0,125.0,122.95,123.25,123.25,123.3,124.26,135.4,84.4,3616079,449346487.25,0,IDEA
2007-08-08,EQ,124.9,126.9,124.5,123.3,125.4,125.65,125.76,135.4,84.4,2853061,358810196.05,0,IDEA
2007-08-09,EQ,126.8,129.1,124.0,125.65,124.0,124.3,126.98,135.4,84.4,3820118,485082051.65,0,IDEA
2007-08-10,EQ,123.0,123.0,116.65,124.3,121.2,120.85,120.11,135.4,84.4,4639213,557205326.75,0,IDEA
2007-08-13,EQ,123.5,124.95,120.65,120.85,121.0,121.35,121.65,135.4,84.4,1918375,233378614.85,0,IDEA
2007-08-14,EQ,121.5,122.0,120.15,121.35,120.25,120.4,120.94,135.4,84.4,4073823,492707403.05,0,IDEA
2007-08-16,EQ,112.35,118.0,112.35,120.4,114.7,114.8,116.16,135.4,84.4,4863140,564924398.2,0,IDEA
2007-08-17,EQ,115.9,115.9,107.6,114.8,110.95,110.95,111.32,135.4,84.4,7729798,860443910.6,0,IDEA
2007-08-20,EQ,117.8,117.8,113.1,110.95,113.5,113.5,113.91,135.4,84.4,3139700,357630516.05,0,IDEA
2007-08-21,EQ,114.2,114.95,108.05,113.5,108.5,108.7,110.68,135.4,84.4,3223832,356814109.25,0,IDEA
2007-08-22,EQ,109.1,109.95,104.75,108.7,108.8,108.9,107.88,135.4,84.4,5582736,602240080.2,0,IDEA
2007-08-23,EQ,111.0,114.0,107.25,108.9,113.1,111.85,111.05,135.4,84.4,7393716,821081741.6,0,IDEA
2007-08-24,EQ,110.6,114.2,110.6,111.85,113.4,113.65,112.78,135.4,84.4,2357888,265925579.0,0,IDEA
2007-08-27,EQ,114.35,117.5,114.3,113.65,116.9,117.15,116.34,135.4,84.4,3475088,404282465.35,0,IDEA
2007-08-28,EQ,108.0,117.85,108.0,117.15,116.7,116.75,116.86,135.4,84.4,1337641,156311543.15,0,IDEA
2007-08-29,EQ,112.7,123.8,112.7,116.75,123.5,119.9,118.58,135.4,84.4,5141934,609724001.6,0,IDEA
2007-08-30,EQ,121.4,121.4,118.0,119.9,120.1,119.2,119.66,135.4,84.4,4081596,488387345.95,0,IDEA
2007-08-31,EQ,118.25,124.0,118.05,119.2,122.9,122.75,120.51,135.4,84.4,9661468,1164283980.35,0,IDEA
2007-09-03,EQ,123.25,124.2,121.15,122.75,121.2,121.6,122.22,135.4,84.4,3308716,404379388.05,0,IDEA
2007-09-04,EQ,123.4,124.45,122.0,121.6,122.25,122.35,123.01,135.4,84.4,2058511,253223093.25,0,IDEA
2007-09-05,EQ,123.0,124.8,121.55,122.35,124.25,123.75,123.14,135.4,84.4,5114323,629761528.3,0,IDEA
