date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-01-03,EQ,11.7,11.7,11.0,11.05,11.4,11.35,11.35,18.95,10.0,255560,2901022.3,0,IFCI
2000-01-04,EQ,11.5,11.7,11.0,11.35,11.25,11.1,11.15,18.95,10.0,277302,3092127.7,0,IFCI
2000-01-05,EQ,11.5,11.5,11.05,11.1,11.1,11.1,11.2,18.95,10.0,191322,2142416.9,0,IFCI
2000-01-06,EQ,11.05,11.35,10.95,11.1,11.2,11.25,11.12,18.95,10.0,196156,2182052.1,0,IFCI
2000-01-07,EQ,11.5,11.9,11.0,11.25,11.2,11.1,11.09,18.95,10.0,162210,1799556.7,0,IFCI
2000-01-10,EQ,11.0,11.15,10.8,11.1,11.0,11.0,10.97,18.95,10.0,216090,2371191.75,0,IFCI
2000-01-11,EQ,10.8,11.0,10.5,11.0,10.8,10.55,10.71,18.95,10.0,309448,3312944.9,0,IFCI
2000-01-12,EQ,9.25,10.95,9.25,10.55,10.8,10.75,10.77,18.95,10.0,82970,893746.05,0,IFCI
2000-01-13,EQ,10.8,10.9,10.5,10.75,10.75,10.6,10.66,18.95,9.25,123912,1321479.0,0,IFCI
2000-01-14,EQ,10.5,10.8,10.5,10.6,10.8,10.75,10.7,18.95,9.25,77180,825714.0,0,IFCI
2000-01-17,EQ,10.9,11.15,10.6,10.75,10.75,10.75,10.83,18.95,9.25,118110,1278743.95,0,IFCI
2000-01-18,EQ,11.1,11.1,10.6,10.75,10.75,10.65,10.69,17.15,9.25,136018,1454222.25,0,IFCI
2000-01-19,EQ,10.8,10.95,10.7,10.65,10.8,10.85,10.84,17.15,9.25,115215,1249327.0,0,IFCI
2000-01-20,EQ,10.9,11.0,10.7,10.85,10.8,10.75,10.81,17.15,9.25,130227,1407439.8,0,IFCI
2000-01-21,EQ,10.5,10.9,10.05,10.75,10.9,10.85,10.8,17.15,9.25,84540,913329.8,0,IFCI
2000-01-24,EQ,11.0,11.0,10.65,10.85,10.8,10.75,10.78,17.15,9.25,177005,1907449.75,0,IFCI
2000-01-25,EQ,10.6,10.85,10.55,10.75,10.75,10.65,10.64,17.05,9.25,161995,1724037.8,0,IFCI
2000-01-27,EQ,10.7,10.85,10.45,10.65,10.65,10.65,10.61,17.05,9.25,136710,1450161.5,0,IFCI
2000-01-28,EQ,10.35,10.95,10.35,10.65,10.7,10.75,10.77,17.05,9.25,78651,846885.3,0,IFCI
2000-01-31,EQ,10.8,10.8,10.45,10.75,10.45,10.55,10.58,17.05,9.25,86420,914234.0,0,IFCI
2000-02-01,EQ,10.4,10.7,10.25,10.55,10.4,10.45,10.45,17.05,9.25,165570,1730613.5,0,IFCI
2000-02-02,EQ,11.0,11.0,10.3,10.45,10.7,10.65,10.67,17.05,9.25,116476,1242760.6,0,IFCI
2000-02-03,EQ,10.85,10.85,10.6,10.65,10.7,10.75,10.7,17.05,9.25,102130,1092729.7,0,IFCI
2000-02-04,EQ,10.5,10.8,10.5,10.75,10.6,10.6,10.61,17.05,9.25,205605,2181976.5,0,IFCI
2000-02-07,EQ,10.6,10.7,10.5,10.6,10.65,10.6,10.61,17.05,9.25,153294,1626502.25,0,IFCI
2000-02-08,EQ,10.45,10.7,10.4,10.6,10.5,10.45,10.52,17.05,9.25,233155,2452636.0,0,IFCI
2000-02-09,EQ,10.6,12.0,10.5,10.45,11.4,11.25,11.24,17.05,9.25,415023,4665959.75,0,IFCI
2000-02-10,EQ,11.1,11.45,11.0,11.25,11.0,11.05,11.15,17.05,9.25,192452,2145485.0,0,IFCI
2000-02-11,EQ,11.15,11.25,10.75,11.05,11.15,11.1,11.0,17.05,9.25,149574,1645072.35,0,IFCI
2000-02-14,EQ,11.15,11.15,10.55,11.1,10.7,10.7,10.76,17.05,9.25,194100,2087865.0,0,IFCI
2000-02-15,EQ,10.5,10.7,10.25,10.7,10.3,10.3,10.42,17.05,9.25,267770,2790854.7,0,IFCI
2000-02-16,EQ,10.4,10.8,10.4,10.3,10.5,10.5,10.57,17.05,9.25,123100,1300780.2,0,IFCI
2000-02-17,EQ,10.55,10.65,10.4,10.5,10.6,10.55,10.51,17.05,9.25,87505,919942.5,0,IFCI
2000-02-18,EQ,10.6,10.7,10.25,10.55,10.3,10.35,10.41,17.05,9.25,124110,1291586.5,0,IFCI
2000-02-21,EQ,10.7,10.75,10.15,10.35,10.35,10.35,10.38,17.05,9.25,131141,1360794.75,0,IFCI
2000-02-22,EQ,10.2,10.3,9.8,10.35,10.1,9.95,10.06,17.05,9.25,199882,2009841.95,0,IFCI
2000-02-23,EQ,11.0,11.8,10.8,9.95,11.0,11.0,11.13,17.05,9.25,347273,3865770.35,0,IFCI
2000-02-24,EQ,10.9,11.2,10.65,11.0,10.95,10.85,10.99,17.05,9.25,177919,1954676.75,0,IFCI
2000-02-25,EQ,10.95,11.0,10.5,10.85,10.85,10.8,10.8,17.05,9.25,105712,1141217.75,0,IFCI
2000-02-28,EQ,10.95,10.95,10.4,10.8,10.5,10.6,10.65,17.05,9.25,205040,2183474.9,0,IFCI
2000-02-29,EQ,10.3,11.0,10.1,10.6,10.2,10.2,10.66,17.05,9.25,281096,2996805.4,0,IFCI
2000-03-01,EQ,10.5,10.8,10.35,10.2,10.7,10.7,10.61,17.05,9.25,67909,720747.0,0,IFCI
2000-03-02,EQ,10.75,11.25,10.6,10.7,10.65,10.7,10.93,17.05,9.25,201771,2205241.95,0,IFCI
2000-03-03,EQ,10.3,10.95,8.1,10.7,9.4,8.8,9.32,17.05,9.25,484480,4513052.25,0,IFCI
2000-03-06,EQ,9.5,10.0,9.0,8.8,9.4,9.4,9.35,17.05,8.1,216650,2025667.5,0,IFCI
2000-03-07,EQ,9.5,9.5,9.05,9.4,9.2,9.1,9.17,17.05,8.1,220700,2023720.5,0,IFCI
2000-03-08,EQ,9.35,9.45,9.0,9.1,9.4,9.35,9.21,17.05,8.1,122800,1130870.0,0,IFCI
2000-03-09,EQ,11.0,11.0,9.15,9.35,9.35,9.3,9.32,17.05,8.1,64701,603116.95,0,IFCI
2000-03-10,EQ,9.1,9.5,9.05,9.3,9.2,9.15,9.22,17.05,8.1,78213,720978.8,0,IFCI
2000-03-13,EQ,9.0,9.4,8.8,9.15,8.95,8.95,9.08,17.05,8.1,204741,1859137.35,0,IFCI
2000-03-14,EQ,8.9,9.05,8.6,8.95,9.0,8.9,8.86,17.05,8.1,160263,1419342.8,0,IFCI
2000-03-15,EQ,8.15,11.4,8.15,8.9,10.4,10.35,10.13,17.05,8.1,227551,2305512.7,0,IFCI
2000-03-16,EQ,10.6,10.6,9.5,10.35,9.75,9.75,9.75,17.05,8.1,86799,846294.7,0,IFCI
2000-03-21,EQ,9.4,9.75,9.1,9.75,9.1,9.2,9.32,17.05,8.1,237958,2217969.35,0,IFCI
2000-03-22,EQ,7.5,9.4,7.5,9.2,9.4,9.35,9.29,17.05,8.1,40851,379530.5,0,IFCI
2000-03-23,EQ,9.0,9.4,8.9,9.35,9.1,9.15,9.15,17.05,7.5,50020,457540.0,0,IFCI
2000-03-24,EQ,9.2,9.25,9.0,9.15,9.0,9.05,9.07,17.05,7.5,43651,395977.5,0,IFCI
2000-03-27,EQ,9.0,9.3,8.85,9.05,8.95,8.95,8.98,17.05,7.5,50190,450474.05,0,IFCI
2000-03-28,EQ,9.0,9.0,8.65,8.95,8.9,8.9,8.84,17.05,7.5,92310,816048.75,0,IFCI
2000-03-29,EQ,13.0,13.0,8.0,8.9,8.95,8.9,8.97,17.05,7.5,71670,643051.7,0,IFCI
2000-03-30,EQ,8.95,9.0,8.7,8.9,8.95,8.95,8.92,17.05,7.5,47421,422791.9,0,IFCI
2000-03-31,EQ,9.0,9.0,8.65,8.95,8.95,8.85,8.84,17.05,7.5,70151,620178.4,0,IFCI
2000-04-03,EQ,9.15,9.4,8.8,8.85,9.1,9.1,9.07,17.05,7.5,45700,414552.2,0,IFCI
2000-04-04,EQ,8.8,8.95,8.4,9.1,8.5,8.5,8.62,17.05,7.5,219773,1893668.65,0,IFCI
2000-04-05,EQ,9.0,9.1,8.7,8.5,8.95,8.95,8.92,17.05,7.5,38750,345695.6,0,IFCI
2000-04-06,EQ,9.1,9.1,8.6,8.95,8.85,8.8,8.72,17.05,7.5,40400,352320.0,0,IFCI
2000-04-07,EQ,8.65,9.0,8.6,8.8,8.85,8.85,8.81,17.05,7.5,47950,422527.8,0,IFCI
2000-04-10,EQ,8.8,9.0,8.7,8.85,8.95,8.9,8.86,17.05,7.5,54501,482998.9,0,IFCI
2000-04-11,EQ,8.65,9.0,8.5,8.9,8.9,8.75,8.78,17.05,7.5,65700,576953.6,0,IFCI
2000-04-12,EQ,8.8,8.9,8.65,8.75,8.7,8.75,8.77,17.05,7.5,38710,339498.0,0,IFCI
2000-04-13,EQ,8.6,8.9,8.5,8.75,8.7,8.75,8.73,17.05,7.5,35000,305620.0,0,IFCI
2000-04-17,EQ,8.5,8.6,8.4,8.75,8.5,8.45,8.5,17.05,7.5,51500,437680.0,0,IFCI
2000-04-18,EQ,8.5,8.55,8.25,8.45,8.45,8.45,8.44,17.05,7.5,90360,762943.75,0,IFCI
2000-04-19,EQ,8.6,8.9,8.35,8.45,8.45,8.45,8.51,17.05,7.5,57950,492950.0,0,IFCI
2000-04-20,EQ,8.55,8.55,8.05,8.45,8.4,8.35,8.23,17.05,7.5,116900,961809.7,0,IFCI
2000-04-24,EQ,8.0,8.35,8.0,8.35,8.1,8.1,8.17,17.05,7.5,38291,312912.65,0,IFCI
2000-04-25,EQ,8.0,8.15,7.55,8.1,7.8,7.85,7.81,17.05,7.5,130600,1020147.0,0,IFCI
2000-04-26,EQ,8.15,8.2,8.0,7.85,8.1,8.1,8.05,17.05,7.5,58910,474475.0,0,IFCI
2000-04-27,EQ,8.15,8.15,7.85,8.1,7.85,7.85,8.03,17.05,7.5,35700,286542.5,0,IFCI
2000-04-28,EQ,8.05,8.1,7.75,7.85,7.95,7.85,7.92,17.05,7.5,38190,302580.0,0,IFCI
2000-05-02,EQ,8.0,8.0,7.6,7.85,7.6,7.65,7.74,17.05,7.5,78490,607432.5,0,IFCI
2000-05-03,EQ,11.4,11.4,7.3,7.65,7.7,7.75,7.74,17.05,7.5,37703,291758.9,0,IFCI
2000-05-04,EQ,7.95,8.2,7.85,7.75,8.1,8.1,8.02,17.05,7.3,25519,204786.5,0,IFCI
2000-05-05,EQ,9.4,9.4,7.8,8.1,8.0,7.9,8.02,17.05,7.3,49801,399389.35,0,IFCI
2000-05-08,EQ,7.85,8.1,7.85,7.9,8.0,8.0,7.97,17.05,7.3,41313,329332.85,0,IFCI
2000-05-09,EQ,8.0,8.15,7.9,8.0,8.0,8.0,7.99,17.05,7.3,44000,351566.25,0,IFCI
2000-05-10,EQ,8.0,8.0,7.7,8.0,7.95,7.9,7.89,17.05,7.3,36401,287207.9,0,IFCI
2000-05-11,EQ,8.0,8.0,7.65,7.9,7.85,7.75,7.8,17.05,7.3,34256,267117.35,0,IFCI
2000-05-12,EQ,8.0,8.0,7.7,7.75,7.75,7.75,7.79,17.05,7.3,21300,165822.2,0,IFCI
2000-05-15,EQ,7.55,7.75,6.8,7.75,7.5,7.55,7.32,17.05,7.3,60650,444065.0,0,IFCI
2000-05-16,EQ,7.5,7.7,7.25,7.55,7.3,7.35,7.43,17.05,6.8,44348,329437.45,0,IFCI
2000-05-17,EQ,7.9,7.9,7.35,7.35,7.45,7.35,7.55,17.05,6.8,43831,330837.85,0,IFCI
2000-05-18,EQ,7.35,7.5,7.3,7.35,7.4,7.4,7.39,17.05,6.8,56740,419526.0,0,IFCI
2000-05-19,EQ,7.45,7.5,7.25,7.4,7.3,7.4,7.33,17.05,6.8,59300,434575.0,0,IFCI
2000-05-22,EQ,7.1,7.35,7.05,7.4,7.2,7.2,7.13,17.05,6.8,38140,272091.65,0,IFCI
2000-05-23,EQ,7.1,7.2,6.95,7.2,7.1,7.1,7.06,16.65,6.8,95325,673405.0,0,IFCI
2000-05-24,EQ,7.5,7.5,7.05,7.1,7.15,7.1,7.14,16.65,6.8,51920,370842.75,0,IFCI
2000-05-25,EQ,7.0,7.2,7.0,7.1,7.05,7.1,7.11,16.65,6.8,57836,411279.1,0,IFCI
2000-05-26,EQ,7.1,7.2,7.05,7.1,7.2,7.2,7.14,16.65,6.8,40000,285765.0,0,IFCI
2000-05-29,EQ,7.2,7.25,7.0,7.2,7.2,7.2,7.16,16.65,6.8,41300,295615.0,0,IFCI
2000-05-30,EQ,7.05,7.3,7.05,7.2,7.2,7.2,7.19,16.65,6.8,79382,570426.6,0,IFCI
2000-05-31,EQ,7.9,7.9,7.25,7.2,7.4,7.4,7.44,16.65,6.8,1095611,8154069.3,0,IFCI
2000-06-01,EQ,7.25,7.5,7.1,7.4,7.2,7.15,7.25,16.65,6.8,84518,612868.9,0,IFCI
2000-06-02,EQ,7.45,7.45,7.1,7.15,7.15,7.15,7.17,16.65,6.8,90800,651355.0,0,IFCI
2000-06-05,EQ,7.85,7.85,7.15,7.15,7.15,7.2,7.36,16.65,6.8,236872,1743520.1,0,IFCI
2000-06-06,EQ,7.25,7.25,7.1,7.2,7.25,7.2,7.21,16.65,6.8,112376,809876.9,0,IFCI
2000-06-07,EQ,7.65,7.65,7.15,7.2,7.25,7.3,7.31,16.65,6.8,95700,699440.0,0,IFCI
2000-06-08,EQ,7.1,7.7,7.1,7.3,7.45,7.45,7.35,16.65,6.8,143895,1057480.9,0,IFCI
2000-06-09,EQ,7.3,7.6,7.25,7.45,7.4,7.35,7.4,16.65,6.8,102906,761334.55,0,IFCI
2000-06-12,EQ,7.2,7.5,7.1,7.35,7.3,7.2,7.29,16.65,6.8,134760,982856.7,0,IFCI
2000-06-13,EQ,7.2,7.3,7.1,7.2,7.15,7.2,7.18,16.65,6.8,106599,765373.65,0,IFCI
2000-06-14,EQ,7.4,7.4,7.2,7.2,7.35,7.35,7.27,16.65,6.8,60850,442562.5,0,IFCI
2000-06-15,EQ,7.35,7.4,7.2,7.35,7.35,7.35,7.29,16.65,6.8,65600,477924.9,0,IFCI
2000-06-16,EQ,7.25,7.35,7.2,7.35,7.3,7.3,7.29,16.65,6.8,54556,397601.4,0,IFCI
2000-06-19,EQ,7.3,7.3,7.15,7.3,7.15,7.15,7.25,16.65,6.8,29350,212664.95,0,IFCI
2000-06-20,EQ,7.3,7.4,7.1,7.15,7.3,7.25,7.22,16.65,6.8,97470,703546.5,0,IFCI
2000-06-21,EQ,7.5,7.6,7.1,7.25,7.35,7.25,7.25,16.65,6.8,57374,416184.75,0,IFCI
2000-06-22,EQ,7.3,7.4,7.1,7.25,7.2,7.2,7.22,16.65,6.8,41939,302715.75,0,IFCI
2000-06-23,EQ,7.3,7.5,7.15,7.2,7.3,7.15,7.26,16.65,6.8,34727,252274.4,0,IFCI
2000-06-26,EQ,7.2,7.3,7.05,7.15,7.15,7.15,7.11,16.65,6.8,57154,406545.8,0,IFCI
2000-06-27,EQ,7.05,7.15,6.95,7.15,7.0,7.0,7.03,16.65,6.8,69350,487391.5,0,IFCI
2000-06-28,EQ,7.0,7.15,7.0,7.0,7.05,7.1,7.1,16.65,6.8,36100,256415.0,0,IFCI
