date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2024-09-27,EQ,290.75,331.8,281.5,278.75,292.0,292.6,308.78,331.8,281.5,119164,36795031.2,4170,INDOUS
2024-09-30,EQ,302.0,320.0,282.05,292.6,297.9,294.35,304.87,331.8,281.5,86663,26421140.85,3801,INDOUS
2024-10-01,EQ,294.5,309.65,294.5,294.35,309.0,305.65,302.7,331.8,281.5,19878,6017001.3,2802,INDOUS
2024-10-03,EQ,304.8,311.45,286.5,305.65,292.6,289.55,294.58,331.8,281.5,56684,16697878.0,2732,INDOUS
2024-10-04,EQ,292.7,299.6,281.0,289.55,285.0,282.85,289.47,331.8,281.0,13410,3881758.5,2228,INDOUS
2024-10-07,EQ,278.5,289.7,270.0,282.85,270.0,270.45,278.33,331.8,270.0,12386,3447389.0,2330,INDOUS
2024-10-08,EQ,271.05,277.7,263.25,270.45,263.25,267.1,269.95,331.8,263.25,3171,856013.0,457,INDOUS
2024-10-09,EQ,274.45,276.95,259.3,267.1,268.55,262.15,265.3,331.8,259.3,9277,2461188.45,1616,INDOUS
2024-10-10,EQ,274.4,274.4,259.4,262.15,267.0,264.9,265.27,331.8,259.3,4043,1072470.8,872,INDOUS
2024-10-11,EQ,257.25,269.4,253.65,264.9,260.85,265.3,264.24,331.8,253.65,3386,894714.5,624,INDOUS
2024-10-14,EQ,259.95,286.0,259.95,265.3,268.5,269.55,272.11,331.8,253.65,12731,3464270.0,1074,INDOUS
2024-10-15,EQ,281.4,281.65,265.3,269.55,265.4,266.4,267.85,331.8,253.65,9739,2608563.25,630,INDOUS
2024-10-16,EQ,267.75,271.8,260.0,266.4,260.0,261.15,266.04,331.8,253.65,3119,829793.85,552,INDOUS
2024-10-17,EQ,273.4,273.5,252.0,261.15,256.55,259.2,262.04,331.8,252.0,1689,442592.65,335,INDOUS
2024-10-18,EQ,257.05,268.3,250.0,259.2,254.55,254.85,255.25,331.8,250.0,2583,659302.95,333,INDOUS
2024-10-21,EQ,254.25,267.4,253.8,254.85,260.0,260.25,259.35,331.8,250.0,2808,728263.1,190,INDOUS
2024-10-22,EQ,261.6,263.95,222.0,260.25,254.8,255.45,255.57,331.8,222.0,15051,3846576.0,441,INDOUS
2024-10-23,EQ,248.4,249.0,227.8,255.45,228.0,233.55,238.35,331.8,222.0,6549,1560961.05,449,INDOUS
2024-10-24,EQ,229.05,239.0,224.9,233.55,230.0,229.1,231.95,331.8,222.0,7543,1749610.45,1767,INDOUS
2024-10-25,EQ,234.95,237.95,225.05,229.1,225.5,227.25,229.76,331.8,222.0,8248,1895083.2,2219,INDOUS
2024-10-28,EQ,249.0,249.0,228.0,227.25,235.9,236.2,241.56,331.8,222.0,26189,6326139.25,1661,INDOUS
2024-10-29,EQ,238.0,249.0,236.05,236.2,244.8,244.3,243.95,331.8,222.0,7586,1850583.4,1221,INDOUS
2024-10-30,EQ,288.9,288.9,255.0,244.3,272.9,260.85,265.16,331.8,222.0,54060,14334690.4,2677,INDOUS
2024-10-31,EQ,271.0,278.0,265.2,260.85,269.25,267.8,269.42,331.8,222.0,6906,1860587.15,672,INDOUS
