date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-01-03,EQ,127.0,134.5,127.0,111.75,132.0,132.0,130.37,165.0,30.5,1500,195550.0,0,JAYAGROGN
2000-01-04,EQ,135.0,142.6,135.0,132.0,135.0,135.0,138.47,165.0,30.5,1400,193855.0,0,JAYAGROGN
2000-01-05,EQ,139.0,145.7,139.0,135.0,145.0,145.0,142.35,165.0,30.5,1700,241995.0,0,JAYAGROGN
2000-01-06,EQ,147.0,156.5,147.0,145.0,156.5,155.25,153.12,165.0,30.5,4200,643090.0,0,JAYAGROGN
2000-01-07,EQ,166.0,166.0,160.0,155.25,160.0,160.0,161.1,165.0,30.5,4300,692710.0,0,JAYAGROGN
2000-01-10,EQ,161.0,170.0,161.0,160.0,165.0,164.95,164.02,166.0,30.5,4800,787280.0,0,JAYAGROGN
2000-01-11,EQ,178.0,178.0,168.0,164.95,171.0,171.0,173.21,170.0,30.5,2600,450340.0,0,JAYAGROGN
2000-01-12,EQ,182.0,184.0,171.5,171.0,175.0,175.0,177.11,178.0,30.5,2300,407360.0,0,JAYAGROGN
2000-01-13,EQ,172.5,183.0,170.0,175.0,175.0,175.0,178.32,184.0,30.5,4600,820275.0,0,JAYAGROGN
2000-01-14,EQ,166.3,173.5,165.0,175.0,168.0,166.75,167.41,184.0,30.5,2900,485490.0,0,JAYAGROGN
2000-01-17,EQ,172.0,172.0,160.0,166.75,160.25,160.55,164.34,184.0,30.5,1400,230080.0,0,JAYAGROGN
2000-01-18,EQ,165.0,165.0,155.0,160.55,165.0,161.0,159.21,184.0,30.5,1100,175130.0,0,JAYAGROGN
2000-01-19,EQ,172.0,173.8,168.0,161.0,173.8,173.8,171.76,184.0,30.5,1200,206110.0,0,JAYAGROGN
2000-01-20,EQ,173.8,181.0,170.0,173.8,170.0,170.85,173.29,184.0,30.5,1400,242610.0,0,JAYAGROGN
2000-01-21,EQ,170.0,180.0,170.0,170.85,180.0,180.0,177.15,184.0,30.5,2000,354290.0,0,JAYAGROGN
2000-01-24,EQ,182.5,194.4,182.5,180.0,194.4,194.4,189.88,184.0,30.5,1900,360780.0,0,JAYAGROGN
2000-01-25,EQ,200.0,209.95,200.0,194.4,204.9,204.9,206.45,194.4,30.5,1700,350970.0,0,JAYAGROGN
2000-01-27,EQ,211.0,221.3,211.0,204.9,221.3,221.3,219.3,209.95,30.5,9500,2083390.0,0,JAYAGROGN
2000-01-28,EQ,239.0,239.0,231.0,221.3,239.0,237.75,238.11,221.3,30.5,15700,3738400.0,0,JAYAGROGN
2000-01-31,EQ,256.5,256.5,238.0,237.75,239.0,243.15,243.79,239.0,30.5,13400,3266795.0,0,JAYAGROGN
2000-02-01,EQ,250.0,255.8,241.0,243.15,250.0,247.35,247.17,256.5,30.5,6300,1557145.0,0,JAYAGROGN
2000-02-02,EQ,252.0,267.15,252.0,247.35,267.15,267.15,262.36,256.5,30.5,6300,1652855.0,0,JAYAGROGN
2000-02-03,EQ,280.0,288.55,276.5,267.15,288.35,288.55,286.07,267.15,30.5,8000,2288545.0,0,JAYAGROGN
2000-02-04,EQ,306.0,311.65,304.9,288.55,311.65,311.65,310.09,288.55,30.5,5400,1674480.0,0,JAYAGROGN
2000-02-07,EQ,333.8,336.6,333.7,311.65,336.6,336.6,335.26,311.65,30.5,3000,1005780.0,0,JAYAGROGN
2000-02-08,EQ,363.5,363.55,363.5,336.6,363.55,363.55,363.52,336.6,30.5,4900,1781250.0,0,JAYAGROGN
2000-02-09,EQ,392.65,392.65,392.65,363.55,392.65,392.65,392.65,363.55,30.5,1200,471180.0,0,JAYAGROGN
2000-02-10,EQ,424.05,424.05,370.0,392.65,421.0,415.3,410.11,392.65,30.5,22100,9063400.0,0,JAYAGROGN
2000-02-11,EQ,400.0,439.0,385.0,415.3,393.9,387.8,410.18,424.05,30.5,6900,2830260.0,0,JAYAGROGN
2000-02-14,EQ,385.1,385.1,356.8,387.8,365.0,360.7,361.43,439.0,30.5,5100,1843290.0,0,JAYAGROGN
2000-02-15,EQ,389.6,389.6,333.0,360.7,333.0,340.5,369.34,439.0,30.5,18900,6980605.0,0,JAYAGROGN
2000-02-16,EQ,350.0,367.75,349.0,340.5,367.75,367.75,364.29,439.0,30.5,10500,3825040.0,0,JAYAGROGN
2000-02-17,EQ,371.0,384.5,367.5,367.75,373.0,373.05,374.19,439.0,30.5,7600,2843820.0,0,JAYAGROGN
2000-02-18,EQ,365.0,387.0,363.0,373.05,373.0,372.4,374.52,439.0,30.5,8300,3108475.0,0,JAYAGROGN
2000-02-21,EQ,369.0,402.0,360.0,372.4,402.0,391.1,379.29,439.0,30.5,24700,9368455.0,0,JAYAGROGN
2000-02-22,EQ,409.0,422.4,390.0,391.1,422.4,422.4,421.19,439.0,30.5,62200,26198235.0,0,JAYAGROGN
2000-02-23,EQ,456.2,456.2,456.2,422.4,456.2,456.2,456.2,439.0,30.5,2900,1322980.0,0,JAYAGROGN
2000-02-24,EQ,492.4,492.4,440.1,456.2,468.05,475.6,463.79,456.2,30.5,15300,7096040.0,0,JAYAGROGN
2000-02-25,EQ,480.0,490.0,460.0,475.6,460.0,460.0,476.09,492.4,30.5,1900,904580.0,0,JAYAGROGN
2000-02-28,EQ,460.0,480.0,440.0,460.0,455.0,460.35,453.89,492.4,30.5,6700,3041090.0,0,JAYAGROGN
2000-02-29,EQ,460.0,465.0,425.05,460.35,425.2,431.7,446.23,492.4,30.5,7200,3212845.0,0,JAYAGROGN
2000-03-01,EQ,401.0,449.0,401.0,431.7,447.2,440.05,434.13,492.4,30.5,4400,1910175.0,0,JAYAGROGN
2000-03-02,EQ,450.0,470.0,450.0,440.05,465.0,465.6,458.95,492.4,30.5,2800,1285070.0,0,JAYAGROGN
2000-03-03,EQ,437.0,470.0,437.0,465.6,445.0,445.5,455.1,492.4,30.5,1000,455100.0,0,JAYAGROGN
2000-03-06,EQ,445.0,450.0,435.0,445.5,435.0,435.0,441.78,492.4,30.5,1400,618490.0,0,JAYAGROGN
2000-03-07,EQ,426.0,426.0,400.2,435.0,400.2,400.2,404.3,492.4,30.5,3100,1253340.0,0,JAYAGROGN
2000-03-08,EQ,400.2,419.0,375.0,400.2,375.1,375.1,389.42,492.4,30.5,4700,1830280.0,0,JAYAGROGN
2000-03-09,EQ,360.0,360.0,348.0,375.1,350.0,350.0,355.57,492.4,30.5,700,248900.0,0,JAYAGROGN
2000-03-10,EQ,322.0,345.0,322.0,350.0,345.0,345.0,329.67,492.4,30.5,300,98900.0,0,JAYAGROGN
2000-03-13,EQ,321.0,339.0,320.0,345.0,320.0,320.0,324.55,492.4,30.5,1300,421910.0,0,JAYAGROGN
2000-03-14,EQ,318.0,318.0,294.5,320.0,294.5,294.5,300.38,492.4,30.5,400,120150.0,0,JAYAGROGN
2000-03-15,EQ,273.0,290.0,273.0,294.5,290.0,290.0,281.77,492.4,30.5,1300,366300.0,0,JAYAGROGN
2000-03-16,EQ,280.0,280.0,267.0,290.0,279.0,279.0,274.13,492.4,30.5,800,219300.0,0,JAYAGROGN
2000-03-22,EQ,285.0,285.0,256.7,279.0,256.7,256.7,267.5,492.4,30.5,1200,320995.0,0,JAYAGROGN
2000-03-23,EQ,255.0,255.0,238.0,256.7,238.0,238.0,244.33,492.4,30.5,300,73300.0,0,JAYAGROGN
2000-03-24,EQ,225.0,231.0,225.0,238.0,231.0,231.0,228.67,492.4,30.5,300,68600.0,0,JAYAGROGN
2000-03-27,EQ,230.0,230.0,230.0,231.0,230.0,230.0,230.0,492.4,30.5,100,23000.0,0,JAYAGROGN
2000-03-28,EQ,212.5,248.0,212.5,230.0,248.0,248.0,235.58,492.4,30.5,2500,588950.0,0,JAYAGROGN
2000-03-29,EQ,265.0,265.0,250.0,248.0,254.0,254.0,255.6,492.4,30.5,1500,383400.0,0,JAYAGROGN
2000-03-30,EQ,235.0,244.0,235.0,254.0,244.0,244.0,241.0,492.4,30.5,600,144600.0,0,JAYAGROGN
2000-03-31,EQ,227.0,245.0,225.0,244.0,245.0,245.0,233.0,492.4,30.5,800,186400.0,0,JAYAGROGN
2000-04-03,EQ,264.4,264.4,241.0,245.0,247.0,247.6,252.98,492.4,30.5,1600,404765.0,0,JAYAGROGN
2000-04-04,EQ,229.1,229.1,227.8,247.6,227.8,228.25,228.32,492.4,30.5,1000,228320.0,0,JAYAGROGN
2000-04-05,EQ,224.0,224.0,220.0,228.25,220.0,220.0,221.72,492.4,30.5,1000,221720.0,0,JAYAGROGN
2000-04-06,EQ,225.0,225.0,225.0,220.0,225.0,225.0,225.0,492.4,30.5,100,22500.0,0,JAYAGROGN
2000-04-07,EQ,238.9,242.0,238.9,225.0,242.0,241.9,240.15,492.4,30.5,500,120075.0,0,JAYAGROGN
2000-04-10,EQ,259.0,259.0,259.0,241.9,259.0,259.0,259.0,492.4,30.5,200,51800.0,0,JAYAGROGN
2000-04-11,EQ,257.0,275.0,256.0,259.0,275.0,275.0,259.92,492.4,30.5,1200,311900.0,0,JAYAGROGN
2000-04-12,EQ,281.0,292.0,281.0,275.0,292.0,292.0,286.5,492.4,30.5,200,57300.0,0,JAYAGROGN
2000-04-13,EQ,295.0,311.0,282.0,292.0,297.0,297.0,291.58,492.4,30.5,600,174950.0,0,JAYAGROGN
2000-04-17,EQ,288.0,288.0,284.0,297.0,284.0,284.0,286.0,492.4,30.5,200,57200.0,0,JAYAGROGN
2000-04-19,EQ,296.0,301.0,271.0,284.0,289.5,289.5,289.48,492.4,30.5,1200,347370.0,0,JAYAGROGN
2000-04-20,EQ,297.95,310.0,297.95,289.5,304.95,302.3,301.88,492.4,30.5,900,271690.0,0,JAYAGROGN
2000-04-24,EQ,305.0,305.0,305.0,302.3,305.0,305.0,305.0,492.4,30.5,100,30500.0,0,JAYAGROGN
2000-04-25,EQ,281.5,281.5,281.0,305.0,281.0,281.0,281.17,492.4,30.5,300,84350.0,0,JAYAGROGN
2000-04-26,EQ,298.0,303.0,281.0,281.0,281.0,281.0,299.77,492.4,30.5,2200,659485.0,0,JAYAGROGN
2000-04-27,EQ,261.0,261.0,261.0,281.0,261.0,261.0,261.0,492.4,30.5,200,52200.0,0,JAYAGROGN
2000-04-28,EQ,270.0,270.0,260.0,261.0,260.0,260.0,263.33,492.4,30.5,300,79000.0,0,JAYAGROGN
2000-05-02,EQ,240.1,240.1,239.25,260.0,239.25,239.25,239.78,492.4,30.5,300,71935.0,0,JAYAGROGN
2000-05-03,EQ,225.0,225.0,225.0,239.25,225.0,225.0,225.0,492.4,30.5,100,22500.0,0,JAYAGROGN
2000-05-04,EQ,225.0,238.0,217.0,225.0,237.5,237.5,229.38,492.4,30.5,400,91750.0,0,JAYAGROGN
2000-05-05,EQ,220.0,250.0,220.0,237.5,250.0,250.0,235.0,492.4,30.5,200,47000.0,0,JAYAGROGN
2000-05-08,EQ,250.0,270.0,245.0,250.0,245.0,245.0,255.83,492.4,30.5,600,153500.0,0,JAYAGROGN
2000-05-09,EQ,228.0,228.0,228.0,245.0,228.0,228.0,228.0,492.4,30.5,100,22800.0,0,JAYAGROGN
2000-05-10,EQ,243.0,243.0,243.0,228.0,243.0,243.0,243.0,492.4,30.5,500,121500.0,0,JAYAGROGN
2000-05-15,EQ,262.0,262.0,262.0,243.0,262.0,262.0,262.0,492.4,30.5,100,26200.0,0,JAYAGROGN
2000-05-17,EQ,241.05,280.0,241.05,262.0,280.0,280.0,254.03,492.4,30.5,300,76210.0,0,JAYAGROGN
2000-05-25,EQ,257.6,257.6,257.6,280.0,257.6,257.6,257.6,492.4,30.5,600,154560.0,0,JAYAGROGN
2000-05-30,EQ,237.0,237.0,237.0,257.6,237.0,237.0,237.0,492.4,30.5,400,94800.0,0,JAYAGROGN
2000-06-07,EQ,210.0,210.0,210.0,237.0,210.0,210.0,210.0,492.4,30.5,100,21000.0,0,JAYAGROGN
2000-06-09,EQ,195.0,201.0,195.0,210.0,201.0,201.0,198.6,492.4,30.5,500,99300.0,0,JAYAGROGN
2000-06-14,EQ,217.0,217.0,217.0,201.0,217.0,217.0,217.0,492.4,37.3,100,21700.0,0,JAYAGROGN
2000-06-15,EQ,225.0,225.0,225.0,217.0,225.0,225.0,225.0,492.4,37.3,100,22500.0,0,JAYAGROGN
2000-06-16,EQ,207.0,207.0,207.0,225.0,207.0,207.0,207.0,492.4,37.3,200,41400.0,0,JAYAGROGN
2000-06-20,EQ,205.0,205.0,205.0,207.0,205.0,205.0,205.0,492.4,37.3,100,20500.0,0,JAYAGROGN
2000-06-21,EQ,219.0,221.4,219.0,205.0,221.4,221.4,220.2,492.4,37.3,2000,440400.0,0,JAYAGROGN
2000-06-26,EQ,215.0,215.0,215.0,221.4,215.0,215.0,215.0,492.4,37.3,100,21500.0,0,JAYAGROGN
2000-06-28,EQ,201.0,201.0,201.0,215.0,201.0,201.0,201.0,492.4,37.3,200,40200.0,0,JAYAGROGN
2000-06-29,EQ,200.0,200.0,190.0,201.0,190.0,190.0,195.0,492.4,37.3,200,39000.0,0,JAYAGROGN
2000-06-30,EQ,200.0,200.0,200.0,190.0,200.0,200.0,200.0,492.4,37.3,2000,400000.0,0,JAYAGROGN
