date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2023-09-04,EQ,255.3,266.95,249.0,245.15,254.65,253.45,256.95,266.95,249.0,99246736,25501531017.55,774466,JIOFIN
2023-09-05,EQ,257.0,260.0,253.0,253.45,255.3,255.05,256.91,266.95,249.0,47127078,12107342857.05,361296,JIOFIN
2023-09-06,EQ,247.0,259.8,246.05,255.05,253.75,252.85,252.2,266.95,246.05,225413157,56848829290.55,634106,JIOFIN
2023-09-07,EQ,252.0,257.3,251.25,252.85,252.7,251.8,253.96,266.95,246.05,43856832,11137720945.45,337076,JIOFIN
2023-09-08,EQ,254.0,255.0,249.5,251.8,253.5,253.2,252.58,266.95,246.05,36090005,9115723140.4,264191,JIOFIN
2023-09-11,EQ,256.95,257.7,250.0,253.2,250.05,250.15,252.22,266.95,246.05,24982858,6301223367.1,226553,JIOFIN
2023-09-12,EQ,251.75,252.0,240.9,250.15,244.0,244.25,246.21,266.95,240.9,39500716,9725522530.4,257463,JIOFIN
2023-09-13,EQ,244.8,247.8,236.6,244.25,241.0,240.2,241.39,266.95,236.6,27810990,6713336513.55,219521,JIOFIN
2023-09-14,EQ,242.0,244.55,241.25,240.2,242.85,242.55,242.68,266.95,236.6,14055236,3410933151.45,169150,JIOFIN
2023-09-15,EQ,243.8,244.65,237.65,242.55,239.4,239.4,240.6,266.95,236.6,27416106,6596370879.4,172549,JIOFIN
2023-09-18,EQ,240.0,240.85,232.1,239.4,233.6,233.2,235.92,266.95,232.1,24694419,5825970990.55,243174,JIOFIN
2023-09-20,EQ,230.4,232.0,229.0,233.2,229.95,229.65,230.06,266.95,229.0,18317607,4214193237.85,252513,JIOFIN
2023-09-21,EQ,230.0,235.6,226.8,229.65,227.7,227.65,230.68,266.95,226.8,33101551,7635895847.0,178122,JIOFIN
2023-09-22,EQ,227.95,232.25,226.35,227.65,228.2,227.8,228.23,266.95,226.35,38327554,8747308323.55,160047,JIOFIN
2023-09-25,EQ,230.0,230.85,227.5,227.8,229.25,229.75,229.26,266.95,226.35,13392150,3070285682.85,121802,JIOFIN
2023-09-26,EQ,231.1,231.7,230.0,229.75,230.7,230.4,230.72,266.95,226.35,8058261,1859209473.4,89985,JIOFIN
2023-09-27,EQ,231.2,231.2,227.0,230.4,227.3,227.35,227.92,266.95,226.35,10984321,2503591878.7,113266,JIOFIN
2023-09-28,EQ,228.0,228.85,224.75,227.35,225.0,225.05,225.88,266.95,224.75,9143582,2065393914.95,133113,JIOFIN
2023-09-29,EQ,225.9,232.9,225.0,225.05,231.0,231.2,229.48,266.95,224.75,12411231,2848132582.75,106913,JIOFIN
2023-10-03,EQ,231.5,233.9,230.55,231.2,231.1,231.4,232.08,266.95,224.75,13185432,3060042923.95,130173,JIOFIN
2023-10-04,EQ,230.0,230.0,223.5,231.4,224.6,224.65,225.73,266.95,223.5,23296548,5258653311.3,214101,JIOFIN
2023-10-05,EQ,225.9,227.9,224.2,224.65,225.05,225.4,225.86,266.95,223.5,13894930,3138324939.35,117800,JIOFIN
2023-10-06,EQ,226.5,227.65,223.7,225.4,225.3,225.1,225.14,266.95,223.5,7531900,1695696195.6,87525,JIOFIN
2023-10-09,EQ,223.0,223.0,218.85,225.1,219.55,219.65,220.48,266.95,218.85,9696908,2137994880.85,134087,JIOFIN
2023-10-10,EQ,221.0,223.9,219.75,219.65,220.9,220.15,221.56,266.95,218.85,10451289,2315633297.25,122564,JIOFIN
2023-10-11,EQ,222.0,227.7,220.6,220.15,226.35,225.1,223.33,266.95,218.85,11765082,2627510955.95,122758,JIOFIN
2023-10-12,EQ,227.0,227.4,224.75,225.1,224.9,225.15,225.79,266.95,218.85,7780605,1756810469.1,68271,JIOFIN
2023-10-13,EQ,224.0,225.9,222.0,225.15,223.9,224.55,223.67,266.95,218.85,10137218,2267388878.3,94521,JIOFIN
2023-10-16,EQ,224.9,225.95,224.0,224.55,224.85,224.8,224.65,266.95,218.85,10850724,2437634805.6,110054,JIOFIN
2023-10-17,EQ,231.5,233.0,220.5,224.8,221.4,220.95,225.31,266.95,218.85,34190044,7703223803.65,284116,JIOFIN
2023-10-18,EQ,221.6,222.9,215.55,220.95,216.4,216.0,217.98,266.95,215.55,27712062,6040684686.25,296269,JIOFIN
2023-10-19,EQ,216.0,216.0,209.05,216.0,214.6,214.2,212.21,266.95,209.05,42127110,8939950079.85,357319,JIOFIN
2023-10-20,EQ,215.5,217.0,213.0,214.2,214.0,214.2,214.74,266.95,209.05,11101464,2383950893.75,143906,JIOFIN
2023-10-23,EQ,214.0,214.2,204.25,214.2,205.0,206.6,209.47,266.95,204.25,17817781,3732242743.6,203604,JIOFIN
2023-10-25,EQ,206.6,211.8,206.5,206.6,210.5,210.15,209.94,266.95,204.25,22079260,4635407900.05,166872,JIOFIN
2023-10-26,EQ,208.0,217.0,206.45,210.15,216.4,215.85,213.01,266.95,204.25,23734035,5055622275.15,186464,JIOFIN
2023-10-27,EQ,219.6,225.6,216.45,215.85,224.5,222.9,220.67,266.95,204.25,20929447,4618585111.4,144370,JIOFIN
2023-10-30,EQ,224.5,226.2,218.15,222.9,219.0,219.0,221.54,266.95,204.25,13508666,2992699190.6,119457,JIOFIN
2023-10-31,EQ,222.0,223.2,215.55,219.0,218.15,219.0,217.88,266.95,204.25,17538202,3821216553.95,155761,JIOFIN
2023-11-01,EQ,216.0,222.05,215.3,219.0,216.0,217.65,217.43,266.95,204.25,15862624,3448941736.0,129701,JIOFIN
2023-11-02,EQ,218.5,219.6,216.7,217.65,217.0,217.35,217.63,266.95,204.25,13261567,2886171066.0,96526,JIOFIN
2023-11-03,EQ,219.0,220.65,217.65,217.35,219.1,219.05,219.05,266.95,204.25,8569115,1877023702.65,65311,JIOFIN
2023-11-06,EQ,220.4,220.7,216.75,219.05,217.1,217.15,218.03,266.95,204.25,11494092,2506050342.6,120203,JIOFIN
2023-11-07,EQ,217.9,218.8,216.5,217.15,217.15,217.2,217.24,266.95,204.25,7558170,1641932510.25,72825,JIOFIN
2023-11-08,EQ,217.8,217.9,213.8,217.2,214.5,214.15,215.53,266.95,204.25,17101608,3685978274.4,142259,JIOFIN
2023-11-09,EQ,214.85,217.7,214.85,214.15,215.5,215.15,215.41,266.95,204.25,17250096,3715840615.05,92243,JIOFIN
2023-11-10,EQ,214.85,222.95,214.35,215.15,222.5,221.95,219.34,266.95,204.25,18467219,4050673724.2,108156,JIOFIN
2023-11-12,EQ,224.75,226.5,223.5,221.95,225.6,225.55,225.11,266.95,204.25,10542420,2373163046.05,106668,JIOFIN
2023-11-13,EQ,223.0,225.9,222.25,225.55,224.4,224.75,224.09,266.95,204.25,12086991,2708612348.85,92586,JIOFIN
2023-11-15,EQ,226.95,227.35,223.2,224.75,224.15,224.15,224.54,266.95,204.25,15782001,3543668968.75,107942,JIOFIN
2023-11-16,EQ,225.5,229.3,223.85,224.15,227.1,226.95,225.77,266.95,204.25,17856032,4031301859.9,112362,JIOFIN
2023-11-17,EQ,226.0,226.0,220.4,226.95,221.0,220.8,222.55,266.95,204.25,19607105,4363499458.2,130818,JIOFIN
2023-11-20,EQ,221.75,221.75,215.05,220.8,215.5,215.5,216.58,266.95,204.25,20403368,4419013341.65,189558,JIOFIN
2023-11-21,EQ,217.4,223.15,216.55,215.5,219.85,220.2,220.32,266.95,204.25,25625463,5645675828.75,130533,JIOFIN
2023-11-22,EQ,219.7,223.4,218.5,220.2,223.05,221.9,220.69,266.95,204.25,15012272,3313049661.15,79055,JIOFIN
2023-11-23,EQ,222.5,223.25,219.6,221.9,221.3,221.25,221.21,266.95,204.25,11267951,2492637729.1,76499,JIOFIN
2023-11-24,EQ,221.9,227.85,220.5,221.25,226.85,226.5,224.83,266.95,204.25,31420610,7064182654.05,143074,JIOFIN
2023-11-28,EQ,228.05,232.3,225.3,226.5,226.7,226.35,228.29,266.95,204.25,25668670,5859924848.45,173994,JIOFIN
2023-11-29,EQ,229.35,229.35,224.2,226.35,226.05,226.05,226.35,266.95,204.25,14007708,3170622131.6,111742,JIOFIN
2023-11-30,EQ,226.05,231.8,222.65,226.05,230.55,229.4,228.06,266.95,204.25,45432216,10361490895.15,170077,JIOFIN
2023-12-01,EQ,231.45,231.6,224.85,229.4,225.0,225.5,228.06,266.95,204.25,17634910,4021799169.25,133289,JIOFIN
2023-12-04,EQ,229.75,232.0,227.9,225.5,229.9,230.1,229.99,266.95,204.25,21079668,4848192056.6,132128,JIOFIN
2023-12-05,EQ,231.0,246.0,229.4,230.1,242.15,242.5,239.48,266.95,204.25,60847483,14571529908.7,340488,JIOFIN
2023-12-06,EQ,244.9,251.6,243.0,242.5,246.8,247.05,247.13,266.95,204.25,45262704,11185588495.95,281179,JIOFIN
2023-12-07,EQ,249.0,250.7,245.1,247.05,248.95,249.15,248.8,266.95,204.25,23000400,5722536527.1,167315,JIOFIN
2023-12-08,EQ,249.0,250.5,240.0,249.15,244.2,244.25,244.9,266.95,204.25,19056798,4666953825.05,190798,JIOFIN
2023-12-11,EQ,244.85,247.0,243.05,244.25,245.65,245.6,245.43,266.95,204.25,8875953,2178430489.25,87776,JIOFIN
2023-12-12,EQ,246.05,247.3,238.3,245.6,241.0,240.55,242.54,266.95,204.25,12749596,3092246249.05,140461,JIOFIN
2023-12-13,EQ,242.0,242.4,235.35,240.55,239.75,239.75,238.67,266.95,204.25,13774944,3287676721.45,166608,JIOFIN
2023-12-14,EQ,242.9,243.75,238.05,239.75,238.95,238.6,240.71,266.95,204.25,14352896,3454927298.7,202480,JIOFIN
2023-12-15,EQ,240.0,242.6,236.4,238.6,237.3,237.65,238.8,266.95,204.25,26225287,6262493359.15,153847,JIOFIN
2023-12-18,EQ,241.0,242.2,237.6,237.65,240.25,240.15,240.39,266.95,204.25,17001755,4087050335.55,108406,JIOFIN
2023-12-19,EQ,240.3,240.8,237.9,240.15,238.45,238.3,239.47,266.95,204.25,13053454,3125900357.25,98183,JIOFIN
