date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2002-01-18,EQ,12.5,12.5,12.5,15.9,12.5,12.5,12.5,0.0,0.0,35,437.5,0,JISLJALEQS
2002-01-22,EQ,13.0,13.0,13.0,12.5,13.0,13.0,13.0,12.5,12.5,50,650.0,0,JISLJALEQS
2002-01-31,EQ,13.55,13.55,13.55,13.0,13.55,13.55,13.55,13.0,12.5,35,474.25,0,JISLJALEQS
2002-02-04,EQ,14.1,14.1,14.1,13.55,14.1,14.1,14.1,13.55,12.5,35,493.5,0,JISLJALEQS
2002-02-05,EQ,14.7,14.7,14.7,14.1,14.7,14.7,14.7,14.1,12.5,50,735.0,0,JISLJALEQS
2002-02-06,EQ,15.3,15.3,15.3,14.7,15.3,15.3,15.3,14.7,12.5,321,4911.3,0,JISLJALEQS
2002-02-07,EQ,15.95,15.95,15.95,15.3,15.95,15.95,15.95,15.3,12.5,300,4785.0,0,JISLJALEQS
2002-02-08,EQ,16.6,16.6,16.6,15.95,16.6,16.6,16.6,15.95,12.5,358,5942.8,0,JISLJALEQS
2002-02-11,EQ,16.25,16.25,16.25,16.6,16.25,16.25,16.25,16.6,12.5,75,1218.75,0,JISLJALEQS
2002-02-18,EQ,16.4,16.75,16.4,16.25,16.75,16.75,16.4,16.6,12.5,86,1410.75,0,JISLJALEQS
2002-02-19,EQ,16.5,17.1,16.5,16.75,17.1,17.1,16.99,16.75,12.5,379,6438.4,0,JISLJALEQS
2002-02-20,EQ,16.6,16.6,16.55,17.1,16.55,16.6,16.59,17.1,12.5,250,4147.5,0,JISLJALEQS
2002-02-22,EQ,16.5,16.5,16.5,16.6,16.5,16.5,16.5,17.1,12.5,50,825.0,0,JISLJALEQS
2002-02-25,EQ,16.75,16.75,16.75,16.5,16.75,16.75,16.75,17.1,12.5,285,4773.75,0,JISLJALEQS
2002-02-26,EQ,17.25,17.25,17.25,16.75,17.25,17.25,17.25,17.1,12.5,170,2932.5,0,JISLJALEQS
2002-02-27,EQ,17.25,17.5,17.25,17.25,17.5,17.5,17.38,17.25,12.5,200,3475.0,0,JISLJALEQS
2002-02-28,EQ,17.6,17.75,17.6,17.5,17.65,17.65,17.66,17.5,12.5,759,13401.35,0,JISLJALEQS
2002-03-04,EQ,17.55,17.8,17.55,17.65,17.8,17.8,17.73,17.75,12.5,350,6205.0,0,JISLJALEQS
2002-03-05,EQ,17.7,18.55,17.7,17.8,18.55,18.55,18.01,17.8,12.5,500,9005.0,0,JISLJALEQS
2002-03-06,EQ,19.3,19.3,19.3,18.55,19.3,19.3,19.3,18.55,12.5,35,675.5,0,JISLJALEQS
2002-03-07,EQ,20.1,20.1,20.1,19.3,20.1,20.1,20.1,19.3,12.5,2035,40903.5,0,JISLJALEQS
2002-03-08,EQ,20.9,20.9,20.9,20.1,20.9,20.9,20.9,20.1,12.5,2314,48362.6,0,JISLJALEQS
2002-03-11,EQ,21.75,21.75,21.75,20.9,21.75,21.75,21.75,20.9,12.5,250,5437.5,0,JISLJALEQS
2002-03-12,EQ,22.0,22.65,22.0,21.75,22.65,22.65,22.19,21.75,12.5,700,15530.0,0,JISLJALEQS
2002-03-13,EQ,23.6,23.6,23.6,22.65,23.6,23.6,23.6,22.65,12.5,200,4720.0,0,JISLJALEQS
2002-03-14,EQ,24.55,24.55,24.55,23.6,24.55,24.55,24.55,23.6,12.5,50,1227.5,0,JISLJALEQS
2002-03-15,EQ,25.55,25.55,25.55,24.55,25.55,25.55,25.55,24.55,12.5,58,1481.9,0,JISLJALEQS
2002-03-18,EQ,26.6,26.6,26.6,25.55,26.6,26.6,26.6,25.55,12.5,364,9682.4,0,JISLJALEQS
2002-03-19,EQ,27.7,27.7,27.7,26.6,27.7,27.7,27.7,26.6,12.5,679,18808.3,0,JISLJALEQS
2002-03-20,EQ,28.85,28.85,26.6,27.7,27.2,26.95,27.99,27.7,12.5,11382,318589.15,0,JISLJALEQS
2002-03-21,EQ,27.8,27.8,25.9,26.95,26.3,26.6,26.72,28.85,12.5,2767,73942.65,0,JISLJALEQS
2002-03-22,EQ,25.75,25.75,25.55,26.6,25.55,25.55,25.75,28.85,12.5,552,14213.8,0,JISLJALEQS
2002-03-26,EQ,24.95,25.25,24.95,25.55,25.25,25.25,25.18,28.85,12.5,500,12592.2,0,JISLJALEQS
2002-03-27,EQ,24.25,26.25,24.25,25.25,26.0,25.3,25.29,28.85,12.5,3379,85464.8,0,JISLJALEQS
2002-03-28,EQ,26.35,26.35,26.35,25.3,26.35,26.35,26.35,28.85,12.5,209534,5521220.9,0,JISLJALEQS
2002-04-01,EQ,27.4,27.4,27.4,26.35,27.4,27.4,27.4,,,335,9179.0,0,JISLJALEQS
2002-04-02,EQ,28.5,28.5,28.5,27.4,28.5,28.5,28.5,,,7461,212638.5,0,JISLJALEQS
2002-04-03,EQ,29.6,29.6,28.3,28.5,29.6,29.6,29.3,,,21899,641558.55,0,JISLJALEQS
2002-04-04,EQ,29.85,30.2,29.0,29.6,30.0,29.95,29.71,,,4332,128701.35,0,JISLJALEQS
2002-04-05,EQ,29.6,31.15,29.5,29.95,30.1,30.95,30.53,,,7125,217494.75,0,JISLJALEQS
2002-04-08,EQ,31.3,32.2,31.3,30.95,32.2,32.2,32.13,,,671,21556.1,0,JISLJALEQS
2002-04-09,EQ,33.45,33.5,33.45,32.2,33.5,33.5,33.46,,,1292,43232.0,0,JISLJALEQS
2002-04-10,EQ,34.85,38.9,32.2,33.5,36.5,36.65,36.15,33.5,12.5,17173,620829.6,0,JISLJALEQS
2002-04-11,EQ,35.5,39.5,34.35,36.65,39.5,38.75,37.57,38.9,12.5,13532,508455.1,0,JISLJALEQS
2002-04-12,EQ,36.7,40.9,36.0,38.75,40.0,38.7,38.87,,,6398,248693.3,0,JISLJALEQS
2002-04-15,EQ,37.7,39.5,37.5,38.7,38.0,38.05,38.27,,,3401,130141.55,0,JISLJALEQS
2002-04-16,EQ,38.0,38.55,35.5,38.05,38.0,37.85,37.07,40.9,12.5,4118,152667.25,0,JISLJALEQS
2002-04-17,EQ,36.65,37.15,36.1,37.85,37.15,37.15,36.79,40.9,12.5,1183,43527.6,0,JISLJALEQS
2002-04-18,EQ,37.0,38.0,36.0,37.15,36.05,36.05,36.86,40.9,12.5,5565,205123.75,0,JISLJALEQS
2002-04-19,EQ,38.5,38.5,33.0,36.05,34.4,34.25,33.87,40.9,12.5,7148,242100.2,0,JISLJALEQS
2002-04-22,EQ,34.0,34.0,32.2,34.25,33.5,33.5,33.02,40.9,12.5,3355,110779.75,0,JISLJALEQS
2002-04-23,EQ,32.15,33.5,32.1,33.5,33.35,33.35,32.79,40.9,12.5,991,32497.05,0,JISLJALEQS
2002-04-24,EQ,33.0,34.0,32.8,33.35,34.0,34.0,33.18,40.9,12.5,2491,82662.75,0,JISLJALEQS
2002-04-25,EQ,33.05,33.45,31.0,34.0,31.0,32.1,32.84,,,5159,169425.35,0,JISLJALEQS
2002-04-26,EQ,31.05,32.0,31.0,32.1,32.0,32.0,31.36,,,1410,44220.0,0,JISLJALEQS
2002-04-29,EQ,31.0,31.5,30.1,32.0,31.5,31.5,31.01,40.9,12.5,1988,61651.15,0,JISLJALEQS
2002-04-30,EQ,30.05,31.4,30.05,31.5,31.4,31.35,30.62,,,1655,50675.25,0,JISLJALEQS
2002-05-02,EQ,31.05,34.5,31.05,31.35,34.5,34.5,33.53,40.9,12.5,2609,87485.4,0,JISLJALEQS
2002-05-03,EQ,37.95,37.95,37.95,34.5,37.95,37.95,37.95,40.9,12.5,376,14269.2,0,JISLJALEQS
2002-05-06,EQ,41.5,41.75,41.1,37.95,41.75,41.75,41.6,,,4650,193419.5,0,JISLJALEQS
2002-05-07,EQ,45.0,45.95,42.0,41.75,42.1,42.7,43.5,,,15463,672624.0,0,JISLJALEQS
2002-05-08,EQ,41.7,42.0,38.5,42.7,38.85,39.1,39.46,,,2721,107359.0,0,JISLJALEQS
2002-05-09,EQ,38.0,41.4,36.55,39.1,36.55,36.95,39.04,45.95,12.5,5667,221237.45,0,JISLJALEQS
