date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2021-03-26,EQ,73.95,81.0,72.9,87.0,74.35,75.2,77.14,81.0,72.9,51421860,3966430116.2,360101,KALYANKJIL
2021-03-30,EQ,75.95,77.9,69.65,75.2,71.15,70.85,73.38,81.0,69.65,11092972,813994902.85,100487,KALYANKJIL
2021-03-31,EQ,71.75,71.75,67.65,70.85,68.0,68.1,69.2,81.0,67.65,4659613,322461684.1,39047,KALYANKJIL
2021-04-01,EQ,68.6,72.75,68.2,68.1,70.9,71.4,71.49,81.0,67.65,7403570,529292113.7,48608,KALYANKJIL
2021-04-05,EQ,71.5,71.5,68.55,71.4,70.05,69.9,69.78,81.0,67.65,2399032,167411593.6,21877,KALYANKJIL
2021-04-06,EQ,70.3,71.25,69.1,69.9,70.35,70.35,70.42,81.0,67.65,2379469,167552589.35,15437,KALYANKJIL
2021-04-07,EQ,70.55,70.9,69.8,70.35,70.0,69.9,70.14,81.0,67.65,1625067,113979470.35,12288,KALYANKJIL
2021-04-08,EQ,71.9,75.0,71.4,69.9,72.75,72.85,73.16,81.0,67.65,4824848,352990855.1,31839,KALYANKJIL
2021-04-09,EQ,73.0,73.1,70.45,72.85,71.0,71.0,71.51,81.0,67.65,2357516,168583530.4,14790,KALYANKJIL
2021-04-12,EQ,70.9,70.9,68.0,71.0,68.4,68.35,68.67,81.0,67.65,2042113,140229964.2,18127,KALYANKJIL
2021-04-13,EQ,69.0,69.85,68.05,68.35,69.35,69.3,69.02,81.0,67.65,1439847,99383862.6,11258,KALYANKJIL
2021-04-15,EQ,69.0,69.85,68.55,69.3,68.95,69.0,68.94,81.0,67.65,896321,61791025.85,8901,KALYANKJIL
2021-04-16,EQ,69.0,69.7,68.8,69.0,68.85,68.9,69.14,81.0,67.65,909629,62891815.45,9114,KALYANKJIL
2021-04-19,EQ,67.8,67.8,65.7,68.9,66.85,66.85,66.77,81.0,65.7,1228866,82054483.3,13911,KALYANKJIL
2021-04-20,EQ,67.2,68.35,66.8,66.85,67.1,67.15,67.55,81.0,65.7,797720,53885753.7,8147,KALYANKJIL
2021-04-22,EQ,67.0,67.15,66.4,67.15,66.75,66.7,66.73,81.0,65.7,851612,56826071.4,9336,KALYANKJIL
2021-04-23,EQ,66.6,66.7,65.5,66.7,65.6,65.6,65.9,81.0,65.5,1823091,120135398.7,18330,KALYANKJIL
2021-04-26,EQ,65.9,67.0,63.75,65.6,63.85,63.85,64.63,81.0,63.75,2193105,141734331.6,23998,KALYANKJIL
2021-04-27,EQ,64.0,64.8,61.2,63.85,61.35,61.4,62.21,81.0,61.2,3532919,219785505.75,34106,KALYANKJIL
2021-04-28,EQ,61.55,62.9,60.6,61.4,61.7,61.65,61.66,81.0,60.6,4057145,250177889.9,26870,KALYANKJIL
2021-04-29,EQ,62.0,62.85,61.1,61.65,61.35,61.25,61.7,81.0,60.6,1938409,119594873.4,12853,KALYANKJIL
2021-04-30,EQ,61.0,61.2,59.75,61.25,59.95,59.9,60.3,81.0,59.75,2347572,141560047.2,21990,KALYANKJIL
2021-05-03,EQ,59.7,59.7,58.55,59.9,58.75,58.65,58.99,81.0,58.55,1696511,100081877.45,15752,KALYANKJIL
2021-05-04,EQ,58.65,60.7,58.1,58.65,58.35,58.25,59.15,81.0,58.1,2298017,135930590.75,17459,KALYANKJIL
2021-05-05,EQ,58.5,59.5,58.0,58.25,58.2,58.1,58.34,81.0,58.0,1580604,92206919.9,10381,KALYANKJIL
2021-05-06,EQ,58.45,58.8,56.6,58.1,56.8,56.7,57.21,81.0,56.6,2238052,128038360.5,17399,KALYANKJIL
2021-05-07,EQ,57.0,59.65,56.3,56.7,58.65,58.8,58.61,81.0,56.3,4763134,279165500.8,26395,KALYANKJIL
2021-05-10,EQ,59.4,62.0,59.2,58.8,61.8,61.5,60.93,81.0,56.3,3883522,236604339.4,22931,KALYANKJIL
2021-05-11,EQ,61.5,64.9,61.0,61.5,63.7,63.6,63.32,81.0,56.3,4982475,315469279.3,29417,KALYANKJIL
2021-05-12,EQ,64.45,64.9,61.8,63.6,62.9,62.35,63.19,81.0,56.3,2592651,163830117.4,18593,KALYANKJIL
2021-05-14,EQ,63.0,63.95,60.2,62.35,60.7,60.8,61.71,81.0,56.3,2581690,159314355.45,22688,KALYANKJIL
2021-05-17,EQ,61.2,61.7,60.3,60.8,60.75,60.75,60.79,81.0,56.3,1084150,65907105.5,11199,KALYANKJIL
2021-05-18,EQ,60.75,61.45,60.75,60.75,61.35,61.25,61.11,81.0,56.3,1192298,72862395.6,9310,KALYANKJIL
2021-05-19,EQ,61.25,61.6,60.85,61.25,61.45,61.2,61.24,81.0,56.3,1122948,68764420.35,9043,KALYANKJIL
2021-05-20,EQ,61.7,61.9,59.8,61.2,60.4,60.1,60.9,81.0,56.3,2434240,148256294.6,20832,KALYANKJIL
2021-05-21,EQ,61.1,64.0,59.85,60.1,62.0,61.9,62.13,81.0,56.3,6130052,380885597.85,37760,KALYANKJIL
2021-05-24,EQ,62.05,63.65,61.7,61.9,63.4,63.0,62.92,81.0,56.3,3276413,206164954.4,20834,KALYANKJIL
2021-05-25,EQ,64.0,68.4,63.5,63.0,67.5,67.85,66.53,81.0,56.3,12120772,806336966.75,61501,KALYANKJIL
2021-05-26,EQ,69.0,72.4,69.0,67.85,71.15,71.2,71.26,81.0,56.3,8567087,610498021.1,51890,KALYANKJIL
2021-05-27,EQ,71.8,72.7,68.15,71.2,68.7,68.5,69.67,81.0,56.3,7219130,502968465.5,39641,KALYANKJIL
2021-05-28,EQ,69.8,70.0,67.5,68.5,67.8,67.9,68.74,81.0,56.3,4577224,314618767.0,26534,KALYANKJIL
2021-05-31,EQ,68.0,68.2,66.6,67.9,66.75,66.8,67.09,81.0,56.3,2315437,155333670.05,12341,KALYANKJIL
2021-06-01,EQ,67.0,69.2,67.0,66.8,68.1,67.95,68.2,81.0,56.3,3204915,218564238.3,15869,KALYANKJIL
2021-06-02,EQ,69.3,70.8,68.1,67.95,70.35,70.25,69.63,81.0,56.3,4229691,294522041.3,27407,KALYANKJIL
2021-06-03,EQ,70.75,71.6,70.1,70.25,71.0,71.1,71.05,81.0,56.3,3959414,281323959.1,22407,KALYANKJIL
2021-06-04,EQ,72.25,82.65,72.2,71.1,79.95,80.85,78.53,82.65,56.3,23826899,1871114626.8,112164,KALYANKJIL
2021-06-07,EQ,82.45,84.65,82.05,80.85,83.35,83.2,83.52,84.65,56.3,7670757,640656321.3,48424,KALYANKJIL
2021-06-08,EQ,83.75,84.5,79.25,83.2,81.85,81.6,81.53,84.65,56.3,4806090,391861845.0,32887,KALYANKJIL
2021-06-09,EQ,83.15,89.75,82.3,81.6,85.45,85.4,86.19,89.75,56.3,15698948,1353026181.25,76715,KALYANKJIL
2021-06-10,EQ,87.0,88.25,85.85,85.4,86.0,86.3,86.97,89.75,56.3,5456977,474599780.15,31254,KALYANKJIL
2021-06-11,EQ,86.55,87.1,84.3,86.3,85.55,85.2,85.24,89.75,56.3,2646097,225544832.9,15973,KALYANKJIL
2021-06-14,EQ,85.3,85.35,80.1,85.2,83.8,83.7,82.81,89.75,56.3,3921589,324758327.1,23403,KALYANKJIL
2021-06-15,EQ,83.8,85.65,82.85,83.7,83.25,83.25,84.16,89.75,56.3,2155056,181362608.5,13527,KALYANKJIL
2021-06-16,EQ,84.0,84.5,81.5,83.25,81.6,81.8,82.64,89.75,56.3,2821152,233126086.7,19345,KALYANKJIL
2021-06-17,EQ,82.75,84.8,81.5,81.8,82.3,81.9,83.1,89.75,56.3,3029064,251704840.2,19920,KALYANKJIL
2021-06-18,EQ,82.15,82.6,76.0,81.9,80.75,80.5,79.4,89.75,56.3,3070198,243761795.2,22121,KALYANKJIL
2021-06-21,EQ,77.5,81.4,77.3,80.5,80.25,79.85,79.32,89.75,56.3,2034688,161389454.05,16732,KALYANKJIL
2021-06-22,EQ,81.25,83.15,80.95,79.85,81.8,81.5,81.91,89.75,56.3,2739458,224386855.0,14606,KALYANKJIL
2021-06-23,EQ,82.1,82.25,80.1,81.5,81.1,80.85,81.03,89.75,56.3,1254806,101676048.55,8407,KALYANKJIL
2021-06-24,EQ,80.5,81.3,79.5,80.85,79.85,79.75,80.09,89.75,56.3,1775776,142214587.5,10210,KALYANKJIL
2021-06-25,EQ,80.1,80.1,78.6,79.75,79.2,79.2,79.12,89.75,56.3,1068780,84563644.75,10687,KALYANKJIL
2021-06-28,EQ,79.9,80.6,78.5,79.2,78.8,78.85,79.28,89.75,56.3,880358,69792042.6,7956,KALYANKJIL
2021-06-29,EQ,78.05,79.1,77.2,78.85,77.35,77.45,77.93,89.75,56.3,928364,72345309.4,9187,KALYANKJIL
2021-06-30,EQ,77.2,78.8,77.05,77.45,78.05,78.25,78.28,89.75,56.3,1510378,118225048.75,9822,KALYANKJIL
2021-07-01,EQ,78.2,78.3,74.8,78.25,76.75,76.35,76.88,89.75,56.3,1564595,120281931.4,13848,KALYANKJIL
