date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-01-03,EQ,139.9,141.0,131.0,130.75,135.0,135.0,135.0,251.0,105.05,20400,2754002.5,0,GOODLASNER
2000-01-04,EQ,140.5,140.5,132.0,135.0,133.0,132.9,134.2,251.0,105.05,7500,1006490.0,0,GOODLASNER
2000-01-05,EQ,132.1,135.0,130.45,132.9,132.0,132.0,132.62,251.0,105.05,1650,218817.5,0,GOODLASNER
2000-01-06,EQ,130.05,141.0,130.0,132.0,141.0,139.4,136.54,251.0,105.05,3300,450570.0,0,GOODLASNER
2000-01-07,EQ,141.0,143.9,136.2,139.4,138.4,137.45,138.68,251.0,105.05,2250,312035.0,0,GOODLASNER
2000-01-10,EQ,137.0,142.0,135.85,137.45,139.25,138.75,137.73,251.0,105.05,7400,1019207.5,0,GOODLASNER
2000-01-11,EQ,134.55,140.2,134.5,138.75,135.5,135.4,136.27,251.0,105.05,6200,844852.5,0,GOODLASNER
2000-01-12,EQ,137.25,137.5,136.0,135.4,137.3,137.3,137.16,251.0,105.05,800,109730.0,0,GOODLASNER
2000-01-13,EQ,140.75,142.0,137.5,137.3,140.0,140.0,139.85,251.0,105.05,2800,391577.5,0,GOODLASNER
2000-01-14,EQ,138.0,140.0,136.7,140.0,137.0,137.95,137.98,251.0,105.05,1250,172475.0,0,GOODLASNER
2000-01-17,EQ,139.7,140.8,136.25,137.95,138.0,138.25,138.71,251.0,105.05,1300,180327.5,0,GOODLASNER
2000-01-18,EQ,141.25,142.75,139.5,138.25,139.5,139.9,141.1,251.0,105.05,2950,416242.5,0,GOODLASNER
2000-01-19,EQ,140.0,140.95,135.0,139.9,136.0,136.4,139.25,251.0,105.05,14900,2074865.0,0,GOODLASNER
2000-01-20,EQ,138.45,139.95,136.0,136.4,136.0,136.0,137.99,251.0,105.05,12350,1704165.0,0,GOODLASNER
2000-01-21,EQ,135.1,138.0,134.05,136.0,138.0,138.0,137.12,251.0,105.05,1000,137122.5,0,GOODLASNER
2000-01-24,EQ,138.0,141.85,136.3,138.0,137.75,137.85,138.91,251.0,105.05,2550,354210.0,0,GOODLASNER
2000-01-25,EQ,140.0,140.5,137.0,137.85,138.0,137.8,138.75,251.0,105.05,9000,1248780.0,0,GOODLASNER
2000-01-27,EQ,142.35,148.85,142.0,137.8,148.85,148.85,147.17,251.0,105.05,6650,978665.0,0,GOODLASNER
2000-01-28,EQ,149.0,157.9,144.0,148.85,146.9,145.65,148.07,251.0,105.05,9700,1436310.0,0,GOODLASNER
2000-01-31,EQ,143.0,157.3,142.25,145.65,150.6,150.2,152.78,251.0,105.05,15100,2307022.5,0,GOODLASNER
2000-02-01,EQ,145.75,147.0,139.1,150.2,140.0,141.0,143.68,251.0,105.05,9800,1408050.0,0,GOODLASNER
2000-02-02,EQ,152.3,152.3,152.3,141.0,152.3,152.3,152.3,251.0,105.05,750,114225.0,0,GOODLASNER
2000-02-03,EQ,164.5,164.5,160.0,152.3,164.5,164.5,163.92,251.0,105.05,10300,1688385.0,0,GOODLASNER
2000-02-04,EQ,165.0,176.0,162.0,164.5,167.45,165.9,169.53,251.0,105.05,11500,1949647.5,0,GOODLASNER
2000-02-07,EQ,173.0,179.1,167.1,165.9,172.0,171.4,173.38,251.0,105.05,17900,3103412.5,0,GOODLASNER
2000-02-08,EQ,174.75,185.0,165.0,171.4,167.0,165.75,169.6,251.0,105.05,10000,1695990.0,0,GOODLASNER
2000-02-09,EQ,165.05,170.0,162.5,165.75,162.55,162.55,166.51,251.0,105.05,5350,890850.0,0,GOODLASNER
2000-02-10,EQ,160.1,161.5,156.0,162.55,160.0,159.4,159.53,251.0,105.05,4300,685982.5,0,GOODLASNER
2000-02-11,EQ,162.95,163.0,157.0,159.4,159.0,159.0,158.76,251.0,105.05,1300,206390.0,0,GOODLASNER
2000-02-14,EQ,157.0,157.5,147.0,159.0,149.8,147.95,151.62,251.0,105.05,4650,705032.5,0,GOODLASNER
2000-02-15,EQ,146.0,147.0,143.0,147.95,147.0,145.85,145.59,251.0,124.1,5100,742532.5,0,GOODLASNER
2000-02-16,EQ,148.85,150.0,144.0,145.85,145.0,145.0,145.63,251.0,124.1,8150,1186925.0,0,GOODLASNER
2000-02-17,EQ,145.0,148.0,140.1,145.0,142.0,142.0,142.43,251.0,124.1,4750,676530.0,0,GOODLASNER
2000-02-18,EQ,142.0,146.9,140.85,142.0,144.25,144.25,144.27,251.0,124.1,3750,541017.5,0,GOODLASNER
2000-02-21,EQ,143.75,150.0,141.0,144.25,144.0,144.0,144.09,251.0,124.1,6650,958230.0,0,GOODLASNER
2000-02-22,EQ,142.5,146.9,141.25,144.0,141.6,141.9,143.25,251.0,124.1,19350,2771887.5,0,GOODLASNER
2000-02-23,EQ,145.0,147.9,144.5,141.9,147.9,147.9,145.47,251.0,124.1,1300,189107.5,0,GOODLASNER
2000-02-24,EQ,149.0,150.0,146.0,147.9,150.0,148.75,147.83,251.0,124.1,1850,273482.5,0,GOODLASNER
2000-02-25,EQ,148.0,149.5,146.0,148.75,146.0,146.0,147.99,251.0,124.1,1300,192390.0,0,GOODLASNER
2000-02-28,EQ,148.75,149.8,145.1,146.0,148.5,148.15,147.03,251.0,124.1,2000,294062.5,0,GOODLASNER
2000-02-29,EQ,159.9,159.9,142.0,148.15,142.5,142.5,144.28,251.0,125.5,6000,865707.5,0,GOODLASNER
2000-03-01,EQ,140.0,153.9,140.0,142.5,152.5,152.65,148.5,251.0,125.5,5700,846475.0,0,GOODLASNER
2000-03-02,EQ,152.0,156.0,150.0,152.65,155.0,155.1,154.33,251.0,125.5,13550,2091110.0,0,GOODLASNER
2000-03-03,EQ,144.0,150.0,144.0,155.1,145.1,145.95,147.23,251.0,125.5,1150,169315.0,0,GOODLASNER
2000-03-06,EQ,136.0,151.0,136.0,145.95,148.0,148.0,149.07,251.0,125.5,7100,1058397.5,0,GOODLASNER
2000-03-07,EQ,147.5,147.5,140.1,148.0,141.0,140.6,142.17,251.0,127.0,5350,760592.5,0,GOODLASNER
2000-03-08,EQ,136.1,138.0,129.4,140.6,134.0,134.0,130.89,251.0,127.0,9150,1197672.5,0,GOODLASNER
2000-03-09,EQ,126.0,132.9,126.0,134.0,132.9,132.9,128.68,251.0,127.0,1950,250930.0,0,GOODLASNER
2000-03-10,EQ,134.0,143.0,134.0,132.9,135.0,135.0,136.25,251.0,126.0,8350,1137722.5,0,GOODLASNER
2000-03-13,EQ,133.0,140.2,130.0,135.0,140.0,140.0,135.74,251.0,126.0,12400,1683212.5,0,GOODLASNER
2000-03-14,EQ,138.0,138.0,128.8,140.0,129.3,129.3,131.75,251.0,126.0,11500,1515100.0,0,GOODLASNER
2000-03-15,EQ,135.0,139.5,134.9,129.3,139.5,139.0,138.25,251.0,126.0,3900,539165.0,0,GOODLASNER
2000-03-16,EQ,137.5,137.5,135.0,139.0,137.0,136.95,135.22,251.0,126.0,5700,770775.0,0,GOODLASNER
2000-03-21,EQ,135.0,140.0,130.5,136.95,133.65,132.05,132.0,251.0,126.0,6050,798625.0,0,GOODLASNER
2000-03-22,EQ,135.0,136.9,134.0,132.05,135.3,136.25,134.93,251.0,126.0,2750,371067.5,0,GOODLASNER
2000-03-23,EQ,137.85,137.85,133.6,136.25,133.6,135.8,135.8,251.0,126.0,300,40740.0,0,GOODLASNER
2000-03-24,EQ,131.55,137.9,131.55,135.8,135.95,135.95,135.15,251.0,126.0,1800,243272.5,0,GOODLASNER
2000-03-27,EQ,140.95,141.0,136.0,135.95,136.65,137.0,137.74,251.0,126.0,2700,371887.5,0,GOODLASNER
2000-03-28,EQ,136.0,139.9,133.25,137.0,139.9,137.2,135.42,251.0,126.0,5500,744797.5,0,GOODLASNER
2000-03-29,EQ,141.2,141.2,141.2,137.2,141.2,141.2,141.2,251.0,126.0,150,21180.0,0,GOODLASNER
2000-03-30,EQ,143.0,146.5,137.0,141.2,139.0,140.55,142.98,251.0,126.0,5450,779247.5,0,GOODLASNER
2000-03-31,EQ,140.0,144.0,138.95,140.55,144.0,143.35,141.39,251.0,126.0,2250,318117.5,0,GOODLASNER
2000-04-03,EQ,140.0,144.0,140.0,143.35,141.0,141.0,141.71,251.0,126.0,1350,191307.5,0,GOODLASNER
2000-04-04,EQ,134.0,142.0,134.0,141.0,139.0,139.05,139.35,251.0,126.0,4100,571337.5,0,GOODLASNER
2000-04-05,EQ,135.0,138.75,135.0,139.05,138.75,138.5,136.84,251.0,126.0,1300,177897.5,0,GOODLASNER
2000-04-06,EQ,137.6,141.05,137.5,138.5,138.5,138.5,139.6,251.0,126.0,1100,153560.0,0,GOODLASNER
2000-04-07,EQ,139.0,149.6,139.0,138.5,149.6,149.6,146.2,251.0,126.0,4500,657895.0,0,GOODLASNER
2000-04-10,EQ,149.0,151.55,146.4,149.6,146.4,146.8,149.56,251.0,126.0,1700,254245.0,0,GOODLASNER
2000-04-11,EQ,143.0,144.0,142.0,146.8,142.0,142.2,143.08,251.0,126.0,1100,157390.0,0,GOODLASNER
2000-04-12,EQ,145.0,145.0,141.1,142.2,141.1,141.1,142.43,251.0,126.0,600,85455.0,0,GOODLASNER
2000-04-13,EQ,141.0,145.0,141.0,141.1,144.0,144.0,141.82,251.0,126.0,1750,248187.5,0,GOODLASNER
2000-04-17,EQ,140.25,140.25,138.2,144.0,138.2,138.2,139.33,251.0,126.0,1050,146292.5,0,GOODLASNER
2000-04-18,EQ,139.0,144.05,139.0,138.2,144.0,144.0,142.94,251.0,126.0,1850,264440.0,0,GOODLASNER
