date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-01-03,EQ,146.0,150.0,145.0,140.0,150.0,150.0,147.8,250.0,135.0,750,110850.0,0,KSBPUMPS
2000-01-04,EQ,150.0,153.0,142.0,150.0,150.0,150.0,147.46,250.0,135.0,900,132712.5,0,KSBPUMPS
2000-01-05,EQ,145.0,145.0,138.0,150.0,139.0,139.05,139.42,250.0,135.0,900,125477.5,0,KSBPUMPS
2000-01-06,EQ,141.0,143.5,138.0,139.05,138.0,138.0,140.42,250.0,135.0,1150,161482.5,0,KSBPUMPS
2000-01-07,EQ,138.0,142.0,134.0,138.0,134.0,134.0,136.68,250.0,135.0,1450,198185.0,0,KSBPUMPS
2000-01-10,EQ,127.1,138.5,127.0,134.0,138.5,138.5,132.07,250.0,134.0,950,125467.5,0,KSBPUMPS
2000-01-11,EQ,144.0,144.0,136.0,138.5,143.9,139.2,140.1,250.0,127.0,550,77055.0,0,KSBPUMPS
2000-01-12,EQ,145.0,145.05,138.0,139.2,138.0,138.0,141.6,250.0,127.0,600,84957.5,0,KSBPUMPS
2000-01-13,EQ,138.05,140.0,138.05,138.0,140.0,140.0,139.51,250.0,127.0,200,27902.5,0,KSBPUMPS
2000-01-14,EQ,140.9,140.9,140.9,140.0,140.9,140.9,140.9,250.0,127.0,50,7045.0,0,KSBPUMPS
2000-01-17,EQ,141.0,141.0,141.0,140.9,141.0,141.0,141.0,250.0,127.0,50,7050.0,0,KSBPUMPS
2000-01-18,EQ,140.0,147.0,140.0,141.0,140.0,140.0,141.48,250.0,127.0,750,106110.0,0,KSBPUMPS
2000-01-19,EQ,144.95,144.95,144.75,140.0,144.75,144.75,144.85,250.0,127.0,200,28970.0,0,KSBPUMPS
2000-01-20,EQ,145.0,145.0,143.0,144.75,143.0,143.0,143.6,250.0,127.0,500,71800.0,0,KSBPUMPS
2000-01-21,EQ,142.55,142.55,140.0,143.0,141.0,141.0,140.68,250.0,127.0,600,84410.0,0,KSBPUMPS
2000-01-24,EQ,135.0,140.1,132.0,141.0,140.1,140.1,137.44,250.0,127.0,250,34360.0,0,KSBPUMPS
2000-01-25,EQ,140.0,140.0,135.0,140.1,140.0,139.15,138.59,250.0,127.0,500,69295.0,0,KSBPUMPS
2000-01-27,EQ,150.3,150.3,141.0,139.15,145.0,145.15,147.03,250.0,127.0,3550,521965.0,0,KSBPUMPS
2000-01-28,EQ,146.0,149.0,137.15,145.15,137.15,137.15,145.67,250.0,127.0,1700,247645.0,0,KSBPUMPS
2000-01-31,EQ,135.25,138.75,135.25,137.15,138.75,138.75,136.42,250.0,127.0,150,20462.5,0,KSBPUMPS
2000-02-01,EQ,135.5,135.5,132.0,138.75,135.0,135.0,134.55,250.0,127.0,550,74000.0,0,KSBPUMPS
2000-02-02,EQ,142.0,142.0,128.0,135.0,128.0,128.0,134.0,250.0,127.0,150,20100.0,0,KSBPUMPS
2000-02-03,EQ,130.5,133.5,130.0,128.0,130.0,130.05,130.51,250.0,127.0,1300,169657.5,0,KSBPUMPS
2000-02-04,EQ,127.55,130.0,126.0,130.05,126.0,128.0,128.06,250.0,127.0,800,102447.5,0,KSBPUMPS
2000-02-07,EQ,130.0,130.0,117.8,128.0,117.8,117.8,122.63,250.0,126.0,2000,245250.0,0,KSBPUMPS
2000-02-08,EQ,119.95,119.95,110.6,117.8,118.0,118.0,117.49,250.0,117.8,1950,229112.5,0,KSBPUMPS
2000-02-09,EQ,120.0,120.0,115.0,118.0,115.0,115.05,116.11,250.0,110.6,1250,145135.0,0,KSBPUMPS
2000-02-10,EQ,112.0,115.85,107.25,115.05,110.0,110.0,110.32,250.0,110.6,850,93772.5,0,KSBPUMPS
2000-02-11,EQ,110.0,114.0,107.25,110.0,107.5,107.5,109.37,250.0,107.25,1650,180455.0,0,KSBPUMPS
2000-02-14,EQ,105.05,105.05,99.0,107.5,100.0,100.0,101.54,250.0,107.25,2650,269080.0,0,KSBPUMPS
2000-02-15,EQ,98.0,102.0,95.1,100.0,101.95,100.9,99.48,250.0,99.0,1650,164147.5,0,KSBPUMPS
2000-02-16,EQ,104.0,106.0,100.0,100.9,100.0,100.75,100.98,250.0,95.1,2900,292842.5,0,KSBPUMPS
2000-02-17,EQ,95.0,101.9,95.0,100.75,101.9,101.9,98.3,250.0,95.1,3300,324405.0,0,KSBPUMPS
2000-02-18,EQ,107.0,110.0,103.0,101.9,103.0,103.4,105.64,250.0,95.0,1250,132055.0,0,KSBPUMPS
2000-02-21,EQ,111.0,111.0,105.25,103.4,107.0,106.65,106.74,250.0,95.0,1250,133422.5,0,KSBPUMPS
2000-02-22,EQ,110.0,115.0,108.1,106.65,114.0,114.0,113.0,250.0,95.0,1150,129955.0,0,KSBPUMPS
2000-02-23,EQ,121.9,121.9,117.2,114.0,119.0,119.35,119.86,250.0,95.0,2050,245715.0,0,KSBPUMPS
2000-02-24,EQ,119.0,124.0,119.0,119.35,124.0,124.0,122.61,250.0,95.0,1050,128742.5,0,KSBPUMPS
2000-02-25,EQ,132.0,132.0,121.0,124.0,123.9,123.95,124.03,250.0,95.0,1450,179845.0,0,KSBPUMPS
2000-02-28,EQ,120.0,127.0,120.0,123.95,122.0,122.0,123.33,250.0,95.0,1900,234332.5,0,KSBPUMPS
2000-02-29,EQ,125.0,131.8,118.0,122.0,121.0,119.5,126.26,250.0,95.0,1700,214635.0,0,KSBPUMPS
2000-03-01,EQ,125.05,129.0,125.05,119.5,126.0,127.45,126.95,250.0,95.0,1200,152335.0,0,KSBPUMPS
2000-03-02,EQ,122.0,122.0,117.5,127.45,117.5,117.5,120.1,250.0,95.0,500,60047.5,0,KSBPUMPS
2000-03-03,EQ,120.0,120.0,120.0,117.5,120.0,120.0,120.0,250.0,95.0,100,12000.0,0,KSBPUMPS
2000-03-06,EQ,112.0,112.0,111.75,120.0,112.0,112.0,111.95,250.0,95.0,800,89560.0,0,KSBPUMPS
2000-03-07,EQ,108.0,108.0,103.5,112.0,108.0,108.0,107.83,250.0,95.0,7000,754790.0,0,KSBPUMPS
2000-03-08,EQ,100.0,110.0,100.0,108.0,102.0,102.0,103.34,250.0,95.0,450,46502.5,0,KSBPUMPS
2000-03-09,EQ,101.0,101.0,96.0,102.0,98.0,99.15,99.4,250.0,95.0,1150,114307.5,0,KSBPUMPS
2000-03-10,EQ,101.0,103.95,96.0,99.15,100.0,100.05,99.28,250.0,95.0,1200,119132.5,0,KSBPUMPS
2000-03-13,EQ,100.0,102.75,99.25,100.05,99.25,99.25,99.73,250.0,95.0,550,54850.0,0,KSBPUMPS
2000-03-14,EQ,99.0,99.0,93.0,99.25,95.0,96.3,95.12,250.0,95.0,1900,180735.0,0,KSBPUMPS
2000-03-15,EQ,102.0,103.25,100.0,96.3,103.25,103.25,101.81,250.0,93.0,200,20362.5,0,KSBPUMPS
2000-03-16,EQ,104.0,105.0,102.25,103.25,102.25,102.25,103.51,250.0,93.0,350,36227.5,0,KSBPUMPS
2000-03-21,EQ,96.0,109.6,96.0,102.25,104.0,104.0,104.16,250.0,93.0,1000,104160.0,0,KSBPUMPS
2000-03-22,EQ,104.0,104.0,104.0,104.0,104.0,104.0,104.0,250.0,93.0,100,10400.0,0,KSBPUMPS
2000-03-23,EQ,98.5,98.5,98.5,104.0,98.5,98.5,98.5,250.0,93.0,100,9850.0,0,KSBPUMPS
2000-03-24,EQ,104.8,105.0,101.75,98.5,105.0,105.0,104.23,250.0,93.0,450,46902.5,0,KSBPUMPS
2000-03-27,EQ,102.0,102.0,102.0,105.0,102.0,102.0,102.0,250.0,93.0,300,30600.0,0,KSBPUMPS
2000-03-28,EQ,98.0,101.0,98.0,102.0,100.0,100.2,98.86,250.0,93.0,2100,207605.0,0,KSBPUMPS
