date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2024-06-03,EQ,1000.01,1000.01,1000.0,1000.0,1000.0,1000.0,1000.0,1000.01,1000.0,100,100000.2,7,LIQUIDBETF
2024-06-04,EQ,999.99,999.99,999.99,1000.0,999.99,999.99,999.99,1000.01,999.99,20,19999.8,1,LIQUIDBETF
2024-06-05,EQ,1000.0,1000.0,1000.0,999.99,1000.0,1000.0,1000.0,1000.01,999.99,20,20000.0,1,LIQUIDBETF
2024-06-06,EQ,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.01,999.99,702,702000.0,6,LIQUIDBETF
2024-06-07,EQ,1000.01,1004.0,999.99,1000.0,1000.0,999.99,1000.86,1004.0,999.99,12701,12711905.12,46,LIQUIDBETF
2024-06-10,EQ,1000.0,1000.0,997.85,999.99,1000.0,999.99,999.61,1004.0,997.85,134,133948.36,19,LIQUIDBETF
2024-06-11,EQ,1017.98,1017.98,999.99,999.99,1000.0,1000.0,1000.0,1017.98,997.85,14849,14848946.48,31,LIQUIDBETF
2024-06-12,EQ,999.99,1000.0,999.99,1000.0,1000.0,1000.0,1000.0,1017.98,997.85,442516,442515994.9,859,LIQUIDBETF
2024-06-13,EQ,999.99,1000.0,999.99,1000.0,1000.0,1000.0,1000.0,1017.98,997.85,445,444999.4,6,LIQUIDBETF
2024-06-14,EQ,999.99,1000.0,999.99,1000.0,1000.0,1000.0,1000.0,1017.98,997.85,5030,5029999.95,6,LIQUIDBETF
2024-06-18,EQ,1000.01,1000.01,999.99,1000.0,1000.0,999.99,1000.0,1017.98,997.85,1382,1381999.7,13,LIQUIDBETF
2024-06-19,EQ,999.99,1000.0,999.99,999.99,1000.0,999.99,1000.0,1017.98,997.85,828,827995.86,5,LIQUIDBETF
2024-06-20,EQ,999.99,1000.0,999.99,999.99,1000.0,1000.0,1000.0,1017.98,997.85,28,27999.91,3,LIQUIDBETF
2024-06-21,EQ,999.99,1000.0,999.99,1000.0,1000.0,1000.0,1000.0,1017.98,997.85,2018,2017999.98,5,LIQUIDBETF
2024-06-24,EQ,999.99,1000.0,999.99,1000.0,999.99,999.99,999.99,1017.98,997.85,572,571994.37,8,LIQUIDBETF
2024-06-25,EQ,999.99,1000.0,999.99,999.99,1000.0,1000.0,1000.0,1017.98,997.85,240,239998.94,6,LIQUIDBETF
2024-06-26,EQ,999.99,1000.0,999.99,1000.0,1000.0,1000.0,1000.0,1017.98,997.85,1204,1203993.98,7,LIQUIDBETF
2024-06-27,EQ,999.99,1000.0,999.99,1000.0,1000.0,1000.0,1000.0,1017.98,997.85,1026,1025994.87,4,LIQUIDBETF
2024-06-28,EQ,999.99,1000.0,999.99,1000.0,1000.0,1000.0,1000.0,1017.98,997.85,2204,2203999.89,9,LIQUIDBETF
