date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2018-03-20,EQ,1000.01,1000.01,1000.01,1000.0,1000.01,1000.01,1000.01,1000.01,1000.01,25426,25426254.26,7,LIQUIDETF
2018-03-21,EQ,1000.01,1000.01,1000.01,1000.01,1000.01,1000.01,1000.01,1000.01,1000.01,241,241002.41,4,LIQUIDETF
2018-03-22,EQ,999.99,1000.01,999.99,1000.01,999.99,999.99,1000.01,1000.01,999.99,12204,12204079.49,9,LIQUIDETF
2018-03-23,EQ,1000.01,1000.01,1000.01,999.99,1000.01,1000.01,1000.01,1000.01,999.99,215,215002.15,5,LIQUIDETF
2018-03-26,EQ,1000.01,1000.01,1000.01,1000.01,1000.01,1000.01,1000.01,1000.01,999.99,101,101001.01,2,LIQUIDETF
2018-03-27,EQ,999.99,1000.01,999.99,1000.01,1000.01,1000.01,1000.01,1000.01,999.99,1656,1656012.56,6,LIQUIDETF
2018-03-28,EQ,1000.01,1000.01,999.99,1000.01,1000.01,1000.01,1000.01,1000.01,999.99,5065,5065050.53,5,LIQUIDETF
2018-04-02,EQ,999.99,1000.01,999.99,1000.01,1000.01,1000.01,1000.01,1000.01,999.99,151,151001.49,2,LIQUIDETF
2018-04-03,EQ,999.99,1000.01,999.99,1000.01,999.99,999.99,999.99,1000.01,999.99,10012,10011900.6,4,LIQUIDETF
2018-04-04,EQ,1000.01,1000.01,1000.01,999.99,1000.01,1000.01,1000.01,1000.01,999.99,368,368003.68,4,LIQUIDETF
2018-04-05,EQ,1000.0,1000.0,999.99,1000.01,999.99,999.99,999.99,1000.01,999.99,3000,2999970.4,2,LIQUIDETF
2018-04-06,EQ,1000.01,1000.01,1000.01,999.99,1000.01,1000.01,1000.01,1000.01,999.99,52,52000.52,3,LIQUIDETF
2018-04-09,EQ,999.99,1000.01,999.99,1000.01,1000.01,1000.01,1000.0,1000.01,999.99,2,2000.0,2,LIQUIDETF
2018-04-10,EQ,999.99,999.99,999.99,1000.01,999.99,999.99,999.99,1000.01,999.99,2463,2462975.37,4,LIQUIDETF
2018-04-11,EQ,1000.01,1000.01,1000.01,999.99,1000.01,1000.01,1000.01,1000.01,999.99,457,457004.57,2,LIQUIDETF
2018-04-12,EQ,999.99,1000.01,999.99,1000.01,1000.01,1000.01,999.99,1000.01,999.99,115,114998.87,2,LIQUIDETF
2018-04-13,EQ,999.99,1000.01,999.99,1000.01,1000.01,1000.01,1000.01,1000.01,999.99,10544,10544094.56,3,LIQUIDETF
2018-04-16,EQ,999.99,1000.01,999.99,1000.01,1000.01,1000.0,999.99,1000.01,999.99,10612,10611899.92,8,LIQUIDETF
