date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2024-08-16,EQ,132.0,147.12,126.1,122.6,145.31,145.28,142.11,147.12,126.1,373810,53120752.24,7081,MANCREDIT
2024-08-19,EQ,147.98,169.0,141.0,145.28,149.99,148.22,154.16,169.0,126.1,469733,72412688.89,7332,MANCREDIT
2024-08-20,EQ,150.25,151.0,145.0,148.22,146.05,146.99,148.31,169.0,126.1,146380,21709248.55,1298,MANCREDIT
2024-08-21,EQ,148.5,149.69,143.0,146.99,145.2,145.77,146.84,169.0,126.1,45802,6725371.74,736,MANCREDIT
2024-08-22,EQ,146.5,154.28,146.49,145.77,153.53,151.56,151.86,169.0,126.1,27676,4202771.01,626,MANCREDIT
2024-08-23,EQ,150.05,151.8,145.61,151.56,147.95,146.67,147.97,169.0,126.1,44734,6619226.1,2071,MANCREDIT
2024-08-26,EQ,148.85,149.03,145.0,146.67,145.0,145.62,146.84,169.0,126.1,14597,2143392.78,489,MANCREDIT
2024-08-27,EQ,147.5,148.8,141.25,145.62,147.9,146.68,146.84,169.0,126.1,125278,18396437.43,772,MANCREDIT
2024-08-28,EQ,148.9,153.12,146.0,146.68,146.0,147.12,148.44,169.0,126.1,31011,4603425.37,654,MANCREDIT
2024-08-29,EQ,148.74,148.74,141.3,147.12,146.17,145.73,145.22,169.0,126.1,29918,4344808.93,407,MANCREDIT
2024-08-30,EQ,147.51,148.8,145.05,145.73,146.9,146.65,147.26,169.0,126.1,10474,1542400.83,222,MANCREDIT
2024-09-02,EQ,148.47,148.47,141.62,146.65,144.5,144.36,145.0,169.0,126.1,38837,5631495.01,850,MANCREDIT
2024-09-03,EQ,144.99,147.51,143.14,144.36,143.25,143.75,143.88,169.0,126.1,32301,4647622.56,1182,MANCREDIT
2024-09-04,EQ,145.99,147.89,141.92,143.75,142.26,142.39,144.05,169.0,126.1,36433,5248059.81,1662,MANCREDIT
2024-09-05,EQ,142.5,145.0,139.99,142.39,142.0,140.11,142.06,169.0,126.1,39822,5657181.44,1163,MANCREDIT
2024-09-06,EQ,139.05,145.65,139.05,140.11,141.11,141.3,143.03,169.0,126.1,29225,4179961.57,966,MANCREDIT
2024-09-09,EQ,135.35,147.01,135.35,141.3,144.0,141.31,143.09,169.0,126.1,30952,4428925.4,944,MANCREDIT
2024-09-10,EQ,142.05,144.6,140.11,141.31,140.11,141.4,143.09,169.0,126.1,32315,4624111.48,851,MANCREDIT
2024-09-11,EQ,143.05,144.03,138.05,141.4,142.0,141.12,142.73,169.0,126.1,28699,4096209.06,355,MANCREDIT
2024-09-12,EQ,140.81,144.56,139.99,141.12,140.06,140.15,142.41,169.0,126.1,31752,4521646.13,428,MANCREDIT
2024-09-13,EQ,142.18,145.44,140.1,140.15,141.99,141.66,142.22,169.0,126.1,42429,6034088.21,1420,MANCREDIT
2024-09-16,EQ,149.45,150.0,139.13,141.66,140.0,140.35,141.93,169.0,126.1,45239,6420887.0,1883,MANCREDIT
2024-09-17,EQ,142.98,142.98,138.01,140.35,139.55,139.84,139.64,169.0,126.1,30252,4224300.22,419,MANCREDIT
2024-09-18,EQ,139.0,154.18,139.0,139.84,140.0,141.01,145.51,169.0,126.1,99364,14458664.18,3105,MANCREDIT
2024-09-19,EQ,140.43,144.83,137.79,141.01,141.55,140.74,140.9,169.0,126.1,52952,7460823.07,2700,MANCREDIT
2024-09-20,EQ,141.19,143.99,140.0,140.74,140.01,140.9,141.5,169.0,126.1,40246,5694655.14,2515,MANCREDIT
2024-09-23,EQ,141.0,143.62,138.31,140.9,138.31,139.96,141.57,169.0,126.1,36641,5187436.47,1391,MANCREDIT
2024-09-24,EQ,139.96,142.33,139.0,139.96,139.01,139.11,140.42,169.0,126.1,31998,4493075.09,1065,MANCREDIT
2024-09-25,EQ,138.97,142.0,138.57,139.11,139.81,139.77,140.39,169.0,126.1,29355,4121129.84,715,MANCREDIT
2024-09-26,EQ,135.25,142.23,135.25,139.77,139.9,140.48,139.14,169.0,126.1,28914,4022975.46,1145,MANCREDIT
2024-09-27,EQ,138.5,142.25,134.91,140.48,142.25,140.63,139.09,169.0,126.1,46594,6480624.15,1394,MANCREDIT
2024-09-30,EQ,142.0,142.15,138.05,140.63,138.07,138.68,139.97,169.0,126.1,39678,5553666.48,961,MANCREDIT
2024-10-01,EQ,139.02,139.02,137.0,138.68,138.35,137.65,137.51,169.0,126.1,35256,4848140.5,289,MANCREDIT
2024-10-03,EQ,137.0,139.88,135.09,137.65,135.51,137.28,137.62,169.0,126.1,35637,4904467.6,1048,MANCREDIT
2024-10-04,EQ,138.8,139.54,135.18,137.28,136.5,137.48,137.16,169.0,126.1,24989,3427407.8,603,MANCREDIT
2024-10-07,EQ,140.0,140.9,128.7,137.48,139.0,137.62,135.78,169.0,126.1,44683,6067083.66,971,MANCREDIT
2024-10-08,EQ,138.45,139.89,133.39,137.62,137.95,137.57,137.63,169.0,126.1,109287,15041653.99,696,MANCREDIT
2024-10-09,EQ,137.54,139.95,135.93,137.57,139.95,136.52,137.24,169.0,126.1,63492,8713938.22,919,MANCREDIT
2024-10-10,EQ,136.64,139.24,136.32,136.52,136.32,136.76,138.72,169.0,126.1,26529,3680039.47,383,MANCREDIT
2024-10-11,EQ,138.19,138.6,135.11,136.76,135.4,136.28,136.65,169.0,126.1,67061,9164015.32,322,MANCREDIT
2024-10-14,EQ,136.48,138.5,132.11,136.28,132.61,134.61,137.51,169.0,126.1,26987,3711070.08,835,MANCREDIT
2024-10-15,EQ,135.06,143.36,135.01,134.61,143.0,142.16,137.75,169.0,126.1,31953,4401517.54,737,MANCREDIT
2024-10-16,EQ,142.75,143.1,136.05,142.16,140.0,136.85,141.18,169.0,126.1,26026,3674314.87,491,MANCREDIT
2024-10-17,EQ,139.35,142.85,137.34,136.85,139.85,140.77,139.87,169.0,126.1,29703,4154479.05,662,MANCREDIT
2024-10-18,EQ,142.07,142.07,136.25,140.77,136.27,137.69,139.33,169.0,126.1,52005,7245986.3,732,MANCREDIT
