date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-01-03,EQ,8.25,9.0,8.15,8.65,8.9,8.9,8.71,15.0,5.0,6800,59235.0,0,MANALUMN
2000-01-04,EQ,8.55,8.55,8.0,8.9,8.05,8.15,8.2,15.0,5.0,25100,205745.0,0,MANALUMN
2000-01-05,EQ,8.0,8.45,7.75,8.15,8.05,8.05,8.04,15.0,5.0,6800,54695.0,0,MANALUMN
2000-01-06,EQ,8.85,10.45,8.5,8.05,9.75,9.7,9.58,15.0,5.0,15300,146575.0,0,MANALUMN
2000-01-07,EQ,9.55,9.55,8.8,9.7,9.1,9.2,9.18,15.0,5.0,8800,80805.0,0,MANALUMN
2000-01-10,EQ,9.0,9.0,8.6,9.2,8.7,8.75,8.77,15.0,5.0,8300,72785.0,0,MANALUMN
2000-01-11,EQ,8.15,8.8,8.15,8.75,8.4,8.4,8.56,15.0,5.0,6100,52240.0,0,MANALUMN
2000-01-12,EQ,8.1,8.5,8.05,8.4,8.45,8.45,8.15,15.0,5.0,4900,39930.0,0,MANALUMN
2000-01-13,EQ,8.0,8.2,8.0,8.45,8.2,8.2,8.02,15.0,5.0,1900,15245.0,0,MANALUMN
2000-01-14,EQ,8.0,8.15,8.0,8.2,8.1,8.1,8.02,15.0,5.0,3500,28075.0,0,MANALUMN
2000-01-17,EQ,7.2,7.8,7.15,8.1,7.75,7.75,7.49,15.0,5.0,5500,41170.0,0,MANALUMN
2000-01-18,EQ,7.5,8.0,7.5,7.75,7.75,7.75,7.81,15.0,5.0,4300,33595.0,0,MANALUMN
2005-06-24,EQ,226.9,226.9,185.0,184.9,187.2,187.7,195.26,226.9,185.0,124886,24385394.85,0,MANINDS
2005-06-27,EQ,190.0,195.0,184.1,187.7,191.0,187.15,188.99,226.9,184.1,21733,4107366.15,0,MANINDS
2005-06-28,EQ,188.15,190.0,179.15,187.15,179.15,180.8,184.48,226.9,179.15,12938,2386814.35,0,MANINDS
2005-06-29,EQ,180.05,185.7,178.0,180.8,185.65,182.55,180.94,226.9,178.0,7533,1362986.4,0,MANINDS
2005-06-30,EQ,184.1,185.0,181.35,182.55,183.0,183.35,183.47,226.9,178.0,3971,728550.1,0,MANINDS
2005-07-01,EQ,182.0,182.5,177.0,183.35,177.25,178.05,179.39,226.9,177.0,4799,860888.05,0,MANINDS
2005-07-04,EQ,182.0,182.0,179.8,178.05,180.55,180.6,181.2,226.9,177.0,2555,462971.4,0,MANINDS
2005-07-05,EQ,180.0,183.5,173.1,180.6,173.5,175.15,179.97,226.9,173.1,5035,906124.4,0,MANINDS
2005-07-06,EQ,179.9,180.0,172.05,175.15,172.05,173.2,175.48,226.9,172.05,4553,798962.8,0,MANINDS
2005-07-07,EQ,177.8,183.8,173.7,173.2,178.0,176.9,178.12,226.9,172.05,12292,2189500.6,0,MANINDS
2005-07-08,EQ,188.0,188.0,175.25,176.9,177.0,176.25,177.5,226.9,172.05,3886,689766.25,0,MANINDS
2005-07-11,EQ,177.75,180.0,174.05,176.25,179.7,178.8,176.83,226.9,172.05,3830,677260.45,0,MANINDS
2005-07-12,EQ,179.15,191.0,178.0,178.8,191.0,190.15,182.65,226.9,172.05,38851,7096298.55,0,MANINDS
2005-07-13,EQ,194.65,202.95,194.0,190.15,202.0,201.05,199.55,226.9,172.05,32562,6497845.6,0,MANINDS
2005-07-14,EQ,198.0,205.0,195.0,201.05,198.05,197.15,199.1,226.9,172.05,9665,1924311.4,0,MANINDS
2005-07-15,EQ,195.1,200.0,195.1,197.15,199.9,199.5,198.72,226.9,172.05,3179,631719.55,0,MANINDS
2005-07-18,EQ,204.9,204.9,198.15,199.5,200.0,200.05,200.71,226.9,172.05,13408,2691121.15,0,MANINDS
2005-07-19,EQ,204.0,214.0,201.0,200.05,213.0,212.35,208.24,226.9,172.05,50247,10463265.8,0,MANINDS
2005-07-20,EQ,213.0,218.0,209.0,212.35,218.0,215.1,212.34,226.9,172.05,14664,3113781.45,0,MANINDS
2005-07-21,EQ,215.0,218.0,205.15,215.1,210.05,213.35,211.45,226.9,172.05,7842,1658158.9,0,MANINDS
2005-07-22,EQ,213.9,214.0,205.6,213.35,205.6,207.5,211.9,226.9,172.05,101542,21516488.35,0,MANINDS
2005-07-25,EQ,209.0,209.8,199.75,207.5,205.0,203.35,202.45,226.9,172.05,11697,2368089.3,0,MANINDS
2005-07-26,EQ,204.0,204.0,197.2,203.35,197.2,198.8,201.17,226.9,172.05,2457,494277.1,0,MANINDS
2005-07-27,EQ,198.1,199.85,195.6,198.8,198.0,196.55,198.04,226.9,172.05,3100,613937.8,0,MANINDS
2005-07-29,EQ,198.75,204.0,195.0,196.55,202.25,202.3,201.71,226.9,172.05,10786,2175678.1,0,MANINDS
2005-08-01,EQ,198.1,198.75,192.3,202.3,196.0,196.25,196.75,226.9,172.05,2611,513724.25,0,MANINDS
2005-08-02,EQ,198.0,211.0,195.15,196.25,204.0,204.05,203.96,226.9,172.05,12924,2636006.55,0,MANINDS
2005-08-03,EQ,210.0,210.0,202.0,204.05,202.9,202.55,203.28,226.9,172.05,4948,1005837.1,0,MANINDS
2005-08-04,EQ,202.45,208.0,199.0,202.55,202.3,204.1,201.53,226.9,172.05,18480,3724255.35,0,MANINDS
2005-08-05,EQ,201.1,210.9,201.05,204.1,208.65,208.55,206.58,226.9,172.05,7879,1627627.35,0,MANINDS
2005-08-08,EQ,210.0,217.7,209.05,208.55,213.05,210.95,211.8,226.9,172.05,27109,5741708.2,0,MANINDS
2005-08-09,EQ,211.75,214.9,210.0,210.95,214.0,213.45,212.13,226.9,172.05,3341,708736.1,0,MANINDS
2005-08-10,EQ,213.0,216.0,211.0,213.45,216.0,215.3,213.96,226.9,172.05,4037,863757.8,0,MANINDS
2005-08-11,EQ,216.0,230.0,216.0,215.3,217.5,217.9,220.17,230.0,172.05,32126,7073271.8,0,MANINDS
2005-08-12,EQ,227.0,227.0,200.2,217.9,204.0,209.2,215.39,230.0,172.05,8664,1866100.8,0,MANINDS
2005-08-16,EQ,215.9,215.95,204.55,209.2,210.5,210.55,210.27,230.0,172.05,2095,440525.75,0,MANINDS
2005-08-17,EQ,210.0,217.95,210.0,210.55,217.95,215.25,212.79,230.0,172.05,2374,505160.25,0,MANINDS
2005-08-18,EQ,218.3,218.4,205.0,215.25,205.05,206.55,209.84,230.0,172.05,6723,1410752.15,0,MANINDS
2005-08-19,EQ,207.5,216.55,207.0,206.55,215.0,213.2,211.4,230.0,172.05,3885,821282.8,0,MANINDS
2005-08-22,EQ,218.9,220.0,215.0,213.2,220.0,217.9,216.78,230.0,172.05,9605,2082141.3,0,MANINDS
2005-08-23,EQ,214.15,215.0,207.0,217.9,207.0,207.0,210.59,230.0,172.05,885,186367.75,0,MANINDS
2005-08-24,EQ,202.0,208.4,195.45,207.0,199.9,197.9,201.42,230.0,172.05,3892,783920.3,0,MANINDS
2005-08-25,EQ,201.0,209.95,198.15,197.9,209.95,207.0,200.65,230.0,172.05,13968,2802713.9,0,MANINDS
2005-08-26,EQ,212.95,212.95,201.1,207.0,201.1,201.35,202.59,230.0,172.05,1681,340547.7,0,MANINDS
2005-08-29,EQ,190.5,206.75,190.5,201.35,203.0,203.3,197.73,230.0,172.05,2237,442311.55,0,MANINDS
2005-08-30,EQ,203.0,208.5,200.0,203.3,205.0,205.5,203.87,230.0,172.05,1706,347797.25,0,MANINDS
2005-08-31,EQ,224.0,224.0,201.0,205.5,203.0,202.65,205.59,230.0,172.05,55041,11315733.05,0,MANINDS
2005-09-01,EQ,235.1,235.1,196.1,202.65,197.0,197.3,203.43,235.1,172.05,37123,7551768.7,0,MANINDS
