date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2024-10-09,EQ,10.13,10.84,7.9,9.88,9.79,9.78,9.79,10.84,7.9,194811,1907331.81,356,METAL
2024-10-10,EQ,9.78,9.95,9.77,9.78,9.85,9.84,9.83,10.84,7.9,154425,1517452.02,403,METAL
2024-10-11,EQ,10.33,10.82,9.85,9.84,9.93,9.92,9.96,10.84,7.9,190882,1900318.97,475,METAL
2024-10-14,EQ,10.12,10.49,9.87,9.92,9.87,9.89,9.97,10.84,7.9,311887,3110230.38,704,METAL
2024-10-15,EQ,9.89,9.93,9.65,9.89,9.76,9.75,9.79,10.84,7.9,268119,2624598.72,633,METAL
2024-10-16,EQ,9.75,9.83,9.68,9.75,9.71,9.72,9.75,10.84,7.9,82836,807820.55,348,METAL
2024-10-17,EQ,9.78,9.8,9.56,9.72,9.6,9.59,9.65,10.84,7.9,119691,1155397.15,542,METAL
2024-10-18,EQ,9.59,9.8,9.47,9.59,9.73,9.74,9.68,10.84,7.9,103114,997977.11,293,METAL
2024-10-21,EQ,10.18,10.18,9.58,9.74,9.59,9.59,9.65,10.84,7.9,90475,873459.5,425,METAL
2024-10-22,EQ,9.59,9.65,9.3,9.59,9.32,9.31,9.45,10.84,7.9,153180,1447098.4,589,METAL
2024-10-23,EQ,9.48,9.48,9.21,9.31,9.29,9.28,9.41,10.84,7.9,1179088,11090073.47,1608,METAL
2024-10-24,EQ,9.28,9.38,9.15,9.28,9.26,9.25,9.24,10.84,7.9,60889,562517.55,285,METAL
2024-10-25,EQ,9.28,9.37,8.9,9.25,9.07,9.07,9.03,10.84,7.9,777166,7017168.62,1380,METAL
2024-10-28,EQ,9.04,9.3,9.0,9.07,9.26,9.27,9.22,10.84,7.9,64752,596997.63,363,METAL
2024-10-29,EQ,9.73,9.73,9.1,9.27,9.38,9.42,9.27,10.84,7.9,606957,5625334.04,3030,METAL
2024-10-30,EQ,9.29,9.44,9.27,9.42,9.31,9.33,9.39,10.84,7.9,489929,4602057.54,759,METAL
2024-10-31,EQ,9.33,9.44,9.24,9.33,9.31,9.32,9.32,10.84,7.9,86953,810723.71,375,METAL
2024-11-01,EQ,9.41,9.46,9.37,9.32,9.39,9.38,9.39,10.84,7.9,57108,536309.78,249,METAL
2024-11-04,EQ,9.78,9.78,9.12,9.38,9.44,9.33,9.22,10.84,7.9,138794,1279382.99,575,METAL
2024-11-05,EQ,9.34,10.33,9.24,9.33,9.5,9.5,9.41,10.84,7.9,439052,4130484.72,752,METAL
2024-11-06,EQ,9.55,10.4,9.36,9.5,9.65,9.72,9.56,10.84,7.9,395682,3782142.23,727,METAL
2024-11-07,EQ,10.16,10.16,9.35,9.72,9.39,9.39,9.43,10.84,7.9,617148,5819395.4,1759,METAL
2024-11-08,EQ,9.65,9.65,9.26,9.39,9.28,9.31,9.34,10.84,7.9,363749,3395672.64,972,METAL
2024-11-11,EQ,9.38,9.38,9.16,9.31,9.21,9.21,9.21,10.84,7.9,202239,1861941.7,681,METAL
2024-11-12,EQ,9.45,9.45,9.05,9.21,9.05,9.08,9.14,10.84,7.9,176011,1608786.51,588,METAL
2024-11-13,EQ,9.03,9.14,8.78,9.08,8.85,8.83,8.88,10.84,7.9,337643,2999860.74,1265,METAL
2024-11-14,EQ,8.98,8.98,8.63,8.83,8.82,8.84,8.86,10.84,7.9,106872,947248.41,385,METAL
2024-11-18,EQ,8.91,9.15,8.83,8.84,8.98,8.98,8.97,10.84,7.9,148408,1331494.89,538,METAL
2024-11-19,EQ,8.98,9.06,8.88,8.98,8.88,8.91,8.98,10.84,7.9,134599,1209196.71,514,METAL
2024-11-21,EQ,9.31,9.31,8.64,8.91,8.7,8.7,8.73,10.84,7.9,249689,2178953.68,885,METAL
2024-11-22,EQ,8.88,8.88,8.67,8.7,8.83,8.83,8.77,10.84,7.9,118284,1037194.15,364,METAL
2024-11-25,EQ,9.18,9.37,8.83,8.83,8.88,8.87,8.97,10.84,7.9,251872,2258462.65,585,METAL
2024-11-26,EQ,8.9,8.98,8.87,8.87,8.91,8.91,8.95,10.84,7.9,202575,1812547.8,419,METAL
2024-11-27,EQ,9.09,9.09,8.63,8.91,8.99,8.98,8.91,10.84,7.9,73491,654903.05,290,METAL
2024-11-28,EQ,8.9,9.08,8.9,8.98,8.98,8.95,9.01,10.84,7.9,103681,934328.15,511,METAL
2024-11-29,EQ,9.12,9.13,8.94,8.95,9.02,9.02,9.02,10.84,7.9,48807,440296.49,279,METAL
2024-12-02,EQ,9.2,9.2,9.0,9.02,9.13,9.1,9.09,10.84,7.9,88212,802060.27,317,METAL
2024-12-03,EQ,9.37,9.37,9.16,9.1,9.24,9.24,9.21,10.84,7.9,241123,2220221.54,482,METAL
2024-12-04,EQ,9.43,9.43,9.14,9.24,9.22,9.2,9.21,10.84,7.9,361004,3325395.63,675,METAL
2024-12-05,EQ,9.25,9.32,9.15,9.2,9.27,9.27,9.2,10.84,7.9,208924,1922611.02,3117,METAL
2024-12-06,EQ,9.46,9.46,9.13,9.27,9.4,9.33,9.33,10.84,7.9,210988,1968665.73,1513,METAL
2024-12-09,EQ,9.5,9.5,9.3,9.33,9.45,9.43,9.38,10.84,7.9,128449,1204372.27,426,METAL
2024-12-10,EQ,9.47,9.55,9.43,9.43,9.46,9.45,9.49,10.84,7.9,313363,2974338.56,635,METAL
2024-12-11,EQ,9.63,10.1,9.43,9.45,9.47,9.49,9.56,10.84,7.9,397001,3797094.39,1817,METAL
2024-12-12,EQ,9.92,9.92,9.39,9.49,9.51,9.5,9.48,10.84,7.9,664294,6297661.9,1034,METAL
2024-12-13,EQ,9.59,9.59,9.26,9.5,9.43,9.47,9.36,10.84,7.9,276428,2587334.8,1127,METAL
2024-12-16,EQ,9.57,9.57,9.31,9.47,9.35,9.35,9.35,10.84,7.9,293553,2745582.63,1570,METAL
2024-12-17,EQ,9.38,9.38,9.18,9.35,9.19,9.2,9.27,10.84,7.9,692104,6414885.86,2311,METAL
2024-12-18,EQ,9.19,9.23,9.03,9.2,9.08,9.08,9.12,10.84,7.9,211627,1929782.39,2591,METAL
2024-12-19,EQ,9.37,9.37,8.86,9.08,9.15,9.0,8.96,10.84,7.9,275296,2466786.24,1380,METAL
2024-12-20,EQ,9.06,9.25,8.75,9.0,8.84,8.83,8.93,10.84,7.9,240438,2146758.94,1673,METAL
2024-12-23,EQ,8.89,8.98,8.83,8.83,8.91,8.89,8.9,10.84,7.9,80628,717777.97,490,METAL
2024-12-24,EQ,8.89,8.9,8.79,8.89,8.83,8.82,8.83,10.84,7.9,158848,1402907.25,739,METAL
2024-12-26,EQ,8.85,8.87,8.75,8.82,8.83,8.82,8.81,10.84,7.9,187996,1656822.67,521,METAL
2024-12-27,EQ,8.81,8.88,8.73,8.82,8.73,8.75,8.78,10.84,7.9,154403,1355205.4,882,METAL
2024-12-30,EQ,8.79,8.89,8.61,8.75,8.7,8.66,8.69,10.84,7.9,357451,3105431.75,891,METAL
2024-12-31,EQ,8.7,8.71,8.6,8.66,8.68,8.67,8.67,10.84,7.9,101995,884383.23,361,METAL
2025-01-01,EQ,8.74,8.75,8.61,8.67,8.67,8.66,8.65,10.84,7.9,62716,542496.93,371,METAL
2025-01-02,EQ,8.69,8.8,8.64,8.66,8.75,8.74,8.71,10.84,7.9,74631,649925.84,307,METAL
2025-01-03,EQ,8.76,8.92,8.73,8.74,8.75,8.76,8.78,10.84,7.9,147964,1299301.78,534,METAL
2025-01-06,EQ,8.8,8.8,8.47,8.76,8.48,8.49,8.54,10.84,7.9,609176,5200334.78,1448,METAL
2025-01-07,EQ,8.6,8.61,8.48,8.49,8.58,8.58,8.57,10.84,7.9,225392,1930922.76,510,METAL
2025-01-08,EQ,8.65,8.65,8.45,8.58,8.51,8.52,8.51,10.84,7.9,143172,1217919.57,427,METAL
2025-01-09,EQ,8.54,8.55,8.42,8.52,8.45,8.42,8.44,10.84,7.9,166180,1402521.03,426,METAL
2025-01-10,EQ,8.48,8.48,8.23,8.42,8.31,8.3,8.32,10.84,7.9,187404,1558280.75,828,METAL
2025-01-13,EQ,8.47,8.47,7.96,8.3,7.97,7.99,8.06,10.84,7.9,510881,4119098.45,1069,METAL
2025-01-14,EQ,7.96,8.3,7.9,7.99,8.27,8.28,8.21,10.84,7.9,189618,1556325.96,362,METAL
2025-01-15,EQ,8.35,8.38,8.25,8.28,8.3,8.29,8.31,10.84,7.9,59245,492066.98,247,METAL
2025-01-16,EQ,8.35,8.5,8.35,8.29,8.43,8.44,8.43,10.84,7.9,81846,690240.73,240,METAL
2025-01-17,EQ,8.5,8.6,8.44,8.44,8.6,8.56,8.55,10.84,7.9,207741,1775695.92,271,METAL
2025-01-20,EQ,8.6,8.66,8.48,8.56,8.64,8.64,8.59,10.84,7.9,279424,2400476.48,280,METAL
