date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2023-12-27,EQ,282.35,324.8,261.6,280.0,311.0,312.2,299.43,324.8,261.6,31205569,9343839164.5,374763,MUFTI
2023-12-28,EQ,309.0,323.45,295.25,312.2,295.6,297.4,312.01,324.8,261.6,4623675,1442655151.25,85572,MUFTI
2023-12-29,EQ,297.7,299.0,289.0,297.4,289.15,291.5,293.67,324.8,261.6,1549391,455003914.1,31654,MUFTI
2024-01-01,EQ,292.0,292.65,281.0,291.5,281.5,282.25,285.6,324.8,261.6,1380728,394338863.45,29536,MUFTI
2024-01-02,EQ,282.85,290.25,276.8,282.25,283.65,284.45,284.52,324.8,261.6,1310040,372735475.9,26013,MUFTI
2024-01-03,EQ,285.0,293.45,280.1,284.45,280.95,280.8,285.46,324.8,261.6,1550455,442596011.05,24474,MUFTI
2024-01-04,EQ,282.25,285.65,279.5,280.8,280.5,280.65,282.46,324.8,261.6,920248,259932142.3,17032,MUFTI
2024-01-05,EQ,283.0,283.35,276.65,280.65,277.45,278.25,279.49,324.8,261.6,486918,136086741.45,10082,MUFTI
2024-01-08,EQ,279.0,279.75,267.5,278.25,270.5,271.3,271.97,324.8,261.6,871199,236939552.65,19258,MUFTI
2024-01-09,EQ,272.0,274.95,266.0,271.3,266.2,267.35,269.21,324.8,261.6,652018,175528957.6,16996,MUFTI
2024-01-10,EQ,267.55,269.7,264.15,267.35,266.0,266.15,266.18,324.8,261.6,626230,166689330.7,11077,MUFTI
2024-01-11,EQ,266.3,275.75,266.3,266.15,270.6,270.1,271.01,324.8,261.6,581651,157632130.75,13418,MUFTI
2024-01-12,EQ,271.95,274.0,271.1,270.1,273.45,272.65,272.61,324.8,261.6,193907,52861429.2,5124,MUFTI
2024-01-15,EQ,274.3,275.85,269.0,272.65,274.0,272.75,272.49,324.8,261.6,627231,170913097.85,15523,MUFTI
2024-01-16,EQ,273.7,273.7,266.0,272.75,269.4,269.35,269.82,324.8,261.6,322062,86898431.55,9312,MUFTI
2024-01-17,EQ,272.4,289.0,270.1,269.35,274.5,273.95,281.31,324.8,261.6,2567758,722333012.9,44757,MUFTI
2024-01-18,EQ,273.7,275.5,262.6,273.95,268.7,268.25,268.2,324.8,261.6,609081,163358544.65,16671,MUFTI
2024-01-19,EQ,270.0,273.95,265.0,268.25,265.05,266.15,268.79,324.8,261.6,321118,86313405.0,10210,MUFTI
2024-01-20,EQ,267.0,269.5,265.3,266.15,266.0,266.2,267.13,324.8,261.6,143887,38436001.1,6369,MUFTI
2024-01-23,EQ,267.05,267.7,251.85,266.2,253.85,252.85,259.76,324.8,251.85,444380,115430720.7,18272,MUFTI
2024-01-24,EQ,254.8,258.8,251.25,252.85,252.1,252.1,254.41,324.8,251.25,222893,56705497.0,10433,MUFTI
2024-01-25,EQ,252.25,255.45,250.0,252.1,252.4,252.25,253.0,324.8,250.0,145875,36906591.15,6849,MUFTI
2024-01-29,EQ,252.8,262.0,252.8,252.25,261.5,259.45,258.25,324.8,250.0,243923,62993748.15,10548,MUFTI
2024-01-30,EQ,260.9,263.0,258.25,259.45,259.0,259.55,260.0,324.8,250.0,247797,64426146.05,6552,MUFTI
2024-01-31,EQ,259.05,266.7,259.05,259.55,266.0,265.15,263.29,324.8,250.0,229559,60440554.25,7782,MUFTI
2024-02-01,EQ,267.2,275.3,260.35,265.15,272.4,272.4,269.44,324.8,250.0,476825,128477085.25,18662,MUFTI
2024-02-02,EQ,273.45,278.4,268.2,272.4,271.5,272.55,272.63,324.8,250.0,401474,109455686.7,17372,MUFTI
2024-02-05,EQ,273.95,273.95,259.05,272.55,260.4,260.5,266.36,324.8,250.0,330280,87973183.95,18617,MUFTI
2024-02-06,EQ,261.25,262.4,253.2,260.5,254.25,253.9,255.26,324.8,250.0,300596,76729336.7,10923,MUFTI
2024-02-07,EQ,255.4,263.95,253.45,253.9,261.0,261.0,258.0,324.8,250.0,293109,75621656.6,13399,MUFTI
2024-02-08,EQ,261.0,264.0,252.4,261.0,254.0,253.5,256.52,324.8,250.0,314432,80659462.95,11267,MUFTI
2024-02-09,EQ,254.4,256.35,246.1,253.5,247.6,248.95,249.31,324.8,246.1,283655,70719407.8,11778,MUFTI
2024-02-12,EQ,248.0,250.15,241.1,248.95,245.2,244.75,245.47,324.8,241.1,220309,54079811.5,12176,MUFTI
2024-02-13,EQ,245.8,245.8,237.35,244.75,237.9,238.45,239.44,324.8,237.35,292709,70087436.7,9305,MUFTI
2024-02-14,EQ,230.6,247.0,230.6,238.45,244.1,244.9,242.87,324.8,230.6,241872,58744131.65,8898,MUFTI
2024-02-15,EQ,235.0,250.4,230.95,244.9,247.05,246.1,237.72,324.8,230.6,552037,131229467.75,20694,MUFTI
2024-02-16,EQ,249.1,253.2,239.25,246.1,239.95,240.05,244.75,324.8,230.6,320450,78429202.55,13574,MUFTI
2024-02-19,EQ,242.2,242.2,233.6,240.05,234.9,234.85,236.47,324.8,230.6,272895,64532743.75,13378,MUFTI
2024-02-20,EQ,236.9,237.0,233.8,234.85,235.5,234.25,235.04,324.8,230.6,216600,50909807.65,6887,MUFTI
2024-02-21,EQ,236.15,237.05,226.15,234.25,227.35,227.2,229.12,324.8,226.15,536773,122988102.85,14748,MUFTI
2024-02-22,EQ,228.7,234.5,227.0,227.2,233.25,233.45,230.01,324.8,226.15,251927,57945588.8,9512,MUFTI
2024-02-23,EQ,234.95,235.3,231.05,233.45,233.6,233.35,232.91,324.8,226.15,173402,40387819.2,9647,MUFTI
2024-02-26,EQ,234.75,235.4,231.15,233.35,231.95,232.1,233.75,324.8,226.15,116643,27265216.7,4941,MUFTI
2024-02-27,EQ,232.5,239.9,231.05,232.1,237.45,237.25,235.36,324.8,226.15,233758,55016645.4,9847,MUFTI
2024-02-28,EQ,236.2,239.1,224.9,237.25,228.0,228.45,231.1,324.8,224.9,256217,59210940.35,8740,MUFTI
2024-02-29,EQ,229.9,230.95,222.8,228.45,227.1,225.0,226.01,324.8,222.8,162292,36679443.45,8742,MUFTI
2024-03-01,EQ,225.2,229.05,221.15,225.0,222.4,223.1,224.84,324.8,221.15,177490,39907199.4,6460,MUFTI
2024-03-02,EQ,224.0,234.25,223.95,223.1,233.0,233.8,232.62,324.8,221.15,207620,48297153.8,3489,MUFTI
2024-03-04,EQ,234.9,236.1,225.2,233.8,225.8,226.5,229.86,324.8,221.15,233394,53648731.95,8225,MUFTI
2024-03-05,EQ,226.35,226.35,219.05,226.5,219.8,219.55,221.46,324.8,219.05,221590,49073369.35,10818,MUFTI
2024-03-06,EQ,219.55,221.45,198.05,219.55,204.9,205.2,204.16,324.8,198.05,1114977,227631768.4,38373,MUFTI
2024-03-07,EQ,208.85,209.7,197.05,205.2,198.0,198.55,201.25,324.8,197.05,754297,151803371.75,23162,MUFTI
2024-03-11,EQ,199.2,203.0,188.75,198.55,190.45,191.0,193.0,324.8,188.75,610675,117860418.35,20716,MUFTI
2024-03-12,EQ,191.95,192.65,182.55,191.0,185.0,185.95,186.79,324.8,182.55,517845,96728226.45,19443,MUFTI
2024-03-13,EQ,185.95,189.2,177.0,185.95,185.5,183.6,182.85,324.8,177.0,718552,131386446.55,26275,MUFTI
2024-03-14,EQ,185.05,191.45,180.05,183.6,180.85,180.85,183.73,324.8,177.0,612810,112590518.4,15468,MUFTI
2024-03-15,EQ,180.8,183.95,174.8,180.85,176.95,177.55,178.4,324.8,174.8,418591,74674938.8,11948,MUFTI
2024-03-18,EQ,178.1,197.65,178.1,177.55,194.6,195.35,190.11,324.8,174.8,1021699,194234975.45,33389,MUFTI
2024-03-19,EQ,194.9,196.45,185.85,195.35,186.0,186.6,189.6,324.8,174.8,303485,57540255.5,10994,MUFTI
2024-03-20,EQ,186.5,188.45,176.0,186.6,176.95,177.05,180.75,324.8,174.8,467085,84424507.9,13312,MUFTI
2024-03-21,EQ,182.0,188.0,177.5,177.05,179.5,179.5,181.77,324.8,174.8,797445,144948339.55,22401,MUFTI
2024-03-22,EQ,179.0,183.35,174.7,179.5,178.9,179.65,178.57,324.8,174.7,729510,130267059.55,23007,MUFTI
2024-03-26,EQ,177.7,181.0,174.0,179.65,175.15,175.3,176.0,324.8,174.0,467377,82259849.75,12547,MUFTI
2024-03-27,EQ,175.3,178.85,167.85,175.3,168.0,169.05,172.3,324.8,167.85,846609,145867007.4,21697,MUFTI
2024-03-28,EQ,170.3,174.9,165.4,169.05,166.3,166.95,169.59,324.8,165.4,995430,168812963.0,16604,MUFTI
2024-04-01,EQ,169.0,180.4,168.5,166.95,180.0,179.65,176.56,324.8,165.4,719567,127045227.15,15977,MUFTI
2024-04-02,EQ,175.7,188.0,175.7,179.65,187.5,186.0,182.76,324.8,165.4,785422,143543490.65,16666,MUFTI
2024-04-03,EQ,184.5,202.0,179.95,186.0,198.0,197.95,190.65,324.8,165.4,1217405,232099533.8,27627,MUFTI
2024-04-04,EQ,201.4,211.55,201.4,197.95,204.2,203.9,206.56,324.8,165.4,1195013,246842040.0,28721,MUFTI
2024-04-05,EQ,208.9,208.9,200.5,203.9,203.9,202.5,202.81,324.8,165.4,254898,51696060.55,7261,MUFTI
2024-04-08,EQ,204.45,205.7,197.0,202.5,198.0,197.45,199.16,324.8,165.4,263588,52496110.35,6849,MUFTI
2024-04-09,EQ,199.8,201.25,191.4,197.45,194.3,193.65,195.2,324.8,165.4,220638,43068644.3,6601,MUFTI
2024-04-10,EQ,194.95,194.95,188.9,193.65,190.45,190.6,191.12,324.8,165.4,181889,34763353.15,6274,MUFTI
2024-04-12,EQ,193.45,195.5,188.8,190.6,191.35,191.45,190.81,324.8,165.4,169289,32302287.75,5848,MUFTI
2024-04-15,EQ,186.45,188.0,179.4,191.45,184.1,184.75,184.56,324.8,165.4,214872,39656015.6,9654,MUFTI
2024-04-16,EQ,183.4,187.75,182.8,184.75,183.65,183.7,184.61,324.8,165.4,180599,33340149.55,8834,MUFTI
2024-04-18,EQ,185.05,192.95,183.15,183.7,186.8,184.65,188.28,324.8,165.4,219470,41321486.0,11462,MUFTI
2024-04-19,EQ,181.95,185.45,180.55,184.65,185.0,184.05,183.55,324.8,165.4,108548,19923678.55,5587,MUFTI
2024-04-22,EQ,187.4,188.75,184.6,184.05,185.0,185.05,186.1,324.8,165.4,113470,21116442.4,5703,MUFTI
2024-04-23,EQ,185.95,190.1,185.1,185.05,188.7,188.7,187.97,324.8,165.4,144644,27188618.35,6887,MUFTI
2024-04-24,EQ,191.0,192.4,189.25,188.7,190.7,190.95,190.72,324.8,165.4,126539,24134106.3,5631,MUFTI
2024-04-25,EQ,191.8,193.45,187.35,190.95,188.0,188.65,189.64,324.8,165.4,159943,30331173.0,7855,MUFTI
2024-04-26,EQ,188.65,189.35,185.35,188.65,186.5,186.5,187.08,324.8,165.4,117022,21892256.55,5380,MUFTI
2024-04-29,EQ,187.75,188.3,183.5,186.5,184.6,184.15,184.95,324.8,165.4,112408,20790130.95,4943,MUFTI
2024-04-30,EQ,185.15,186.95,181.05,184.15,183.5,182.75,183.98,324.8,165.4,192694,35451720.65,8008,MUFTI
2024-05-02,EQ,185.0,188.45,181.3,182.75,186.8,186.6,183.68,324.8,165.4,289481,53171348.7,18025,MUFTI
2024-05-03,EQ,187.9,188.0,182.25,186.6,185.75,186.4,185.28,324.8,165.4,279207,51730191.3,15182,MUFTI
2024-05-06,EQ,186.3,187.45,179.0,186.4,181.0,181.55,183.21,324.8,165.4,165186,30263445.9,8643,MUFTI
2024-05-07,EQ,182.5,183.9,177.1,181.55,178.55,178.7,180.27,324.8,165.4,218184,39331135.05,13439,MUFTI
2024-05-08,EQ,179.45,182.3,177.0,178.7,180.0,180.05,179.53,324.8,165.4,82940,14890515.3,5229,MUFTI
2024-05-09,EQ,181.45,181.45,173.15,180.05,174.8,173.9,176.49,324.8,165.4,111404,19662047.5,6495,MUFTI
2024-05-10,EQ,175.95,176.0,170.55,173.9,171.85,171.75,171.91,324.8,165.4,203659,35011267.55,6664,MUFTI
2024-05-13,EQ,172.05,173.0,169.45,171.75,170.8,170.6,170.7,324.8,165.4,111848,19092630.2,6235,MUFTI
2024-05-14,EQ,172.25,173.5,170.5,170.6,170.75,170.95,171.56,324.8,165.4,109911,18856215.5,5656,MUFTI
2024-05-15,EQ,171.8,174.3,168.9,170.95,170.3,170.15,171.48,324.8,165.4,123010,21094199.1,4676,MUFTI
2024-05-16,EQ,171.45,173.0,169.9,170.15,172.25,171.75,171.28,324.8,165.4,96524,16532175.0,4494,MUFTI
2024-05-17,EQ,172.3,177.65,172.1,171.75,175.4,175.25,174.95,324.8,165.4,164411,28764098.9,6944,MUFTI
2024-05-18,EQ,176.4,177.85,175.0,175.25,177.2,177.3,176.86,324.8,165.4,28810,5095468.75,886,MUFTI
2024-05-21,EQ,179.95,180.0,175.3,177.3,175.3,176.2,176.71,324.8,165.4,123806,21878267.55,4744,MUFTI
2024-05-22,EQ,178.4,178.4,174.05,176.2,175.8,174.95,175.31,324.8,165.4,68904,12079599.45,3333,MUFTI
2024-05-23,EQ,174.0,176.3,170.9,174.95,171.45,171.4,172.94,324.8,165.4,160179,27701354.15,4462,MUFTI
2024-05-24,EQ,172.25,173.25,168.9,171.4,169.5,169.1,170.15,324.8,165.4,194574,33107519.25,5665,MUFTI
2024-05-27,EQ,170.95,172.5,167.05,169.1,167.6,167.7,168.62,324.8,165.4,223823,37739993.45,7658,MUFTI
2024-05-28,EQ,167.95,173.2,167.7,167.7,170.0,169.6,170.18,324.8,165.4,281039,47827218.6,6632,MUFTI
2024-05-29,EQ,169.85,170.45,168.5,169.6,169.3,168.95,169.29,324.8,165.4,89547,15159167.0,3226,MUFTI
2024-05-30,EQ,169.8,173.25,167.5,168.95,169.8,168.2,170.04,324.8,165.4,212849,36193122.65,7103,MUFTI
2024-05-31,EQ,165.0,166.15,161.75,168.2,162.25,162.2,163.44,324.8,161.75,464358,75893549.55,9931,MUFTI
2024-06-03,EQ,165.75,168.0,158.55,162.2,159.8,159.95,161.77,324.8,158.55,273804,44293844.75,11401,MUFTI
2024-06-04,EQ,160.1,160.55,145.2,159.95,151.9,150.85,152.58,324.8,145.2,316607,48307389.9,12576,MUFTI
2024-06-05,EQ,152.45,160.0,147.25,150.85,158.0,154.55,150.9,324.8,145.2,379933,57331991.25,8824,MUFTI
2024-06-06,EQ,158.1,162.0,157.55,154.55,160.0,160.3,159.47,324.8,145.2,192714,30731156.1,4993,MUFTI
