date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2017-05-30,EQ,3700.0,3800.0,3517.0,3691.35,3699.0,3580.65,3684.32,5040.0,270.0,70,257902.05,18,NBIFIN
2017-05-31,EQ,3551.0,3551.0,3502.0,3580.65,3520.0,3509.5,3518.7,5040.0,270.0,53,186491.0,15,NBIFIN
2017-06-01,EQ,3550.0,3684.0,3502.5,3509.5,3684.0,3641.0,3620.39,5040.0,270.0,225,814587.0,26,NBIFIN
2017-06-02,EQ,3743.0,3750.0,3675.0,3641.0,3750.0,3750.0,3713.25,5040.0,270.0,52,193089.0,9,NBIFIN
2017-06-05,EQ,3780.0,3780.0,3780.0,3750.0,3780.0,3780.0,3780.0,5040.0,270.0,1,3780.0,1,NBIFIN
2017-06-06,EQ,3934.0,3934.0,3611.0,3780.0,3700.0,3699.8,3686.4,5040.0,270.0,44,162201.7,15,NBIFIN
2017-06-07,EQ,3362.0,3938.0,3362.0,3699.8,3750.0,3750.0,3761.11,5040.0,270.0,9,33850.0,6,NBIFIN
2017-06-08,EQ,3750.0,3915.0,3375.0,3750.0,3450.0,3464.4,3489.54,5040.0,270.0,188,656033.95,38,NBIFIN
2017-06-09,EQ,3698.0,3698.0,3450.0,3464.4,3500.0,3500.0,3540.55,5040.0,270.0,11,38946.0,10,NBIFIN
2017-06-12,EQ,3689.0,3689.0,3550.0,3500.0,3600.0,3600.0,3622.13,5040.0,270.0,32,115908.0,10,NBIFIN
2017-06-13,EQ,3800.0,3960.0,3800.0,3600.0,3960.0,3939.5,3953.11,5040.0,270.0,562,2221647.7,73,NBIFIN
2017-06-14,EQ,3989.9,4150.0,3877.0,3939.5,4052.0,4053.5,4081.05,5040.0,270.0,106,432590.8,24,NBIFIN
2017-06-15,EQ,4420.0,4420.0,4160.0,4053.5,4180.0,4180.0,4258.16,5040.0,270.0,126,536528.0,31,NBIFIN
2017-06-16,EQ,4450.0,4450.0,3762.0,4180.0,3990.0,4013.45,4001.18,5040.0,270.0,87,348102.75,39,NBIFIN
