date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-01-03,EQ,205.0,214.4,205.0,207.7,214.0,213.45,209.91,266.0,95.6,9600,2015090.0,0,ONGC
2000-01-04,EQ,201.5,209.7,201.0,213.45,209.0,206.55,206.26,266.0,95.6,17900,3692030.0,0,ONGC
2000-01-05,EQ,201.0,223.1,200.5,206.55,223.1,223.1,215.46,266.0,95.6,27000,5817490.0,0,ONGC
2000-01-06,EQ,234.0,234.9,217.6,223.1,217.6,219.3,223.42,266.0,95.6,35600,7953680.0,0,ONGC
2000-01-07,EQ,223.0,223.0,213.0,219.3,215.7,215.75,215.19,266.0,95.6,11400,2453145.0,0,ONGC
2000-01-10,EQ,205.0,218.0,205.0,215.75,210.0,209.5,208.14,266.0,95.6,40000,8325450.0,0,ONGC
2000-01-11,EQ,210.0,210.0,194.0,209.5,200.0,195.1,203.75,266.0,95.6,29200,5949450.0,0,ONGC
2000-01-12,EQ,204.95,209.8,200.0,195.1,202.7,202.2,205.03,266.0,95.6,16700,3424005.0,0,ONGC
2000-01-13,EQ,202.0,202.95,198.0,202.2,200.0,198.85,200.19,266.0,95.6,45000,9008605.0,0,ONGC
2000-01-14,EQ,194.1,197.0,193.1,198.85,195.0,194.4,195.29,266.0,95.6,32600,6366510.0,0,ONGC
2000-01-17,EQ,195.0,195.5,193.25,194.4,195.0,195.0,194.4,266.0,95.6,25500,4957185.0,0,ONGC
2000-01-18,EQ,193.95,193.95,185.2,195.0,187.5,186.4,189.08,266.0,95.6,37300,7052775.0,0,ONGC
2000-01-19,EQ,191.0,194.0,191.0,186.4,192.0,192.15,192.69,266.0,95.6,49600,9557215.0,0,ONGC
2000-01-20,EQ,192.0,194.45,192.0,192.15,192.6,192.4,192.72,266.0,95.6,18100,3488145.0,0,ONGC
2000-01-21,EQ,185.0,194.0,185.0,192.4,190.0,190.75,191.62,266.0,95.6,15800,3027620.0,0,ONGC
2000-01-24,EQ,190.0,192.5,187.0,190.75,191.7,191.85,190.5,266.0,95.6,18400,3505250.0,0,ONGC
2000-01-25,EQ,188.25,192.0,187.0,191.85,189.5,189.3,189.26,266.0,95.6,17600,3330940.0,0,ONGC
2000-01-27,EQ,192.9,204.45,191.0,189.3,204.45,204.45,198.2,266.0,95.6,21500,4261305.0,0,ONGC
2000-01-28,EQ,207.0,209.9,197.0,204.45,205.0,205.4,203.98,266.0,95.6,22500,4589615.0,0,ONGC
2000-01-31,EQ,215.0,215.0,205.5,205.4,209.9,209.7,208.16,266.0,95.6,57900,12052580.0,0,ONGC
2000-02-01,EQ,206.0,216.9,201.3,209.7,216.8,215.1,209.96,266.0,95.6,46200,9700285.0,0,ONGC
2000-02-02,EQ,220.0,224.7,214.0,215.1,214.0,214.65,216.0,266.0,95.6,39700,8575360.0,0,ONGC
2000-02-03,EQ,211.5,215.0,209.45,214.65,211.0,209.7,211.23,266.0,95.6,13000,2745925.0,0,ONGC
2000-02-04,EQ,215.0,215.0,203.25,209.7,212.0,212.1,209.12,266.0,95.6,17400,3638645.0,0,ONGC
2000-02-07,EQ,215.95,222.0,208.0,212.1,217.35,216.5,215.54,266.0,95.6,29700,6401485.0,0,ONGC
2000-02-08,EQ,212.1,220.0,207.0,216.5,208.05,209.8,213.15,266.0,95.6,36200,7716045.0,0,ONGC
2000-02-09,EQ,214.95,214.95,209.15,209.8,212.45,212.75,212.17,266.0,95.6,9000,1909560.0,0,ONGC
2000-02-10,EQ,205.0,210.0,204.0,212.75,206.5,206.6,206.88,266.0,95.6,23000,4758310.0,0,ONGC
2000-02-11,EQ,199.1,200.05,190.1,206.6,194.0,191.45,195.1,266.0,95.6,29600,5774925.0,0,ONGC
2000-02-14,EQ,194.9,194.9,188.0,191.45,189.4,189.45,190.06,266.0,95.6,10200,1938660.0,0,ONGC
2000-02-15,EQ,190.0,191.4,175.5,189.45,177.25,177.9,182.13,266.0,95.6,16700,3041640.0,0,ONGC
2000-02-16,EQ,188.0,189.95,185.1,177.9,188.9,186.25,187.75,266.0,95.6,11600,2177915.0,0,ONGC
2000-02-17,EQ,188.5,188.5,185.0,186.25,185.5,186.65,186.64,266.0,95.6,7500,1399795.0,0,ONGC
2000-02-18,EQ,174.55,186.95,174.55,186.65,183.25,183.25,181.28,266.0,95.6,7800,1414015.0,0,ONGC
2000-02-21,EQ,179.1,182.5,178.0,183.25,179.1,179.3,179.45,266.0,95.6,10800,1938045.0,0,ONGC
2000-02-22,EQ,179.9,180.0,171.0,179.3,174.55,175.3,174.23,266.0,95.6,17500,3048955.0,0,ONGC
2000-02-23,EQ,180.0,181.0,175.0,175.3,175.0,175.0,177.63,266.0,95.6,10300,1829595.0,0,ONGC
2000-02-24,EQ,176.0,178.25,170.6,175.0,170.6,171.8,174.33,266.0,95.6,5100,889095.0,0,ONGC
2000-02-25,EQ,173.25,173.4,161.1,171.8,161.1,163.35,165.82,266.0,95.6,8300,1376345.0,0,ONGC
2000-02-28,EQ,166.0,176.45,162.1,163.35,176.45,176.45,171.4,266.0,95.6,9800,1679735.0,0,ONGC
