date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-01-03,EQ,5.0,5.0,4.75,4.25,4.75,4.75,4.9,8.4,1.5,2400,11750.0,0,PREMIERPOL
2000-01-04,EQ,5.0,5.0,3.5,4.75,3.5,3.5,4.25,8.4,1.5,1000,4250.0,0,PREMIERPOL
2000-01-05,EQ,4.0,5.0,4.0,3.5,4.9,4.9,4.28,8.4,1.5,4500,19250.0,0,PREMIERPOL
2000-01-06,EQ,6.25,6.25,4.05,4.9,4.05,4.05,4.45,8.4,1.5,3500,15560.0,0,PREMIERPOL
2000-01-07,EQ,4.25,4.25,4.25,4.05,4.25,4.25,4.25,8.4,1.5,100,425.0,0,PREMIERPOL
2000-01-10,EQ,4.5,4.5,4.1,4.25,4.1,4.1,4.37,8.4,1.5,600,2620.0,0,PREMIERPOL
2000-01-11,EQ,2.6,2.6,2.6,4.1,2.6,2.6,2.6,8.4,1.5,1000,2600.0,0,PREMIERPOL
2000-01-12,EQ,3.9,3.9,3.9,2.6,3.9,3.9,3.9,8.4,1.5,200,780.0,0,PREMIERPOL
2000-01-19,EQ,4.25,4.25,4.25,3.9,4.25,4.25,4.25,8.4,1.5,100,425.0,0,PREMIERPOL
2000-01-27,EQ,4.25,4.25,4.25,4.25,4.25,4.25,4.25,8.4,1.5,1000,4250.0,0,PREMIERPOL
2000-01-28,EQ,4.0,4.0,4.0,4.25,4.0,4.0,4.0,8.4,1.5,100,400.0,0,PREMIERPOL
2000-02-02,EQ,2.25,2.25,2.25,4.0,2.25,2.25,2.25,8.4,1.5,100,225.0,0,PREMIERPOL
2000-02-03,EQ,3.35,3.35,3.25,2.25,3.25,3.25,3.27,8.4,1.5,1200,3920.0,0,PREMIERPOL
2000-05-23,EQ,3.0,3.0,3.0,3.25,3.0,3.0,3.0,8.4,1.5,100,300.0,0,PREMIERPOL
2000-05-24,EQ,4.5,4.5,4.5,3.0,4.5,4.5,4.5,8.4,1.5,100,450.0,0,PREMIERPOL
2000-05-29,EQ,6.75,6.75,6.75,4.5,6.75,6.75,6.75,8.4,1.5,100,675.0,0,PREMIERPOL
2000-06-01,EQ,7.95,7.95,7.95,6.75,7.95,7.95,7.95,8.4,1.5,200,1590.0,0,PREMIERPOL
