date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2016-07-12,EQ,500.0,509.3,480.0,317.0,502.0,503.1,496.81,509.3,480.0,16364151,8129885036.9,206046,QUESS
2016-07-13,EQ,503.0,507.45,462.0,503.1,468.75,467.7,485.41,509.3,462.0,2440691,1184741404.85,41331,QUESS
2016-07-14,EQ,468.6,492.5,452.5,467.7,486.0,487.7,473.26,509.3,452.5,2381010,1126844653.6,44430,QUESS
2016-07-15,EQ,487.0,497.9,475.15,487.7,489.1,491.45,488.21,509.3,452.5,1276616,623253990.1,32266,QUESS
2016-07-18,EQ,492.0,512.0,487.0,491.45,501.25,501.95,502.56,512.0,452.5,1506745,757224558.7,31201,QUESS
2016-07-19,EQ,502.35,507.35,490.0,501.95,493.6,495.05,498.15,512.0,452.5,669521,333522936.3,14526,QUESS
2016-07-20,EQ,495.05,507.7,490.9,495.05,493.5,496.3,499.78,512.0,452.5,756119,377895902.0,15310,QUESS
2016-07-21,EQ,496.9,499.45,486.4,496.3,487.55,487.9,492.73,512.0,452.5,331922,163549036.9,8845,QUESS
2016-07-22,EQ,490.0,492.8,481.0,487.9,483.0,482.8,486.24,512.0,452.5,329187,160063501.4,6299,QUESS
2016-07-25,EQ,485.85,495.05,475.1,482.8,483.95,481.95,485.87,512.0,452.5,296699,144157563.85,7704,QUESS
2016-07-26,EQ,485.85,496.9,482.8,481.95,491.0,489.9,490.75,512.0,452.5,356432,174917818.6,8308,QUESS
2016-07-27,EQ,494.7,531.9,491.1,489.9,528.0,523.75,515.95,531.9,452.5,1565742,807850236.85,33225,QUESS
2016-07-28,EQ,527.0,541.9,521.1,523.75,522.0,524.8,532.66,541.9,452.5,780663,415826513.85,17410,QUESS
2016-07-29,EQ,526.8,530.5,508.05,524.8,509.05,510.2,519.02,541.9,452.5,298546,154952322.2,6784,QUESS
2016-08-01,EQ,517.45,604.85,516.0,510.2,598.0,592.9,566.82,604.85,452.5,3669457,2079924126.15,81282,QUESS
2016-08-02,EQ,598.0,618.8,580.15,592.9,602.0,602.5,605.01,618.8,452.5,1883855,1139758920.05,50854,QUESS
2016-08-03,EQ,602.0,602.8,576.2,602.5,586.0,588.3,589.51,618.8,452.5,678231,399826118.25,17963,QUESS
2016-08-04,EQ,595.0,651.0,587.5,588.3,621.0,622.15,630.76,651.0,452.5,2289006,1443818030.4,57516,QUESS
