date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2023-04-06,EQ,348.45,378.0,348.45,357.45,360.0,361.15,362.13,378.0,348.45,3174,1149412.6,121,SAHYADRI
2023-04-10,EQ,361.65,390.0,355.0,361.15,373.0,372.0,367.89,390.0,348.45,10913,4014744.5,332,SAHYADRI
2023-04-11,EQ,372.0,385.0,372.0,372.0,384.0,383.0,380.41,390.0,348.45,3349,1273981.45,410,SAHYADRI
2023-04-12,EQ,380.0,384.3,360.05,383.0,373.0,374.0,374.4,390.0,348.45,4187,1567624.9,442,SAHYADRI
2023-04-13,EQ,361.1,377.5,361.1,374.0,377.0,376.4,375.81,390.0,348.45,2983,1121053.25,134,SAHYADRI
2023-04-17,EQ,379.3,380.0,368.05,376.4,379.6,378.65,373.79,390.0,348.45,6535,2442739.25,296,SAHYADRI
2023-04-18,EQ,375.65,382.95,340.1,378.65,375.0,374.95,373.41,390.0,340.1,5723,2137038.35,427,SAHYADRI
2023-04-19,EQ,376.3,390.0,371.1,374.95,371.35,371.95,375.82,390.0,340.1,4055,1523957.3,193,SAHYADRI
2023-04-20,EQ,366.0,377.15,366.0,371.95,374.0,374.3,374.87,390.0,340.1,3159,1184224.85,229,SAHYADRI
2023-04-21,EQ,370.5,373.95,359.05,374.3,369.0,369.05,367.34,390.0,340.1,1709,627791.05,162,SAHYADRI
2023-04-24,EQ,369.05,378.0,345.6,369.05,372.0,372.35,367.81,390.0,340.1,1919,705821.9,237,SAHYADRI
2023-04-25,EQ,371.9,380.0,367.1,372.35,377.1,375.35,372.61,390.0,340.1,2900,1080575.75,272,SAHYADRI
2023-04-26,EQ,375.55,376.05,364.1,375.35,367.0,369.6,370.21,390.0,340.1,1841,681557.3,199,SAHYADRI
2023-04-27,EQ,362.5,366.95,361.8,369.6,364.95,363.65,363.91,390.0,340.1,2339,851174.95,226,SAHYADRI
2023-04-28,EQ,363.8,364.55,358.7,363.65,364.0,363.15,361.83,390.0,340.1,1676,606435.1,232,SAHYADRI
2023-05-02,EQ,365.5,367.95,347.0,363.15,364.7,363.05,358.82,390.0,340.1,2777,996432.35,370,SAHYADRI
2023-05-03,EQ,355.7,371.0,351.05,363.05,365.3,365.45,365.88,390.0,340.1,3859,1411929.0,283,SAHYADRI
2023-05-04,EQ,368.7,374.5,365.45,365.45,369.0,368.05,370.54,390.0,340.1,3257,1206833.3,425,SAHYADRI
2023-05-05,EQ,367.1,380.0,365.0,368.05,370.75,375.15,372.17,390.0,340.1,6603,2457434.6,516,SAHYADRI
2023-05-08,EQ,373.1,378.7,366.0,375.15,366.0,366.35,372.02,390.0,340.1,3170,1179294.8,326,SAHYADRI
2023-05-09,EQ,369.4,376.35,355.55,366.35,361.1,363.65,369.7,390.0,340.1,4352,1608955.1,538,SAHYADRI
2023-05-10,EQ,364.35,370.95,360.05,363.65,363.1,364.85,363.86,390.0,340.1,4138,1505637.25,282,SAHYADRI
2023-05-11,EQ,368.4,373.05,363.8,364.85,369.0,370.45,370.5,390.0,340.1,13165,4877595.55,544,SAHYADRI
2023-05-12,EQ,366.8,374.5,365.75,370.45,374.5,372.6,369.98,390.0,340.1,3945,1459559.35,485,SAHYADRI
2023-05-15,EQ,371.55,376.95,360.2,372.6,373.6,374.3,372.96,390.0,340.1,20926,7804527.4,771,SAHYADRI
2023-05-16,EQ,375.0,375.0,366.05,374.3,371.0,370.65,370.64,390.0,340.1,7040,2609275.55,258,SAHYADRI
2023-05-17,EQ,370.0,377.0,363.05,370.65,376.9,373.6,371.35,390.0,340.1,7464,2771723.95,178,SAHYADRI
2023-05-18,EQ,373.9,375.0,370.0,373.6,370.0,370.75,371.71,390.0,340.1,1847,686548.8,101,SAHYADRI
2023-05-19,EQ,370.0,372.7,365.75,370.75,368.0,369.9,369.61,390.0,340.1,5976,2208798.65,239,SAHYADRI
2023-05-22,EQ,365.4,370.0,361.2,369.9,366.45,365.9,363.83,390.0,340.1,4275,1555393.15,232,SAHYADRI
2023-05-23,EQ,365.05,373.9,360.55,365.9,363.9,361.35,364.09,390.0,340.1,4067,1480757.1,442,SAHYADRI
2023-05-24,EQ,356.4,359.5,345.95,361.35,353.0,354.9,352.72,390.0,340.1,20015,7059624.1,813,SAHYADRI
2023-05-25,EQ,353.05,355.1,334.85,354.9,344.0,344.15,345.82,390.0,334.85,14051,4859135.35,627,SAHYADRI
2023-05-26,EQ,354.15,354.15,340.05,344.15,341.7,340.9,342.94,390.0,334.85,4739,1625195.6,401,SAHYADRI
2023-05-29,EQ,348.45,350.0,322.25,340.9,341.45,338.9,335.37,390.0,322.25,9515,3191018.95,790,SAHYADRI
2023-05-30,EQ,333.0,342.95,325.0,338.9,332.55,330.1,330.98,390.0,322.25,9442,3125095.85,838,SAHYADRI
2023-05-31,EQ,323.0,339.1,323.0,330.1,326.05,331.5,333.14,390.0,322.25,7267,2420953.35,630,SAHYADRI
2023-06-01,EQ,339.1,342.0,332.5,331.5,336.6,337.85,336.05,390.0,322.25,5758,1935002.25,643,SAHYADRI
2023-06-02,EQ,336.9,344.0,333.4,337.85,342.5,342.9,340.87,390.0,322.25,2933,999766.05,246,SAHYADRI
2023-06-05,EQ,346.6,351.45,339.6,342.9,340.0,340.6,343.93,390.0,322.25,3165,1088547.15,293,SAHYADRI
2023-06-06,EQ,343.05,357.2,335.0,340.6,349.1,349.95,342.07,390.0,322.25,5744,1964840.85,325,SAHYADRI
2023-06-07,EQ,350.1,390.1,345.0,349.95,372.0,374.7,372.03,390.1,322.25,23099,8593410.0,1171,SAHYADRI
2023-06-08,EQ,376.1,402.95,375.1,374.7,396.8,393.3,392.61,402.95,322.25,27343,10735164.85,1479,SAHYADRI
2023-06-09,EQ,399.6,425.05,380.05,393.3,416.8,415.95,415.65,425.05,322.25,63982,26594293.55,3015,SAHYADRI
2023-06-12,EQ,420.0,425.0,409.45,415.95,413.05,413.85,416.5,425.05,322.25,18991,7909735.8,1351,SAHYADRI
2023-06-13,EQ,416.4,418.45,402.5,413.85,405.0,414.25,411.12,425.05,322.25,35456,14576578.45,1974,SAHYADRI
2023-06-14,EQ,416.9,418.0,397.55,414.25,411.65,415.3,407.95,425.05,322.25,21989,8970398.3,1850,SAHYADRI
2023-06-15,EQ,409.9,426.6,402.6,415.3,416.75,419.65,416.15,426.6,322.25,28390,11814618.6,1825,SAHYADRI
2023-06-16,EQ,427.6,427.6,399.6,419.65,414.95,410.0,413.1,427.6,322.25,17776,7343188.15,1340,SAHYADRI
2023-06-19,EQ,399.0,411.85,399.0,410.0,404.0,403.4,403.62,427.6,322.25,9262,3738314.05,722,SAHYADRI
2023-06-20,EQ,402.05,405.3,393.0,403.4,395.05,397.35,399.41,427.6,322.25,5580,2228734.05,570,SAHYADRI
2023-06-21,EQ,403.3,403.3,386.55,397.35,390.0,389.15,396.24,427.6,322.25,9805,3885158.0,833,SAHYADRI
2023-06-22,EQ,390.1,401.0,385.5,389.15,396.0,396.85,397.3,427.6,322.25,7753,3080232.3,619,SAHYADRI
2023-06-23,EQ,400.8,400.8,385.0,396.85,392.0,389.7,391.5,427.6,322.25,4837,1893673.15,705,SAHYADRI
2023-06-26,EQ,382.6,395.45,381.0,389.7,384.0,385.65,386.51,427.6,322.25,4088,1580049.05,444,SAHYADRI
2023-06-27,EQ,385.65,393.55,378.0,385.65,383.0,384.55,384.55,427.6,322.25,3562,1369757.25,405,SAHYADRI
2023-06-28,EQ,394.0,395.0,380.2,384.55,385.05,384.5,387.45,427.6,322.25,2555,989929.7,222,SAHYADRI
2023-06-30,EQ,379.0,390.0,379.0,384.5,380.7,380.8,383.62,427.6,322.25,3551,1362219.8,349,SAHYADRI
2023-07-03,EQ,382.0,382.0,367.05,380.8,371.0,369.4,372.98,427.6,322.25,11957,4459763.45,503,SAHYADRI
2023-07-04,EQ,369.7,379.45,354.65,369.4,356.15,358.2,361.03,427.6,322.25,15106,5453672.15,993,SAHYADRI
2023-07-05,EQ,352.8,373.5,352.8,358.2,369.8,367.3,367.17,427.6,322.25,6351,2331909.25,558,SAHYADRI
2023-07-06,EQ,367.3,376.0,366.3,367.3,370.0,372.75,370.47,427.6,322.25,4366,1617491.05,284,SAHYADRI
2023-07-07,EQ,376.0,385.0,367.2,372.75,377.0,377.8,378.94,427.6,322.25,7572,2869364.8,537,SAHYADRI
2023-07-10,EQ,388.95,388.95,374.2,377.8,378.1,377.95,378.95,427.6,322.25,4398,1666603.9,291,SAHYADRI
2023-07-11,EQ,377.0,379.9,361.1,377.95,373.0,368.05,371.46,427.6,322.25,10874,4039290.6,1204,SAHYADRI
