date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-01-03,EQ,12.25,13.95,11.8,11.3,13.2,13.2,13.08,16.75,4.9,3890030,50871787.35,0,SAIL
2000-01-04,EQ,13.5,13.5,12.6,13.2,13.1,12.85,12.87,16.75,4.9,2194861,28243399.8,0,SAIL
2000-01-05,EQ,13.0,13.75,12.0,12.85,12.9,12.85,13.05,16.75,4.9,3123967,40765561.2,0,SAIL
2000-01-06,EQ,13.2,14.0,13.05,12.85,13.4,13.3,13.61,16.75,4.9,4432475,60337622.05,0,SAIL
2000-01-07,EQ,13.5,13.65,12.75,13.3,13.05,12.9,13.13,16.75,4.9,2528164,33184120.25,0,SAIL
2000-01-10,EQ,13.95,14.2,13.35,12.9,13.6,13.65,13.71,16.75,4.9,3940185,54006762.45,0,SAIL
2000-01-11,EQ,13.6,13.6,12.3,13.65,12.4,12.5,12.71,16.75,4.9,3158058,40138678.5,0,SAIL
2000-01-12,EQ,13.0,13.0,12.4,12.5,12.65,12.6,12.69,16.75,4.9,1066776,13535843.7,0,SAIL
2000-01-13,EQ,12.7,12.9,12.3,12.6,12.35,12.4,12.55,16.75,4.9,633585,7953941.4,0,SAIL
2000-01-14,EQ,12.6,12.6,11.75,12.4,12.15,12.15,12.1,16.75,4.9,789084,9547920.15,0,SAIL
2000-01-17,EQ,12.4,12.7,12.05,12.15,12.3,12.3,12.43,16.75,4.9,1083445,13470038.9,0,SAIL
2000-01-18,EQ,12.3,12.4,11.95,12.3,12.3,12.15,12.15,16.75,4.9,1288023,15653863.4,0,SAIL
2000-01-19,EQ,12.9,12.9,12.3,12.15,12.3,12.35,12.43,16.75,4.9,587096,7299794.45,0,SAIL
2000-01-20,EQ,12.3,12.85,12.0,12.35,12.2,12.3,12.44,16.75,4.9,1538093,19127303.75,0,SAIL
2000-01-21,EQ,12.05,12.25,12.0,12.3,12.15,12.1,12.09,16.75,4.9,820954,9925927.35,0,SAIL
2000-01-24,EQ,12.3,12.3,11.35,12.1,11.45,11.4,11.72,16.75,4.9,1139416,13359385.15,0,SAIL
2000-01-25,EQ,11.3,11.45,10.8,11.4,10.9,10.9,11.06,16.75,4.9,1112692,12306769.3,0,SAIL
2000-01-27,EQ,11.55,11.55,10.9,10.9,10.95,10.95,11.04,16.75,4.9,686797,7583981.1,0,SAIL
2000-01-28,EQ,10.85,11.2,10.55,10.95,10.75,10.7,10.68,16.75,4.9,986578,10538056.5,0,SAIL
2000-01-31,EQ,10.5,10.5,9.55,10.7,9.65,9.6,9.84,16.75,4.9,1016400,9998431.75,0,SAIL
2000-02-01,EQ,9.4,9.9,9.0,9.6,9.8,9.75,9.5,16.75,4.9,1169531,11106293.15,0,SAIL
2000-02-02,EQ,9.55,10.4,9.55,9.75,10.1,10.25,10.22,16.75,4.9,813049,8311560.3,0,SAIL
2000-02-03,EQ,10.4,10.5,10.0,10.25,10.15,10.1,10.14,16.75,4.9,494834,5019053.4,0,SAIL
2000-02-04,EQ,10.35,12.35,10.35,10.1,11.45,11.6,11.03,16.75,4.9,2027586,22367516.75,0,SAIL
2000-02-07,EQ,11.9,11.9,11.0,11.6,11.1,11.1,11.24,16.75,4.9,742080,8341307.8,0,SAIL
2000-02-08,EQ,11.85,12.0,11.2,11.1,11.35,11.4,11.4,16.75,4.9,1744586,19894526.1,0,SAIL
2000-02-09,EQ,11.75,11.75,11.2,11.4,11.2,11.25,11.43,16.75,4.9,1339381,15308309.9,0,SAIL
2000-02-10,EQ,11.4,11.4,10.85,11.25,10.95,10.9,11.0,16.75,4.9,396713,4363885.75,0,SAIL
2000-02-11,EQ,11.0,11.2,10.25,10.9,10.35,10.3,10.49,16.75,4.9,667567,7001813.9,0,SAIL
2000-02-14,EQ,10.8,11.15,10.25,10.3,10.55,10.6,10.64,16.75,4.9,736257,7834141.9,0,SAIL
2000-02-15,EQ,10.8,13.25,10.5,10.6,12.55,12.75,11.94,16.75,4.9,4935439,58910167.05,0,SAIL
2000-02-16,EQ,14.9,15.9,13.6,12.75,14.0,14.05,14.26,16.75,4.9,14760808,210510288.45,0,SAIL
2000-02-17,EQ,14.45,14.5,13.65,14.05,13.9,13.9,13.88,16.75,4.9,3807004,52836776.2,0,SAIL
2000-02-18,EQ,14.1,14.2,12.25,13.9,12.45,12.3,12.64,16.75,4.9,4603808,58189793.7,0,SAIL
2000-02-21,EQ,12.85,12.85,10.9,12.3,11.35,11.35,11.47,16.75,4.9,3391028,38910275.1,0,SAIL
2000-02-22,EQ,11.15,11.45,10.6,11.35,10.85,10.7,10.89,16.75,4.9,3324102,36208132.8,0,SAIL
2000-02-23,EQ,11.45,11.5,10.8,10.7,10.8,10.9,11.17,16.75,4.9,1348343,15064643.8,0,SAIL
2000-02-24,EQ,11.4,11.4,10.8,10.9,11.15,11.05,11.04,16.75,4.9,665854,7348311.55,0,SAIL
2000-02-25,EQ,11.3,11.35,10.85,11.05,11.0,10.9,11.01,16.75,4.9,861253,9486603.2,0,SAIL
2000-02-28,EQ,11.2,11.75,10.85,10.9,11.65,11.6,11.34,16.75,4.9,1505269,17064713.5,0,SAIL
2000-02-29,EQ,12.0,12.5,10.4,11.6,10.55,10.55,11.56,16.75,4.9,3677808,42508780.05,0,SAIL
2000-03-01,EQ,10.25,11.15,10.25,10.55,10.85,10.85,10.89,16.75,4.9,1012068,11023380.6,0,SAIL
2000-03-02,EQ,10.5,11.4,10.0,10.85,10.2,10.15,10.52,16.75,4.9,1334302,14035446.15,0,SAIL
2000-03-03,EQ,11.2,11.4,9.25,10.15,9.4,9.4,9.46,16.75,4.9,1305938,12353976.6,0,SAIL
2000-03-06,EQ,9.65,9.9,9.35,9.4,9.5,9.45,9.55,16.75,4.9,765689,7315865.65,0,SAIL
2000-03-07,EQ,9.3,9.45,8.5,9.45,8.5,8.65,8.86,16.75,4.9,1736839,15387398.0,0,SAIL
2000-03-08,EQ,8.95,9.1,8.6,8.65,8.7,8.65,8.82,16.75,4.9,627554,5533500.0,0,SAIL
2000-03-09,EQ,8.9,8.9,8.1,8.65,8.4,8.35,8.36,16.75,4.9,643200,5377875.6,0,SAIL
2000-03-10,EQ,8.85,10.0,8.0,8.35,8.65,8.55,8.64,16.75,4.9,1430321,12356810.35,0,SAIL
