date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2024-09-27,EQ,5198.0,5244.0,4990.0,5102.4,5105.0,5103.45,5105.44,5375.0,4600.0,47327,241624962.7,5652,SANOFICONR
2024-09-30,EQ,5103.45,5105.0,4950.0,5103.45,5049.0,5045.5,5006.02,5375.0,4600.0,21390,107078755.5,2346,SANOFICONR
2024-10-01,EQ,5003.35,5137.4,4980.0,5045.5,5070.0,5073.35,5077.09,5375.0,4600.0,10149,51527359.55,4315,SANOFICONR
2024-10-03,EQ,4901.0,5063.95,4901.0,5073.35,5029.0,5020.65,5027.46,5375.0,4600.0,56171,282397518.3,11136,SANOFICONR
2024-10-04,EQ,5080.0,5080.0,4900.0,5020.65,4990.0,4987.8,4983.52,5375.0,4600.0,20161,100472763.15,5091,SANOFICONR
2024-10-07,EQ,4931.0,4987.8,4700.0,4987.8,4900.0,4882.95,4909.83,5375.0,4600.0,44780,219862127.4,3556,SANOFICONR
2024-10-08,EQ,4880.0,5120.0,4211.55,4882.95,5120.0,5104.7,4946.76,5375.0,4211.55,13422,66395393.25,5060,SANOFICONR
2024-10-09,EQ,5104.15,5180.0,4930.0,5104.7,4990.0,4960.75,5083.21,5375.0,4211.55,8882,45149092.4,2676,SANOFICONR
2024-10-10,EQ,5105.0,5178.3,4950.2,4960.75,4980.0,4983.7,4988.59,5375.0,4211.55,65223,325370574.95,2423,SANOFICONR
2024-10-11,EQ,5000.0,5003.2,4864.0,4983.7,4872.5,4902.05,4904.42,5375.0,4211.55,15939,78171507.8,3133,SANOFICONR
2024-10-14,EQ,4903.0,5040.0,4800.0,4902.05,4852.05,4872.8,4867.61,5375.0,4211.55,9066,44129748.2,2096,SANOFICONR
2024-10-15,EQ,4852.0,4852.0,4765.05,4872.8,4850.0,4832.0,4810.76,5375.0,4211.55,12652,60865730.8,4194,SANOFICONR
2024-10-16,EQ,4800.0,4882.35,4615.0,4832.0,4860.0,4835.15,4728.47,5375.0,4211.55,17308,81840342.6,5441,SANOFICONR
2024-10-17,EQ,4786.8,4849.9,4672.9,4835.15,4848.9,4819.75,4772.54,5375.0,4211.55,13125,62639637.8,4537,SANOFICONR
2024-10-18,EQ,4747.45,4900.0,4696.35,4819.75,4870.95,4823.8,4791.81,5375.0,4211.55,8876,42532120.45,3027,SANOFICONR
2024-10-21,EQ,4872.05,4915.0,4734.05,4823.8,4860.0,4853.35,4803.99,5375.0,4211.55,12241,58805627.0,3577,SANOFICONR
2024-10-22,EQ,4920.95,4920.95,4659.05,4853.35,4710.0,4711.35,4744.15,5375.0,4211.55,20703,98218139.8,4516,SANOFICONR
2024-10-23,EQ,4707.7,4850.0,4602.6,4711.35,4801.0,4807.7,4727.02,5375.0,4211.55,12018,56809361.0,3779,SANOFICONR
2024-10-24,EQ,4820.0,4870.0,4722.0,4807.7,4734.85,4754.45,4773.91,5375.0,4211.55,14880,71035806.25,2690,SANOFICONR
2024-10-25,EQ,4742.65,4788.0,4613.0,4754.45,4750.0,4750.6,4703.38,5375.0,4211.55,12574,59140341.55,4524,SANOFICONR
2024-10-28,EQ,4774.95,4800.0,4684.0,4750.6,4718.75,4716.55,4718.29,5375.0,4211.55,3849,18160684.1,2358,SANOFICONR
2024-10-29,EQ,4708.6,4800.0,4700.1,4716.55,4700.1,4720.05,4705.64,5375.0,4211.55,9589,45122377.45,2101,SANOFICONR
2024-10-30,EQ,4720.1,4975.0,4720.1,4720.05,4950.0,4920.5,4877.38,5375.0,4211.55,12144,59230848.1,1890,SANOFICONR
2024-10-31,EQ,4900.0,4962.4,4863.1,4920.5,4935.0,4924.65,4917.23,5375.0,4211.55,7771,38211776.45,2662,SANOFICONR
2024-11-01,EQ,4924.6,4949.9,4860.0,4924.65,4925.05,4933.5,4927.6,5375.0,4211.55,445,2192783.0,178,SANOFICONR
2024-11-04,EQ,4950.0,4953.5,4836.95,4933.5,4860.65,4873.45,4874.13,5375.0,4211.55,5978,29137529.15,3395,SANOFICONR
2024-11-05,EQ,4911.5,4969.9,4842.0,4873.45,4870.1,4899.8,4874.6,5375.0,4211.55,3497,17046475.05,1263,SANOFICONR
2024-11-06,EQ,4918.7,4926.85,4801.0,4899.8,4858.0,4874.2,4870.58,5375.0,4211.55,31838,155069473.2,1227,SANOFICONR
2024-11-07,EQ,4872.15,4926.25,4872.15,4874.2,4915.0,4917.55,4906.17,5375.0,4211.55,4396,21567523.65,2356,SANOFICONR
2024-11-08,EQ,4930.0,4940.0,4860.05,4917.55,4920.0,4906.75,4906.6,5375.0,4211.55,46382,227577689.35,3249,SANOFICONR
2024-11-11,EQ,4868.7,4929.55,4851.0,4906.75,4870.0,4916.2,4900.89,5375.0,4211.55,16684,81766526.1,2787,SANOFICONR
2024-11-12,EQ,4940.0,4940.0,4851.0,4916.2,4869.95,4886.85,4898.02,5375.0,4211.55,2869,14052412.0,1540,SANOFICONR
2024-11-13,EQ,4830.0,4869.9,4797.55,4886.85,4845.0,4832.25,4826.27,5375.0,4211.55,34027,164223567.3,2047,SANOFICONR
2024-11-14,EQ,4830.0,4920.0,4790.05,4832.25,4820.0,4818.25,4823.8,5375.0,4211.55,19780,95414702.85,4620,SANOFICONR
2024-11-18,EQ,4899.0,4899.0,4790.05,4818.25,4825.0,4837.5,4814.44,5375.0,4211.55,10605,51057090.55,3242,SANOFICONR
2024-11-19,EQ,4801.0,4868.05,4801.0,4837.5,4825.3,4825.4,4825.69,5375.0,4211.55,34009,164116801.95,8129,SANOFICONR
2024-11-21,EQ,4801.0,4841.95,4702.65,4825.4,4820.0,4798.6,4771.2,5375.0,4211.55,30551,145764839.4,9101,SANOFICONR
2024-11-22,EQ,4798.6,4836.6,4725.15,4798.6,4800.0,4789.75,4776.47,5375.0,4211.55,29385,140356495.05,9609,SANOFICONR
2024-11-25,EQ,4800.0,4836.95,4760.2,4789.75,4800.0,4789.3,4805.22,5375.0,4211.55,118304,568476584.6,8438,SANOFICONR
2024-11-26,EQ,4788.35,4814.15,4755.05,4789.3,4800.0,4794.0,4780.23,5375.0,4211.55,20933,100064646.7,3408,SANOFICONR
2024-11-27,EQ,4794.0,4824.0,4776.0,4794.0,4776.0,4781.95,4792.72,5375.0,4211.55,2602,12470654.1,761,SANOFICONR
2024-11-28,EQ,4765.0,4839.0,4747.3,4781.95,4839.0,4806.45,4795.3,5375.0,4211.55,22346,107155773.15,5989,SANOFICONR
2024-11-29,EQ,4830.0,4854.8,4761.0,4806.45,4848.0,4825.4,4809.8,5375.0,4211.55,23530,113174488.65,4945,SANOFICONR
2024-12-02,EQ,4815.0,4840.0,4776.0,4825.4,4800.0,4799.35,4800.36,5375.0,4211.55,12092,58045938.8,2140,SANOFICONR
2024-12-03,EQ,4799.35,4829.0,4781.05,4799.35,4805.0,4802.7,4798.99,5375.0,4211.55,9100,43670808.65,2554,SANOFICONR
2024-12-04,EQ,4803.9,4820.75,4781.1,4802.7,4800.0,4800.65,4801.99,5375.0,4211.55,7075,33974086.7,2376,SANOFICONR
2024-12-05,EQ,4810.5,4847.95,4796.6,4800.65,4806.0,4805.0,4807.33,5375.0,4211.55,7458,35853090.9,2612,SANOFICONR
2024-12-06,EQ,4816.0,4829.0,4761.05,4805.0,4800.05,4801.15,4801.51,5375.0,4211.55,11403,54751658.4,3446,SANOFICONR
2024-12-09,EQ,4791.35,4874.8,4791.3,4801.15,4845.0,4832.4,4824.21,5375.0,4211.55,8823,42564033.8,3134,SANOFICONR
