date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2020-09-21,EQ,110.0,119.8,107.3,105.0,109.8,109.6,113.87,119.8,107.3,81349,9263532.2,1217,SHAREINDIA
2020-09-22,EQ,109.6,109.9,96.25,109.6,103.95,100.35,102.08,119.8,96.25,14468,1476823.9,340,SHAREINDIA
2020-09-23,EQ,103.0,104.4,96.0,100.35,103.9,99.9,101.75,119.8,96.0,4966,505292.95,148,SHAREINDIA
2020-09-24,EQ,103.0,103.0,97.5,99.9,100.0,100.2,100.16,119.8,96.0,6047,605669.1,311,SHAREINDIA
2020-09-25,EQ,104.0,106.0,98.1,100.2,105.0,104.7,103.69,119.8,96.0,31355,3251251.4,212,SHAREINDIA
2020-09-28,EQ,104.5,106.95,101.25,104.7,103.5,103.7,104.41,119.8,96.0,13502,1409758.75,106,SHAREINDIA
2020-09-29,EQ,103.75,104.3,101.5,103.7,102.0,102.0,103.37,119.8,96.0,17805,1840480.55,132,SHAREINDIA
2020-09-30,EQ,102.3,103.95,100.8,102.0,103.7,103.7,102.62,119.8,96.0,27115,2782475.7,112,SHAREINDIA
2020-10-01,EQ,104.0,104.5,101.0,103.7,101.0,101.2,102.98,119.8,96.0,11245,1158049.8,140,SHAREINDIA
2020-10-05,EQ,102.0,104.0,101.1,101.2,101.15,101.85,102.29,119.8,96.0,18058,1847220.2,205,SHAREINDIA
2020-10-06,EQ,101.0,108.5,97.3,101.85,105.2,106.4,103.25,119.8,96.0,26637,2750387.9,279,SHAREINDIA
2020-10-07,EQ,103.55,107.0,103.5,106.4,103.6,104.5,104.61,119.8,96.0,30699,3211527.75,258,SHAREINDIA
2020-10-08,EQ,103.5,104.65,103.0,104.5,103.0,103.95,103.9,119.8,96.0,13631,1416201.6,103,SHAREINDIA
2020-10-09,EQ,102.6,103.95,100.75,103.95,102.9,102.2,102.6,119.8,96.0,12649,1297786.4,109,SHAREINDIA
2020-10-12,EQ,103.5,103.5,101.0,102.2,101.1,101.7,102.39,119.8,96.0,13369,1368797.1,210,SHAREINDIA
2020-10-13,EQ,103.2,103.2,101.0,101.7,101.2,101.6,101.79,119.8,96.0,19238,1958197.95,165,SHAREINDIA
2020-10-14,EQ,99.55,103.25,97.6,101.6,97.6,99.0,101.35,119.8,96.0,6605,669394.25,159,SHAREINDIA
2020-10-15,EQ,97.15,103.0,97.1,99.0,99.55,99.45,100.99,119.8,96.0,8113,819338.1,112,SHAREINDIA
2020-10-16,EQ,100.0,101.75,99.05,99.45,101.0,101.0,101.37,119.8,96.0,14234,1442874.95,138,SHAREINDIA
2020-10-19,EQ,101.0,101.5,98.6,101.0,98.6,99.5,99.84,119.8,96.0,16974,1694713.85,92,SHAREINDIA
2020-10-20,EQ,99.75,101.8,98.2,99.5,98.25,99.6,100.36,119.8,96.0,13182,1322904.8,101,SHAREINDIA
2020-10-21,EQ,99.0,101.05,99.0,99.6,100.5,100.0,100.32,119.8,96.0,15539,1558926.3,71,SHAREINDIA
2020-10-22,EQ,98.2,101.2,98.2,100.0,100.9,100.65,100.62,119.8,96.0,12139,1221425.2,38,SHAREINDIA
2020-10-23,EQ,101.0,109.7,98.4,100.65,102.8,102.05,102.17,119.8,96.0,8724,891325.4,77,SHAREINDIA
2020-10-26,EQ,102.4,103.4,92.2,102.05,100.3,100.85,100.68,119.8,92.2,20340,2047787.0,134,SHAREINDIA
2020-10-27,EQ,102.4,103.5,100.65,100.85,103.0,102.15,102.62,119.8,92.2,18699,1918962.25,138,SHAREINDIA
2020-10-28,EQ,102.0,104.35,101.35,102.15,103.5,102.45,102.33,119.8,92.2,14130,1445887.1,77,SHAREINDIA
2020-10-29,EQ,101.5,102.65,100.1,102.45,100.8,101.1,101.72,119.8,92.2,14587,1483758.5,53,SHAREINDIA
2020-10-30,EQ,100.6,105.0,99.0,101.1,99.95,99.35,101.3,119.8,92.2,27976,2834045.05,268,SHAREINDIA
2020-11-02,EQ,99.4,101.05,99.4,99.35,100.25,100.25,100.32,119.8,92.2,15115,1516400.85,41,SHAREINDIA
2020-11-03,EQ,100.0,100.9,98.05,100.25,98.05,98.05,99.7,119.8,92.2,12290,1225258.55,29,SHAREINDIA
2020-11-04,EQ,99.0,99.7,99.0,98.05,99.4,99.0,99.27,119.8,92.2,12702,1260950.25,33,SHAREINDIA
2020-11-05,EQ,100.5,104.75,100.25,99.0,101.7,101.9,102.07,119.8,92.2,19356,1975743.6,67,SHAREINDIA
2020-11-06,EQ,101.05,102.25,97.1,101.9,99.7,99.65,101.06,119.8,92.2,17611,1779752.55,167,SHAREINDIA
2020-11-09,EQ,99.65,101.35,98.45,99.65,101.0,101.0,99.73,119.8,92.2,7159,713988.3,38,SHAREINDIA
2020-11-10,EQ,102.0,102.8,99.0,101.0,100.5,100.5,101.7,119.8,92.2,21510,2187605.3,63,SHAREINDIA
2020-11-11,EQ,102.0,102.0,99.0,100.5,102.0,101.95,100.57,119.8,92.2,13339,1341548.8,87,SHAREINDIA
2020-11-12,EQ,103.9,103.9,99.05,101.95,100.95,100.2,101.24,119.8,92.2,3523,356668.85,55,SHAREINDIA
2020-11-13,EQ,102.5,103.25,100.0,100.2,101.2,100.95,100.61,119.8,92.2,14116,1420253.2,29,SHAREINDIA
2020-11-14,EQ,103.9,105.0,100.0,100.95,102.75,101.7,101.8,119.8,92.2,10937,1113377.6,91,SHAREINDIA
2020-11-17,EQ,101.0,103.7,100.1,101.7,101.75,101.55,101.14,119.8,92.2,14295,1445784.7,140,SHAREINDIA
2020-11-18,EQ,103.0,103.5,100.3,101.55,101.75,101.75,101.15,119.8,92.2,16241,1642732.1,71,SHAREINDIA
2020-11-19,EQ,100.0,121.95,99.5,101.75,107.5,106.95,108.91,121.95,92.2,34958,3807121.2,735,SHAREINDIA
2020-11-20,EQ,111.0,114.4,108.0,106.95,108.15,108.5,108.91,121.95,92.2,19634,2138273.35,285,SHAREINDIA
2020-11-23,EQ,110.5,110.5,105.5,108.5,109.8,109.35,108.31,121.95,92.2,21263,2302982.55,382,SHAREINDIA
2020-11-24,EQ,105.05,109.9,105.0,109.35,105.0,105.5,107.65,121.95,92.2,15466,1664929.55,155,SHAREINDIA
2020-11-25,EQ,104.5,108.0,103.0,105.5,106.0,104.8,105.71,121.95,92.2,47888,5062033.55,133,SHAREINDIA
2020-11-26,EQ,104.75,107.95,103.7,104.8,105.4,104.45,105.05,121.95,92.2,11885,1248497.1,244,SHAREINDIA
2020-11-27,EQ,105.0,107.2,104.5,104.45,106.5,105.7,105.22,121.95,92.2,11583,1218752.75,88,SHAREINDIA
2020-12-01,EQ,106.5,111.0,104.5,105.7,108.0,108.95,107.28,121.95,92.2,16720,1793652.85,150,SHAREINDIA
2020-12-02,EQ,109.75,109.75,106.1,108.95,107.9,107.85,108.79,121.95,92.2,15477,1683778.85,154,SHAREINDIA
2020-12-03,EQ,109.0,112.1,107.1,107.85,108.0,110.75,108.79,121.95,92.2,21450,2333529.95,146,SHAREINDIA
2020-12-04,EQ,112.0,112.0,107.8,110.75,109.9,109.9,110.34,121.95,92.2,12324,1359794.3,85,SHAREINDIA
2020-12-07,EQ,117.9,131.0,110.95,109.9,125.4,123.9,121.2,131.0,92.2,45640,5531468.6,733,SHAREINDIA
2020-12-08,EQ,124.0,124.0,115.6,123.9,118.5,118.0,118.72,131.0,92.2,20030,2377956.55,369,SHAREINDIA
2020-12-09,EQ,118.5,130.95,108.0,118.0,126.0,126.2,124.24,131.0,92.2,31525,3916800.95,541,SHAREINDIA
2020-12-10,EQ,126.0,132.0,118.1,126.2,124.0,125.3,124.72,132.0,92.2,17629,2198776.4,171,SHAREINDIA
2020-12-11,EQ,129.85,130.0,115.6,125.3,126.4,125.9,124.83,132.0,92.2,18352,2290946.45,198,SHAREINDIA
2020-12-14,EQ,129.8,151.05,126.0,125.9,151.05,151.05,142.62,151.05,92.2,320183,45664157.0,1504,SHAREINDIA
2020-12-15,EQ,157.0,181.2,155.1,151.05,169.9,171.05,170.73,181.2,92.2,464176,79250592.6,8531,SHAREINDIA
2020-12-16,EQ,172.0,177.9,162.2,171.05,169.95,170.25,169.54,181.2,92.2,124421,21094713.75,2951,SHAREINDIA
2020-12-17,EQ,170.0,172.5,165.0,170.25,166.4,166.05,167.9,181.2,92.2,24957,4190180.9,585,SHAREINDIA
2020-12-18,EQ,169.7,176.55,162.1,166.05,171.45,169.85,170.13,181.2,92.2,57284,9745873.4,1130,SHAREINDIA
2020-12-21,EQ,165.5,173.9,165.1,169.85,166.0,165.7,169.95,181.2,92.2,24009,4080308.7,494,SHAREINDIA
2020-12-22,EQ,171.9,171.9,160.0,165.7,167.1,167.2,164.65,181.2,92.2,47760,7863505.35,658,SHAREINDIA
2020-12-23,EQ,165.5,171.95,165.5,167.2,168.05,167.7,168.87,181.2,92.2,17595,2971273.3,370,SHAREINDIA
2020-12-24,EQ,167.95,172.0,166.0,167.7,170.0,170.0,169.32,181.2,92.2,14499,2454953.35,279,SHAREINDIA
2020-12-28,EQ,171.5,172.9,165.05,170.0,169.5,170.05,167.16,181.2,92.2,297929,49800356.9,550,SHAREINDIA
2020-12-29,EQ,171.0,173.0,166.4,170.05,167.0,166.95,169.88,181.2,92.2,14408,2447673.2,315,SHAREINDIA
2020-12-30,EQ,168.0,171.9,166.1,166.95,171.9,170.65,169.78,181.2,92.2,14866,2523903.55,246,SHAREINDIA
