date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2018-03-13,EQ,64.4,65.9,60.0,64.5,61.0,61.2,61.68,100.35,60.0,13958,860920.2,95,SHIVAMILLS
2018-03-14,EQ,60.0,62.55,59.1,61.2,62.0,62.5,61.53,100.35,59.1,7950,489138.5,67,SHIVAMILLS
2018-03-15,EQ,60.0,64.85,59.0,62.5,61.35,62.2,61.19,100.35,59.0,9436,577431.9,81,SHIVAMILLS
2018-03-16,EQ,59.6,62.1,57.1,62.2,60.2,61.15,60.38,100.35,57.1,3129,188942.8,81,SHIVAMILLS
2018-03-19,EQ,60.1,60.1,54.8,61.15,56.5,55.4,56.39,100.35,54.8,4676,263691.35,71,SHIVAMILLS
2018-03-20,EQ,56.5,56.95,51.95,55.4,54.5,53.15,53.23,100.35,51.95,5069,269820.25,60,SHIVAMILLS
2018-03-21,EQ,54.5,54.5,50.1,53.15,50.5,50.8,52.1,100.35,50.1,3716,193616.5,103,SHIVAMILLS
2018-03-22,EQ,51.0,51.0,48.0,50.8,49.0,49.1,48.92,100.35,48.0,3925,192029.4,46,SHIVAMILLS
2018-03-23,EQ,45.55,49.3,45.05,49.1,49.3,48.8,48.1,100.35,45.05,3030,145758.05,44,SHIVAMILLS
2018-03-26,EQ,47.0,50.0,43.75,48.8,47.0,46.85,46.11,100.35,43.75,6531,301163.0,52,SHIVAMILLS
2018-03-27,EQ,47.5,51.8,47.5,46.85,48.0,48.0,48.31,100.35,43.75,491,23721.5,17,SHIVAMILLS
2018-03-28,EQ,53.0,56.9,48.15,48.0,56.5,53.4,53.25,100.35,43.75,14749,785357.45,175,SHIVAMILLS
2018-04-02,EQ,58.5,63.45,53.4,53.4,59.35,60.35,59.67,100.35,43.75,10161,606264.2,248,SHIVAMILLS
2018-04-03,EQ,64.9,72.4,60.0,60.35,72.0,71.05,69.86,100.35,43.75,45341,3167740.55,474,SHIVAMILLS
2018-04-04,EQ,72.0,74.9,63.95,71.05,63.95,63.95,67.34,100.35,43.75,29621,1994550.15,329,SHIVAMILLS
2018-04-05,EQ,64.0,66.45,58.65,63.95,62.5,63.95,62.95,100.35,43.75,12663,797079.7,262,SHIVAMILLS
2018-04-06,EQ,65.9,65.9,61.1,63.95,63.35,62.9,62.54,100.35,43.75,2890,180726.6,97,SHIVAMILLS
2018-04-09,EQ,63.9,67.8,62.45,62.9,65.7,64.95,64.89,100.35,43.75,4360,282908.25,101,SHIVAMILLS
2018-04-10,EQ,65.85,66.0,62.05,64.95,62.25,62.3,63.12,100.35,43.75,6501,410374.0,120,SHIVAMILLS
2018-04-11,EQ,64.0,64.0,61.0,62.3,61.0,62.05,62.51,100.35,43.75,1488,93018.6,48,SHIVAMILLS
2018-04-12,EQ,62.0,62.0,57.0,62.05,58.0,58.0,58.92,100.35,43.75,4703,277099.5,72,SHIVAMILLS
2018-04-13,EQ,62.85,62.85,57.2,58.0,57.2,57.45,58.55,100.35,43.75,2913,170557.15,72,SHIVAMILLS
2018-04-16,EQ,62.7,62.7,55.15,57.45,60.75,59.75,59.65,100.35,43.75,6063,361654.4,129,SHIVAMILLS
2018-04-17,EQ,63.9,64.95,59.4,59.75,59.4,59.7,60.24,100.35,43.75,4357,262460.95,103,SHIVAMILLS
2018-04-18,EQ,59.5,60.0,55.0,59.7,58.0,57.55,59.19,100.35,43.75,6510,385304.4,54,SHIVAMILLS
