date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2019-04-18,EQ,34.0,34.0,31.0,30.5,33.75,32.1,32.94,34.0,31.0,1295,42654.1,25,SOUTHWEST
2019-04-22,EQ,32.0,32.0,27.65,32.1,28.0,28.1,28.23,34.0,27.65,6884,194338.55,37,SOUTHWEST
2019-04-23,EQ,31.9,31.9,26.65,28.1,29.0,28.25,28.62,34.0,26.65,3479,99558.7,31,SOUTHWEST
2019-04-24,EQ,28.8,28.8,26.7,28.25,28.7,28.7,28.08,34.0,26.65,300,8424.75,4,SOUTHWEST
2019-04-25,EQ,28.1,28.1,28.1,28.7,28.1,28.1,28.1,34.0,26.65,15,421.5,1,SOUTHWEST
2019-04-26,EQ,28.8,28.8,26.5,28.1,26.5,26.5,27.26,34.0,26.5,1160,31617.0,8,SOUTHWEST
2019-04-30,EQ,28.5,28.5,26.5,26.5,28.0,26.65,27.66,34.0,26.5,15231,421322.9,33,SOUTHWEST
2019-05-02,EQ,28.0,28.0,26.5,26.65,27.9,27.9,27.46,34.0,26.5,2628,72172.3,14,SOUTHWEST
2019-05-03,EQ,25.7,27.9,25.7,27.9,27.8,27.8,26.52,34.0,25.7,6391,169510.25,23,SOUTHWEST
2019-05-06,EQ,29.0,29.0,26.6,27.8,28.0,28.0,27.11,34.0,25.7,62,1681.0,6,SOUTHWEST
2019-05-07,EQ,28.2,29.0,28.05,28.0,28.5,28.05,28.45,34.0,25.7,4972,141456.5,20,SOUTHWEST
2019-05-08,EQ,29.0,29.0,27.6,28.05,28.8,28.8,28.01,34.0,25.7,19080,534409.95,27,SOUTHWEST
2019-05-09,EQ,29.0,29.0,27.0,28.8,28.5,28.5,27.12,34.0,25.7,54,1464.4,5,SOUTHWEST
2019-05-10,EQ,28.0,28.0,27.9,28.5,28.0,27.9,27.99,34.0,25.7,15401,431128.05,5,SOUTHWEST
2019-05-13,EQ,28.4,28.4,25.5,27.9,28.35,28.35,26.6,34.0,25.5,1499,39880.25,7,SOUTHWEST
2019-05-14,EQ,28.95,28.95,28.0,28.35,28.0,28.0,28.06,34.0,25.5,16,448.95,2,SOUTHWEST
2019-05-15,EQ,29.9,29.9,24.5,28.0,28.5,28.5,27.73,34.0,24.5,1384,38382.95,20,SOUTHWEST
2019-05-16,EQ,26.05,28.5,24.25,28.5,28.5,28.5,27.34,34.0,24.25,2958,80881.2,30,SOUTHWEST
2019-05-17,EQ,26.1,28.0,26.1,28.5,26.5,28.0,27.34,34.0,24.25,1673,45733.2,15,SOUTHWEST
2019-05-20,EQ,29.0,29.0,26.5,28.0,27.9,27.9,26.92,34.0,24.25,92,2476.5,8,SOUTHWEST
2019-05-21,EQ,29.0,29.0,27.0,27.9,28.5,28.2,27.52,34.0,24.25,1026,28240.0,9,SOUTHWEST
2019-05-22,EQ,29.0,29.0,28.0,28.2,28.0,28.0,28.0,34.0,24.25,502,14057.0,3,SOUTHWEST
2019-05-24,EQ,28.95,28.95,26.0,28.0,27.5,27.5,26.31,34.0,24.25,103,2709.95,5,SOUTHWEST
2019-05-27,EQ,29.0,29.0,28.5,27.5,28.5,28.5,28.72,34.0,24.25,36,1033.8,7,SOUTHWEST
2019-05-28,EQ,28.95,28.95,26.0,28.5,28.45,28.45,28.44,34.0,24.25,35,995.55,6,SOUTHWEST
2019-05-29,EQ,32.0,32.0,25.0,28.45,26.1,26.1,25.42,34.0,24.25,3588,91194.25,34,SOUTHWEST
2019-05-30,EQ,26.95,27.95,24.05,26.1,26.95,24.85,26.32,34.0,24.05,1951,51349.9,18,SOUTHWEST
2019-05-31,EQ,27.45,28.85,25.05,24.85,28.0,27.6,27.08,34.0,24.05,1659,44923.1,42,SOUTHWEST
2019-06-03,EQ,27.0,29.5,23.5,27.6,25.05,25.55,25.87,34.0,23.5,8985,232403.35,53,SOUTHWEST
2019-06-04,EQ,24.3,26.95,24.05,25.55,25.5,26.3,25.98,34.0,23.5,4203,109182.1,45,SOUTHWEST
2019-06-06,EQ,26.3,26.95,24.1,26.3,26.7,25.2,25.32,34.0,23.5,3082,78048.35,30,SOUTHWEST
2019-06-07,EQ,25.25,25.25,20.2,25.2,22.0,21.95,21.83,34.0,20.2,13367,291821.8,133,SOUTHWEST
2019-06-10,EQ,24.4,26.25,24.0,21.95,25.55,25.4,24.99,34.0,20.2,8259,206382.9,109,SOUTHWEST
2019-06-11,EQ,25.55,27.0,23.0,25.4,25.9,24.35,25.52,34.0,20.2,1746,44561.95,29,SOUTHWEST
2019-06-12,EQ,23.5,25.9,22.8,24.35,24.95,24.95,24.17,34.0,20.2,1579,38167.25,26,SOUTHWEST
2019-06-13,EQ,27.7,27.8,23.5,24.95,25.0,25.0,26.26,34.0,20.2,8399,220543.9,78,SOUTHWEST
2019-06-14,EQ,28.85,28.85,23.0,25.0,23.6,24.4,25.42,34.0,20.2,1641,41706.6,37,SOUTHWEST
2019-06-17,EQ,26.7,26.7,23.6,24.4,25.9,25.9,24.6,34.0,20.2,276,6788.8,24,SOUTHWEST
2019-06-18,EQ,23.3,26.3,23.3,25.9,26.0,23.75,24.02,34.0,20.2,184,4420.0,21,SOUTHWEST
2019-06-19,EQ,19.5,26.15,19.5,23.75,23.7,23.6,23.69,34.0,19.5,4950,117285.1,29,SOUTHWEST
2019-06-20,EQ,19.3,23.6,19.3,23.6,23.4,23.4,23.28,34.0,19.3,1315,30617.2,37,SOUTHWEST
2019-06-21,EQ,20.2,28.0,20.2,23.4,23.0,23.0,23.22,34.0,19.3,10153,235760.6,123,SOUTHWEST
2019-06-24,EQ,21.0,25.0,21.0,23.0,21.05,21.55,22.0,34.0,19.3,3515,77325.25,19,SOUTHWEST
