date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2019-07-30,EQ,26.95,26.95,21.1,23.1,22.5,22.95,23.59,26.95,21.1,58315,1375835.0,134,SUMIT
2019-07-31,EQ,20.3,24.0,19.9,22.95,23.75,22.95,20.67,26.95,19.9,58296,1205115.3,102,SUMIT
2019-08-01,EQ,19.6,24.0,19.6,22.95,23.15,23.1,23.1,26.95,19.6,21092,487135.0,33,SUMIT
2019-08-01,EQ,19.6,24.0,19.6,22.95,23.15,23.1,23.1,26.95,19.6,21092,487135.0,33,SUMIT
2019-08-02,EQ,23.9,23.9,22.8,23.1,23.2,23.15,23.26,26.95,19.6,22413,521231.65,50,SUMIT
2019-08-05,EQ,23.5,23.5,21.95,23.15,23.0,23.0,22.63,26.95,19.6,15284,345859.4,27,SUMIT
2019-08-06,EQ,23.3,23.45,20.35,23.0,23.45,23.45,23.3,26.95,19.6,25454,593136.6,162,SUMIT
2019-08-07,EQ,23.5,23.5,22.0,23.45,23.45,23.45,22.52,26.95,19.6,40752,917606.75,10,SUMIT
2019-08-08,EQ,23.5,23.5,22.2,23.45,23.0,22.7,22.78,26.95,19.6,623,14194.6,9,SUMIT
2019-08-09,EQ,24.0,24.0,22.25,22.7,23.65,22.8,23.29,26.95,19.6,22086,514448.3,50,SUMIT
2019-08-13,EQ,23.75,23.75,20.5,22.8,23.5,23.5,23.48,26.95,19.6,83278,1955733.7,46,SUMIT
2019-08-14,EQ,24.65,24.65,20.75,23.5,23.4,23.4,22.67,26.95,19.6,2704,61294.3,16,SUMIT
2019-08-16,EQ,23.55,23.55,23.45,23.4,23.45,23.45,23.53,26.95,19.6,14,329.4,3,SUMIT
2019-08-19,EQ,24.0,24.0,18.8,23.45,19.95,19.6,20.75,26.95,18.8,37665,781704.0,128,SUMIT
2019-08-20,EQ,22.9,22.9,17.35,19.6,20.7,20.6,20.1,26.95,17.35,6453,129700.2,70,SUMIT
2019-08-21,EQ,22.8,22.8,17.05,20.6,20.55,20.55,19.98,26.95,17.05,901,17999.4,28,SUMIT
2019-08-22,EQ,21.0,21.0,17.0,20.55,18.0,17.9,17.38,26.95,17.0,7596,131984.45,32,SUMIT
2019-08-23,EQ,16.65,19.65,16.65,17.9,19.3,19.3,18.91,26.95,16.65,1198,22660.0,30,SUMIT
2019-08-26,EQ,17.9,19.3,17.9,19.3,19.3,19.3,18.2,26.95,16.65,8,145.6,5,SUMIT
2019-08-27,EQ,19.95,19.95,19.95,19.3,19.95,19.95,19.95,26.95,16.65,501,9994.95,4,SUMIT
2019-08-28,EQ,21.9,21.9,18.0,19.95,19.75,19.75,18.27,26.95,16.65,8572,156617.1,24,SUMIT
2019-08-30,EQ,17.55,21.8,16.2,19.75,21.8,18.5,18.44,26.95,16.2,5966,109987.05,38,SUMIT
2019-09-03,EQ,20.3,20.35,18.1,18.5,20.05,20.05,19.57,26.95,16.2,6618,129530.25,40,SUMIT
2019-09-04,EQ,21.7,21.7,18.05,20.05,19.5,19.5,19.1,26.95,16.2,3502,66878.1,33,SUMIT
2019-09-05,EQ,18.15,19.0,16.6,19.5,17.0,17.05,17.57,26.95,16.2,6123,107595.95,29,SUMIT
2019-09-06,EQ,18.35,18.35,16.75,17.05,18.3,17.15,17.62,26.95,16.2,1227,21622.45,14,SUMIT
2019-09-09,EQ,18.3,18.9,17.55,17.15,18.7,18.6,18.39,26.95,16.2,703,12927.9,17,SUMIT
2019-09-11,EQ,18.7,19.2,17.5,18.6,19.1,18.95,18.74,26.95,16.2,174,3261.6,13,SUMIT
2019-09-12,EQ,18.9,19.9,17.05,18.95,19.5,19.4,19.22,26.95,16.2,3593,69050.35,26,SUMIT
2019-09-13,EQ,21.0,21.0,18.5,19.4,19.3,19.25,18.81,26.95,16.2,1710,32157.55,19,SUMIT
2019-09-16,EQ,19.3,19.3,17.5,19.25,19.25,18.0,18.16,26.95,16.2,5621,102103.8,38,SUMIT
2019-09-17,EQ,19.95,19.95,17.85,18.0,19.0,18.35,18.67,26.95,16.2,895,16713.05,36,SUMIT
2019-09-18,EQ,19.0,19.0,19.0,18.35,19.0,19.0,19.0,26.95,16.2,45,855.0,2,SUMIT
2019-09-19,EQ,16.0,19.0,15.6,19.0,17.35,18.75,17.67,26.95,15.6,591,10441.45,22,SUMIT
2019-09-20,EQ,20.8,20.8,17.55,18.75,18.9,18.9,18.15,26.95,15.6,2186,39676.3,18,SUMIT
2019-09-23,EQ,17.5,19.7,17.5,18.9,18.25,18.25,19.32,26.95,15.6,56056,1083085.1,24,SUMIT
2019-09-24,EQ,17.05,19.0,17.05,18.25,18.9,18.35,18.3,26.95,15.6,1679,30720.5,16,SUMIT
2019-09-25,EQ,18.85,18.85,17.5,18.35,18.75,18.2,18.46,26.95,15.6,369,6810.4,15,SUMIT
2019-09-26,EQ,17.1,20.0,17.1,18.2,19.5,18.8,18.62,26.95,15.6,936,17430.05,15,SUMIT
2019-09-27,EQ,17.05,18.85,15.15,18.8,17.3,16.25,16.57,26.95,15.15,10011,165896.05,82,SUMIT
2019-09-30,EQ,15.9,17.35,15.9,16.25,17.25,17.15,17.2,26.95,15.15,278,4782.15,12,SUMIT
2019-10-01,EQ,16.45,17.75,15.35,17.15,17.75,17.3,16.98,26.95,15.15,15830,268741.7,24,SUMIT
2019-10-03,EQ,17.5,19.0,17.1,17.3,19.0,18.3,18.22,26.95,15.15,9901,180425.45,51,SUMIT
2019-10-04,EQ,18.8,19.9,17.55,18.3,19.35,17.9,18.31,26.95,15.15,16149,295710.55,70,SUMIT
2019-10-07,EQ,18.0,19.5,16.1,17.9,18.3,17.9,17.59,26.95,15.15,23291,409744.3,167,SUMIT
