date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2022-12-12,EQ,575.0,577.0,536.5,577.0,537.6,539.65,558.18,577.0,536.5,7530518,4203377145.8,194020,UNIPARTS
2022-12-13,EQ,541.05,579.2,541.05,539.65,563.95,565.4,562.52,579.2,536.5,3608222,2029703620.95,119202,UNIPARTS
2022-12-14,EQ,569.0,590.75,565.4,565.4,575.0,576.15,580.33,590.75,536.5,3029973,1758380430.8,85290,UNIPARTS
2022-12-15,EQ,575.05,588.8,565.0,576.15,565.8,566.85,577.46,590.75,536.5,962639,555885533.6,32131,UNIPARTS
2022-12-16,EQ,565.9,578.7,560.2,566.85,570.6,570.25,570.31,590.75,536.5,855040,487634570.55,25367,UNIPARTS
2022-12-19,EQ,573.7,588.7,565.0,570.25,588.1,584.8,579.63,590.75,536.5,971533,563126702.85,25180,UNIPARTS
2022-12-20,EQ,588.7,593.75,574.25,584.8,575.6,576.45,582.81,593.75,536.5,645687,376313381.85,16808,UNIPARTS
2022-12-21,EQ,579.75,583.2,541.0,576.45,564.15,563.8,564.61,593.75,536.5,704740,397900885.3,25443,UNIPARTS
2022-12-22,EQ,570.0,570.4,538.15,563.8,559.2,563.25,552.76,593.75,536.5,656588,362938368.05,23340,UNIPARTS
2022-12-23,EQ,552.2,556.0,530.05,563.25,548.0,540.95,544.64,593.75,530.05,429679,234018260.5,19498,UNIPARTS
2022-12-26,EQ,541.95,558.0,535.5,540.95,540.0,541.85,542.22,593.75,530.05,535661,290448722.15,32834,UNIPARTS
2022-12-27,EQ,546.4,556.35,537.2,541.85,552.8,552.7,547.44,593.75,530.05,463933,253974125.8,21674,UNIPARTS
2022-12-28,EQ,548.75,566.0,544.35,552.7,563.5,563.95,554.73,593.75,530.05,369658,205059399.1,14033,UNIPARTS
2022-12-29,EQ,562.55,566.45,553.2,563.95,565.5,565.45,559.97,593.75,530.05,266439,149197483.45,10732,UNIPARTS
2022-12-30,EQ,568.25,579.5,561.3,565.45,576.2,575.5,569.74,593.75,530.05,317372,180818574.3,14168,UNIPARTS
2023-01-02,EQ,579.7,585.0,567.0,575.5,568.0,570.5,578.1,593.75,530.05,402419,232636712.6,14111,UNIPARTS
2023-01-03,EQ,570.4,581.1,569.0,570.5,576.4,573.8,575.07,593.75,530.05,243060,139777410.55,9870,UNIPARTS
2023-01-04,EQ,576.4,578.05,562.6,573.8,565.95,571.15,570.85,593.75,530.05,150654,86000664.55,7774,UNIPARTS
2023-01-05,EQ,569.85,574.7,542.0,571.15,547.25,547.35,551.44,593.75,530.05,391285,215771990.75,15070,UNIPARTS
2023-01-06,EQ,549.65,555.65,541.6,547.35,549.8,547.85,549.49,593.75,530.05,340090,186876365.85,11447,UNIPARTS
2023-01-09,EQ,550.9,556.75,550.9,547.85,554.0,552.45,553.49,593.75,530.05,63254,35010271.2,2932,UNIPARTS
2023-01-10,EQ,554.0,554.05,544.0,552.45,544.0,546.75,549.36,593.75,530.05,80863,44422811.2,6660,UNIPARTS
2023-01-11,EQ,546.75,558.3,546.1,546.75,553.3,553.8,554.42,593.75,530.05,104562,57971204.5,5308,UNIPARTS
2023-01-12,EQ,555.65,557.4,551.05,553.8,554.0,554.4,554.28,593.75,530.05,93565,51861194.05,4165,UNIPARTS
2023-01-13,EQ,555.0,563.55,552.8,554.4,558.7,560.05,558.73,593.75,530.05,182806,102139418.0,3887,UNIPARTS
2023-01-16,EQ,564.6,564.6,559.25,560.05,562.95,561.55,561.58,593.75,530.05,68778,38624384.15,3114,UNIPARTS
2023-01-17,EQ,563.45,563.45,551.25,561.55,556.0,553.85,555.65,593.75,530.05,41801,23226804.25,3151,UNIPARTS
2023-01-18,EQ,554.95,558.45,549.1,553.85,553.7,553.55,553.97,593.75,530.05,64030,35470873.25,3717,UNIPARTS
2023-01-19,EQ,550.2,552.95,545.0,553.55,545.05,546.0,548.91,593.75,530.05,54056,29671629.5,3608,UNIPARTS
2023-01-20,EQ,549.9,556.4,546.5,546.0,550.45,552.05,552.28,593.75,530.05,66823,36904746.7,3618,UNIPARTS
2023-01-23,EQ,550.1,555.55,543.0,552.05,543.0,544.65,549.24,593.75,530.05,94640,51979847.7,5063,UNIPARTS
2023-01-24,EQ,546.0,551.0,544.0,544.65,545.15,546.8,547.51,593.75,530.05,116021,63522531.35,6844,UNIPARTS
2023-01-25,EQ,547.05,552.0,541.05,546.8,542.1,545.65,547.86,593.75,530.05,79257,43422060.15,4356,UNIPARTS
2023-01-27,EQ,546.95,551.0,538.65,545.65,541.6,543.95,544.68,593.75,530.05,161597,88018951.35,7346,UNIPARTS
2023-01-30,EQ,541.1,555.0,540.95,543.95,553.75,551.55,547.72,593.75,530.05,90849,49760158.2,6080,UNIPARTS
2023-01-31,EQ,550.15,562.2,548.1,551.55,557.55,554.55,555.06,593.75,530.05,92033,51083537.95,8753,UNIPARTS
2023-02-01,EQ,559.0,563.0,547.3,554.55,562.0,559.95,557.2,593.75,530.05,121816,67875355.35,6556,UNIPARTS
2023-02-02,EQ,559.95,567.0,554.0,559.95,557.9,559.15,560.59,593.75,530.05,105307,59033798.9,6006,UNIPARTS
2023-02-03,EQ,561.75,562.0,548.1,559.15,548.1,550.45,558.08,593.75,530.05,82408,45990148.55,6098,UNIPARTS
2023-02-06,EQ,549.9,552.9,545.05,550.45,546.95,547.65,548.82,593.75,530.05,26772,14693101.65,2511,UNIPARTS
2023-02-07,EQ,549.65,551.75,543.0,547.65,548.4,546.65,548.08,593.75,530.05,46651,25568400.2,4763,UNIPARTS
2023-02-08,EQ,549.85,567.0,544.0,546.65,565.0,563.3,557.6,593.75,530.05,101903,56820704.65,5545,UNIPARTS
2023-02-09,EQ,563.0,577.0,560.0,563.3,563.0,561.8,568.03,593.75,530.05,97853,55583216.9,8281,UNIPARTS
2023-02-10,EQ,562.95,564.9,555.0,561.8,558.0,557.45,558.35,593.75,530.05,38273,21369688.05,3285,UNIPARTS
2023-02-13,EQ,561.75,561.75,545.1,557.45,547.0,548.6,551.26,593.75,530.05,58561,32282183.6,2316,UNIPARTS
2023-02-14,EQ,549.3,556.6,547.0,548.6,549.05,549.75,551.08,593.75,530.05,82002,45189945.6,3019,UNIPARTS
2023-02-15,EQ,585.0,588.9,564.0,549.75,571.15,572.4,574.23,593.75,530.05,496329,285006232.75,23873,UNIPARTS
2023-02-16,EQ,575.0,578.95,549.1,572.4,557.0,556.75,556.51,593.75,530.05,274646,152843525.75,14604,UNIPARTS
2023-02-17,EQ,557.5,577.1,556.5,556.75,570.05,573.55,572.38,593.75,530.05,276986,158539977.45,18600,UNIPARTS
2023-02-20,EQ,575.0,581.45,566.05,573.55,571.85,569.3,573.57,593.75,530.05,244222,140079625.2,12295,UNIPARTS
2023-02-21,EQ,574.45,580.0,567.1,569.3,579.05,577.95,577.21,593.75,530.05,188051,108545064.65,11161,UNIPARTS
2023-02-22,EQ,574.95,612.3,573.5,577.95,595.75,598.1,596.91,612.3,530.05,1595452,952337907.95,47176,UNIPARTS
2023-02-23,EQ,603.95,604.95,580.1,598.1,582.9,582.45,593.46,612.3,530.05,546048,324055876.85,17160,UNIPARTS
2023-02-24,EQ,584.7,588.35,559.5,582.45,563.0,562.5,572.04,612.3,530.05,196671,112503536.8,9788,UNIPARTS
2023-02-27,EQ,564.0,569.6,545.0,562.5,558.0,556.8,553.19,612.3,530.05,204301,113017288.1,12897,UNIPARTS
2023-02-28,EQ,555.0,567.95,550.05,556.8,565.0,565.85,557.94,612.3,530.05,189253,105592245.75,13583,UNIPARTS
2023-03-01,EQ,563.15,572.0,554.15,565.85,558.0,563.55,565.03,612.3,530.05,149140,84268949.4,9816,UNIPARTS
2023-03-02,EQ,562.5,564.35,549.9,563.55,551.0,550.85,556.34,612.3,530.05,60392,33598373.3,4395,UNIPARTS
2023-03-03,EQ,554.5,562.0,553.2,550.85,559.95,559.2,557.42,612.3,530.05,59896,33387522.35,3361,UNIPARTS
2023-03-06,EQ,559.2,561.8,549.0,559.2,550.1,550.1,553.4,612.3,530.05,77612,42950186.5,5147,UNIPARTS
2023-03-08,EQ,549.65,555.85,545.55,550.1,546.8,547.5,550.37,612.3,530.05,50376,27725343.4,3444,UNIPARTS
2023-03-09,EQ,551.0,551.0,530.1,547.5,535.0,535.35,537.73,612.3,530.05,277333,149130192.7,11201,UNIPARTS
2023-03-10,EQ,537.0,541.0,533.0,535.35,533.6,534.5,536.19,612.3,530.05,79391,42568337.4,4201,UNIPARTS
2023-03-13,EQ,528.6,532.65,506.65,534.5,514.0,516.75,515.37,612.3,506.65,346886,178774074.4,13417,UNIPARTS
