date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2017-03-28,EQ,1.25,1.25,1.25,1.15,1.25,1.25,1.25,1.25,1.25,159344,199180.0,17,URJA
2017-03-29,EQ,1.35,1.35,1.35,1.25,1.35,1.35,1.35,1.35,1.25,396786,535661.1,64,URJA
2017-03-30,EQ,1.4,1.4,1.35,1.35,1.4,1.4,1.4,1.4,1.25,228874,320318.4,98,URJA
2017-03-31,EQ,1.45,1.45,1.4,1.4,1.45,1.45,1.45,1.45,1.25,607052,878391.8,142,URJA
2017-04-03,EQ,1.5,1.5,1.4,1.45,1.45,1.4,1.44,1.5,1.25,620977,894991.85,275,URJA
2017-04-05,EQ,1.45,1.45,1.35,1.4,1.4,1.4,1.37,1.5,1.25,485298,666387.9,158,URJA
2017-04-06,EQ,1.4,1.45,1.35,1.4,1.45,1.4,1.42,1.5,1.25,1310725,1858801.2,313,URJA
2017-04-07,EQ,1.45,1.45,1.35,1.4,1.4,1.4,1.4,1.5,1.25,162333,227618.9,97,URJA
2017-04-10,EQ,1.4,1.4,1.35,1.4,1.35,1.35,1.35,1.5,1.25,462880,626646.75,80,URJA
2017-04-11,EQ,1.35,1.35,1.3,1.35,1.3,1.3,1.31,1.5,1.25,199524,260703.25,82,URJA
2017-04-12,EQ,1.25,1.3,1.25,1.3,1.25,1.25,1.25,1.5,1.25,158333,198094.25,65,URJA
2017-05-30,EQ,1.05,1.05,1.05,1.1,1.05,1.05,1.05,1.5,1.05,88680,93114.0,42,URJA
2017-05-31,EQ,1.05,1.05,1.0,1.05,1.05,1.0,1.02,1.5,1.0,81374,82657.7,39,URJA
2017-06-01,EQ,1.0,1.0,0.95,1.0,1.0,0.95,0.98,1.5,0.95,155677,152995.0,43,URJA
2017-06-02,EQ,1.0,1.0,0.9,0.95,0.9,0.9,0.91,1.5,0.9,1189389,1085793.15,140,URJA
2017-06-05,EQ,0.9,0.9,0.85,0.9,0.9,0.9,0.86,1.5,0.85,535820,459456.15,146,URJA
2017-06-06,EQ,0.85,0.9,0.85,0.9,0.85,0.85,0.85,1.5,0.85,236214,201556.9,73,URJA
2017-06-07,EQ,0.85,0.9,0.8,0.85,0.9,0.9,0.84,1.5,0.8,252520,212936.3,90,URJA
2017-06-08,EQ,0.95,0.95,0.9,0.9,0.95,0.95,0.95,1.5,0.8,132650,125507.5,43,URJA
2017-06-09,EQ,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.5,0.8,36617,36617.0,28,URJA
2017-06-12,EQ,1.05,1.05,0.95,1.0,1.0,1.05,1.04,1.5,0.8,353064,368325.65,134,URJA
2017-06-13,EQ,1.05,1.05,1.0,1.05,1.05,1.05,1.02,1.5,0.8,121134,124142.9,57,URJA
2017-06-14,EQ,1.05,1.05,1.0,1.05,1.0,1.05,1.0,1.5,0.8,38105,38232.65,34,URJA
2017-06-15,EQ,1.05,1.05,1.0,1.05,1.05,1.05,1.02,1.5,0.8,86780,88787.35,36,URJA
2017-06-16,EQ,1.0,1.05,1.0,1.05,1.0,1.0,1.0,1.5,0.8,146417,146618.35,50,URJA
2017-06-19,EQ,1.0,1.05,0.95,1.0,1.0,1.0,1.01,1.5,0.8,61144,61987.55,37,URJA
2017-06-20,EQ,1.0,1.0,0.95,1.0,1.0,1.0,0.98,1.5,0.8,47528,46534.55,31,URJA
