date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-10-11,EQ,56.85,59.8,51.0,78.0,52.6,52.8,54.21,0.0,0.0,37244,2019102.4,0,USHABEL
2000-10-12,EQ,51.9,54.8,50.5,52.8,54.15,53.95,52.89,59.8,51.0,43820,2317718.05,0,USHABEL
2000-10-13,EQ,53.0,53.0,51.25,53.95,54.15,51.65,51.92,59.8,50.5,20615,1070404.9,0,USHABEL
2000-10-16,EQ,55.5,55.8,52.05,51.65,52.25,52.7,54.35,59.8,50.5,31517,1712866.75,0,USHABEL
2000-10-17,EQ,52.25,53.4,51.25,52.7,51.4,51.95,52.11,59.8,50.5,14619,761738.15,0,USHABEL
2000-10-18,EQ,52.0,52.5,50.45,51.95,50.65,51.05,51.39,59.8,50.5,14914,766498.5,0,USHABEL
2000-10-19,EQ,51.5,52.5,48.25,51.05,52.0,52.35,50.89,59.8,50.45,20273,1031732.85,0,USHABEL
2000-10-20,EQ,52.05,53.0,46.5,52.35,46.5,47.6,49.89,59.8,48.25,31497,1571396.8,0,USHABEL
2000-10-23,EQ,48.0,48.0,41.1,47.6,43.35,42.85,44.45,59.8,46.5,25031,1112606.95,0,USHABEL
2000-10-24,EQ,42.5,46.3,41.35,42.85,45.0,43.95,44.39,59.8,41.1,32532,1444103.7,0,USHABEL
2000-10-25,EQ,45.95,46.95,44.0,43.95,45.5,45.05,44.95,59.8,41.1,19094,858247.5,0,USHABEL
2000-10-26,EQ,45.45,46.2,44.2,45.05,46.15,45.6,45.36,59.8,41.1,4325,196168.95,0,USHABEL
2000-10-27,EQ,46.0,47.0,45.15,45.6,46.55,46.2,46.27,59.8,41.1,7270,336359.25,0,USHABEL
2000-10-30,EQ,46.2,46.95,45.0,46.2,46.05,46.2,46.17,59.8,41.1,7873,363535.3,0,USHABEL
2000-10-31,EQ,45.95,48.0,45.05,46.2,48.0,46.15,45.72,59.8,41.1,12181,556893.4,0,USHABEL
2000-11-01,EQ,49.0,53.0,48.25,46.15,53.0,52.35,50.96,59.8,41.1,25958,1322748.25,0,USHABEL
2000-11-02,EQ,53.0,58.85,53.0,52.35,58.5,58.5,56.18,59.8,41.1,52117,2928106.05,0,USHABEL
2000-11-03,EQ,62.5,64.3,59.0,58.5,60.7,60.35,60.8,59.8,41.1,280266,17040596.6,0,USHABEL
2000-11-06,EQ,61.2,62.7,58.05,60.35,58.15,58.25,60.19,64.3,41.1,75081,4518995.35,0,USHABEL
2000-11-07,EQ,56.55,59.5,56.55,58.25,59.0,58.85,58.96,64.3,41.1,33945,2001271.45,0,USHABEL
2000-11-08,EQ,63.6,63.6,58.6,58.85,61.4,61.2,61.4,64.3,41.1,110034,6756607.6,0,USHABEL
2000-11-09,EQ,59.2,60.45,58.1,61.2,59.0,59.1,59.66,64.3,41.1,87580,5225400.25,0,USHABEL
2000-11-10,EQ,58.6,59.9,56.3,59.1,56.3,56.75,58.85,64.3,41.1,84673,4983288.2,0,USHABEL
2000-11-13,EQ,56.1,56.1,52.35,56.75,53.0,52.75,53.27,64.3,41.1,61029,3250863.95,0,USHABEL
2000-11-14,EQ,54.0,55.9,52.1,52.75,54.8,55.1,54.34,64.3,41.1,15916,864825.2,0,USHABEL
2000-11-15,EQ,58.9,58.9,55.5,55.1,56.1,56.35,57.07,64.3,41.1,19547,1115507.95,0,USHABEL
2000-11-16,EQ,56.0,57.85,55.1,56.35,55.85,55.45,56.09,64.3,41.1,6158,345388.4,0,USHABEL
2000-11-17,EQ,52.0,56.6,52.0,55.45,56.6,56.1,55.07,64.3,41.1,9061,498988.9,0,USHABEL
