date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2023-09-05,EQ,165.0,165.0,144.0,99.0,144.8,145.7,152.15,165.0,144.0,33422169,5085135669.65,179831,VPRPL
2023-09-06,EQ,149.7,173.3,146.15,145.7,164.8,163.5,162.01,173.3,144.0,30128793,4881109865.85,192936,VPRPL
2023-09-07,EQ,166.35,174.0,166.05,163.5,169.0,168.7,170.43,174.0,144.0,10619235,1809856516.55,63030,VPRPL
2023-09-08,EQ,170.0,175.85,163.4,168.7,172.0,172.75,169.68,175.85,144.0,6126052,1039465682.45,42339,VPRPL
2023-09-11,EQ,174.3,175.4,165.1,172.75,167.0,166.2,170.05,175.85,144.0,2609536,443752769.1,20781,VPRPL
2023-09-12,EQ,167.9,169.2,152.0,166.2,153.0,152.7,157.19,175.85,144.0,3685253,579278403.65,28960,VPRPL
2023-09-13,EQ,154.0,168.5,150.65,152.7,167.45,166.5,161.34,175.85,144.0,4236260,683491568.1,29259,VPRPL
2023-09-14,EQ,169.35,172.5,162.35,166.5,169.05,169.8,169.06,175.85,144.0,3888152,657312678.35,25460,VPRPL
2023-09-15,EQ,171.1,187.5,170.5,169.8,175.45,174.6,179.74,187.5,144.0,10451755,1878634577.15,73470,VPRPL
2023-09-18,EQ,178.0,179.35,170.75,174.6,173.85,174.35,174.87,187.5,144.0,2443142,427232862.3,20876,VPRPL
2023-09-20,EQ,175.8,182.0,170.1,174.35,173.5,173.65,175.87,187.5,144.0,2848132,500911666.6,21284,VPRPL
2023-09-21,EQ,173.65,176.35,167.0,173.65,170.3,169.7,171.41,187.5,144.0,1676116,287308261.65,13346,VPRPL
2023-09-22,EQ,171.55,174.45,168.35,169.7,171.5,171.45,171.43,187.5,144.0,1483592,254327797.2,13244,VPRPL
2023-09-25,EQ,172.95,179.2,172.3,171.45,176.65,176.9,175.91,187.5,144.0,2640420,464479525.6,23481,VPRPL
2023-09-26,EQ,176.9,189.2,168.25,176.9,181.75,181.1,182.47,189.2,144.0,11288667,2059842334.95,79156,VPRPL
2023-09-27,EQ,182.05,184.4,177.55,181.1,178.0,178.7,180.64,189.2,144.0,2623405,473885966.05,21161,VPRPL
2023-09-28,EQ,179.5,181.95,170.05,178.7,171.55,170.85,175.47,189.2,144.0,2521023,442363416.1,22892,VPRPL
2023-09-29,EQ,171.95,178.45,171.2,170.85,173.35,172.5,174.42,189.2,144.0,1857773,324023715.2,17492,VPRPL
2023-10-03,EQ,173.0,173.7,165.3,172.5,166.5,166.1,168.19,189.2,144.0,1914314,321963834.3,22872,VPRPL
2023-10-04,EQ,165.95,169.55,162.1,166.1,165.5,164.9,165.92,189.2,144.0,1788817,296794055.75,19693,VPRPL
2023-10-05,EQ,166.9,171.55,166.35,164.9,170.7,170.6,169.06,189.2,144.0,1777490,300509651.25,14435,VPRPL
2023-10-06,EQ,171.2,176.15,170.05,170.6,173.25,173.45,173.48,189.2,144.0,1927718,334413609.35,16299,VPRPL
2023-10-09,EQ,170.95,177.85,166.75,173.45,173.75,173.85,173.62,189.2,144.0,2284946,396705966.1,20366,VPRPL
2023-10-10,EQ,175.8,188.4,175.25,173.85,181.0,181.15,183.12,189.2,144.0,4529163,829402822.7,33957,VPRPL
2023-10-11,EQ,183.05,201.8,181.2,181.15,199.0,196.9,191.69,201.8,144.0,8060006,1545056826.65,51192,VPRPL
2023-10-12,EQ,201.0,207.7,197.5,196.9,201.3,201.5,202.57,207.7,144.0,7638653,1547372976.05,53098,VPRPL
2023-10-13,EQ,200.45,213.05,198.3,201.5,212.5,210.2,207.48,213.05,144.0,6668946,1383688276.35,43835,VPRPL
2023-10-16,EQ,210.95,212.0,202.8,210.2,205.75,204.55,206.44,213.05,144.0,2273377,469318071.9,19177,VPRPL
2023-10-17,EQ,205.0,208.4,200.2,204.55,201.9,202.05,203.98,213.05,144.0,1876561,382780382.6,16526,VPRPL
2023-10-18,EQ,202.15,205.75,194.0,202.05,198.2,197.5,198.67,213.05,144.0,1922376,381922897.9,16754,VPRPL
2023-10-19,EQ,195.85,201.5,195.75,197.5,198.85,197.65,198.29,213.05,144.0,1231862,244268219.15,14743,VPRPL
2023-10-20,EQ,198.5,203.65,192.0,197.65,194.65,194.1,197.45,213.05,144.0,1408638,278132160.1,15072,VPRPL
2023-10-23,EQ,194.65,194.8,178.25,194.1,180.0,179.65,183.16,213.05,144.0,2175948,398555943.4,29026,VPRPL
2023-10-25,EQ,183.5,186.0,172.0,179.65,177.8,178.3,179.09,213.05,144.0,1579995,282960216.0,20663,VPRPL
2023-10-26,EQ,177.0,193.7,171.6,178.3,193.7,190.2,184.47,213.05,144.0,2796881,515935968.7,33093,VPRPL
2023-10-27,EQ,192.05,202.3,191.05,190.2,197.65,198.15,197.48,213.05,144.0,3185559,629093391.25,29208,VPRPL
2023-10-30,EQ,199.0,199.25,192.5,198.15,194.95,195.35,195.12,213.05,144.0,1092923,213245698.25,11439,VPRPL
2023-10-31,EQ,196.1,199.6,192.05,195.35,192.85,192.7,195.47,213.05,144.0,809884,158311492.4,11024,VPRPL
2023-11-01,EQ,193.0,195.25,185.25,192.7,187.45,186.4,190.06,213.05,144.0,821560,156144383.55,14660,VPRPL
2023-11-02,EQ,189.85,191.2,187.6,186.4,188.2,188.15,189.38,213.05,144.0,871989,165138477.1,11233,VPRPL
2023-11-03,EQ,188.0,196.35,187.95,188.15,193.0,192.8,193.36,213.05,144.0,1887740,365008207.7,18968,VPRPL
2023-11-06,EQ,196.0,200.0,194.4,192.8,194.95,195.05,196.98,213.05,144.0,1871161,368581978.4,20409,VPRPL
2023-11-07,EQ,195.75,199.7,191.65,195.05,197.95,197.8,195.7,213.05,144.0,1157758,226570730.2,17710,VPRPL
2023-11-08,EQ,199.0,210.95,199.0,197.8,199.9,200.45,205.92,213.05,144.0,4703151,968465228.4,51724,VPRPL
2023-11-09,EQ,197.0,202.2,192.8,200.45,194.2,193.65,197.18,213.05,144.0,2309063,455305999.35,21654,VPRPL
2023-11-10,EQ,194.7,195.75,189.8,193.65,191.7,191.1,192.06,213.05,144.0,1238007,237772216.65,12925,VPRPL
2023-11-12,EQ,193.9,198.5,193.0,191.1,197.25,197.45,196.68,213.05,144.0,546453,107474974.8,8387,VPRPL
2023-11-13,EQ,198.0,198.0,192.25,197.45,194.2,193.45,194.22,213.05,144.0,852560,165588295.5,11139,VPRPL
2023-11-15,EQ,195.8,201.0,194.45,193.45,197.0,197.3,197.49,213.05,144.0,1554518,307005825.7,15887,VPRPL
2023-11-16,EQ,197.9,226.6,197.4,197.3,222.0,221.35,217.13,226.6,144.0,12240428,2657737053.2,108083,VPRPL
2023-11-17,EQ,221.3,228.8,213.5,221.35,216.45,216.65,221.14,228.8,144.0,3938370,870914314.8,32971,VPRPL
2023-11-20,EQ,217.5,221.35,211.15,216.65,212.75,212.9,216.43,228.8,144.0,1845465,399408765.45,20222,VPRPL
2023-11-21,EQ,212.1,216.4,207.45,212.9,212.5,213.3,211.71,228.8,144.0,1877814,397551937.8,19527,VPRPL
2023-11-22,EQ,213.95,216.75,208.75,213.3,213.15,213.0,213.37,228.8,144.0,1141598,243587904.65,14376,VPRPL
2023-11-23,EQ,214.25,214.4,211.05,213.0,212.8,213.0,212.72,228.8,144.0,661407,140697412.7,8077,VPRPL
2023-11-24,EQ,214.0,223.05,211.0,213.0,216.0,215.65,217.04,228.8,144.0,2492059,540868173.9,25987,VPRPL
2023-11-28,EQ,217.05,217.6,211.65,215.65,212.6,212.95,214.3,228.8,144.0,758957,162645453.8,9965,VPRPL
2023-11-29,EQ,213.5,214.5,205.85,212.95,207.0,207.6,210.14,228.8,144.0,1015267,213345171.75,14879,VPRPL
2023-11-30,EQ,208.15,210.7,201.3,207.6,203.5,202.75,203.68,228.8,144.0,1309804,266782560.95,20534,VPRPL
2023-12-01,EQ,203.3,208.45,203.3,202.75,204.5,204.8,205.64,228.8,144.0,2539769,522282200.6,29769,VPRPL
2023-12-04,EQ,209.05,209.85,205.05,204.8,206.15,206.3,206.74,228.8,144.0,1024922,211890202.75,17851,VPRPL
2023-12-05,EQ,206.65,208.2,203.0,206.3,204.75,204.55,205.13,228.8,144.0,591802,121395021.95,10745,VPRPL
2023-12-06,EQ,205.4,206.0,201.05,204.55,202.0,201.75,203.26,228.8,144.0,628999,127852732.5,11603,VPRPL
2023-12-07,EQ,202.25,207.35,199.0,201.75,204.4,204.6,204.58,228.8,144.0,1681585,344024378.9,13679,VPRPL
2023-12-08,EQ,205.9,207.5,199.95,204.6,203.0,203.0,205.02,228.8,144.0,1359403,278699183.05,12688,VPRPL
2023-12-11,EQ,203.5,211.95,201.65,203.0,209.95,209.65,207.54,228.8,144.0,1691770,351112094.5,21304,VPRPL
2023-12-12,EQ,211.7,214.35,205.7,209.65,209.5,209.3,211.29,228.8,144.0,1831019,386867296.5,23897,VPRPL
2023-12-13,EQ,211.9,226.8,210.8,209.3,222.8,223.2,220.78,228.8,144.0,8095473,1787296545.2,81824,VPRPL
2023-12-14,EQ,224.0,228.0,219.1,223.2,220.75,220.7,222.65,228.8,144.0,2062932,459305589.35,25920,VPRPL
2023-12-15,EQ,221.5,228.85,215.35,220.7,219.0,217.4,222.43,228.85,144.0,1975341,439383755.15,27160,VPRPL
2023-12-18,EQ,217.7,219.8,213.9,217.4,218.0,217.45,217.33,228.85,144.0,742918,161461087.25,12444,VPRPL
2023-12-19,EQ,218.5,220.75,214.65,217.45,217.0,216.15,217.03,228.85,144.0,1075988,233516582.55,14713,VPRPL
2023-12-20,EQ,217.9,221.3,201.0,216.15,203.5,202.5,210.06,228.85,144.0,2179687,457873819.1,32871,VPRPL
2023-12-21,EQ,200.0,206.35,197.15,202.5,204.0,203.95,203.24,228.85,144.0,1345985,273554988.25,22152,VPRPL
2023-12-22,EQ,205.75,209.1,201.95,203.95,204.75,204.4,205.72,228.85,144.0,1830359,376536727.25,16815,VPRPL
2023-12-26,EQ,205.4,220.7,202.5,204.4,218.0,217.25,214.84,228.85,144.0,4641351,997168997.25,42953,VPRPL
2023-12-27,EQ,241.25,242.0,223.2,217.25,225.55,224.7,231.84,242.0,144.0,13126537,3043216059.8,106466,VPRPL
2023-12-28,EQ,226.0,229.6,219.1,224.7,222.45,221.95,223.33,242.0,144.0,2339209,522415246.7,29313,VPRPL
2023-12-29,EQ,223.0,223.5,214.25,221.95,216.7,215.95,216.98,242.0,144.0,1799180,390380979.0,19981,VPRPL
2024-01-01,EQ,217.7,222.0,215.95,215.95,218.6,217.4,218.6,242.0,144.0,1462415,319687887.45,19048,VPRPL
2024-01-02,EQ,218.8,219.55,211.25,217.4,215.0,214.75,215.23,242.0,144.0,1666952,358773150.9,25720,VPRPL
2024-01-03,EQ,214.9,223.1,214.05,214.75,219.7,220.45,219.92,242.0,144.0,2121991,466658046.25,27968,VPRPL
2024-01-04,EQ,220.9,221.85,218.5,220.45,219.8,218.75,219.72,242.0,144.0,805901,177076039.7,12764,VPRPL
2024-01-05,EQ,220.2,221.5,216.7,218.75,219.1,219.2,219.42,242.0,144.0,787464,172783226.65,13430,VPRPL
2024-01-08,EQ,219.2,219.45,214.3,219.2,216.45,215.7,216.0,242.0,144.0,853237,184299923.0,12721,VPRPL
2024-01-09,EQ,216.7,218.7,215.05,215.7,216.9,216.3,216.71,242.0,144.0,622171,134830841.3,9313,VPRPL
2024-01-10,EQ,216.9,216.9,213.05,216.3,214.45,214.1,214.23,242.0,144.0,657434,140841842.15,10790,VPRPL
2024-01-11,EQ,215.0,219.0,214.05,214.1,217.35,217.45,217.36,242.0,144.0,1531257,332827558.45,16763,VPRPL
2024-01-12,EQ,218.2,218.65,215.5,217.45,216.45,216.05,216.82,242.0,144.0,952652,206556781.75,9930,VPRPL
2024-01-15,EQ,217.5,217.8,213.0,216.05,214.5,213.9,214.89,242.0,144.0,824745,177233118.15,11517,VPRPL
2024-01-16,EQ,214.5,219.9,211.65,213.9,217.15,217.15,216.1,242.0,144.0,2650469,572769598.45,30411,VPRPL
2024-01-17,EQ,214.1,217.5,212.1,217.15,213.5,213.3,214.64,242.0,144.0,790715,169716094.15,11831,VPRPL
2024-01-18,EQ,213.75,215.25,206.5,213.3,212.9,212.1,211.69,242.0,144.0,813864,172287370.55,14759,VPRPL
2024-01-19,EQ,213.9,215.5,213.0,212.1,215.0,214.8,214.4,242.0,144.0,718915,154137441.45,10875,VPRPL
2024-01-20,EQ,215.45,226.4,213.5,214.8,219.75,218.55,220.84,242.0,144.0,2518219,556130800.35,31573,VPRPL
2024-01-23,EQ,220.0,220.85,210.4,218.55,212.6,212.95,215.26,242.0,144.0,920694,198189856.0,17258,VPRPL
2024-01-24,EQ,214.0,214.0,209.0,212.95,213.8,212.95,212.17,242.0,144.0,679382,144146790.7,13329,VPRPL
2024-01-25,EQ,214.05,216.5,212.1,212.95,213.9,213.55,213.86,242.0,144.0,487852,104330173.6,9603,VPRPL
2024-01-29,EQ,214.95,215.25,212.5,213.55,214.0,213.15,213.76,242.0,144.0,496469,106127631.8,8579,VPRPL
2024-01-30,EQ,214.35,214.8,211.5,213.15,213.0,213.05,213.01,242.0,144.0,598447,127472786.25,8563,VPRPL
2024-01-31,EQ,213.4,215.2,211.65,213.05,214.0,213.75,213.92,242.0,144.0,526285,112584181.7,8925,VPRPL
2024-02-01,EQ,216.0,221.1,213.8,213.75,215.75,215.9,216.93,242.0,144.0,1218553,264344187.95,18295,VPRPL
2024-02-02,EQ,217.0,219.15,215.05,215.9,215.7,215.95,216.95,242.0,144.0,724302,157134552.55,12257,VPRPL
2024-02-05,EQ,216.8,216.8,210.5,215.95,212.5,212.3,213.65,242.0,144.0,716434,153066797.05,12716,VPRPL
2024-02-06,EQ,214.55,214.55,210.35,212.3,213.35,212.6,212.47,242.0,144.0,571857,121504147.4,10033,VPRPL
2024-02-07,EQ,214.0,226.9,213.05,212.6,223.4,222.9,222.83,242.0,144.0,4129794,920237166.25,57994,VPRPL
2024-02-08,EQ,224.45,225.25,217.8,222.9,220.7,219.2,221.47,242.0,144.0,1092961,242059836.4,23051,VPRPL
2024-02-09,EQ,223.85,223.9,212.2,219.2,213.5,216.6,217.07,242.0,144.0,1261972,273938071.0,25513,VPRPL
2024-02-12,EQ,196.35,196.35,181.0,216.6,184.0,182.95,187.66,242.0,144.0,3943382,739999357.55,67071,VPRPL
2024-02-13,EQ,185.25,187.9,180.1,182.95,186.0,185.25,184.81,242.0,144.0,974040,180010282.15,20157,VPRPL
2024-02-14,EQ,185.95,191.9,185.25,185.25,189.8,189.05,189.74,242.0,144.0,965852,183263851.7,15195,VPRPL
2024-02-15,EQ,190.9,193.2,190.2,189.05,191.0,191.05,191.8,242.0,144.0,499982,95898481.5,7301,VPRPL
2024-02-16,EQ,192.0,192.9,189.7,191.05,191.4,190.35,190.83,242.0,144.0,305654,58329101.95,6672,VPRPL
