date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2010-01-08,EQ,132.0,142.8,132.0,137.1,142.0,141.1,141.62,142.8,132.0,3109,440288.7,0,WHIRLPOOL
2010-01-11,EQ,143.6,150.75,142.0,141.1,149.8,148.45,148.66,150.75,132.0,26901,3999224.65,0,WHIRLPOOL
2010-01-12,EQ,150.8,152.3,148.0,148.45,150.05,150.15,150.19,152.3,132.0,62770,9427718.1,0,WHIRLPOOL
2010-01-13,EQ,155.0,155.0,148.1,150.15,149.0,149.7,152.4,155.0,132.0,84049,12808941.55,0,WHIRLPOOL
2010-01-14,EQ,152.0,153.5,145.0,149.7,147.5,147.35,149.63,155.0,132.0,58312,8725288.15,0,WHIRLPOOL
2010-01-15,EQ,148.05,151.5,147.25,147.35,150.0,150.1,149.63,155.0,132.0,46568,6968110.45,0,WHIRLPOOL
2010-01-18,EQ,151.0,155.0,148.25,150.1,154.45,154.0,153.63,155.0,132.0,51478,7908792.95,0,WHIRLPOOL
2010-01-19,EQ,154.95,155.3,153.15,154.0,154.95,154.2,154.21,155.3,132.0,16835,2596144.25,0,WHIRLPOOL
2010-01-20,EQ,155.3,160.3,153.35,154.2,157.0,156.35,157.54,160.3,132.0,88326,13915277.2,0,WHIRLPOOL
2010-01-21,EQ,141.0,157.0,141.0,156.35,145.7,147.15,149.14,160.3,132.0,39208,5847406.5,0,WHIRLPOOL
2010-01-22,EQ,150.0,155.45,142.55,147.15,150.0,150.25,149.11,160.3,132.0,39730,5924312.4,0,WHIRLPOOL
2010-01-25,EQ,135.1,151.25,135.1,150.25,146.1,146.6,146.55,160.3,132.0,17609,2580615.6,0,WHIRLPOOL
2010-01-27,EQ,147.8,147.8,132.15,146.6,132.15,135.7,141.24,160.3,132.0,33556,4739338.1,0,WHIRLPOOL
2010-01-28,EQ,139.75,140.0,126.6,135.7,132.3,131.25,132.73,160.3,126.6,78068,10361576.35,0,WHIRLPOOL
2010-01-29,EQ,129.5,133.3,128.0,131.25,133.0,132.95,131.92,160.3,126.6,16152,2130728.45,0,WHIRLPOOL
2010-02-01,EQ,128.7,138.2,128.7,132.95,134.2,135.4,136.33,160.3,126.6,132640,18083327.55,0,WHIRLPOOL
2010-02-02,EQ,137.85,139.8,134.05,135.4,135.7,135.2,137.47,160.3,126.6,47959,6592708.15,0,WHIRLPOOL
2010-02-03,EQ,135.05,138.95,135.05,135.2,136.5,136.6,137.25,160.3,126.6,10099,1386095.0,0,WHIRLPOOL
2010-02-04,EQ,137.95,137.95,133.55,136.6,136.0,134.45,135.62,160.3,126.6,9873,1338986.8,0,WHIRLPOOL
2010-02-05,EQ,130.15,134.0,129.0,134.45,133.5,132.4,130.95,160.3,126.6,15598,2042603.8,0,WHIRLPOOL
2010-02-06,EQ,134.55,134.55,131.05,132.4,133.85,133.85,133.39,160.3,126.6,1943,259170.95,0,WHIRLPOOL
2010-02-08,EQ,126.0,139.75,126.0,133.85,133.0,132.1,132.14,160.3,126.0,4326,571636.75,0,WHIRLPOOL
2010-02-09,EQ,127.0,134.45,127.0,132.1,133.55,133.3,132.21,160.3,126.0,4172,551584.45,0,WHIRLPOOL
2010-02-10,EQ,131.05,137.95,130.15,133.3,131.0,131.15,132.6,160.3,126.0,8397,1113478.2,0,WHIRLPOOL
2010-02-11,EQ,136.5,136.5,131.5,131.15,132.2,132.4,132.78,160.3,126.0,4861,645438.85,0,WHIRLPOOL
2010-02-15,EQ,130.5,135.95,129.85,132.4,131.5,132.2,134.37,160.3,126.0,26428,3551084.35,0,WHIRLPOOL
2010-02-16,EQ,131.3,135.0,129.2,132.2,134.0,134.0,131.24,160.3,126.0,35739,4690322.75,0,WHIRLPOOL
2010-02-17,EQ,137.25,137.25,131.15,134.0,132.0,132.0,133.88,160.3,126.0,53263,7131107.15,0,WHIRLPOOL
2010-02-18,EQ,130.1,133.2,130.0,132.0,130.05,130.4,130.93,160.3,126.0,5151,674429.55,0,WHIRLPOOL
2010-02-19,EQ,135.0,135.9,128.55,130.4,134.55,134.3,133.6,160.3,126.0,22237,2970856.35,0,WHIRLPOOL
2010-02-22,EQ,139.8,139.8,131.0,134.3,131.2,131.9,134.15,160.3,126.0,3801,509891.8,0,WHIRLPOOL
2010-02-23,EQ,131.15,136.5,130.3,131.9,135.25,135.8,133.57,160.3,126.0,22735,3036615.3,0,WHIRLPOOL
2010-02-24,EQ,133.0,137.5,130.95,135.8,132.25,132.9,133.06,160.3,126.0,5118,681007.1,0,WHIRLPOOL
2010-02-25,EQ,132.05,136.45,132.0,132.9,134.0,133.05,133.18,160.3,126.0,3566,474915.1,0,WHIRLPOOL
2010-02-26,EQ,135.1,142.8,134.1,133.05,142.8,141.3,139.87,160.3,126.0,53429,7473045.75,0,WHIRLPOOL
2010-03-02,EQ,142.8,148.3,142.0,141.3,144.0,144.65,146.04,160.3,126.0,109613,16007679.45,0,WHIRLPOOL
2010-03-03,EQ,136.0,156.3,136.0,144.65,154.55,154.75,151.58,160.3,126.0,125962,19093126.7,0,WHIRLPOOL
2010-03-04,EQ,156.1,157.0,149.1,154.75,156.1,156.1,153.93,160.3,126.0,54395,8373097.25,0,WHIRLPOOL
2010-03-05,EQ,158.5,158.5,152.0,156.1,154.45,153.65,156.23,160.3,126.0,40832,6379259.75,0,WHIRLPOOL
2010-03-08,EQ,159.0,160.3,154.0,153.65,160.3,159.35,158.43,160.3,126.0,39691,6288367.3,0,WHIRLPOOL
2010-03-09,EQ,159.1,173.3,159.1,159.35,171.8,171.8,167.34,173.3,126.0,415536,69536193.2,0,WHIRLPOOL
2010-03-10,EQ,173.9,173.9,167.0,171.8,170.7,171.35,169.64,173.9,126.0,126470,21454514.35,0,WHIRLPOOL
2010-03-11,EQ,171.85,172.05,168.0,171.35,170.0,168.65,170.01,173.9,126.0,28012,4762440.5,0,WHIRLPOOL
2010-03-12,EQ,171.1,171.1,165.0,168.65,167.0,166.9,167.66,173.9,126.0,34241,5740858.35,0,WHIRLPOOL
2010-03-15,EQ,168.9,173.85,168.5,166.9,169.0,169.85,171.68,173.9,126.0,61794,10608748.2,0,WHIRLPOOL
2010-03-16,EQ,173.3,177.8,171.2,169.85,173.4,174.2,175.7,177.8,126.0,161776,28424472.35,0,WHIRLPOOL
2010-03-17,EQ,176.0,178.3,173.15,174.2,175.9,177.2,175.98,178.3,126.0,75636,13310361.65,0,WHIRLPOOL
2010-03-18,EQ,177.5,177.5,169.45,177.2,172.2,171.2,171.73,178.3,126.0,86276,14816126.75,0,WHIRLPOOL
