date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2021-08-16,EQ,437.0,452.0,405.0,460.0,406.0,407.15,424.87,452.0,405.0,4103620,1743524769.9,214082,WINDLAS
2021-08-17,EQ,411.0,424.8,395.0,407.15,401.5,401.55,410.42,452.0,395.0,1489590,611361520.6,62851,WINDLAS
2021-08-18,EQ,407.95,407.95,385.4,401.55,388.0,388.3,392.2,452.0,385.4,828719,325023113.95,36526,WINDLAS
2021-08-20,EQ,383.1,385.5,364.0,388.3,364.8,366.7,374.46,452.0,364.0,575989,215687318.75,27696,WINDLAS
2021-08-23,EQ,369.25,376.0,338.0,366.7,338.7,341.35,351.81,452.0,338.0,716162,251954313.05,26555,WINDLAS
2021-08-24,EQ,342.0,361.7,332.05,341.35,347.8,349.2,349.29,452.0,332.05,810181,282984105.9,25424,WINDLAS
2021-08-25,EQ,353.8,356.0,344.7,349.2,345.0,346.55,350.71,452.0,332.05,237878,83425205.1,7937,WINDLAS
2021-08-26,EQ,348.0,351.4,343.6,346.55,344.4,344.75,347.08,452.0,332.05,155491,53968421.6,6061,WINDLAS
2021-08-27,EQ,345.95,352.7,344.05,344.75,348.65,348.0,348.77,452.0,332.05,198540,69245492.75,10780,WINDLAS
2021-08-30,EQ,351.7,360.2,349.25,348.0,356.4,356.25,355.94,452.0,332.05,267011,95040440.15,12563,WINDLAS
2021-08-31,EQ,359.0,394.8,356.15,356.25,389.05,390.9,384.74,452.0,332.05,1335497,513823788.6,42344,WINDLAS
2021-09-01,EQ,392.0,404.8,387.5,390.9,395.0,396.85,398.04,452.0,332.05,645507,256935482.6,29868,WINDLAS
2021-09-02,EQ,399.7,403.95,392.05,396.85,394.5,394.6,398.7,452.0,332.05,228236,90997971.75,11371,WINDLAS
2021-09-03,EQ,398.6,399.2,390.35,394.6,391.0,392.1,395.33,452.0,332.05,142188,56211779.75,9409,WINDLAS
2021-09-06,EQ,392.0,401.45,392.0,392.1,393.1,393.8,396.76,452.0,332.05,196629,78014466.7,10588,WINDLAS
2021-09-07,EQ,394.1,404.4,394.1,393.8,397.5,397.95,399.3,452.0,332.05,215336,85984578.5,11070,WINDLAS
2021-09-08,EQ,404.0,411.1,392.0,397.95,394.05,396.65,401.75,452.0,332.05,430392,172911891.8,20855,WINDLAS
2021-09-09,EQ,388.0,395.9,384.05,396.65,386.0,385.75,388.99,452.0,332.05,226032,87924857.5,15043,WINDLAS
2021-09-13,EQ,376.0,381.65,367.0,385.75,369.25,369.35,372.54,452.0,332.05,517639,192843650.0,27407,WINDLAS
2021-09-14,EQ,372.0,379.0,370.5,369.35,377.5,377.0,375.75,452.0,332.05,283508,106527934.75,11377,WINDLAS
2021-09-15,EQ,380.0,389.9,377.5,377.0,387.0,387.05,384.27,452.0,332.05,208916,80279433.35,7935,WINDLAS
2021-09-16,EQ,386.0,386.95,378.1,387.05,385.15,384.9,383.1,452.0,332.05,96325,36902008.7,4703,WINDLAS
2021-09-17,EQ,387.65,389.4,379.25,384.9,385.2,384.95,385.07,452.0,332.05,113435,43680390.7,7257,WINDLAS
2021-09-20,EQ,379.5,384.0,373.5,384.95,375.0,375.05,379.44,452.0,332.05,185119,70242327.4,6735,WINDLAS
2021-09-21,EQ,370.75,375.6,365.8,375.05,371.25,371.45,370.41,452.0,332.05,54108,20042206.65,5825,WINDLAS
2021-09-22,EQ,376.75,378.05,371.05,371.45,371.7,372.3,374.69,452.0,332.05,47626,17844885.1,4134,WINDLAS
2021-09-23,EQ,376.9,389.0,368.45,372.3,376.55,379.2,380.02,452.0,332.05,188979,71815655.5,10513,WINDLAS
2021-09-24,EQ,382.25,387.4,372.95,379.2,376.0,375.45,377.57,452.0,332.05,157590,59500570.0,12994,WINDLAS
2021-09-27,EQ,376.75,382.0,368.7,375.45,370.7,371.15,374.98,452.0,332.05,164402,61647694.1,11678,WINDLAS
2021-09-28,EQ,370.8,373.6,357.0,371.15,359.45,360.6,364.45,452.0,332.05,184086,67089991.45,13457,WINDLAS
2021-09-29,EQ,361.0,367.8,360.0,360.6,360.45,360.75,363.27,452.0,332.05,78570,28541869.35,6021,WINDLAS
2021-09-30,EQ,361.9,364.75,360.1,360.75,362.3,361.05,361.94,452.0,332.05,54359,19674912.5,3115,WINDLAS
2021-10-01,EQ,361.05,361.55,357.5,361.05,358.3,358.45,358.86,452.0,332.05,49080,17612699.75,3082,WINDLAS
2021-10-04,EQ,359.9,384.0,355.55,358.45,370.3,368.65,362.56,452.0,332.05,135437,49104348.6,5403,WINDLAS
2021-10-05,EQ,370.0,372.75,363.2,368.65,365.4,365.9,367.24,452.0,332.05,64104,23541330.1,3542,WINDLAS
2021-10-06,EQ,366.0,369.05,360.0,365.9,360.0,360.75,364.17,452.0,332.05,51273,18672213.4,2689,WINDLAS
2021-10-07,EQ,363.8,366.0,356.3,360.75,365.0,363.25,361.08,452.0,332.05,98824,35683399.05,6760,WINDLAS
