date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2008-10-01,EQ,190.0,370.0,102.0,675.5,334.0,327.7,307.01,370.0,102.0,917551,281698268.75,0,WABCO-TVS
2008-10-03,EQ,340.0,370.0,287.0,327.7,302.9,299.35,307.73,370.0,102.0,522194,160693907.55,0,WABCO-TVS
2008-10-06,EQ,281.05,299.9,262.05,299.35,272.1,271.45,273.46,370.0,102.0,92610,25324961.2,0,WABCO-TVS
2008-10-07,EQ,273.45,280.0,232.0,271.45,242.5,241.95,242.42,370.0,102.0,93608,22692702.55,0,WABCO-TVS
2008-10-08,EQ,221.1,290.35,195.8,241.95,280.0,240.45,219.05,370.0,102.0,65402,14326626.9,0,WABCO-TVS
2008-10-10,EQ,218.0,270.0,212.2,240.45,258.6,251.8,236.78,370.0,102.0,37590,8900623.95,0,WABCO-TVS
2008-10-13,EQ,252.0,264.25,231.6,251.8,260.0,255.85,245.67,370.0,102.0,15152,3722446.95,0,WABCO-TVS
2008-10-14,EQ,255.0,279.0,245.25,255.85,274.0,273.85,268.68,370.0,102.0,18169,4881573.35,0,WABCO-TVS
2008-10-15,EQ,267.8,267.8,248.0,273.85,253.0,255.35,259.31,370.0,102.0,4895,1269319.7,0,WABCO-TVS
2008-10-16,EQ,245.0,255.0,222.0,255.35,240.0,250.15,237.52,370.0,102.0,3927,932757.3,0,WABCO-TVS
2008-10-17,EQ,246.0,255.0,230.0,250.15,230.0,230.25,239.79,370.0,102.0,3105,744534.4,0,WABCO-TVS
2008-10-20,EQ,235.0,235.0,220.0,230.25,230.0,221.7,228.31,370.0,102.0,1704,389040.65,0,WABCO-TVS
2008-10-21,EQ,228.0,230.0,208.05,221.7,210.3,214.8,215.36,370.0,102.0,12236,2635192.5,0,WABCO-TVS
2008-10-22,EQ,209.0,216.0,192.15,214.8,200.0,200.1,203.68,370.0,102.0,3044,620001.7,0,WABCO-TVS
2008-10-23,EQ,197.0,197.0,180.0,200.1,180.0,180.2,187.53,370.0,102.0,544,102018.7,0,WABCO-TVS
2008-10-24,EQ,160.0,187.0,160.0,180.2,167.0,167.75,168.48,370.0,102.0,333,56104.0,0,WABCO-TVS
2008-10-27,EQ,167.0,167.0,135.0,167.75,159.0,156.35,145.12,370.0,102.0,1201,174289.15,0,WABCO-TVS
