DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-06-13,EQ,910.0,916.95,881.5,918.3,886.25,885.65,897.04,949.5,551.05,275301,246957210.85,24107,AARTIPHARM
2025-06-12,EQ,921.4,935.65,912.0,916.85,917.05,918.3,923.38,949.5,551.05,190473,175878739.0,19103,AARTIPHARM
2025-06-11,EQ,923.5,947.1,912.3,923.5,918.0,916.85,929.7,949.5,551.05,318459,296071955.8,25364,AARTIPHARM
2025-06-10,EQ,913.9,936.9,909.8,911.15,924.0,923.5,926.82,949.5,551.05,247583,229465267.1,17323,AARTIPHARM
2025-06-09,EQ,921.85,921.85,906.95,909.25,910.9,911.15,913.8,949.5,551.05,125166,114377048.8,9510,AARTIPHARM
2025-06-06,EQ,929.0,933.55,906.0,925.25,910.85,909.25,918.51,949.5,497.05,242268,222526627.65,15133,AARTIPHARM
2025-06-05,EQ,939.8,949.5,922.3,931.65,923.35,925.25,938.29,949.5,497.05,288593,270782606.85,20500,AARTIPHARM
2025-06-04,EQ,908.0,948.45,903.4,903.75,931.5,931.65,927.3,948.45,497.05,525230,487047490.6,27696,AARTIPHARM
2025-06-03,EQ,897.35,915.7,891.65,890.25,905.5,903.75,906.41,925.55,497.05,203660,184599698.45,16929,AARTIPHARM
2025-06-02,EQ,915.0,925.55,886.55,911.0,889.95,890.25,905.46,925.55,497.05,363705,329319000.75,25215,AARTIPHARM
2025-05-30,EQ,903.95,917.0,882.95,903.95,905.0,911.0,904.99,917.0,497.05,400584,362523180.55,22317,AARTIPHARM
2025-05-29,EQ,873.0,908.0,873.0,873.0,901.95,903.95,894.48,908.0,497.05,448427,401107179.75,22943,AARTIPHARM
2025-05-28,EQ,880.6,893.25,864.6,880.55,875.0,873.0,874.25,893.25,497.05,286568,250531101.25,21995,AARTIPHARM
2025-05-27,EQ,878.95,884.9,872.1,878.95,884.0,880.55,879.3,885.0,497.05,327629,288085594.45,21499,AARTIPHARM
2025-05-26,EQ,875.0,885.0,866.4,866.4,879.75,878.95,878.52,885.0,497.05,219746,193050728.3,15463,AARTIPHARM
2025-05-23,EQ,875.8,881.65,862.3,873.9,870.5,866.4,872.47,883.8,497.05,244110,212979722.6,18813,AARTIPHARM
2025-05-22,EQ,873.75,883.8,866.65,875.1,869.0,873.9,875.27,883.8,497.05,325257,284688214.85,20058,AARTIPHARM
2025-05-21,EQ,847.85,879.0,836.5,843.35,873.8,875.1,863.25,879.0,497.05,720443,621919683.05,34120,AARTIPHARM
2025-05-20,EQ,857.05,862.0,835.1,855.25,842.15,843.35,845.55,862.0,497.05,358135,302820845.65,19834,AARTIPHARM
2025-05-19,EQ,800.0,862.0,790.55,796.5,854.0,855.25,842.15,862.0,497.05,1785101,1503325545.1,69895,AARTIPHARM
2025-05-16,EQ,798.95,812.95,787.4,795.25,797.0,796.5,797.95,837.25,495.95,306579,244635582.55,18976,AARTIPHARM
2025-05-15,EQ,815.0,831.4,790.0,810.95,795.4,795.25,806.3,837.25,495.95,441382,355888261.65,24261,AARTIPHARM
2025-05-14,EQ,782.6,819.0,778.05,780.55,811.0,810.95,805.57,837.25,495.95,600284,483568351.95,22904,AARTIPHARM
2025-05-13,EQ,797.0,809.0,779.1,799.45,780.05,780.55,791.36,837.25,495.95,578540,457830707.85,22706,AARTIPHARM
2025-05-12,EQ,794.55,822.0,740.3,765.45,796.0,799.45,780.17,837.25,495.95,2015265,1572247274.65,67090,AARTIPHARM
2025-05-09,EQ,729.95,774.95,724.55,744.9,773.0,765.45,749.47,837.25,487.85,487837,365618722.25,26200,AARTIPHARM
2025-05-08,EQ,740.0,775.0,737.05,737.45,744.0,744.9,758.09,837.25,487.85,670433,508247941.95,39714,AARTIPHARM
2025-05-07,EQ,692.0,744.1,687.7,698.6,740.0,737.45,722.21,837.25,487.85,518229,374269193.4,32761,AARTIPHARM
2025-05-06,EQ,705.25,721.5,695.5,704.85,696.6,698.6,708.49,837.25,487.85,263718,186840723.55,19723,AARTIPHARM
2025-05-05,EQ,707.95,712.5,695.0,707.65,706.0,704.85,704.85,837.25,487.85,229152,161517658.8,17668,AARTIPHARM
2025-05-02,EQ,713.35,722.35,695.0,713.35,705.3,707.65,711.37,837.25,487.85,166042,118117122.55,14810,AARTIPHARM
2025-04-30,EQ,740.55,747.25,710.0,742.15,713.4,713.35,728.64,837.25,487.85,195788,142658983.5,15572,AARTIPHARM
2025-04-29,EQ,728.95,748.95,725.55,728.95,746.35,742.15,737.77,837.25,487.85,228190,168351016.55,16861,AARTIPHARM
2025-04-28,EQ,727.2,744.0,725.5,735.15,730.35,728.95,736.14,837.25,487.85,232753,171339237.8,16927,AARTIPHARM
2025-04-25,EQ,753.9,764.4,718.0,753.9,735.1,735.15,734.44,837.25,487.85,289105,212331227.95,22948,AARTIPHARM
2025-04-24,EQ,733.0,767.8,732.25,737.0,755.0,753.9,755.49,837.25,487.85,548772,414591792.15,30675,AARTIPHARM
2025-04-23,EQ,715.9,744.0,706.1,711.95,734.9,737.0,727.71,837.25,487.85,460224,334909041.85,28420,AARTIPHARM
2025-04-22,EQ,710.0,718.0,685.4,712.85,714.9,711.95,699.73,837.25,487.85,675970,472995704.8,36108,AARTIPHARM
2025-04-21,EQ,733.6,737.3,708.0,733.6,710.7,712.85,715.14,837.25,487.85,375021,268192844.3,26722,AARTIPHARM
2025-04-17,EQ,716.0,736.65,709.4,717.25,730.85,733.6,729.58,837.25,430.0,336064,245186655.8,23019,AARTIPHARM
2025-04-16,EQ,719.8,720.25,705.05,713.45,717.95,717.25,713.56,837.25,430.0,240378,171524046.0,17353,AARTIPHARM
2025-04-15,EQ,703.4,723.85,686.0,679.4,714.9,713.45,701.64,837.25,430.0,536588,376492494.0,30457,AARTIPHARM
