DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-06-13,EQ,239.0,246.65,236.7,243.95,245.95,245.2,242.02,292.4,167.75,488305,118180826.4,12859,ACMESOLAR
2025-06-12,EQ,256.0,256.0,243.0,253.1,243.6,243.95,246.5,292.4,167.75,687392,169439807.1,18665,ACMESOLAR
2025-06-11,EQ,254.85,257.45,250.9,252.65,252.75,253.1,254.42,292.4,167.75,465102,118329184.2,11982,ACMESOLAR
2025-06-10,EQ,252.0,259.1,248.05,248.1,252.95,252.65,252.83,292.4,167.75,770609,194831984.25,15930,ACMESOLAR
2025-06-09,EQ,251.7,253.4,247.1,250.85,248.95,248.1,249.71,292.4,167.75,429479,107243989.55,10010,ACMESOLAR
2025-06-06,EQ,254.0,254.65,249.2,253.75,249.55,250.85,252.28,292.4,167.75,258526,65220923.1,7327,ACMESOLAR
2025-06-05,EQ,254.3,255.45,248.9,253.7,252.75,253.75,252.12,292.4,167.75,2316112,583940782.25,13199,ACMESOLAR
2025-06-04,EQ,251.55,255.4,249.2,251.3,253.65,253.7,252.73,292.4,167.75,248499,62802567.6,8224,ACMESOLAR
2025-06-03,EQ,259.0,260.0,250.1,257.95,251.4,251.3,254.46,292.4,167.75,436770,111141527.15,14098,ACMESOLAR
2025-06-02,EQ,261.25,261.8,256.5,263.55,257.2,257.95,258.35,292.4,167.75,485096,125326378.5,12030,ACMESOLAR
2025-05-30,EQ,258.7,268.79,256.12,257.6,261.7,263.55,263.3,292.4,167.75,4548919,1197747227.24,61128,ACMESOLAR
2025-05-29,EQ,253.75,259.9,248.8,253.97,257.0,257.6,253.97,292.4,167.75,845414,214709005.9,22549,ACMESOLAR
2025-05-28,EQ,247.98,255.4,247.98,246.09,253.75,253.97,253.69,292.4,167.75,774891,196585038.84,18231,ACMESOLAR
2025-05-27,EQ,247.1,248.95,240.27,247.03,245.78,246.09,244.62,292.4,167.75,550588,134686340.5,17795,ACMESOLAR
2025-05-26,EQ,250.01,255.47,244.36,250.76,246.5,247.03,249.56,292.4,167.75,572948,142986328.67,15540,ACMESOLAR
2025-05-23,EQ,252.45,256.25,244.1,252.65,249.5,250.76,250.81,292.4,167.75,1037985,260335148.45,36280,ACMESOLAR
2025-05-22,EQ,243.88,258.0,242.12,243.76,252.25,252.65,252.28,292.4,167.75,3265198,823748893.11,39935,ACMESOLAR
2025-05-21,EQ,245.0,245.0,236.61,237.62,243.05,243.76,241.33,292.4,167.75,824479,198972339.99,16749,ACMESOLAR
2025-05-20,EQ,247.0,248.94,235.0,246.67,237.0,237.62,239.94,292.4,167.75,1329089,318904569.45,31114,ACMESOLAR
2025-05-19,EQ,240.0,248.8,237.0,234.12,248.0,246.67,244.24,292.4,167.75,1624637,396806775.52,28496,ACMESOLAR
2025-05-16,EQ,235.98,238.0,231.31,235.51,233.8,234.12,234.35,292.4,167.75,649640,152245458.15,16204,ACMESOLAR
2025-05-15,EQ,240.33,240.33,232.0,237.78,235.5,235.51,234.69,292.4,167.75,618546,145163772.86,16039,ACMESOLAR
2025-05-14,EQ,225.0,242.9,224.27,221.04,237.99,237.78,236.52,292.4,167.75,2482680,587212340.84,41408,ACMESOLAR
2025-05-13,EQ,224.36,226.0,220.0,221.25,221.85,221.04,223.05,292.4,167.75,466849,104132384.07,14841,ACMESOLAR
2025-05-12,EQ,222.44,223.0,218.0,212.4,221.5,221.25,221.2,292.4,167.75,393818,87111108.64,12100,ACMESOLAR
2025-05-09,EQ,207.0,214.9,207.0,215.13,212.01,212.4,211.6,292.4,167.75,467313,98884699.17,20768,ACMESOLAR
2025-05-08,EQ,223.89,228.8,212.25,216.34,214.2,215.13,221.97,292.4,167.75,1040262,230904253.1,25050,ACMESOLAR
2025-05-07,EQ,206.35,217.04,206.23,212.35,216.99,216.34,214.25,292.4,167.75,592796,127008123.82,16430,ACMESOLAR
2025-05-06,EQ,220.25,224.99,206.1,221.68,215.3,212.35,214.96,292.4,167.75,894786,192344078.14,25596,ACMESOLAR
2025-05-05,EQ,214.92,223.8,214.92,214.92,221.95,221.68,221.13,292.4,167.75,569553,125946103.44,16022,ACMESOLAR
2025-05-02,EQ,210.0,217.7,208.13,209.21,214.99,214.92,213.63,292.4,167.75,775095,165581728.92,31631,ACMESOLAR
2025-04-30,EQ,211.01,214.64,208.0,212.41,210.0,209.21,210.93,292.4,167.75,471286,99410072.91,10607,ACMESOLAR
2025-04-29,EQ,211.29,216.39,211.0,210.5,212.76,212.41,212.97,292.4,167.75,289929,61747129.91,8826,ACMESOLAR
2025-04-28,EQ,209.9,213.83,208.01,212.27,211.8,210.5,210.93,292.4,167.75,468785,98880104.62,9032,ACMESOLAR
2025-04-25,EQ,222.0,223.9,210.05,222.36,211.9,212.27,214.16,292.4,167.75,681340,145914206.35,15580,ACMESOLAR
2025-04-24,EQ,223.15,230.0,216.1,223.19,222.0,222.36,226.01,292.4,167.75,2015291,455475291.79,14289,ACMESOLAR
2025-04-23,EQ,220.5,224.99,211.99,216.44,221.5,223.19,219.79,292.4,167.75,1093401,240321648.85,15062,ACMESOLAR
2025-04-22,EQ,209.0,219.0,208.37,208.25,216.49,216.44,215.46,292.4,167.75,1639499,353248500.61,24377,ACMESOLAR
2025-04-21,EQ,205.0,209.2,203.4,203.56,208.72,208.25,206.76,292.4,167.75,444550,91914175.33,8090,ACMESOLAR
2025-04-17,EQ,205.08,207.74,202.25,204.72,203.15,203.56,203.89,292.4,167.75,660386,134647049.78,15344,ACMESOLAR
2025-04-16,EQ,208.5,209.27,202.81,206.67,204.5,204.72,205.52,292.4,167.75,457954,94118822.91,13593,ACMESOLAR
2025-04-15,EQ,201.0,213.49,199.45,197.09,207.1,206.67,208.61,292.4,167.75,1467544,306137542.39,26345,ACMESOLAR
2025-04-11,EQ,198.59,202.9,195.0,195.48,196.96,197.09,198.05,292.4,167.75,339858,67309549.58,6532,ACMESOLAR
2025-04-09,EQ,192.05,198.06,192.05,194.83,196.0,195.48,195.24,292.4,167.75,372934,72812642.98,8321,ACMESOLAR
2025-04-08,EQ,196.9,198.8,189.25,191.35,195.9,194.83,192.38,292.4,167.75,1800373,346359167.69,13544,ACMESOLAR
2025-04-07,EQ,172.8,192.8,172.63,191.82,190.8,191.35,185.53,292.4,167.75,937735,173980785.75,17553,ACMESOLAR
2025-04-04,EQ,199.99,201.9,191.61,201.7,192.5,191.82,195.58,292.4,167.75,855016,167222870.18,11150,ACMESOLAR
2025-04-03,EQ,193.1,201.7,193.0,192.1,201.7,201.7,199.21,292.4,167.75,358275,71372033.85,3840,ACMESOLAR
2025-04-02,EQ,194.84,197.45,189.87,191.84,192.94,192.1,192.18,292.4,167.75,1243644,239002343.12,9122,ACMESOLAR
2025-04-01,EQ,193.5,196.99,190.25,191.98,193.1,191.84,193.04,292.4,167.75,1621432,313003067.22,14518,ACMESOLAR
2025-03-28,EQ,196.0,201.21,190.5,195.3,191.75,191.98,195.61,292.4,167.75,951668,186152026.3,28948,ACMESOLAR
2025-03-27,EQ,191.5,198.0,188.71,190.47,194.95,195.3,191.6,292.4,167.75,1811215,347019853.93,30518,ACMESOLAR
2025-03-26,EQ,196.0,198.0,190.0,196.22,190.69,190.47,191.89,292.4,167.75,979140,187890673.44,30135,ACMESOLAR
2025-03-25,EQ,201.0,202.5,193.61,199.11,196.48,196.22,196.22,292.4,167.75,1033149,202729546.87,13510,ACMESOLAR
2025-03-24,EQ,205.0,207.9,198.5,202.26,199.0,199.11,201.79,292.4,167.75,833703,168232206.88,16113,ACMESOLAR
2025-03-21,EQ,200.97,204.65,196.9,199.94,202.0,202.26,202.31,292.4,167.75,829803,167881234.29,14900,ACMESOLAR
2025-03-20,EQ,207.74,207.75,199.56,204.89,200.0,199.94,202.24,292.4,167.75,734535,148553598.81,8478,ACMESOLAR
2025-03-19,EQ,202.0,209.84,201.55,199.85,205.1,204.89,206.19,292.4,167.75,744147,153438091.72,9610,ACMESOLAR
2025-03-18,EQ,198.89,203.45,196.5,196.56,200.0,199.85,199.34,292.4,167.75,730006,145519999.13,14447,ACMESOLAR
2025-03-17,EQ,201.65,203.5,193.4,201.07,197.22,196.56,196.11,292.4,167.75,511865,100381805.58,9770,ACMESOLAR
2025-03-13,EQ,198.3,205.43,196.74,197.41,200.01,201.07,199.74,292.4,167.75,1333454,266347814.28,12028,ACMESOLAR
2025-03-12,EQ,201.0,204.45,192.55,200.68,198.02,197.41,199.37,292.4,167.75,600053,119631349.43,15336,ACMESOLAR
2025-03-11,EQ,205.5,212.25,200.59,211.15,200.59,200.68,205.47,292.4,167.75,769631,158136821.99,28980,ACMESOLAR
2025-03-10,EQ,208.0,217.45,205.2,208.3,212.0,211.15,211.98,292.4,167.75,1800635,381699288.09,27911,ACMESOLAR
2025-03-07,EQ,203.25,212.98,202.02,202.84,209.0,208.3,209.46,292.4,167.75,1655687,346795038.04,13392,ACMESOLAR
2025-03-06,EQ,210.93,210.93,199.2,200.89,202.84,202.84,205.13,292.4,167.75,1748801,358735620.88,19064,ACMESOLAR
2025-03-05,EQ,190.55,200.89,190.55,191.33,200.89,200.89,198.6,292.4,167.75,1176824,233713551.54,10578,ACMESOLAR
2025-03-04,EQ,189.39,196.75,185.5,187.39,192.0,191.33,193.06,292.4,167.75,2312750,446507815.47,14644,ACMESOLAR
2025-03-03,EQ,197.0,198.4,183.44,193.1,188.2,187.39,187.23,292.4,167.75,891237,166866624.68,22922,ACMESOLAR
2025-02-28,EQ,195.0,195.0,192.31,194.45,193.5,193.1,193.19,292.4,167.75,1581367,305504453.08,22852,ACMESOLAR
2025-02-27,EQ,195.7,198.99,192.3,193.84,195.2,194.45,194.52,292.4,167.75,763635,148543344.56,17793,ACMESOLAR
2025-02-25,EQ,194.75,196.13,192.49,193.24,193.5,193.84,193.78,292.4,167.75,356547,69092446.13,13524,ACMESOLAR
2025-02-24,EQ,193.0,196.1,191.4,195.41,193.0,193.24,193.27,292.4,167.75,552468,106773970.98,10042,ACMESOLAR
2025-02-21,EQ,195.99,199.99,191.85,200.29,195.5,195.41,195.8,292.4,167.75,1666541,326314875.55,46370,ACMESOLAR
2025-02-20,EQ,200.29,200.29,191.8,190.76,200.29,200.29,197.9,292.4,167.75,1703972,337219085.41,12223,ACMESOLAR
2025-02-19,EQ,181.68,190.76,181.0,181.68,190.76,190.76,187.89,292.4,167.75,524227,98494422.69,4672,ACMESOLAR
2025-02-18,EQ,180.0,184.65,176.27,177.67,181.0,181.68,179.81,292.4,167.75,762536,137112358.9,15151,ACMESOLAR
2025-02-17,EQ,179.01,180.03,171.99,181.05,179.0,177.67,175.44,292.4,167.75,1376867,241562891.58,35745,ACMESOLAR
2025-02-14,EQ,187.58,189.35,179.0,185.2,180.82,181.05,182.67,292.4,167.75,1551857,283473245.53,40266,ACMESOLAR
2025-02-13,EQ,198.01,199.8,182.0,195.11,183.91,185.2,188.17,292.4,167.75,4200406,790408525.06,81822,ACMESOLAR
2025-02-12,EQ,205.0,205.88,191.1,203.93,198.0,195.11,196.15,292.4,167.75,2241990,439760274.66,32702,ACMESOLAR
2025-02-11,EQ,218.95,218.96,201.15,214.97,205.0,203.93,207.56,292.4,167.75,1491817,309634884.62,35122,ACMESOLAR
2025-02-10,EQ,232.31,233.58,210.9,234.15,214.9,214.97,215.67,292.4,167.75,1842664,397405341.74,50161,ACMESOLAR
2025-02-07,EQ,241.45,241.45,233.13,241.88,234.15,234.15,235.49,292.4,167.75,1707606,402116168.63,24173,ACMESOLAR
2025-02-06,EQ,229.77,247.3,227.0,227.86,238.95,241.88,236.98,292.4,167.75,2734176,647936654.53,53640,ACMESOLAR
2025-02-05,EQ,216.0,228.5,211.64,207.73,227.85,227.86,224.36,292.4,167.75,2970097,666359517.16,36882,ACMESOLAR
2025-02-04,EQ,208.49,211.5,205.0,207.31,207.15,207.73,207.92,292.4,167.75,733948,152603282.92,22479,ACMESOLAR
2025-02-03,EQ,214.95,217.19,204.77,218.07,207.99,207.31,208.78,292.4,167.75,841562,175698079.88,23089,ACMESOLAR
2025-02-01,EQ,215.9,233.2,213.32,215.15,218.0,218.07,223.53,292.4,167.75,1702308,380515438.99,31126,ACMESOLAR
2025-01-31,EQ,217.0,226.7,211.5,210.35,214.5,215.15,218.75,292.4,167.75,4375016,957026681.09,68510,ACMESOLAR
2025-01-30,EQ,210.35,210.35,206.08,191.23,210.35,210.35,209.83,292.4,167.75,1598284,335368004.94,8390,ACMESOLAR
2025-01-29,EQ,176.0,191.23,175.1,173.85,191.23,191.23,187.48,292.4,167.75,942089,176618802.21,11513,ACMESOLAR
2025-01-28,EQ,188.7,189.78,167.75,180.81,176.77,173.85,175.02,292.4,167.75,2568630,449573055.74,39968,ACMESOLAR
2025-01-27,EQ,194.0,194.0,179.66,199.63,181.14,180.81,181.88,292.4,179.66,3392459,617009122.57,48704,ACMESOLAR
2025-01-24,EQ,209.2,210.53,198.9,209.2,199.3,199.63,202.66,292.4,198.9,591041,119777870.07,16316,ACMESOLAR
2025-01-23,EQ,212.0,212.38,208.0,212.42,208.6,209.2,210.45,292.4,207.7,567353,119401280.69,11420,ACMESOLAR
2025-01-22,EQ,214.6,215.6,207.7,212.52,212.0,212.42,212.57,292.4,207.7,1144584,243307752.97,23230,ACMESOLAR
2025-01-21,EQ,214.99,216.5,208.53,214.01,212.85,212.52,212.28,292.4,208.53,739340,156944217.66,28078,ACMESOLAR
2025-01-20,EQ,222.65,223.5,213.25,221.4,213.6,214.01,215.72,292.4,213.25,693210,149541574.93,27613,ACMESOLAR
2025-01-17,EQ,227.1,228.42,219.93,228.28,221.38,221.4,223.2,292.4,218.21,829761,185205464.5,34479,ACMESOLAR
2025-01-16,EQ,225.2,233.0,221.77,222.34,228.52,228.28,227.93,292.4,218.21,2460577,560849819.54,37716,ACMESOLAR
2025-01-15,EQ,227.53,229.79,220.48,227.29,222.49,222.34,224.06,292.4,218.21,704158,157773920.95,19771,ACMESOLAR
2025-01-14,EQ,224.0,231.5,223.25,222.34,227.7,227.29,227.25,292.4,218.21,666982,151570224.4,19728,ACMESOLAR
2025-01-13,EQ,224.0,228.5,218.21,230.73,222.6,222.34,222.9,292.4,218.21,812521,181113923.73,20903,ACMESOLAR
2025-01-10,EQ,236.5,237.45,228.6,238.1,231.4,230.73,231.2,292.4,224.05,283147,65464119.39,7074,ACMESOLAR
2025-01-09,EQ,231.24,241.0,231.24,229.95,237.8,238.1,237.6,292.4,224.05,930189,221013884.64,19144,ACMESOLAR
2025-01-08,EQ,232.5,232.94,228.5,233.04,231.0,229.95,230.18,292.4,224.05,265241,61053733.21,8725,ACMESOLAR
2025-01-07,EQ,229.76,234.95,229.61,228.37,231.5,233.04,232.47,292.4,224.05,407503,94733258.8,10630,ACMESOLAR
