DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-06-13,EQ,233.0,239.53,230.0,240.97,234.81,235.7,235.23,268.5,220.0,1441586,339097298.25,27447,AEGISVOPAK
2025-06-12,EQ,248.0,251.58,238.49,251.73,238.9,240.97,244.15,268.5,220.0,1172229,286194107.04,25222,AEGISVOPAK
2025-06-11,EQ,254.5,255.14,239.91,254.18,249.01,251.73,248.2,268.5,220.0,1951880,484449730.92,37053,AEGISVOPAK
2025-06-10,EQ,264.0,265.5,248.57,258.08,255.0,254.18,256.25,268.5,220.0,1436592,368126387.3,26292,AEGISVOPAK
2025-06-09,EQ,257.1,262.0,253.0,256.99,256.0,258.08,258.32,268.5,220.0,2123712,548593354.91,26690,AEGISVOPAK
2025-06-06,EQ,258.0,259.0,252.07,260.17,256.0,256.99,255.52,268.5,220.0,1691722,432262425.74,42369,AEGISVOPAK
2025-06-05,EQ,266.0,266.24,254.05,266.46,257.65,260.17,259.05,268.5,220.0,2138915,554084093.75,41746,AEGISVOPAK
2025-06-04,EQ,258.49,268.5,250.45,255.31,263.6,266.46,261.45,268.5,220.0,5617178,1468609770.63,58407,AEGISVOPAK
2025-06-03,EQ,249.0,264.9,236.06,242.0,258.2,255.31,248.9,264.9,220.0,14051020,3497347702.08,100146,AEGISVOPAK
2025-06-02,EQ,220.0,242.0,220.0,235.0,242.0,242.0,235.16,242.0,220.0,27206468,6397839321.66,126966,AEGISVOPAK
