DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-06-13,EQ,1841.5,1947.0,1841.5,1898.7,1946.0,1926.5,1893.74,1985.0,1201.25,469009,888182376.8,23374,AFFLE
2025-06-12,EQ,1922.5,1946.1,1890.0,1921.7,1890.0,1898.7,1909.71,1985.0,1201.25,307776,587761957.1,18056,AFFLE
2025-06-11,EQ,1947.0,1952.3,1898.0,1939.0,1920.0,1921.7,1920.45,1985.0,1201.25,333950,641333413.3,27071,AFFLE
2025-06-10,EQ,1875.0,1985.0,1867.0,1868.7,1935.0,1939.0,1939.21,1985.0,1201.25,1802997,3496394328.4,92028,AFFLE
2025-06-09,EQ,1813.6,1888.0,1804.5,1799.2,1865.0,1868.7,1848.01,1888.0,1201.25,362957,670747582.7,29340,AFFLE
2025-06-06,EQ,1785.2,1814.0,1782.7,1789.0,1800.0,1799.2,1796.31,1884.0,1060.0,174597,313630464.8,13077,AFFLE
2025-06-05,EQ,1803.2,1824.0,1783.1,1802.8,1793.8,1789.0,1805.94,1884.0,1060.0,235440,425191009.5,13759,AFFLE
2025-06-04,EQ,1796.5,1829.0,1790.9,1787.5,1802.0,1802.8,1806.58,1884.0,1060.0,318614,575600447.3,24250,AFFLE
2025-06-03,EQ,1782.2,1825.0,1771.6,1776.4,1784.0,1787.5,1804.16,1884.0,1060.0,359914,649343521.9,37794,AFFLE
2025-06-02,EQ,1740.0,1785.0,1730.0,1735.6,1770.1,1776.4,1772.61,1884.0,1060.0,291229,516235715.2,25755,AFFLE
2025-05-30,EQ,1744.0,1779.9,1677.0,1743.7,1760.0,1735.6,1725.67,1884.0,1060.0,255739,441321200.9,16296,AFFLE
2025-05-29,EQ,1735.0,1767.0,1717.0,1736.7,1744.0,1743.7,1742.27,1884.0,1060.0,235180,409747564.2,18064,AFFLE
2025-05-28,EQ,1678.0,1745.9,1660.1,1677.4,1739.0,1736.7,1715.03,1884.0,1060.0,236980,406427388.1,21961,AFFLE
2025-05-27,EQ,1704.0,1718.9,1672.0,1710.8,1678.0,1677.4,1689.54,1884.0,1060.0,107584,181767738.2,11052,AFFLE
2025-05-26,EQ,1730.0,1746.9,1702.9,1727.4,1709.0,1710.8,1725.11,1884.0,1060.0,129301,223058113.8,12085,AFFLE
2025-05-23,EQ,1696.7,1800.0,1691.0,1697.0,1720.9,1727.4,1757.05,1884.0,1060.0,863441,1517113077.4,61370,AFFLE
2025-05-22,EQ,1690.3,1714.1,1685.0,1703.3,1698.0,1697.0,1695.5,1884.0,1060.0,139272,236135222.9,20324,AFFLE
2025-05-21,EQ,1686.7,1725.0,1670.1,1689.0,1697.0,1703.3,1707.01,1884.0,1060.0,153291,261668522.5,19672,AFFLE
2025-05-20,EQ,1700.4,1707.2,1674.0,1692.6,1693.0,1689.0,1693.02,1884.0,1060.0,132811,224851199.6,14776,AFFLE
2025-05-19,EQ,1725.0,1735.0,1682.5,1720.0,1690.9,1692.6,1694.92,1884.0,1060.0,129286,219129587.3,13776,AFFLE
2025-05-16,EQ,1672.2,1749.9,1652.8,1662.4,1711.4,1720.0,1715.19,1884.0,1055.15,423120,725730672.9,31973,AFFLE
2025-05-15,EQ,1694.4,1706.0,1653.4,1679.5,1660.0,1662.4,1680.16,1884.0,1055.15,227190,381716541.3,22291,AFFLE
2025-05-14,EQ,1590.0,1690.0,1586.0,1590.8,1689.1,1679.5,1649.1,1884.0,1055.15,449809,741779062.0,29739,AFFLE
2025-05-13,EQ,1599.8,1602.6,1568.1,1587.1,1585.0,1590.8,1588.47,1884.0,1055.15,160378,254754992.1,14611,AFFLE
2025-05-12,EQ,1560.0,1619.2,1530.0,1512.5,1588.7,1587.1,1578.22,1884.0,1055.15,448242,707424804.5,39036,AFFLE
2025-05-09,EQ,1500.0,1551.0,1485.0,1534.5,1520.0,1512.5,1499.96,1884.0,1050.0,136217,204319790.9,18222,AFFLE
