DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-06-13,EQ,113.65,113.66,109.49,116.38,111.0,111.82,111.35,164.0,83.5,19530,2174748.99,551,AIROLAM
2025-06-12,EQ,124.32,124.32,114.3,122.91,114.3,116.38,118.35,164.0,83.5,24621,2913946.84,770,AIROLAM
2025-06-11,EQ,123.0,125.01,120.11,126.53,122.0,122.91,122.64,164.0,83.5,62977,7723560.7,1378,AIROLAM
2025-06-10,EQ,124.0,137.04,121.5,114.2,126.01,126.53,132.16,164.0,83.5,629795,83234229.88,7191,AIROLAM
2025-06-09,EQ,93.15,114.2,93.15,95.17,114.2,114.2,107.95,164.0,83.5,93768,10121922.42,1018,AIROLAM
2025-06-06,EQ,96.49,96.5,93.5,94.9,95.5,95.17,95.09,164.0,83.5,1375,130755.35,56,AIROLAM
2025-06-05,EQ,95.81,96.79,93.25,95.42,94.92,94.9,95.49,164.0,83.5,2534,241960.19,65,AIROLAM
2025-06-04,EQ,92.61,96.4,92.61,95.51,95.5,95.42,94.78,164.0,83.5,1616,153170.0,76,AIROLAM
2025-06-03,EQ,96.7,97.45,95.5,96.28,96.78,95.51,95.85,164.0,83.5,1551,148667.94,76,AIROLAM
2025-06-02,EQ,95.87,97.08,95.11,94.29,96.1,96.28,96.49,164.0,83.5,5552,535692.25,165,AIROLAM
2025-05-30,EQ,95.71,96.5,92.71,92.17,94.35,94.29,94.94,164.0,83.5,4249,403419.73,152,AIROLAM
2025-05-29,EQ,96.51,96.51,90.33,94.62,92.75,92.17,92.16,164.0,83.5,11905,1097205.19,279,AIROLAM
2025-05-28,EQ,94.36,96.59,92.0,95.3,94.71,94.62,94.52,164.0,83.5,1594,150668.62,176,AIROLAM
2025-05-27,EQ,97.5,98.97,94.0,97.75,95.55,95.3,95.69,164.0,83.5,5508,527065.55,151,AIROLAM
2025-05-26,EQ,94.52,98.95,93.0,94.05,97.88,97.75,96.45,164.0,83.5,13147,1267999.04,245,AIROLAM
2025-05-23,EQ,89.63,98.0,89.63,89.88,94.0,94.05,94.34,164.0,83.5,19678,1856402.93,376,AIROLAM
2025-05-22,EQ,91.4,91.7,89.46,90.04,90.0,89.88,89.92,164.0,83.5,1716,154307.17,63,AIROLAM
2025-05-21,EQ,96.29,96.29,89.11,90.0,90.0,90.04,90.99,164.0,83.5,4281,389520.85,109,AIROLAM
2025-05-20,EQ,89.95,90.99,88.01,89.94,88.7,90.0,89.88,164.0,83.5,1073,96442.41,74,AIROLAM
2025-05-19,EQ,88.65,91.45,88.65,90.36,89.99,89.94,90.23,164.0,83.5,3285,296405.95,109,AIROLAM
2025-05-16,EQ,91.55,91.55,89.61,91.55,90.0,90.36,90.22,164.0,83.5,2918,263269.45,75,AIROLAM
2025-05-15,EQ,91.0,93.0,89.0,89.95,90.1,91.55,91.2,164.0,83.5,4789,436759.0,60,AIROLAM
2025-05-14,EQ,89.0,92.0,88.0,89.11,89.95,89.95,89.6,164.0,83.5,2041,182873.02,89,AIROLAM
2025-05-13,EQ,93.7,93.7,88.06,88.4,90.1,89.11,89.65,164.0,83.5,3115,279259.43,95,AIROLAM
2025-05-12,EQ,85.1,92.0,85.1,87.53,88.99,88.4,88.96,164.0,83.5,5535,492369.8,116,AIROLAM
2025-05-09,EQ,87.0,88.89,84.0,87.93,88.89,87.53,87.04,168.9,83.5,2552,222134.26,36,AIROLAM
