date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2021-12-31,EQ,220.2,259.6,215.1,216.0,241.0,238.2,239.16,259.6,215.1,49060201,11733130356.8,639305,CMSINFO
2022-01-03,EQ,243.0,256.5,238.4,238.2,240.0,240.3,245.99,259.6,215.1,7316080,1799708517.55,109794,CMSINFO
2022-01-04,EQ,240.5,242.75,232.25,240.3,234.2,234.05,235.74,259.6,215.1,2882616,679542930.1,51555,CMSINFO
2022-01-05,EQ,234.0,250.7,229.55,234.05,238.65,240.0,241.94,259.6,215.1,5332766,1290195197.4,85920,CMSINFO
2022-01-06,EQ,236.9,260.0,235.0,240.0,254.8,256.25,250.6,260.0,215.1,9022865,2261175028.4,125237,CMSINFO
2022-01-07,EQ,260.0,283.0,258.9,256.25,275.35,275.15,272.58,283.0,215.1,13131868,3579529966.4,165189,CMSINFO
2022-01-10,EQ,279.0,284.9,275.5,275.15,276.4,277.55,280.42,284.9,215.1,4004261,1122872675.75,65246,CMSINFO
2022-01-11,EQ,279.75,289.2,273.15,277.55,275.0,275.7,281.22,289.2,215.1,3439252,967179784.95,67013,CMSINFO
2022-01-12,EQ,279.15,284.8,274.15,275.7,277.0,276.2,278.66,289.2,215.1,1337725,372764622.2,27008,CMSINFO
2022-01-13,EQ,278.0,289.85,275.5,276.2,282.3,281.0,282.93,289.85,215.1,3523028,996775755.35,57518,CMSINFO
2022-01-14,EQ,281.05,299.0,281.05,281.0,296.7,295.15,291.89,299.0,215.1,5968029,1741986591.7,84739,CMSINFO
2022-01-17,EQ,298.4,317.45,297.95,295.15,311.65,311.4,310.94,317.45,215.1,5818653,1809237813.7,89623,CMSINFO
2022-01-18,EQ,314.5,317.0,292.15,311.4,297.05,296.05,303.41,317.45,215.1,2942867,892893564.7,62848,CMSINFO
2022-01-19,EQ,297.0,304.45,290.5,296.05,297.0,297.4,297.59,317.45,215.1,2068891,615687404.7,38954,CMSINFO
2022-01-20,EQ,298.9,308.85,297.85,297.4,302.0,301.55,303.26,317.45,215.1,2026981,614695872.9,36601,CMSINFO
2022-01-21,EQ,298.0,303.7,261.8,301.55,280.8,275.85,287.24,317.45,215.1,2885794,828925488.35,68596,CMSINFO
2022-01-24,EQ,280.0,284.6,249.6,275.85,257.0,257.2,261.55,317.45,215.1,2657091,694972229.7,52508,CMSINFO
2022-01-25,EQ,255.0,274.3,242.65,257.2,271.3,272.0,264.37,317.45,215.1,2617037,691873187.8,56135,CMSINFO
2022-01-27,EQ,265.0,284.2,264.05,272.0,273.4,274.1,274.8,317.45,215.1,1860030,511128302.4,39713,CMSINFO
2022-01-28,EQ,273.0,283.65,261.0,274.1,262.3,263.45,272.89,317.45,215.1,1456079,397347246.5,33780,CMSINFO
2022-01-31,EQ,269.75,273.8,254.3,263.45,256.9,256.0,262.39,317.45,215.1,931819,244495752.95,18880,CMSINFO
2022-02-01,EQ,258.0,271.85,254.4,256.0,270.0,267.85,262.72,317.45,215.1,1589073,417473981.85,26896,CMSINFO
2022-02-02,EQ,271.0,274.3,262.0,267.85,264.85,264.5,269.04,317.45,215.1,1046141,281451380.85,16990,CMSINFO
2022-02-03,EQ,265.9,270.5,263.8,264.5,264.9,265.3,266.72,317.45,215.1,1003383,267620030.35,12700,CMSINFO
2022-02-04,EQ,265.7,274.75,265.7,265.3,273.0,273.25,271.01,317.45,215.1,1093712,296406586.05,17588,CMSINFO
2022-02-07,EQ,283.0,284.0,271.0,273.25,279.0,281.1,278.62,317.45,215.1,2388345,665451571.1,39409,CMSINFO
2022-02-08,EQ,281.9,283.8,267.5,281.1,269.0,269.95,274.23,317.45,215.1,1108955,304105050.7,16719,CMSINFO
2022-02-09,EQ,270.2,274.75,265.3,269.95,268.0,268.45,269.19,317.45,215.1,762663,205298225.65,12749,CMSINFO
2022-02-10,EQ,272.0,276.8,265.75,268.45,268.4,268.1,270.9,317.45,215.1,982775,266229793.45,14846,CMSINFO
2022-02-11,EQ,264.0,268.1,258.1,268.1,258.5,259.05,262.65,317.45,215.1,638116,167600891.55,13028,CMSINFO
2022-02-14,EQ,246.0,258.0,243.45,259.05,250.25,250.35,250.33,317.45,215.1,1318955,330180438.25,32726,CMSINFO
2022-02-15,EQ,251.0,256.8,246.25,250.35,252.9,253.0,251.92,317.45,215.1,823958,207574075.25,14182,CMSINFO
2022-02-16,EQ,254.75,264.0,254.7,253.0,259.3,260.0,259.08,317.45,215.1,983030,254682924.75,16276,CMSINFO
2022-02-17,EQ,261.75,264.8,251.0,260.0,251.15,252.7,258.03,317.45,215.1,667183,172153989.75,10077,CMSINFO
2022-02-18,EQ,252.7,254.0,243.5,252.7,244.5,244.85,248.82,317.45,215.1,592483,147422550.2,11908,CMSINFO
2022-02-21,EQ,242.05,246.7,235.0,244.85,240.3,240.8,239.27,317.45,215.1,914048,218703183.05,19318,CMSINFO
2022-02-22,EQ,231.05,245.3,231.05,240.8,240.55,240.5,239.51,317.45,215.1,1153671,276310417.95,21718,CMSINFO
2022-02-23,EQ,244.4,251.45,240.65,240.5,241.6,242.6,244.94,317.45,215.1,1277028,312799432.9,15965,CMSINFO
2022-02-24,EQ,232.55,236.5,225.1,242.6,226.1,228.0,231.4,317.45,215.1,1242007,287398359.55,23121,CMSINFO
2022-02-25,EQ,231.0,242.3,231.0,228.0,237.7,237.55,238.23,317.45,215.1,775801,184818382.45,15142,CMSINFO
2022-02-28,EQ,236.0,240.5,232.0,237.55,235.6,235.55,237.24,317.45,215.1,584097,138570009.95,9688,CMSINFO
2022-03-02,EQ,234.0,239.05,231.0,235.55,236.3,235.85,235.95,317.45,215.1,384360,90689208.5,6864,CMSINFO
2022-03-03,EQ,239.1,244.55,236.5,235.85,237.9,237.3,239.89,317.45,215.1,483056,115879138.7,7709,CMSINFO
2022-03-04,EQ,237.3,244.0,235.0,237.3,238.15,238.2,239.23,317.45,215.1,467344,111802566.15,9031,CMSINFO
2022-03-07,EQ,234.0,239.9,232.3,238.2,237.15,236.9,236.55,317.45,215.1,495607,117238051.1,12081,CMSINFO
2022-03-08,EQ,238.7,242.25,234.7,236.9,237.9,238.95,238.39,317.45,215.1,240037,57223195.1,5606,CMSINFO
2022-03-09,EQ,243.5,252.3,241.15,238.95,251.5,250.55,246.42,317.45,215.1,473013,116561400.2,11031,CMSINFO
2022-03-10,EQ,255.0,256.45,248.0,250.55,248.9,249.5,253.24,317.45,215.1,452106,114489425.9,14119,CMSINFO
2022-03-11,EQ,250.0,260.7,249.0,249.5,260.0,258.9,255.48,317.45,215.1,551275,140839940.6,10900,CMSINFO
2022-03-14,EQ,260.0,264.7,255.55,258.9,257.0,260.3,261.47,317.45,215.1,419459,109675543.2,9993,CMSINFO
2022-03-15,EQ,258.2,264.05,253.35,260.3,254.0,254.85,258.65,317.45,215.1,410335,106132029.9,11062,CMSINFO
2022-03-16,EQ,258.0,264.9,256.45,254.85,263.2,262.5,261.52,317.45,215.1,375441,98185247.25,9630,CMSINFO
2022-03-17,EQ,264.6,267.5,261.5,262.5,262.0,263.15,264.32,317.45,215.1,392780,103819885.45,8359,CMSINFO
2022-03-21,EQ,264.95,264.95,255.75,263.15,256.95,256.95,259.14,317.45,215.1,301732,78189656.8,6573,CMSINFO
2022-03-22,EQ,255.3,258.3,252.3,256.95,254.55,254.15,254.27,317.45,215.1,238512,60647185.8,5623,CMSINFO
2022-03-23,EQ,254.95,263.75,253.85,254.15,259.5,259.1,259.1,317.45,215.1,419705,108745776.75,10074,CMSINFO
2022-03-24,EQ,260.0,262.95,254.75,259.1,256.7,256.5,258.86,317.45,215.1,251828,65189160.6,6760,CMSINFO
2022-03-25,EQ,258.5,261.15,254.05,256.5,254.4,254.65,257.13,317.45,215.1,186290,47900165.75,5226,CMSINFO
2022-03-28,EQ,255.7,258.3,249.05,254.65,249.45,250.4,252.67,317.45,215.1,278548,70379521.4,8112,CMSINFO
2022-03-29,EQ,251.0,265.35,251.0,250.4,260.5,262.7,259.91,317.45,215.1,638676,165997411.75,14365,CMSINFO
2022-03-30,EQ,264.0,276.5,263.05,262.7,271.0,271.05,271.26,317.45,215.1,733650,199012428.25,13215,CMSINFO
2022-03-31,EQ,273.2,277.0,262.3,271.05,262.3,264.95,270.16,317.45,215.1,347571,93898436.9,7811,CMSINFO
2022-04-01,EQ,264.95,272.7,264.9,264.95,271.0,271.0,269.76,317.45,215.1,329446,88871496.8,6583,CMSINFO
2022-04-04,EQ,273.75,277.0,270.55,271.0,271.15,272.4,272.77,317.45,215.1,374584,102175624.7,6828,CMSINFO
2022-04-05,EQ,273.8,279.3,270.25,272.4,277.0,276.15,276.21,317.45,215.1,655575,181074399.55,11644,CMSINFO
2022-04-06,EQ,274.0,276.85,270.1,276.15,271.5,271.1,272.01,317.45,215.1,416580,113315508.8,8321,CMSINFO
2022-04-07,EQ,270.0,271.6,261.65,271.1,263.0,262.8,265.86,317.45,215.1,460890,122532042.1,9678,CMSINFO
2022-04-08,EQ,264.9,272.35,263.05,262.8,267.25,266.3,267.09,317.45,215.1,430503,114984937.7,10188,CMSINFO
2022-04-11,EQ,265.8,270.0,263.0,266.3,263.9,264.0,265.56,317.45,215.1,280420,74468336.75,6859,CMSINFO
2022-04-12,EQ,263.9,263.9,255.7,264.0,257.0,257.15,258.82,317.45,215.1,382799,99074411.65,10218,CMSINFO
2022-04-13,EQ,258.6,261.0,255.25,257.15,259.35,258.4,258.38,317.45,215.1,341492,88234912.05,7745,CMSINFO
2022-04-18,EQ,256.85,264.0,244.8,258.4,259.55,260.25,257.32,317.45,215.1,420796,108278596.45,11715,CMSINFO
2022-04-19,EQ,262.0,262.95,253.0,260.25,255.4,255.95,259.58,317.45,215.1,215961,56059229.5,7172,CMSINFO
