DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-06-13,EQ,520.0,535.9,512.5,528.35,535.25,532.5,526.23,588.0,363.15,239374,125965051.55,10916,DBL
2025-06-12,EQ,545.0,554.65,526.35,540.55,528.95,528.35,541.57,588.0,363.15,420542,227754635.25,16954,DBL
2025-06-11,EQ,533.85,552.25,528.05,531.15,541.6,540.55,543.38,588.0,363.15,561946,305350466.25,21502,DBL
2025-06-10,EQ,540.0,540.8,529.05,536.15,530.0,531.15,533.94,588.0,363.15,303462,162030140.1,11263,DBL
2025-06-09,EQ,495.9,541.0,493.0,489.5,535.0,536.15,525.98,588.0,363.15,1508799,793594390.7,51916,DBL
2025-06-06,EQ,488.0,494.5,482.05,490.05,488.4,489.5,488.84,588.0,341.15,122216,59743572.75,5248,DBL
2025-06-05,EQ,496.0,497.25,487.15,494.8,487.75,490.05,492.07,588.0,341.15,110438,54343322.4,5018,DBL
2025-06-04,EQ,491.0,507.0,486.05,490.15,493.0,494.8,496.95,588.0,341.15,265767,132073265.2,11548,DBL
2025-06-03,EQ,487.05,493.15,484.0,487.65,487.0,490.15,489.48,588.0,341.15,210966,103262898.2,10069,DBL
2025-06-02,EQ,492.6,492.6,482.95,492.85,486.25,487.65,487.45,588.0,341.15,113783,55463820.75,6039,DBL
2025-05-30,EQ,508.4,517.1,490.25,507.45,492.85,492.85,500.07,588.0,341.15,387806,193930650.75,16434,DBL
2025-05-29,EQ,492.95,513.8,488.0,491.1,506.85,507.45,505.48,588.0,341.15,582432,294410188.3,23797,DBL
2025-05-28,EQ,490.2,492.5,486.0,489.25,490.15,491.1,489.8,588.0,341.15,90805,44476390.45,4712,DBL
2025-05-27,EQ,483.8,492.6,478.0,480.2,490.0,489.25,487.01,588.0,341.15,167195,81425044.35,6778,DBL
2025-05-26,EQ,481.65,496.0,477.85,478.8,478.1,480.2,487.79,588.0,341.15,315954,154117660.45,12253,DBL
2025-05-23,EQ,473.6,480.95,469.35,472.6,478.5,478.8,476.63,588.0,341.15,105614,50339274.5,4931,DBL
2025-05-22,EQ,473.95,480.1,468.2,476.7,471.0,472.6,475.45,588.0,341.15,143441,68198923.7,7160,DBL
2025-05-21,EQ,479.65,481.7,470.4,477.75,474.05,476.7,475.59,588.0,341.15,131397,62491033.35,6523,DBL
2025-05-20,EQ,488.4,494.4,475.8,486.95,476.0,477.75,484.2,588.0,341.15,174680,84580511.55,8819,DBL
2025-05-19,EQ,475.4,491.25,474.2,472.9,487.0,486.95,485.69,588.0,341.15,365854,177691581.2,15195,DBL
2025-05-16,EQ,480.85,483.05,469.85,478.35,472.5,472.9,475.57,588.0,341.15,133734,63599536.25,7353,DBL
2025-05-15,EQ,475.0,489.8,469.15,473.55,476.6,478.35,480.87,588.0,341.15,256985,123575573.1,14031,DBL
2025-05-14,EQ,468.7,477.8,462.25,467.65,475.1,473.55,469.58,588.0,341.15,222444,104454762.65,9926,DBL
2025-05-13,EQ,470.0,470.0,460.2,463.25,467.0,467.65,465.64,588.0,341.15,124526,57984079.4,6380,DBL
2025-05-12,EQ,466.3,477.3,452.3,436.0,461.5,463.25,464.53,588.0,341.15,385296,178981599.9,17395,DBL
2025-05-09,EQ,425.0,445.0,420.0,424.95,440.0,436.0,431.94,588.0,341.15,459137,198321100.15,30164,DBL
2025-05-08,EQ,425.95,449.2,421.55,422.55,424.0,424.95,437.17,588.0,341.15,356416,155814225.4,20864,DBL
2025-05-07,EQ,408.05,425.0,408.0,419.75,423.0,422.55,419.18,588.0,341.15,91735,38453113.95,8219,DBL
2025-05-06,EQ,428.85,431.35,415.1,428.85,421.6,419.75,422.27,588.0,341.15,106882,45132791.5,7852,DBL
2025-05-05,EQ,423.7,433.0,420.0,422.25,426.6,428.85,425.58,588.0,341.15,68676,29227319.4,6347,DBL
2025-05-02,EQ,417.0,427.95,414.75,422.55,423.8,422.25,423.04,588.0,341.15,89830,38001565.35,8847,DBL
2025-04-30,EQ,440.0,440.05,418.6,436.15,422.35,422.55,425.82,588.0,341.15,199874,85110113.95,10194,DBL
2025-04-29,EQ,440.15,447.05,433.0,440.65,435.15,436.15,437.87,588.0,341.15,107519,47079171.8,6911,DBL
2025-04-28,EQ,442.4,449.25,436.0,443.6,440.95,440.65,442.85,588.0,341.15,114279,50608096.1,10118,DBL
2025-04-25,EQ,451.0,454.0,435.4,453.4,439.0,443.6,441.53,588.0,341.15,155668,68731897.95,8898,DBL
2025-04-24,EQ,452.55,455.0,446.2,451.6,451.0,453.4,451.47,588.0,341.15,105778,47755847.85,8511,DBL
2025-04-23,EQ,462.0,467.15,448.35,460.3,450.15,451.6,453.76,588.0,341.15,129313,58677184.7,9279,DBL
2025-04-22,EQ,465.0,468.1,458.1,464.5,460.2,460.3,462.86,588.0,341.15,70592,32674352.0,6325,DBL
2025-04-21,EQ,458.0,465.75,456.55,457.45,465.2,464.5,462.19,588.0,341.15,77212,35686669.7,6713,DBL
2025-04-17,EQ,454.5,465.85,454.5,459.0,458.4,457.45,459.84,588.0,341.15,60953,28028879.8,5105,DBL
2025-04-16,EQ,454.9,461.45,453.05,453.1,459.7,459.0,458.07,588.0,341.15,70669,32371187.15,6392,DBL
2025-04-15,EQ,449.0,457.9,444.4,442.65,452.8,453.1,452.49,588.0,341.15,92083,41667093.65,6379,DBL
2025-04-11,EQ,436.8,444.6,433.0,429.95,442.5,442.65,438.99,588.0,341.15,100911,44298941.6,6990,DBL
2025-04-09,EQ,442.0,442.0,427.1,443.1,430.1,429.95,431.28,588.0,341.15,88331,38095034.25,5436,DBL
2025-04-08,EQ,450.0,450.0,435.0,433.6,443.0,443.1,440.61,588.0,341.15,122030,53767711.5,5774,DBL
2025-04-07,EQ,376.0,438.05,376.0,454.55,436.0,433.6,422.5,588.0,341.15,236681,99997756.35,17230,DBL
2025-04-04,EQ,470.05,474.55,451.25,473.95,453.8,454.55,458.45,588.0,341.15,199013,91237854.8,12371,DBL
