date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2023-10-04,EQ,39.45,39.45,39.45,35.9,39.45,39.45,39.45,39.45,39.45,86,3392.7,10,DIACABS
2023-10-05,EQ,43.35,43.35,43.35,39.45,43.35,43.35,43.35,43.35,39.45,47,2037.45,7,DIACABS
2024-09-30,EQ,1348.75,1410.0,1348.75,1357.9,1388.15,1395.25,1391.31,1645.0,35.9,7147,9943688.0,705,DIACABS
2024-10-01,EQ,1415.0,1445.0,1402.0,1395.25,1432.0,1433.95,1424.56,1645.0,35.9,14582,20772886.85,680,DIACABS
2024-10-03,EQ,1440.0,1440.0,1351.6,1433.95,1406.0,1381.4,1409.21,1645.0,35.9,14827,20894292.2,836,DIACABS
2025-01-13,EQ,137.95,146.95,134.16,141.23,134.16,134.16,137.28,1899.95,134.16,93934,12895506.54,1654,DIACABS
2025-01-14,EQ,131.51,137.8,127.45,134.16,127.45,128.42,130.85,1899.95,127.45,347201,45430053.38,2377,DIACABS
2025-01-15,EQ,133.86,133.86,121.99,128.42,121.99,121.99,124.46,1899.95,121.99,254882,31722030.32,2793,DIACABS
2025-01-16,EQ,126.79,126.79,115.89,121.99,115.89,115.93,119.57,1899.95,115.89,444019,53093043.5,3572,DIACABS
2025-01-17,EQ,115.06,121.72,114.21,115.93,121.72,121.72,120.59,1899.95,114.21,88143,10628819.37,631,DIACABS
2025-03-24,EQ,94.74,98.96,92.09,94.25,98.96,98.96,96.83,1899.95,81.5,190858,18481720.08,1614,DIACABS
2025-03-25,EQ,103.9,103.9,96.97,98.96,98.37,97.96,101.34,1899.95,81.5,417487,42308546.25,2864,DIACABS
2025-03-26,EQ,96.39,98.4,93.06,97.96,93.06,93.24,95.17,1899.95,81.5,118227,11252067.51,1775,DIACABS
2025-03-27,EQ,93.24,94.5,89.0,93.24,91.0,89.92,91.18,1899.95,81.5,201804,18399660.36,2141,DIACABS
2025-03-28,EQ,92.0,93.19,88.73,89.92,90.0,89.53,90.85,1899.95,81.5,100415,9122432.61,1274,DIACABS
2025-04-01,EQ,90.87,92.26,89.56,89.53,92.04,91.23,91.33,1899.95,81.5,52528,4797560.83,959,DIACABS
2025-04-02,EQ,91.23,95.5,91.23,91.23,94.45,94.47,93.09,1899.95,81.5,44082,4103570.21,1257,DIACABS
2025-04-03,EQ,92.02,98.09,92.02,94.47,97.0,97.13,95.37,1899.95,81.5,94048,8968965.97,1299,DIACABS
2025-04-04,EQ,97.13,97.13,92.61,97.13,93.7,93.28,94.2,1899.95,81.5,56090,5283619.16,1122,DIACABS
2025-04-07,EQ,88.61,88.61,88.61,93.28,88.61,88.61,88.61,1899.95,81.5,23369,2070727.09,475,DIACABS
2025-04-08,EQ,89.02,92.99,88.5,88.61,90.9,91.82,90.14,1899.95,81.5,64932,5852949.5,1383,DIACABS
2025-04-09,EQ,92.51,93.3,87.51,91.82,88.4,88.02,88.71,1899.95,81.5,66288,5880666.53,1328,DIACABS
2025-04-11,EQ,92.4,92.4,88.02,88.02,91.5,91.1,90.55,1899.95,81.5,54222,4909625.95,1356,DIACABS
2025-04-15,EQ,94.79,95.25,92.0,91.1,94.89,94.7,94.32,1899.95,81.5,52463,4948466.29,1460,DIACABS
