DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-06-13,EQ,14.5,14.83,13.76,14.43,13.82,14.03,14.15,19.81,9.65,4706,66575.85,37,EUROTEXIND
2025-06-12,EQ,15.48,15.48,14.29,14.95,14.3,14.43,14.76,19.81,9.65,11333,167257.34,145,EUROTEXIND
2025-06-11,EQ,14.91,15.6,14.55,14.91,14.55,14.95,14.95,19.81,9.65,3852,57575.21,51,EUROTEXIND
2025-06-10,EQ,15.19,15.73,14.77,15.21,14.79,14.91,15.2,19.81,9.65,6778,103000.85,66,EUROTEXIND
2025-06-09,EQ,15.87,15.91,15.1,15.87,15.21,15.21,15.3,19.81,9.65,10729,164124.89,102,EUROTEXIND
2025-06-06,EQ,15.85,16.77,15.58,16.4,15.87,15.87,15.7,19.81,9.65,7633,119806.68,65,EUROTEXIND
2025-06-05,EQ,16.51,17.19,16.4,17.27,16.4,16.4,16.61,19.81,9.65,14523,241171.59,147,EUROTEXIND
2025-06-04,EQ,19.08,19.08,17.27,18.18,17.27,17.27,18.13,19.81,9.65,20150,365339.42,257,EUROTEXIND
2025-06-03,EQ,18.1,18.18,17.67,17.32,18.18,18.18,18.17,19.81,9.65,21344,387895.79,54,EUROTEXIND
2025-06-02,EQ,17.3,17.32,15.86,15.75,17.32,17.32,17.03,19.81,9.65,40710,693483.85,340,EUROTEXIND
2025-05-30,EQ,14.35,15.75,14.32,14.32,15.75,15.75,15.49,19.81,9.65,23142,358569.68,172,EUROTEXIND
2025-05-29,EQ,14.2,14.32,12.95,13.02,14.32,14.32,14.12,19.81,9.65,25303,357376.56,198,EUROTEXIND
2025-05-28,EQ,12.82,14.2,12.81,13.49,12.99,13.02,13.12,19.81,9.65,8937,117285.38,46,EUROTEXIND
2025-05-27,EQ,13.25,14.35,12.06,13.39,12.81,13.49,13.1,19.81,9.65,809,10600.02,31,EUROTEXIND
2025-05-26,EQ,13.25,14.27,13.25,13.11,13.79,13.39,13.8,19.81,9.65,3903,53880.45,45,EUROTEXIND
2025-05-23,EQ,13.98,13.98,13.0,13.41,13.01,13.11,13.41,19.81,9.65,3601,48282.46,104,EUROTEXIND
2025-05-22,EQ,14.15,14.15,13.31,13.97,13.37,13.41,13.66,19.81,9.65,11108,151744.76,131,EUROTEXIND
2025-05-21,EQ,14.4,14.4,12.92,14.08,13.97,13.97,13.42,19.81,9.65,8107,108767.84,40,EUROTEXIND
2025-05-20,EQ,14.48,14.48,13.65,14.47,14.03,14.08,14.02,19.81,9.65,2510,35181.26,45,EUROTEXIND
2025-05-19,EQ,14.35,14.48,13.74,13.42,14.47,14.47,14.15,19.81,9.65,1149,16257.68,16,EUROTEXIND
2025-05-16,EQ,14.46,14.46,13.26,14.29,14.37,13.42,13.53,19.81,9.65,750,10149.46,43,EUROTEXIND
2025-05-15,EQ,13.65,14.69,13.0,13.38,14.46,14.29,13.88,19.81,9.65,3943,54719.32,112,EUROTEXIND
2025-05-14,EQ,13.54,14.74,12.51,13.54,14.0,13.38,13.73,19.81,9.65,12474,171216.6,153,EUROTEXIND
2025-05-13,EQ,12.97,13.95,12.91,12.84,13.95,13.54,13.41,19.81,9.65,459,6154.64,11,EUROTEXIND
2025-05-12,EQ,12.64,13.49,12.39,12.52,12.71,12.84,12.91,19.81,9.65,3414,44090.39,55,EUROTEXIND
2025-05-09,EQ,12.01,13.44,12.0,12.88,12.4,12.52,12.35,19.81,9.65,2297,28360.45,29,EUROTEXIND
2025-05-08,EQ,13.45,14.2,12.65,13.5,13.69,12.88,13.0,19.81,9.65,1835,23853.1,49,EUROTEXIND
2025-05-07,EQ,12.05,13.8,12.05,13.15,13.04,13.5,13.03,19.81,9.65,1681,21907.24,57,EUROTEXIND
2025-05-06,EQ,13.76,13.76,12.9,13.88,12.9,13.15,13.35,19.81,9.65,3741,49950.16,53,EUROTEXIND
2025-05-05,EQ,13.26,14.65,13.2,13.32,13.83,13.88,14.29,19.81,9.65,31513,450251.85,199,EUROTEXIND
2025-05-02,EQ,12.73,13.86,12.61,12.6,13.68,13.32,13.56,19.81,9.65,4086,55422.09,68,EUROTEXIND
2025-04-30,EQ,12.9,13.82,12.6,12.57,12.6,12.6,13.11,19.81,9.65,2274,29810.46,51,EUROTEXIND
2025-04-29,EQ,12.11,13.99,12.11,13.19,12.46,12.57,12.91,19.81,9.65,3758,48505.72,63,EUROTEXIND
2025-04-28,EQ,13.12,13.94,13.12,13.81,13.25,13.19,13.19,19.81,9.65,413,5448.52,16,EUROTEXIND
2025-04-25,EQ,14.5,14.99,13.5,14.5,13.8,13.81,14.26,19.81,9.65,3300,47057.51,21,EUROTEXIND
2025-04-24,EQ,14.48,14.87,14.48,14.55,14.5,14.5,14.51,19.81,9.65,1581,22942.09,15,EUROTEXIND
2025-04-23,EQ,14.45,15.15,14.06,14.62,14.87,14.55,14.85,19.81,9.65,3823,56753.15,45,EUROTEXIND
2025-04-22,EQ,15.0,15.38,14.41,15.49,14.41,14.62,14.75,19.81,9.65,5039,74308.12,74,EUROTEXIND
2025-04-21,EQ,16.37,16.37,13.74,14.91,15.49,15.49,15.3,19.81,9.65,4653,71200.1,48,EUROTEXIND
2025-04-17,EQ,14.98,14.98,13.81,14.98,14.98,14.91,14.61,19.81,9.65,815,11906.99,16,EUROTEXIND
2025-04-16,EQ,16.44,16.44,13.7,14.97,15.7,14.98,15.13,19.81,9.65,10797,163369.93,106,EUROTEXIND
2025-04-15,EQ,13.88,14.97,13.88,13.61,14.97,14.97,14.82,19.81,9.65,4338,64278.15,23,EUROTEXIND
2025-04-11,EQ,12.4,13.64,12.22,12.4,13.61,13.61,13.58,19.81,9.65,6562,89090.12,42,EUROTEXIND
2025-04-09,EQ,13.9,14.24,12.19,12.99,12.32,12.4,12.41,19.81,9.65,673,8353.2,40,EUROTEXIND
2025-04-08,EQ,14.1,14.57,12.46,13.51,12.88,12.99,14.35,19.81,9.65,500,7175.11,32,EUROTEXIND
2025-04-07,EQ,15.0,16.5,13.51,15.0,13.51,13.51,14.64,19.81,9.65,7387,108138.01,231,EUROTEXIND
2025-04-04,EQ,14.3,15.0,13.66,14.29,15.0,15.0,14.92,19.81,9.65,3169,47286.8,28,EUROTEXIND
2025-04-03,EQ,13.98,14.32,12.96,13.65,14.29,14.29,13.08,19.81,9.65,1119,14637.73,13,EUROTEXIND
2025-04-02,EQ,13.7,13.7,13.31,13.05,13.65,13.65,13.66,19.81,9.65,3054,41725.22,16,EUROTEXIND
2025-04-01,EQ,12.75,13.36,12.75,12.73,13.05,13.05,13.13,19.81,9.65,445,5842.03,10,EUROTEXIND
2025-03-28,EQ,12.42,12.8,11.79,12.42,12.0,12.73,12.15,19.81,9.65,3695,44885.26,21,EUROTEXIND
2025-03-27,EQ,13.2,13.47,12.42,13.07,12.42,12.42,12.73,19.81,9.65,1602,20386.67,14,EUROTEXIND
2025-03-26,EQ,13.01,14.2,13.01,13.68,13.07,13.07,13.21,19.81,9.65,1789,23631.48,24,EUROTEXIND
2025-03-25,EQ,13.5,13.97,12.83,13.5,12.83,13.68,12.98,19.81,9.65,3663,47563.01,23,EUROTEXIND
2024-10-08,EQ,19.8,19.8,18.71,19.7,18.71,18.71,19.07,22.05,10.15,6569,125239.38,79,EUROTEXIND
2024-10-07,EQ,18.87,19.81,18.87,18.87,19.6,19.7,19.42,22.05,10.15,39208,761321.63,148,EUROTEXIND
2024-10-04,EQ,18.86,18.87,18.8,17.98,18.87,18.87,18.86,22.05,10.15,18327,345682.43,109,EUROTEXIND
2024-10-03,EQ,17.3,17.98,17.13,17.13,17.98,17.98,17.77,22.05,10.15,7417,131790.39,61,EUROTEXIND
2024-10-01,EQ,16.32,17.13,15.55,16.32,17.13,17.13,17.01,22.05,10.15,12370,210380.21,170,EUROTEXIND
2024-09-30,EQ,15.55,16.32,15.54,15.55,16.32,16.32,16.16,22.05,10.15,10337,167076.23,161,EUROTEXIND
2024-09-27,EQ,14.85,16.08,14.85,15.63,15.2,15.55,15.5,22.05,10.15,4053,62807.14,82,EUROTEXIND
2024-09-26,EQ,14.77,15.63,14.74,14.9,15.63,15.63,15.06,22.05,10.15,1659,24983.05,15,EUROTEXIND
2024-09-25,EQ,15.0,15.39,14.75,15.52,15.35,14.9,15.05,22.05,10.15,1809,27217.11,34,EUROTEXIND
2024-09-24,EQ,15.66,15.66,15.5,14.92,15.5,15.52,15.61,22.05,10.15,8955,139820.91,31,EUROTEXIND
2024-09-23,EQ,15.0,15.82,14.91,15.23,14.91,14.92,15.11,22.05,10.15,614,9277.64,24,EUROTEXIND
