date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2024-08-13,EQ,651.0,707.7,640.0,465.0,673.5,679.1,673.36,707.7,640.0,61142512,41170825034.75,615046,FIRSTCRY
2024-08-14,EQ,669.9,677.7,633.3,679.1,643.1,641.95,651.75,707.7,633.3,6852935,4466404551.05,223397,FIRSTCRY
2024-08-16,EQ,640.0,688.0,636.1,641.95,669.0,669.9,670.1,707.7,633.3,8853277,5932548102.05,164714,FIRSTCRY
2024-08-19,EQ,674.0,704.0,658.65,669.9,669.05,671.65,678.97,707.7,633.3,3466502,2353654810.75,94959,FIRSTCRY
2024-08-20,EQ,675.95,684.95,628.3,671.65,637.0,632.1,646.06,707.7,628.3,3365425,2174275372.5,123729,FIRSTCRY
2024-08-21,EQ,633.15,644.65,621.9,632.1,625.55,627.3,631.47,707.7,621.9,1507649,952040471.65,84349,FIRSTCRY
2024-08-22,EQ,629.45,662.4,628.95,627.3,645.55,642.0,645.29,707.7,621.9,1875742,1210406648.8,102472,FIRSTCRY
2024-08-23,EQ,645.0,657.0,635.0,642.0,640.0,638.65,645.26,707.7,621.9,1199216,773805453.45,62618,FIRSTCRY
2024-08-26,EQ,639.95,643.6,621.0,638.65,626.5,625.95,629.92,707.7,621.0,831690,523900362.05,53187,FIRSTCRY
2024-08-27,EQ,626.5,641.0,622.8,625.95,630.0,628.35,628.47,707.7,621.0,1029636,647098072.5,63665,FIRSTCRY
2024-08-28,EQ,631.95,640.95,621.45,628.35,623.35,623.4,626.39,707.7,621.0,954516,597902124.45,63563,FIRSTCRY
2024-08-29,EQ,625.0,636.0,623.05,623.4,627.5,628.3,628.11,707.7,621.0,1268583,796807730.7,22799,FIRSTCRY
2024-08-30,EQ,632.45,650.5,627.3,628.3,640.0,640.55,640.62,707.7,621.0,1613201,1033454723.15,56759,FIRSTCRY
2024-09-02,EQ,639.05,650.0,624.1,640.55,632.0,632.2,631.51,707.7,621.0,1355319,855896466.3,23708,FIRSTCRY
2024-09-03,EQ,635.0,637.2,621.6,632.2,625.0,625.15,624.99,707.7,621.0,894678,559167004.55,52840,FIRSTCRY
2024-09-04,EQ,621.0,626.75,605.0,625.15,612.75,612.85,612.06,707.7,605.0,637472,390168865.85,46816,FIRSTCRY
2024-09-05,EQ,615.0,619.55,610.0,612.85,611.4,614.05,613.71,707.7,605.0,382162,234535809.95,22477,FIRSTCRY
2024-09-06,EQ,616.4,635.0,611.0,614.05,623.5,622.8,624.12,707.7,605.0,891796,556587485.5,36152,FIRSTCRY
2024-09-09,EQ,623.0,625.0,587.6,622.8,604.5,601.7,601.27,707.7,587.6,1780571,1070603564.0,109480,FIRSTCRY
2024-09-10,EQ,604.25,617.35,599.0,601.7,604.0,606.85,606.96,707.7,587.6,694207,421355877.35,39760,FIRSTCRY
2024-09-11,EQ,606.5,644.9,604.05,606.85,640.0,639.35,634.19,707.7,587.6,1418481,899590156.35,50146,FIRSTCRY
2024-09-12,EQ,640.1,657.9,633.25,639.35,650.0,652.35,647.11,707.7,587.6,1328028,859377077.8,31592,FIRSTCRY
2024-09-13,EQ,649.35,663.3,646.05,652.35,655.0,655.75,655.71,707.7,587.6,571772,374915580.25,16423,FIRSTCRY
2024-09-16,EQ,660.0,661.45,638.0,655.75,642.0,641.1,644.1,707.7,587.6,557166,358873267.05,16805,FIRSTCRY
2024-09-17,EQ,640.05,645.0,635.0,641.1,642.0,639.75,639.04,707.7,587.6,307613,196578516.55,17965,FIRSTCRY
2024-09-18,EQ,641.0,645.55,635.85,639.75,640.0,641.35,641.69,707.7,587.6,591487,379553419.95,37361,FIRSTCRY
2024-09-19,EQ,676.95,688.45,632.75,641.35,649.95,645.75,659.46,707.7,587.6,2634494,1737335331.95,71303,FIRSTCRY
2024-09-20,EQ,653.9,673.65,644.45,645.75,650.0,652.45,650.66,707.7,587.6,1091515,710201969.55,23956,FIRSTCRY
2024-09-23,EQ,656.05,658.2,641.2,652.45,651.0,653.05,651.38,707.7,587.6,687652,447924269.5,18519,FIRSTCRY
2024-09-24,EQ,649.9,672.95,641.5,653.05,665.0,665.5,659.23,707.7,587.6,647755,427017321.1,20017,FIRSTCRY
2024-09-25,EQ,664.9,664.9,652.0,665.5,661.0,657.9,656.9,707.7,587.6,391143,256940592.3,14421,FIRSTCRY
2024-09-26,EQ,658.1,662.65,648.7,657.9,656.0,657.95,657.09,707.7,587.6,502127,329940832.6,13920,FIRSTCRY
2024-09-27,EQ,651.25,656.95,621.1,657.95,631.0,625.75,635.85,707.7,587.6,288771,183614256.05,11508,FIRSTCRY
2024-09-30,EQ,625.75,648.0,611.4,625.75,642.0,644.0,632.24,707.7,587.6,644641,407565929.25,22103,FIRSTCRY
2024-10-01,EQ,635.0,662.0,634.0,644.0,646.0,646.2,648.67,707.7,587.6,1462403,948624106.4,35889,FIRSTCRY
2024-10-03,EQ,639.15,668.0,626.6,646.2,652.0,654.9,654.45,707.7,587.6,630223,412447653.85,23063,FIRSTCRY
2024-10-04,EQ,647.3,661.45,646.4,654.9,649.0,653.0,653.03,707.7,587.6,633310,413571642.4,15220,FIRSTCRY
2024-10-07,EQ,645.1,659.65,622.75,653.0,626.95,625.5,633.62,707.7,587.6,718955,455547069.5,31199,FIRSTCRY
