DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2000-12-29,EQ,9.2,9.2,8.9,9.0,9.0,9.0,9.05,13.0,6.5,2225,20135.0,0,GHCL
2000-12-27,EQ,9.0,9.0,9.0,8.6,9.0,9.0,9.0,13.0,6.5,100,900.0,0,GHCL
2000-12-26,EQ,9.0,9.0,8.5,9.05,8.5,8.6,8.8,13.25,6.5,5594,49236.0,0,GHCL
2000-12-22,EQ,9.1,9.15,9.05,9.25,9.05,9.05,9.12,13.25,6.5,1850,16877.5,0,GHCL
2000-12-21,EQ,9.25,9.25,9.25,9.25,9.25,9.25,9.25,13.25,6.5,2766,25585.5,0,GHCL
2000-12-20,EQ,8.6,9.25,8.6,9.35,9.25,9.25,9.06,13.25,6.5,3100,28080.0,0,GHCL
2000-12-19,EQ,9.35,9.5,9.3,9.55,9.4,9.35,9.32,13.25,6.5,35829,333985.5,0,GHCL
2000-12-18,EQ,9.9,9.9,9.35,9.8,9.55,9.55,9.47,13.75,6.5,4600,43560.0,0,GHCL
2000-12-15,EQ,9.75,10.0,9.75,9.8,9.8,9.8,9.83,13.75,6.5,35300,347000.0,0,GHCL
2000-12-14,EQ,9.85,10.0,9.6,9.55,9.8,9.8,9.77,13.75,6.5,11800,115320.0,0,GHCL
2000-12-13,EQ,10.75,10.75,9.25,9.85,9.55,9.55,9.66,13.75,6.5,5800,56027.5,0,GHCL
2000-12-12,EQ,9.85,10.1,9.75,9.75,9.95,9.85,9.96,13.75,6.5,10950,109070.25,0,GHCL
2000-12-11,EQ,9.5,10.0,9.5,9.5,9.75,9.75,9.69,13.75,6.5,2690,26069.0,0,GHCL
2000-12-08,EQ,8.6,9.5,8.6,9.5,9.5,9.5,9.39,13.75,6.5,3691,34655.6,0,GHCL
2000-12-07,EQ,9.5,9.6,9.5,9.7,9.5,9.5,9.52,13.75,6.5,2500,23800.0,0,GHCL
2000-12-06,EQ,9.6,9.8,9.5,9.8,9.7,9.7,9.62,13.75,6.5,2400,23095.0,0,GHCL
2000-12-05,EQ,9.0,9.9,9.0,8.8,9.8,9.8,9.5,13.75,6.5,8168,77590.65,0,GHCL
2000-12-04,EQ,8.65,9.25,8.6,9.0,8.8,8.8,8.86,13.75,6.5,3500,31007.5,0,GHCL
2000-12-01,EQ,9.0,9.0,9.0,9.0,9.0,9.0,9.0,13.75,6.5,500,4500.0,0,GHCL
2000-11-30,EQ,8.75,9.0,8.7,8.95,9.0,9.0,8.85,13.75,6.5,1100,9730.0,0,GHCL
2000-11-29,EQ,9.0,9.1,8.75,8.75,8.95,8.95,8.99,13.75,6.5,2450,22030.0,0,GHCL
2000-11-28,EQ,9.05,9.05,8.5,8.9,8.75,8.75,8.75,13.75,6.5,12219,106881.35,0,GHCL
2000-11-27,EQ,9.0,9.1,8.9,8.8,8.9,8.9,8.96,13.75,6.5,3000,26885.0,0,GHCL
2000-11-24,EQ,9.0,9.0,8.8,8.7,8.8,8.8,8.93,13.75,6.5,900,8035.0,0,GHCL
2000-11-23,EQ,8.6,8.7,8.5,8.8,8.7,8.7,8.61,13.75,6.5,901,7753.7,0,GHCL
2000-11-22,EQ,6.5,8.8,6.5,8.8,8.8,8.8,8.67,13.75,7.5,1901,16476.5,0,GHCL
2000-11-21,EQ,8.9,8.9,8.55,8.8,8.6,8.8,8.77,13.75,7.5,16013,140401.8,0,GHCL
2000-11-20,EQ,8.35,9.0,8.35,9.1,8.8,8.8,8.92,13.75,7.5,4506,40185.55,0,GHCL
2000-11-17,EQ,8.8,9.1,8.8,8.8,9.1,9.1,8.97,13.75,7.5,300,2690.0,0,GHCL
2000-11-16,EQ,8.75,8.8,8.7,8.85,8.8,8.8,8.73,13.75,7.5,2100,18340.0,0,GHCL
2000-11-15,EQ,8.85,8.85,8.8,8.75,8.85,8.85,8.83,13.75,7.5,800,7060.0,0,GHCL
2000-11-14,EQ,8.7,9.1,8.7,9.2,8.75,8.75,8.8,13.75,7.5,1613,14197.45,0,GHCL
2000-11-13,EQ,9.2,9.2,9.2,9.25,9.2,9.2,9.2,13.75,7.5,87,800.4,0,GHCL
2000-11-10,EQ,9.2,9.25,9.2,8.95,9.25,9.25,9.23,13.75,7.5,600,5540.0,0,GHCL
2000-11-09,EQ,9.0,9.25,8.75,9.0,8.75,8.95,9.01,13.75,7.5,8100,72975.0,0,GHCL
2000-11-08,EQ,9.05,9.05,9.0,8.9,9.0,9.0,9.01,13.75,7.5,400,3605.0,0,GHCL
2000-11-07,EQ,9.0,9.3,8.7,8.75,9.2,8.9,9.12,13.75,7.5,7801,71141.2,0,GHCL
2000-11-06,EQ,8.5,8.9,8.0,8.6,8.75,8.75,8.45,13.8,7.5,6200,52372.5,0,GHCL
2000-11-03,EQ,8.2,8.7,8.2,8.4,8.7,8.6,8.5,13.8,7.5,2000,16990.0,0,GHCL
