date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2007-06-05,EQ,54.8,64.9,52.65,49.9,52.65,53.65,58.3,64.9,52.65,313627,18283041.8,0,GOACARBON
2007-06-06,EQ,54.8,58.0,52.9,53.65,53.5,53.3,55.55,64.9,52.65,126340,7017666.15,0,GOACARBON
2007-06-07,EQ,54.0,55.0,52.0,53.3,52.0,52.7,53.42,64.9,52.0,28992,1548612.7,0,GOACARBON
2007-06-08,EQ,52.5,52.7,50.0,52.7,51.45,50.95,51.47,64.9,50.0,16037,825354.7,0,GOACARBON
2007-06-11,EQ,52.0,54.0,52.0,50.95,53.8,53.05,52.95,64.9,50.0,19219,1017736.7,0,GOACARBON
2007-06-12,EQ,53.8,54.0,51.75,53.05,54.0,52.95,52.5,64.9,50.0,9786,513736.4,0,GOACARBON
2007-06-13,EQ,54.0,58.1,53.1,52.95,57.0,56.3,55.72,64.9,50.0,44372,2472297.3,0,GOACARBON
2007-06-14,EQ,57.9,57.9,54.0,56.3,54.45,54.2,55.32,64.9,50.0,21746,1203039.95,0,GOACARBON
2007-06-15,EQ,54.05,54.05,50.0,54.2,50.5,50.8,51.2,64.9,50.0,24740,1266665.3,0,GOACARBON
2007-06-18,EQ,51.0,52.65,50.5,50.8,51.0,50.95,51.48,64.9,50.0,6349,326851.4,0,GOACARBON
2007-06-19,EQ,50.95,51.8,50.6,50.95,50.95,50.9,51.1,64.9,50.0,3144,160645.1,0,GOACARBON
2007-06-20,EQ,51.85,51.85,50.5,50.9,51.0,50.7,50.73,64.9,50.0,3269,165851.15,0,GOACARBON
2007-06-21,EQ,50.05,51.45,50.05,50.7,51.45,50.8,50.67,64.9,50.0,3197,161981.75,0,GOACARBON
2007-06-22,EQ,51.5,51.5,50.05,50.8,50.8,50.65,50.72,64.9,50.0,4029,204354.25,0,GOACARBON
2007-06-25,EQ,50.05,53.4,50.05,50.65,51.7,51.4,51.76,64.9,50.0,9431,488194.85,0,GOACARBON
2007-06-26,EQ,51.5,51.5,49.6,51.4,50.85,50.8,50.25,64.9,49.6,1435,72113.95,0,GOACARBON
2007-06-27,EQ,50.8,51.0,49.15,50.8,49.15,49.15,50.35,64.9,49.15,2596,130720.15,0,GOACARBON
2007-06-28,EQ,51.45,51.45,49.45,49.15,50.5,49.95,49.93,64.9,49.15,2027,101198.35,0,GOACARBON
2007-06-29,EQ,49.85,51.2,49.85,49.95,50.0,50.25,50.4,64.9,49.15,2619,131991.2,0,GOACARBON
2007-07-02,EQ,50.1,52.0,50.1,50.25,50.1,50.2,50.79,64.9,49.15,2611,132612.45,0,GOACARBON
2007-07-03,EQ,50.0,51.65,50.0,50.2,51.65,51.15,50.84,64.9,49.15,2354,119673.35,0,GOACARBON
2007-07-04,EQ,50.3,51.35,49.55,51.15,50.0,50.0,50.42,64.9,49.15,1513,76281.45,0,GOACARBON
2007-07-05,EQ,50.0,51.35,49.55,50.0,50.25,50.95,50.12,64.9,49.15,2156,108055.6,0,GOACARBON
2007-07-06,EQ,50.5,51.0,50.0,50.95,50.0,50.6,50.6,64.9,49.15,3505,177368.5,0,GOACARBON
2007-07-09,EQ,50.5,50.5,49.55,50.6,49.55,49.95,50.02,64.9,49.15,1856,92841.55,0,GOACARBON
2007-07-10,EQ,50.05,50.6,49.7,49.95,50.45,50.45,50.13,64.9,49.15,684,34289.65,0,GOACARBON
2007-07-11,EQ,48.55,52.0,48.55,50.45,50.15,50.15,50.17,64.9,48.55,808,40539.8,0,GOACARBON
2007-07-12,EQ,54.1,54.1,50.1,50.15,51.0,50.9,51.12,64.9,48.55,3533,180605.95,0,GOACARBON
2007-07-13,EQ,51.45,53.2,51.0,50.9,51.75,51.4,52.37,64.9,48.55,15634,818731.05,0,GOACARBON
2007-07-16,EQ,51.0,52.4,50.5,51.4,52.35,52.05,51.54,64.9,48.55,3999,206122.3,0,GOACARBON
2007-07-17,EQ,51.0,51.75,50.5,52.05,50.5,50.65,50.79,64.9,48.55,2698,137028.25,0,GOACARBON
2007-07-18,EQ,50.65,51.1,49.5,50.65,51.1,51.1,50.28,64.9,48.55,1014,50979.3,0,GOACARBON
2007-07-19,EQ,49.3,52.0,49.25,51.1,50.8,50.8,50.98,64.9,48.55,1766,90037.5,0,GOACARBON
2007-07-20,EQ,51.0,51.35,49.5,50.8,49.65,50.8,50.34,64.9,48.55,3622,182347.7,0,GOACARBON
2007-07-23,EQ,48.2,50.7,48.2,50.8,49.05,49.1,49.99,64.9,48.2,2901,145008.9,0,GOACARBON
2007-07-24,EQ,49.3,51.4,49.3,49.1,49.6,49.6,49.67,64.9,48.2,1045,51904.0,0,GOACARBON
2007-07-25,EQ,49.4,49.6,48.05,49.6,48.05,48.45,48.91,64.9,48.05,2969,145209.05,0,GOACARBON
2007-07-26,EQ,47.2,51.4,47.15,48.45,50.0,49.55,48.85,64.9,47.15,1406,68688.65,0,GOACARBON
2007-07-27,EQ,46.05,49.4,46.05,49.55,48.8,48.2,48.12,64.9,46.05,4933,237382.2,0,GOACARBON
2007-07-30,EQ,46.4,48.75,46.4,48.2,47.7,48.05,47.83,64.9,46.05,1487,71120.85,0,GOACARBON
2007-07-31,EQ,48.05,48.05,47.15,48.05,47.2,47.2,48.02,64.9,46.05,305,14646.8,0,GOACARBON
2007-08-01,EQ,47.0,48.4,46.05,47.2,47.5,47.45,47.32,64.9,46.05,5241,248007.9,0,GOACARBON
2007-08-02,EQ,45.9,47.75,45.9,47.45,46.85,46.85,46.7,64.9,45.9,750,35022.5,0,GOACARBON
2007-08-03,EQ,46.65,47.7,46.4,46.85,46.6,46.6,47.56,64.9,45.9,3917,186294.75,0,GOACARBON
2007-08-06,EQ,46.5,47.85,46.0,46.6,46.1,46.15,46.11,64.9,45.9,1834,84558.1,0,GOACARBON
2007-08-07,EQ,46.45,47.4,46.0,46.15,46.7,46.6,46.74,64.9,45.9,5422,253437.6,0,GOACARBON
2007-08-08,EQ,46.05,47.95,46.05,46.6,46.25,46.55,46.58,64.9,45.9,2922,136097.25,0,GOACARBON
2007-08-09,EQ,46.2,47.8,46.2,46.55,47.0,46.6,46.71,64.9,45.9,282,13172.6,0,GOACARBON
2007-08-10,EQ,49.95,49.95,44.1,46.6,45.6,45.6,45.15,64.9,44.1,336,15171.35,0,GOACARBON
2007-08-13,EQ,53.7,54.7,47.15,45.6,47.75,47.75,48.84,64.9,44.1,571,27887.75,0,GOACARBON
2007-08-14,EQ,54.0,54.0,45.0,47.75,48.0,48.0,48.39,64.9,44.1,552,26709.3,0,GOACARBON
2007-08-16,EQ,46.05,48.5,46.05,48.0,47.75,47.7,47.59,64.9,44.1,5758,274004.85,0,GOACARBON
2007-08-17,EQ,49.0,49.0,45.25,47.7,46.2,46.2,46.08,64.9,44.1,1703,78476.1,0,GOACARBON
2007-08-20,EQ,47.9,47.9,46.15,46.2,46.8,46.45,46.84,64.9,44.1,1503,70407.6,0,GOACARBON
2007-08-21,EQ,53.9,53.9,45.35,46.45,45.35,45.35,46.46,64.9,44.1,518,24064.35,0,GOACARBON
2007-08-22,EQ,46.0,46.5,45.5,45.35,46.0,45.55,46.02,64.9,44.1,689,31706.0,0,GOACARBON
2007-08-23,EQ,46.1,46.1,45.3,45.55,45.3,45.3,46.06,64.9,44.1,353,16260.25,0,GOACARBON
