date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2023-05-05,EQ,60.95,61.55,60.6,59.9,61.25,61.25,61.06,61.55,60.6,691,42192.6,36,DSPGOLDETF
2023-05-08,EQ,62.8,63.0,59.0,61.25,61.0,61.0,60.8,63.0,59.0,1545,93937.7,63,DSPGOLDETF
2023-05-09,EQ,61.15,61.3,60.85,61.0,61.3,61.3,61.23,63.0,59.0,906,55476.55,16,DSPGOLDETF
2023-05-10,EQ,62.85,62.85,61.0,61.3,61.0,61.05,61.1,63.0,59.0,1387,84752.45,23,DSPGOLDETF
2023-05-11,EQ,61.0,61.35,61.0,61.05,61.35,61.35,61.12,63.0,59.0,242,14792.15,11,DSPGOLDETF
2023-05-12,EQ,61.0,71.7,60.55,61.35,71.7,70.25,61.65,71.7,59.0,40785,2514243.8,163,DSPGOLDETF
2023-05-15,EQ,63.7,63.7,60.8,70.25,61.15,61.1,61.11,71.7,59.0,8027,490493.55,110,DSPGOLDETF
2023-05-16,EQ,61.05,61.35,60.9,61.1,61.1,61.1,61.06,71.7,59.0,12644,772035.8,38,DSPGOLDETF
2023-05-17,EQ,61.0,61.0,60.2,61.1,60.6,60.55,60.4,71.7,59.0,2500,151010.65,57,DSPGOLDETF
2023-05-18,EQ,60.45,60.5,60.45,60.55,60.5,60.5,60.49,71.7,59.0,102,6170.25,13,DSPGOLDETF
2023-05-19,EQ,62.05,62.05,59.75,60.5,59.75,59.8,59.94,71.7,59.0,9278,556082.5,64,DSPGOLDETF
2023-05-22,EQ,60.0,60.85,60.0,59.8,60.7,60.7,60.63,71.7,59.0,287,17400.5,34,DSPGOLDETF
2023-05-23,EQ,60.6,60.6,60.0,60.7,60.35,60.35,60.35,71.7,59.0,1786,107791.5,42,DSPGOLDETF
2023-05-24,EQ,60.55,60.6,60.3,60.35,60.6,60.6,60.35,71.7,59.0,598,36092.0,13,DSPGOLDETF
2023-05-25,EQ,60.4,60.4,59.6,60.6,60.3,59.9,59.98,71.7,59.0,491,29450.75,41,DSPGOLDETF
2023-05-26,EQ,60.15,60.8,59.9,59.9,60.15,60.15,60.23,71.7,59.0,802,48303.3,25,DSPGOLDETF
2023-05-29,EQ,60.05,60.05,59.4,60.15,59.5,59.7,59.75,71.7,59.0,986,58912.6,49,DSPGOLDETF
2023-05-30,EQ,59.65,60.4,59.5,59.7,59.75,59.75,59.72,71.7,59.0,3314,197917.95,46,DSPGOLDETF
2023-05-31,EQ,59.95,60.4,59.9,59.75,60.05,60.0,60.02,71.7,59.0,100532,6033646.0,56,DSPGOLDETF
2023-06-01,EQ,60.05,60.05,59.55,60.0,59.8,59.6,59.8,71.7,59.0,7583,453462.8,32,DSPGOLDETF
2023-06-02,EQ,60.0,60.25,59.95,59.6,60.25,60.25,60.24,71.7,59.0,1008,60723.3,10,DSPGOLDETF
2023-06-05,EQ,60.25,60.25,59.0,60.25,59.0,59.0,59.62,71.7,59.0,1703,101538.0,55,DSPGOLDETF
2023-06-06,EQ,59.2,59.9,59.2,59.0,59.6,59.55,59.67,71.7,59.0,430,25659.35,28,DSPGOLDETF
2023-06-07,EQ,59.6,59.95,59.6,59.55,59.75,59.8,59.94,71.7,59.0,169,10129.75,15,DSPGOLDETF
2023-06-08,EQ,59.85,59.9,59.35,59.8,59.55,59.5,59.57,71.7,59.0,2029,120868.8,58,DSPGOLDETF
2023-06-09,EQ,59.65,59.7,59.5,59.5,59.7,59.7,59.62,71.7,59.0,425,25339.25,8,DSPGOLDETF
2023-06-12,EQ,59.8,60.4,59.6,59.7,59.65,59.65,59.77,71.7,59.0,586,35027.85,53,DSPGOLDETF
2023-06-13,EQ,60.0,60.0,59.1,59.65,59.8,59.75,59.54,71.7,59.0,1784,106218.35,62,DSPGOLDETF
2023-06-14,EQ,59.4,59.4,59.05,59.75,59.2,59.15,59.2,71.7,59.0,1229,72759.85,30,DSPGOLDETF
2023-06-15,EQ,59.35,59.55,58.55,59.15,58.8,58.8,58.97,71.7,58.55,1574,92819.55,45,DSPGOLDETF
2023-06-16,EQ,59.0,59.2,58.8,58.8,59.1,59.1,59.06,71.7,58.55,777,45891.1,25,DSPGOLDETF
2023-06-19,EQ,60.6,60.6,58.2,59.1,58.95,58.95,58.72,71.7,58.2,16735,982737.9,112,DSPGOLDETF
2023-06-20,EQ,59.2,59.8,59.0,58.95,59.25,59.2,59.38,71.7,58.2,610,36219.6,43,DSPGOLDETF
2023-06-21,EQ,59.05,59.25,58.0,59.2,58.0,58.15,58.43,71.7,58.0,1994,116500.35,111,DSPGOLDETF
2023-06-22,EQ,58.4,58.6,58.25,58.15,58.25,58.3,58.59,71.7,58.0,3322,194636.15,54,DSPGOLDETF
2023-06-23,EQ,58.35,58.35,58.2,58.3,58.25,58.25,58.25,71.7,58.0,43,2504.75,13,DSPGOLDETF
2023-06-26,EQ,58.25,58.25,58.2,58.25,58.2,58.2,58.23,71.7,58.0,15,873.5,7,DSPGOLDETF
2023-06-27,EQ,58.25,58.5,58.15,58.2,58.15,58.15,58.33,71.7,58.0,310,18083.35,28,DSPGOLDETF
2023-06-28,EQ,58.15,58.2,57.8,58.15,58.2,58.1,58.11,71.7,57.8,3212,186663.0,46,DSPGOLDETF
2023-06-30,EQ,58.05,58.05,57.7,58.1,58.0,57.95,57.97,71.7,57.7,410,23766.3,47,DSPGOLDETF
2023-07-03,EQ,58.2,58.4,57.75,57.95,58.0,58.0,58.04,71.7,57.7,2930,170058.65,77,DSPGOLDETF
2023-07-04,EQ,65.0,65.0,57.4,58.0,58.35,58.35,58.25,71.7,57.4,973,56681.55,79,DSPGOLDETF
2023-07-05,EQ,58.35,58.4,58.0,58.35,58.35,58.35,58.33,71.7,57.4,458,26717.4,43,DSPGOLDETF
2023-07-06,EQ,58.3,58.4,58.3,58.35,58.4,58.4,58.4,71.7,57.4,1084,63303.0,10,DSPGOLDETF
2023-07-07,EQ,58.3,58.4,57.9,58.4,58.25,58.25,58.28,71.7,57.4,1758,102459.6,21,DSPGOLDETF
2023-07-10,EQ,58.25,58.75,58.25,58.25,58.5,58.5,58.61,71.7,57.4,562,32941.45,42,DSPGOLDETF
2023-07-11,EQ,60.0,60.0,58.25,58.5,58.7,58.7,58.53,71.7,57.4,2790,163300.75,43,DSPGOLDETF
2023-07-12,EQ,58.75,58.9,58.7,58.7,58.9,58.9,58.78,71.7,57.4,100,5878.05,14,DSPGOLDETF
2023-07-13,EQ,59.0,59.4,58.9,58.9,59.2,59.15,59.06,71.7,57.4,657,38799.5,36,DSPGOLDETF
2023-07-14,EQ,59.15,59.25,59.0,59.15,59.25,59.25,59.07,71.7,57.4,1005,59366.6,15,DSPGOLDETF
2023-07-17,EQ,59.1,59.15,58.9,59.25,59.0,59.05,58.98,71.7,57.4,171,10086.35,19,DSPGOLDETF
2023-07-18,EQ,59.05,59.25,59.0,59.05,59.2,59.2,59.12,71.7,57.4,821,48541.05,26,DSPGOLDETF
2023-07-19,EQ,60.7,60.7,59.35,59.2,59.7,59.7,59.51,71.7,57.4,5294,315045.5,57,DSPGOLDETF
2023-07-20,EQ,59.7,59.7,59.7,59.7,59.7,59.7,59.7,71.7,57.4,78,4656.6,10,DSPGOLDETF
