date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2018-08-06,EQ,1726.25,1844.0,1726.25,1100.0,1815.25,1815.95,1800.58,1844.0,1726.25,19305566,34761188194.7,695365,HDFCAMC
2018-08-07,EQ,1819.8,1834.0,1755.0,1815.95,1767.2,1769.95,1785.76,1844.0,1726.25,3508379,6265135607.0,138117,HDFCAMC
2018-08-08,EQ,1762.0,1798.9,1742.35,1769.95,1776.0,1779.65,1778.94,1844.0,1726.25,1678483,2985927427.55,68387,HDFCAMC
2018-08-09,EQ,1779.6,1787.0,1740.0,1779.65,1743.25,1749.05,1762.22,1844.0,1726.25,674845,1189228187.05,33283,HDFCAMC
2018-08-10,EQ,1740.0,1768.0,1740.0,1749.05,1746.0,1748.9,1753.94,1844.0,1726.25,587382,1030234094.05,24433,HDFCAMC
2018-08-13,EQ,1739.0,1741.2,1704.5,1748.9,1707.0,1705.55,1715.86,1844.0,1704.5,726503,1246580535.85,36301,HDFCAMC
2018-08-14,EQ,1707.5,1746.95,1707.5,1705.55,1727.0,1727.95,1732.42,1844.0,1704.5,570586,988495603.15,30104,HDFCAMC
2018-08-16,EQ,1726.9,1741.0,1707.0,1727.95,1708.95,1710.3,1722.96,1844.0,1704.5,377188,649880481.65,18130,HDFCAMC
2018-08-17,EQ,1719.7,1731.8,1714.05,1710.3,1718.0,1715.65,1718.63,1844.0,1704.5,320048,550044699.25,12799,HDFCAMC
2018-08-20,EQ,1724.75,1755.8,1722.2,1715.65,1747.0,1747.15,1742.48,1844.0,1704.5,793064,1381901990.2,31426,HDFCAMC
2018-08-21,EQ,1757.5,1773.3,1747.0,1747.15,1768.0,1763.6,1761.47,1844.0,1704.5,606276,1067934566.55,27332,HDFCAMC
2018-08-23,EQ,1780.0,1848.8,1771.2,1763.6,1828.5,1834.7,1818.87,1848.8,1704.5,2303105,4189045542.55,102345,HDFCAMC
2018-08-24,EQ,1834.5,1924.4,1822.45,1834.7,1896.9,1895.05,1896.67,1924.4,1704.5,2700488,5121938441.45,95389,HDFCAMC
