date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2023-02-21,EQ,23.8,25.75,23.15,23.0,23.3,23.62,24.29,25.75,23.15,12450,302365.8,199,HDFCBSE500
2023-02-22,EQ,26.0,26.0,23.0,23.62,23.42,23.49,23.42,26.0,23.0,7633,178770.29,124,HDFCBSE500
2023-02-23,EQ,23.3,24.25,23.3,23.49,24.25,23.91,23.69,26.0,23.0,958,22697.45,25,HDFCBSE500
2023-02-24,EQ,24.25,24.74,23.3,23.91,23.53,23.8,23.92,26.0,23.0,4285,102491.73,123,HDFCBSE500
2023-02-27,EQ,24.39,24.39,22.75,23.8,22.75,22.79,22.98,26.0,22.75,6435,147891.81,89,HDFCBSE500
2023-02-28,EQ,22.75,23.2,22.75,22.79,23.1,23.1,23.0,26.0,22.75,6803,156466.59,70,HDFCBSE500
2023-03-01,EQ,23.1,23.2,23.05,23.1,23.2,23.2,23.11,26.0,22.75,827,19112.1,33,HDFCBSE500
2023-03-02,EQ,23.1,23.3,23.05,23.2,23.05,23.05,23.16,26.0,22.75,1703,39434.3,29,HDFCBSE500
2023-03-03,EQ,23.1,23.3,23.1,23.05,23.15,23.19,23.14,26.0,22.75,2282,52798.1,26,HDFCBSE500
2023-03-06,EQ,23.19,23.76,23.1,23.19,23.1,23.24,23.54,26.0,22.75,7031,165492.39,54,HDFCBSE500
2023-03-08,EQ,23.24,23.5,23.24,23.24,23.5,23.5,23.45,26.0,22.75,2609,61186.36,35,HDFCBSE500
2023-03-09,EQ,23.5,23.5,23.15,23.5,23.4,23.16,23.26,26.0,22.75,14469,336575.74,100,HDFCBSE500
2023-03-10,EQ,23.11,23.39,23.11,23.16,23.23,23.23,23.28,26.0,22.75,1626,37847.93,31,HDFCBSE500
2023-03-13,EQ,23.81,23.9,23.23,23.23,23.5,23.5,23.54,26.0,22.75,1125,26477.28,56,HDFCBSE500
2023-03-14,EQ,23.6,24.0,22.75,23.5,23.0,22.97,23.43,26.0,22.75,2924,68495.31,103,HDFCBSE500
