date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2000-01-03,EQ,40.5,42.8,40.5,40.25,40.9,40.95,41.67,46.8,11.65,9800,408385.0,0,CGIGARSH
2000-01-04,EQ,42.0,42.0,37.7,40.95,37.75,38.1,38.41,46.8,13.25,11300,434075.0,0,CGIGARSH
2000-01-05,EQ,38.5,39.4,38.0,38.1,38.8,38.65,38.39,46.8,13.25,12600,483750.0,0,CGIGARSH
2000-01-06,EQ,39.0,41.75,38.0,38.65,40.0,39.55,39.3,46.8,13.25,10400,408670.0,0,CGIGARSH
2000-01-07,EQ,38.15,41.6,38.15,39.55,40.0,39.5,39.71,46.8,13.25,7600,301785.0,0,CGIGARSH
2000-01-10,EQ,40.95,40.95,38.8,39.5,39.5,39.55,39.45,46.8,13.25,10000,394485.0,0,CGIGARSH
2000-01-11,EQ,37.6,39.5,37.6,39.55,39.0,39.05,38.78,46.8,15.25,19000,736855.0,0,CGIGARSH
2000-01-12,EQ,39.0,40.25,39.0,39.05,39.75,39.8,39.9,46.8,15.25,8200,327145.0,0,CGIGARSH
2000-01-13,EQ,38.8,40.35,38.8,39.8,39.75,39.75,39.74,46.8,15.25,8900,353720.0,0,CGIGARSH
2000-01-14,EQ,39.0,40.5,39.0,39.75,39.5,39.5,39.5,46.8,15.25,6500,256730.0,0,CGIGARSH
2000-01-17,EQ,40.0,42.7,40.0,39.5,42.7,42.7,41.14,46.8,15.25,10900,448445.0,0,CGIGARSH
2000-01-18,EQ,46.0,46.0,39.7,42.7,42.9,42.2,41.47,46.8,15.25,19400,804565.0,0,CGIGARSH
2000-01-19,EQ,43.9,45.6,43.0,42.2,45.5,45.35,44.97,46.8,15.25,38900,1749265.0,0,CGIGARSH
2000-01-20,EQ,47.85,49.0,45.05,45.35,46.5,46.1,47.42,46.8,15.25,34200,1621640.0,0,CGIGARSH
2000-01-21,EQ,47.5,48.0,45.55,46.1,47.25,46.9,46.68,49.0,15.25,16900,788915.0,0,CGIGARSH
2000-01-24,EQ,47.0,48.0,44.1,46.9,48.0,47.3,46.44,49.0,15.25,28600,1328315.0,0,CGIGARSH
2000-01-25,EQ,45.1,47.5,45.1,47.3,47.5,46.4,46.07,49.0,15.25,28200,1299300.0,0,CGIGARSH
2000-01-27,EQ,47.5,47.95,45.8,46.4,47.0,46.85,46.95,49.0,15.25,10800,507035.0,0,CGIGARSH
2000-01-28,EQ,44.5,47.9,44.3,46.85,47.0,47.0,46.66,49.0,15.25,10700,499285.0,0,CGIGARSH
2000-01-31,EQ,46.9,49.0,45.0,47.0,46.8,46.8,46.53,49.0,15.25,15300,711920.0,0,CGIGARSH
2000-02-01,EQ,45.8,48.75,45.4,46.8,47.65,47.95,47.01,49.0,17.05,18100,850900.0,0,CGIGARSH
2000-02-02,EQ,46.1,51.1,46.1,47.95,48.75,50.0,48.67,49.0,17.05,24300,1182560.0,0,CGIGARSH
2000-02-03,EQ,50.1,53.75,49.0,50.0,50.5,50.5,50.75,51.1,17.05,16000,811985.0,0,CGIGARSH
2000-02-04,EQ,53.0,54.55,49.25,50.5,54.5,54.5,52.41,53.75,17.05,18800,985345.0,0,CGIGARSH
2000-02-07,EQ,58.5,58.5,51.5,54.5,51.5,51.7,53.79,54.55,17.05,10300,554015.0,0,CGIGARSH
2000-02-08,EQ,51.8,53.05,49.2,51.7,49.7,50.35,51.22,58.5,17.05,18300,937240.0,0,CGIGARSH
2000-02-09,EQ,51.0,52.0,50.0,50.35,51.0,51.0,50.57,58.5,17.05,14700,743310.0,0,CGIGARSH
2000-02-10,EQ,50.0,50.0,47.0,51.0,48.05,48.15,48.12,58.5,17.05,7100,341645.0,0,CGIGARSH
2000-02-11,EQ,48.0,50.0,48.0,48.15,48.0,48.1,48.34,58.5,17.05,7100,343230.0,0,CGIGARSH
2000-02-14,EQ,48.1,48.1,46.0,48.1,46.35,46.05,46.5,58.5,17.05,7200,334785.0,0,CGIGARSH
2000-02-15,EQ,44.0,44.95,42.5,46.05,43.5,42.95,43.32,58.5,17.05,11300,489520.0,0,CGIGARSH
2000-02-16,EQ,43.0,45.4,42.6,42.95,45.4,44.4,43.24,58.5,17.05,7200,311295.0,0,CGIGARSH
2000-02-17,EQ,45.0,46.95,45.0,44.4,46.8,45.65,46.25,58.5,17.05,17400,804730.0,0,CGIGARSH
2000-02-18,EQ,44.0,46.0,43.6,45.65,43.7,43.7,44.66,58.5,17.05,3400,151830.0,0,CGIGARSH
2000-02-21,EQ,42.6,43.05,40.6,43.7,43.0,43.0,42.37,58.5,17.05,4100,173730.0,0,CGIGARSH
2000-02-22,EQ,44.0,44.0,40.5,43.0,41.1,41.4,41.44,58.5,17.05,6400,265235.0,0,CGIGARSH
2000-02-23,EQ,41.0,42.2,40.5,41.4,41.0,41.0,41.35,58.5,17.05,5000,206725.0,0,CGIGARSH
2000-02-24,EQ,39.5,42.0,39.5,41.0,41.7,41.6,40.15,58.5,17.05,3800,152585.0,0,CGIGARSH
2000-02-25,EQ,40.5,41.0,39.0,41.6,39.0,39.0,39.83,58.5,17.05,1600,63730.0,0,CGIGARSH
2000-02-28,EQ,37.05,40.8,36.25,39.0,37.6,37.95,38.38,58.5,17.05,5600,214900.0,0,CGIGARSH
2000-02-29,EQ,38.0,40.5,37.2,37.95,40.5,39.7,38.04,58.5,17.05,6800,258680.0,0,CGIGARSH
2000-03-01,EQ,39.9,39.9,37.0,39.7,38.0,38.1,38.44,58.5,17.05,1900,73035.0,0,CGIGARSH
2000-03-02,EQ,38.0,39.5,37.5,38.1,38.25,38.25,38.88,58.5,17.05,3100,120535.0,0,CGIGARSH
2000-03-03,EQ,36.25,37.75,36.25,38.25,37.75,37.75,36.46,58.5,17.05,1300,47400.0,0,CGIGARSH
2000-03-06,EQ,35.9,35.9,34.75,37.75,34.75,34.75,34.93,58.5,17.05,6200,216540.0,0,CGIGARSH
2000-03-07,EQ,32.5,34.95,32.5,34.75,33.9,33.7,33.36,58.5,17.05,5300,176820.0,0,CGIGARSH
2000-03-08,EQ,32.0,32.15,31.15,33.7,32.0,32.0,31.96,58.5,17.05,2200,70320.0,0,CGIGARSH
2000-03-09,EQ,29.75,31.0,29.75,32.0,30.75,30.75,30.29,58.5,17.05,1900,57560.0,0,CGIGARSH
2000-03-10,EQ,31.0,32.0,30.1,30.75,30.1,30.1,31.05,58.5,17.05,1700,52790.0,0,CGIGARSH
2000-03-13,EQ,31.0,32.5,31.0,30.1,32.5,32.5,32.04,58.5,17.05,1700,54470.0,0,CGIGARSH
2000-03-14,EQ,32.5,34.8,32.0,32.5,32.9,32.75,32.83,58.5,17.05,8700,285590.0,0,CGIGARSH
2000-03-15,EQ,34.9,34.9,31.0,32.75,34.9,34.9,33.63,58.5,17.05,1300,43715.0,0,CGIGARSH
2000-03-16,EQ,35.0,35.0,33.05,34.9,33.05,33.05,34.19,58.5,17.05,700,23935.0,0,CGIGARSH
2000-03-21,EQ,34.2,35.7,34.2,33.05,35.65,35.65,35.42,58.5,17.05,5300,187705.0,0,CGIGARSH
2000-03-22,EQ,38.5,38.5,37.5,35.65,38.5,38.5,38.01,58.5,17.05,4000,152035.0,0,CGIGARSH
2000-03-23,EQ,41.5,41.6,38.55,38.5,40.0,40.0,40.62,58.5,17.05,7300,296555.0,0,CGIGARSH
2000-03-24,EQ,39.1,40.0,37.05,40.0,39.75,39.75,38.56,58.5,17.05,1900,73270.0,0,CGIGARSH
2000-03-27,EQ,37.25,38.25,37.15,39.75,38.2,38.2,37.63,58.5,17.05,3300,124195.0,0,CGIGARSH
2000-03-28,EQ,37.95,37.95,35.5,38.2,35.9,36.7,36.99,58.5,17.05,3600,133150.0,0,CGIGARSH
2000-03-29,EQ,38.7,38.9,36.0,36.7,37.0,37.0,37.91,58.5,17.05,2600,98565.0,0,CGIGARSH
2000-03-30,EQ,38.0,38.0,35.5,37.0,36.95,36.95,36.63,58.5,17.05,1400,51280.0,0,CGIGARSH
2000-03-31,EQ,36.05,36.15,35.6,36.95,35.85,36.0,35.88,58.5,17.05,800,28700.0,0,CGIGARSH
2000-04-03,EQ,35.5,37.0,35.25,36.0,35.4,35.4,36.01,58.5,17.05,700,25210.0,0,CGIGARSH
2000-04-04,EQ,35.75,35.9,33.05,35.4,33.05,33.05,33.71,58.5,17.05,4200,141600.0,0,CGIGARSH
2000-04-05,EQ,32.25,34.05,32.1,33.05,33.8,33.8,33.46,58.5,17.05,1800,60230.0,0,CGIGARSH
2000-04-06,EQ,33.0,33.95,32.05,33.8,33.4,33.4,33.16,58.5,17.05,800,26530.0,0,CGIGARSH
2000-04-07,EQ,33.4,36.1,32.55,33.4,36.1,36.1,35.03,58.5,17.05,3400,119110.0,0,CGIGARSH
2000-04-10,EQ,36.7,37.75,36.3,36.1,37.0,37.5,36.95,58.5,17.05,3600,133010.0,0,CGIGARSH
2000-04-11,EQ,35.25,37.2,35.25,37.5,37.1,36.2,36.56,58.5,17.05,3300,120635.0,0,CGIGARSH
2000-04-12,EQ,37.5,39.1,36.0,36.2,37.55,37.55,37.68,58.5,17.05,3300,124350.0,0,CGIGARSH
2000-04-13,EQ,37.0,40.0,36.35,37.55,37.1,37.1,38.04,58.5,17.05,1800,68475.0,0,CGIGARSH
2000-04-17,EQ,36.0,38.0,34.55,37.1,36.9,36.9,36.76,58.5,17.05,2100,77200.0,0,CGIGARSH
2000-04-18,EQ,38.0,38.0,36.05,36.9,36.05,36.1,36.79,58.5,17.05,2100,77260.0,0,CGIGARSH
2000-04-19,EQ,39.0,39.0,39.0,36.1,39.0,39.0,39.0,58.5,17.05,3700,144300.0,0,CGIGARSH
2000-04-20,EQ,41.85,42.15,40.25,39.0,42.0,42.0,41.6,58.5,17.05,22300,927635.0,0,CGIGARSH
2000-04-24,EQ,41.5,42.0,40.5,42.0,40.6,40.7,41.38,58.5,17.05,9400,388930.0,0,CGIGARSH
2000-04-25,EQ,40.7,40.7,38.0,40.7,39.0,38.85,38.83,58.5,17.05,11900,462070.0,0,CGIGARSH
2000-04-26,EQ,37.8,41.0,37.8,38.85,39.5,39.15,39.72,58.5,17.05,10600,421065.0,0,CGIGARSH
2000-04-27,EQ,39.25,39.5,38.25,39.15,39.0,39.15,38.89,58.5,17.05,4400,171105.0,0,CGIGARSH
2000-04-28,EQ,38.7,39.25,38.7,39.15,39.0,38.8,38.97,58.5,17.05,4400,171470.0,0,CGIGARSH
2000-05-02,EQ,38.3,39.2,38.05,38.8,38.7,38.85,38.54,58.5,17.05,2300,88635.0,0,CGIGARSH
2000-05-03,EQ,37.55,39.0,37.55,38.85,38.4,38.6,38.61,58.5,18.25,2600,100395.0,0,CGIGARSH
2000-05-04,EQ,38.3,39.0,38.25,38.6,38.45,38.45,38.5,58.5,18.25,2900,111660.0,0,CGIGARSH
2000-05-05,EQ,38.5,38.75,38.4,38.45,38.5,38.5,38.51,58.5,18.25,1400,53920.0,0,CGIGARSH
2000-05-08,EQ,37.7,38.5,37.7,38.5,38.5,38.4,38.26,58.5,18.25,3600,137740.0,0,CGIGARSH
2000-05-09,EQ,38.6,39.0,38.05,38.4,39.0,38.85,38.4,58.5,18.25,2900,111370.0,0,CGIGARSH
2000-05-10,EQ,38.25,39.5,38.25,38.85,39.5,39.5,38.88,58.5,18.25,200,7775.0,0,CGIGARSH
2000-05-11,EQ,38.35,39.05,38.35,39.5,39.0,39.0,38.93,58.5,18.25,2400,93435.0,0,CGIGARSH
2000-05-12,EQ,39.0,40.0,38.6,39.0,39.15,39.15,39.52,58.5,18.25,3300,130410.0,0,CGIGARSH
2000-05-15,EQ,37.55,38.4,37.5,39.15,38.05,38.05,38.07,58.5,18.25,3600,137050.0,0,CGIGARSH
2000-05-16,EQ,36.3,38.6,36.3,38.05,38.6,37.6,37.52,58.5,18.25,7900,296410.0,0,CGIGARSH
2000-05-17,EQ,37.5,37.5,36.0,37.6,36.95,36.95,36.57,58.5,18.25,1000,36570.0,0,CGIGARSH
2000-05-18,EQ,35.0,35.1,35.0,36.95,35.1,35.1,35.05,58.5,18.25,200,7010.0,0,CGIGARSH
2000-05-19,EQ,34.55,35.0,34.55,35.1,34.55,34.55,34.67,58.5,18.25,900,31200.0,0,CGIGARSH
2000-05-22,EQ,35.0,35.0,34.0,34.55,34.0,34.0,34.21,58.5,18.25,500,17105.0,0,CGIGARSH
2000-05-23,EQ,35.0,35.9,33.95,34.0,34.0,34.0,34.41,58.5,18.25,700,24085.0,0,CGIGARSH
2000-05-24,EQ,34.0,36.4,34.0,34.0,36.4,36.4,35.29,58.5,18.25,2100,74105.0,0,CGIGARSH
2000-05-25,EQ,35.05,35.1,35.0,36.4,35.1,35.1,35.06,58.5,18.25,400,14025.0,0,CGIGARSH
2000-05-26,EQ,35.5,35.95,35.1,35.1,35.3,35.3,35.49,58.5,18.25,1000,35485.0,0,CGIGARSH
2000-05-29,EQ,37.0,38.05,35.0,35.3,35.0,35.0,36.89,58.5,18.25,2800,103285.0,0,CGIGARSH
2000-05-30,EQ,36.9,37.6,36.5,35.0,37.6,37.1,37.03,58.5,18.45,2500,92565.0,0,CGIGARSH
2000-05-31,EQ,39.5,40.0,37.75,37.1,39.0,39.0,38.84,58.5,18.45,1400,54370.0,0,CGIGARSH
2000-06-01,EQ,38.0,39.0,38.0,39.0,38.0,38.0,38.26,58.5,18.45,800,30610.0,0,CGIGARSH
2000-06-02,EQ,37.15,37.15,37.0,38.0,37.0,37.0,37.1,58.5,18.45,500,18550.0,0,CGIGARSH
2000-06-05,EQ,37.5,37.5,36.0,37.0,36.0,36.0,36.64,58.5,18.45,3200,117245.0,0,CGIGARSH
2000-06-06,EQ,36.0,36.95,35.2,36.0,36.95,36.5,35.74,58.5,18.45,2100,75050.0,0,CGIGARSH
2000-06-07,EQ,36.1,36.95,36.0,36.5,36.0,36.0,36.59,58.5,18.45,500,18295.0,0,CGIGARSH
2000-06-08,EQ,36.15,38.5,36.0,36.0,36.0,36.0,36.8,58.5,18.45,1400,51525.0,0,CGIGARSH
2000-06-09,EQ,36.5,36.9,36.05,36.0,36.9,36.9,36.41,58.5,18.45,500,18205.0,0,CGIGARSH
2000-06-12,EQ,37.9,38.0,36.25,36.9,36.3,36.3,37.37,58.5,18.45,800,29895.0,0,CGIGARSH
2000-06-13,EQ,36.9,36.9,36.05,36.3,36.1,36.1,36.38,58.5,19.75,700,25465.0,0,CGIGARSH
2000-06-14,EQ,36.3,36.95,36.25,36.1,36.25,36.6,36.4,58.5,19.75,500,18200.0,0,CGIGARSH
2000-06-15,EQ,37.35,37.35,36.05,36.6,36.8,36.8,36.48,58.5,19.75,900,32830.0,0,CGIGARSH
2000-06-16,EQ,36.0,36.0,35.7,36.8,35.7,35.7,35.9,58.5,19.75,300,10770.0,0,CGIGARSH
2000-06-19,EQ,36.95,36.95,35.75,35.7,35.8,35.8,36.24,58.5,19.75,500,18120.0,0,CGIGARSH
2000-06-20,EQ,35.95,36.5,35.95,35.8,36.5,36.45,36.14,58.5,20.5,1000,36140.0,0,CGIGARSH
2000-06-21,EQ,36.1,36.5,36.1,36.45,36.5,36.5,36.34,58.5,20.5,500,18170.0,0,CGIGARSH
2000-06-22,EQ,35.5,36.5,35.5,36.5,36.2,36.2,36.06,58.5,20.5,700,25240.0,0,CGIGARSH
2000-06-23,EQ,35.6,36.2,35.0,36.2,36.0,36.0,35.53,58.5,20.5,1100,39080.0,0,CGIGARSH
2000-06-26,EQ,36.0,36.0,35.0,36.0,36.0,36.0,35.75,58.5,20.5,400,14300.0,0,CGIGARSH
2000-06-27,EQ,35.5,35.95,34.55,36.0,35.0,34.75,34.92,58.5,24.3,2000,69840.0,0,CGIGARSH
2000-06-28,EQ,34.55,34.55,34.55,34.75,34.55,34.55,34.55,58.5,24.3,100,3455.0,0,CGIGARSH
2000-06-29,EQ,35.8,37.0,35.0,34.55,35.0,35.0,36.1,58.5,24.3,1100,39710.0,0,CGIGARSH
2000-06-30,EQ,34.5,34.5,34.3,35.0,34.3,34.3,34.38,58.5,24.3,300,10315.0,0,CGIGARSH
2000-07-03,EQ,34.0,34.5,33.0,34.3,34.0,34.0,33.66,58.5,24.3,5300,178415.0,0,CGIGARSH
2000-07-04,EQ,34.0,34.0,32.05,34.0,32.65,32.65,33.21,58.5,24.5,5400,179360.0,0,CGIGARSH
2000-07-05,EQ,33.95,33.95,33.0,32.65,33.8,33.8,33.6,58.5,24.5,2100,70560.0,0,CGIGARSH
