date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2011-03-25,EQ,72.25,72.25,68.0,69.8,70.0,70.8,70.76,90.1,39.3,1350,95530.95,0,INDTERRAIN
2011-03-28,EQ,70.0,70.0,65.5,70.8,67.3,67.8,67.88,90.1,39.3,1958,132899.35,0,INDTERRAIN
2011-03-29,EQ,62.2,70.0,62.2,67.8,66.2,66.2,67.12,90.1,39.3,226,15169.15,0,INDTERRAIN
2011-03-30,EQ,64.25,69.0,64.25,66.2,67.1,67.1,67.53,90.1,39.3,1627,109864.15,0,INDTERRAIN
2011-03-31,EQ,70.0,70.0,66.1,67.1,70.0,70.0,68.42,90.1,39.3,1393,95307.15,0,INDTERRAIN
2011-04-01,EQ,70.0,74.9,64.1,70.0,72.0,71.45,67.51,90.1,39.3,9083,613183.25,0,INDTERRAIN
2011-04-04,EQ,68.0,75.85,68.0,71.45,75.85,74.9,74.38,90.1,39.3,2037,151503.85,0,INDTERRAIN
2011-04-05,EQ,71.8,74.9,71.8,74.9,71.8,72.95,72.58,90.1,39.3,1637,118813.95,0,INDTERRAIN
2011-04-06,EQ,76.7,76.7,70.3,72.95,73.25,73.1,71.76,90.1,39.3,4023,288710.55,0,INDTERRAIN
2011-04-07,EQ,72.1,73.0,72.1,73.1,73.0,72.95,72.74,90.1,39.3,746,54263.35,0,INDTERRAIN
2011-04-08,EQ,73.0,76.4,70.25,72.95,75.2,75.3,74.49,90.1,39.3,3180,236875.65,0,INDTERRAIN
2011-04-11,EQ,73.6,76.8,73.6,75.3,74.1,74.1,74.66,90.1,39.3,876,65400.1,0,INDTERRAIN
2011-04-13,EQ,71.0,77.0,71.0,74.1,73.1,73.1,73.07,90.1,39.3,865,63203.05,0,INDTERRAIN
2011-04-15,EQ,75.0,75.1,66.25,73.1,71.1,71.1,73.57,90.1,39.3,3483,256249.0,0,INDTERRAIN
2011-04-18,EQ,74.0,77.5,71.1,71.1,74.95,74.95,74.86,90.1,39.3,662,49557.95,0,INDTERRAIN
2011-04-19,EQ,60.1,75.95,60.1,74.95,72.0,72.6,73.76,90.1,39.3,2101,154979.7,0,INDTERRAIN
2011-04-20,EQ,60.0,75.0,60.0,72.6,74.0,73.05,72.77,90.1,39.3,2495,181555.9,0,INDTERRAIN
