date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2010-10-05,EQ,440.0,440.0,376.5,378.19,376.5,380.3,384.21,440.0,376.5,14604,5610992.09,0,INFRABEES
2010-10-06,EQ,386.0,386.0,380.0,380.3,383.0,383.0,385.11,440.0,376.5,1484,571500.5,0,INFRABEES
2010-10-07,EQ,385.0,386.0,380.75,383.0,384.9,384.87,385.17,440.0,376.5,863,332401.47,0,INFRABEES
2010-10-08,EQ,384.0,384.0,377.0,384.87,377.0,378.33,379.36,440.0,376.5,1845,699927.9,0,INFRABEES
2010-10-11,EQ,382.0,382.0,376.0,378.33,378.0,378.0,378.88,440.0,376.0,339,128439.99,0,INFRABEES
2010-10-12,EQ,376.0,376.0,371.0,378.0,373.0,372.9,373.45,440.0,371.0,572,213615.1,0,INFRABEES
2010-10-13,EQ,374.5,379.0,373.0,372.9,379.0,375.42,378.76,440.0,371.0,15441,5848390.2,0,INFRABEES
2010-10-14,EQ,383.0,383.0,372.0,375.42,374.0,374.0,374.79,440.0,371.0,505,189270.0,0,INFRABEES
2010-10-15,EQ,375.0,375.0,370.0,374.0,370.0,370.0,371.46,440.0,370.0,477,177184.6,0,INFRABEES
2010-10-18,EQ,368.0,368.0,363.0,370.0,367.0,367.0,365.16,440.0,363.0,1460,533134.5,0,INFRABEES
2010-10-19,EQ,371.0,371.0,365.0,367.0,368.0,368.0,369.65,440.0,363.0,193,71342.75,0,INFRABEES
2010-10-20,EQ,368.0,368.0,360.0,368.0,360.1,362.78,362.77,440.0,360.0,175,63485.55,0,INFRABEES
2010-10-21,EQ,366.0,368.0,362.0,362.78,366.0,365.16,365.65,440.0,360.0,295,107865.9,0,INFRABEES
2010-10-22,EQ,373.0,373.0,369.0,365.16,369.0,369.0,370.88,440.0,360.0,305,113119.0,0,INFRABEES
2010-10-25,EQ,371.0,372.0,366.05,369.0,372.0,372.0,370.74,440.0,360.0,544,201682.35,0,INFRABEES
