date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2022-05-04,EQ,58.0,58.05,58.0,52.8,58.05,58.05,58.0,58.05,58.0,5501,319058.05,17,KRITIKA
2022-05-05,EQ,63.85,63.85,60.9,58.05,63.85,63.85,63.71,63.85,58.0,33977,2164760.9,89,KRITIKA
2022-05-06,EQ,70.2,70.2,70.2,63.85,70.2,70.2,70.2,70.2,58.0,22253,1562160.6,138,KRITIKA
2022-05-09,EQ,77.2,77.2,77.2,70.2,77.2,77.2,77.2,77.2,58.0,44121,3406141.2,229,KRITIKA
2022-05-10,EQ,81.05,81.05,81.05,77.2,81.05,81.05,81.05,81.05,58.0,100601,8153711.05,411,KRITIKA
2022-05-11,EQ,85.1,85.1,77.0,81.05,77.0,77.0,80.25,85.1,58.0,78327,6285697.05,571,KRITIKA
2022-05-12,EQ,73.15,73.15,73.15,77.0,73.15,73.15,73.15,85.1,58.0,980,71687.0,43,KRITIKA
2022-05-13,EQ,69.5,69.5,69.5,73.15,69.5,69.5,69.5,85.1,58.0,894,62133.0,40,KRITIKA
2022-05-16,EQ,66.05,66.05,66.05,69.5,66.05,66.05,66.05,85.1,58.0,754,49801.7,29,KRITIKA
2022-05-17,EQ,62.75,62.75,62.75,66.05,62.75,62.75,62.75,85.1,58.0,3280,205820.0,51,KRITIKA
2022-05-18,EQ,59.65,65.85,59.65,62.75,65.65,65.8,62.4,85.1,58.0,212558,13263541.0,952,KRITIKA
2022-05-19,EQ,66.95,66.95,62.55,65.8,62.55,62.55,62.69,85.1,58.0,55865,3502264.9,253,KRITIKA
2022-05-20,EQ,60.25,64.6,59.45,62.55,59.45,60.0,60.97,85.1,58.0,54440,3319113.85,629,KRITIKA
2022-05-23,EQ,57.1,60.3,57.0,60.0,60.3,60.25,58.9,85.1,57.0,62326,3671197.35,387,KRITIKA
