date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2022-03-29,EQ,12.58,12.58,12.5,12.58,12.52,12.52,12.52,12.58,12.5,151660,1898918.3,64,KOTAKLOVOL
2022-03-30,EQ,12.65,12.79,12.45,12.52,12.45,12.55,12.63,12.79,12.45,6536,82551.81,67,KOTAKLOVOL
2022-03-31,EQ,15.0,15.0,12.55,12.55,12.67,12.79,12.77,15.0,12.45,3390,43274.26,87,KOTAKLOVOL
2022-04-01,EQ,13.17,14.99,12.5,12.79,12.84,12.88,12.81,15.0,12.45,50945,652676.0,121,KOTAKLOVOL
2022-04-04,EQ,13.26,13.65,12.89,12.88,13.05,13.03,13.05,15.0,12.45,6502,84864.87,111,KOTAKLOVOL
2022-04-05,EQ,15.0,15.0,12.76,13.03,13.07,13.0,13.19,15.0,12.45,23825,314136.23,227,KOTAKLOVOL
2022-04-06,EQ,14.94,14.94,10.5,13.0,13.1,13.07,12.9,15.0,10.5,11656,150378.75,90,KOTAKLOVOL
2022-04-07,EQ,13.46,14.84,12.8,13.07,13.15,12.97,13.08,15.0,10.5,9335,122100.89,143,KOTAKLOVOL
2022-04-08,EQ,13.1,13.35,12.9,12.97,13.1,13.1,13.11,15.0,10.5,10958,143673.29,66,KOTAKLOVOL
2022-04-11,EQ,13.1,13.89,13.0,13.1,13.08,13.05,13.11,15.0,10.5,3906,51195.55,82,KOTAKLOVOL
2022-04-12,EQ,13.1,13.6,12.7,13.05,13.1,13.14,13.02,15.0,10.5,17875,232796.41,154,KOTAKLOVOL
2022-04-13,EQ,13.53,14.0,12.91,13.14,13.0,13.0,13.01,15.0,10.5,10550,137287.81,90,KOTAKLOVOL
2022-04-18,EQ,13.0,13.39,12.61,13.0,12.75,12.75,13.09,15.0,10.5,19849,259837.03,147,KOTAKLOVOL
2022-04-19,EQ,12.75,13.14,12.5,12.75,12.55,12.71,12.76,15.0,10.5,8015,102261.61,123,KOTAKLOVOL
2022-04-20,EQ,12.71,13.35,12.35,12.71,13.0,12.83,12.57,15.0,10.5,13189,165837.9,158,KOTAKLOVOL
2022-04-21,EQ,13.0,13.39,12.65,12.83,13.0,12.95,13.04,15.0,10.5,1260,16434.2,94,KOTAKLOVOL
2022-04-22,EQ,12.95,13.0,12.35,12.95,12.35,12.47,12.56,15.0,10.5,7662,96233.24,159,KOTAKLOVOL
2022-04-25,EQ,12.98,12.98,12.48,12.47,12.64,12.84,12.73,15.0,10.5,5531,70388.54,153,KOTAKLOVOL
2022-04-26,EQ,12.84,13.22,12.46,12.84,12.8,12.75,12.65,15.0,10.5,5214,65948.85,121,KOTAKLOVOL
2022-04-27,EQ,12.75,12.98,12.15,12.75,12.15,12.26,12.47,15.0,10.5,5075,63276.95,165,KOTAKLOVOL
2022-04-28,EQ,12.2,12.98,12.15,12.26,12.98,12.82,12.71,15.0,10.5,1413,17958.29,120,KOTAKLOVOL
2022-04-29,EQ,13.2,13.2,12.43,12.82,12.65,12.68,12.76,15.0,10.5,1588,20268.95,96,KOTAKLOVOL
2022-05-02,EQ,12.68,13.0,12.3,12.68,12.85,12.83,12.78,15.0,10.5,883,11284.31,117,KOTAKLOVOL
2022-05-04,EQ,12.83,13.21,12.31,12.83,12.5,12.5,12.55,15.0,10.5,2176,27318.12,126,KOTAKLOVOL
2022-05-05,EQ,12.13,12.75,12.13,12.5,12.6,12.57,12.48,15.0,10.5,202,2520.88,60,KOTAKLOVOL
2022-05-06,EQ,12.57,12.75,12.2,12.57,12.35,12.35,12.52,15.0,10.5,662,8285.55,69,KOTAKLOVOL
2022-05-09,EQ,12.72,12.72,12.02,12.35,12.4,12.34,12.35,15.0,10.5,1832,22633.69,100,KOTAKLOVOL
2022-05-10,EQ,12.6,12.75,11.93,12.34,12.4,12.39,12.35,15.0,10.5,4266,52697.43,132,KOTAKLOVOL
2022-05-11,EQ,12.76,12.76,12.0,12.39,12.35,12.34,12.48,15.0,10.5,1486,18543.99,55,KOTAKLOVOL
2022-05-12,EQ,12.0,12.49,11.95,12.34,12.0,12.0,12.02,15.0,10.5,9990,120032.42,95,KOTAKLOVOL
2022-05-13,EQ,12.0,12.5,11.75,12.0,12.1,11.99,11.97,15.0,10.5,6171,73853.41,118,KOTAKLOVOL
2022-05-16,EQ,12.25,12.6,11.63,11.99,12.1,12.15,12.27,15.0,10.5,3545,43490.73,118,KOTAKLOVOL
2022-05-17,EQ,12.51,12.51,11.79,12.15,12.1,12.16,12.26,15.0,10.5,2191,26859.3,75,KOTAKLOVOL
2022-05-18,EQ,12.52,12.99,11.74,12.16,12.35,12.37,12.11,15.0,10.5,4659,56436.33,184,KOTAKLOVOL
2022-05-19,EQ,12.65,12.85,12.01,12.37,12.5,12.6,12.29,15.0,10.5,810,9954.67,111,KOTAKLOVOL
2022-05-20,EQ,12.35,13.1,12.2,12.6,12.4,12.39,12.43,15.0,10.5,1676,20830.67,96,KOTAKLOVOL
2022-05-23,EQ,12.39,13.0,11.95,12.39,12.3,12.33,12.1,15.0,10.5,3401,41151.99,81,KOTAKLOVOL
2022-05-24,EQ,11.97,13.0,11.93,12.33,12.3,12.3,12.54,15.0,10.5,6427,80567.78,131,KOTAKLOVOL
2022-05-25,EQ,11.94,12.5,11.94,12.3,12.25,12.14,12.27,15.0,10.5,1579,19369.87,61,KOTAKLOVOL
2022-05-26,EQ,12.25,12.39,11.78,12.14,12.31,12.31,11.99,15.0,10.5,2107,25273.46,80,KOTAKLOVOL
2022-05-27,EQ,11.95,12.49,11.95,12.31,12.48,12.25,12.31,15.0,10.5,562,6919.92,69,KOTAKLOVOL
2022-05-30,EQ,12.25,12.98,12.25,12.25,12.74,12.86,12.65,15.0,10.5,3939,49811.2,117,KOTAKLOVOL
2022-05-31,EQ,13.24,13.24,12.13,12.86,12.53,12.7,12.39,15.0,10.5,3009,37266.56,110,KOTAKLOVOL
2022-06-01,EQ,12.85,12.99,12.23,12.7,12.69,12.53,12.5,15.0,10.5,4113,51420.59,94,KOTAKLOVOL
2022-06-02,EQ,12.8,12.8,12.1,12.53,12.59,12.52,12.44,15.0,10.5,1479,18396.98,70,KOTAKLOVOL
2022-06-03,EQ,12.5,12.65,12.4,12.52,12.65,12.65,12.6,15.0,10.5,3541,44614.99,59,KOTAKLOVOL
2022-06-06,EQ,13.02,13.02,12.13,12.65,12.55,12.43,12.9,15.0,10.5,2234,28812.29,78,KOTAKLOVOL
2022-06-07,EQ,12.5,12.5,11.93,12.43,12.21,12.21,12.4,15.0,10.5,811,10053.33,98,KOTAKLOVOL
2022-06-08,EQ,12.21,12.9,11.85,12.21,12.5,12.35,12.29,15.0,10.5,1911,23490.04,75,KOTAKLOVOL
2022-06-09,EQ,13.5,13.9,12.0,12.35,12.35,12.27,12.27,15.0,10.5,3233,39670.08,55,KOTAKLOVOL
2022-06-10,EQ,12.05,12.35,12.01,12.27,12.3,12.3,12.29,15.0,10.5,188,2309.85,50,KOTAKLOVOL
2022-06-13,EQ,11.15,14.85,11.15,12.3,12.15,11.91,11.99,15.0,10.5,1966,23566.79,105,KOTAKLOVOL
2022-06-14,EQ,11.56,12.2,11.55,11.91,12.19,11.64,11.84,15.0,10.5,9127,108108.64,70,KOTAKLOVOL
2022-06-15,EQ,11.98,12.15,11.9,11.64,12.08,12.08,12.1,15.0,10.5,512,6197.73,56,KOTAKLOVOL
2022-06-16,EQ,12.44,12.81,11.55,12.08,12.1,12.08,11.89,15.0,10.5,4514,53679.67,88,KOTAKLOVOL
2022-06-17,EQ,12.44,12.44,11.65,12.08,11.7,11.7,11.7,15.0,10.5,3688,43162.59,38,KOTAKLOVOL
2022-06-20,EQ,11.7,12.0,11.3,11.7,11.9,11.9,11.8,15.0,10.5,467927,5521473.23,90,KOTAKLOVOL
2022-06-21,EQ,12.25,13.39,11.5,11.9,13.38,13.16,12.15,15.0,10.5,19708,239380.77,169,KOTAKLOVOL
2022-06-22,EQ,14.14,14.14,11.53,13.16,11.84,11.85,11.88,15.0,10.5,60869,723389.06,233,KOTAKLOVOL
2022-06-23,EQ,12.19,12.19,11.66,11.85,11.8,11.8,11.81,15.0,10.5,57234,675663.88,142,KOTAKLOVOL
2022-06-24,EQ,12.1,12.25,11.69,11.8,12.25,12.18,11.96,15.0,10.5,13795,165056.12,112,KOTAKLOVOL
2022-06-27,EQ,12.25,12.47,11.86,12.18,12.2,12.16,12.2,15.0,10.5,1331,16233.28,81,KOTAKLOVOL
2022-06-28,EQ,12.47,12.47,11.74,12.16,12.06,12.1,12.02,15.0,10.5,2543,30570.45,59,KOTAKLOVOL
2022-06-29,EQ,12.19,12.25,11.83,12.1,12.1,12.19,12.06,15.0,10.5,69836,841934.43,56,KOTAKLOVOL
2022-06-30,EQ,12.1,12.39,11.95,12.19,12.05,12.05,12.08,15.0,10.5,1290,15583.94,38,KOTAKLOVOL
2022-07-01,EQ,12.05,12.49,11.95,12.05,12.16,12.29,12.25,15.0,10.5,694,8503.59,73,KOTAKLOVOL
2022-07-04,EQ,12.29,12.65,11.82,12.29,12.35,12.34,12.2,15.0,10.5,309,3769.44,63,KOTAKLOVOL
2022-07-05,EQ,12.6,12.6,12.0,12.34,12.34,12.24,12.31,15.0,10.5,2047,25205.92,95,KOTAKLOVOL
2022-07-06,EQ,12.6,12.6,12.2,12.24,12.5,12.5,12.4,15.0,10.5,995,12335.56,71,KOTAKLOVOL
2022-07-07,EQ,12.3,13.18,12.05,12.5,12.5,12.49,12.48,15.0,10.5,1375,17161.47,88,KOTAKLOVOL
2022-07-08,EQ,12.49,12.74,12.37,12.49,12.37,12.53,12.47,15.0,10.5,639,7968.02,43,KOTAKLOVOL
2022-07-11,EQ,12.9,13.28,12.4,12.53,12.4,12.45,12.51,15.0,10.5,1096,13713.75,74,KOTAKLOVOL
2022-07-12,EQ,12.8,12.8,12.26,12.45,12.26,12.47,12.49,15.0,10.5,1022,12764.15,64,KOTAKLOVOL
2022-07-13,EQ,12.67,13.0,12.35,12.47,12.46,12.45,12.48,15.0,10.5,6590,82248.03,106,KOTAKLOVOL
2022-07-14,EQ,12.65,12.65,12.1,12.45,12.25,12.37,12.37,15.0,10.5,1993,24649.15,44,KOTAKLOVOL
2022-07-15,EQ,12.15,12.5,12.15,12.37,12.4,12.32,12.42,15.0,10.5,654,8119.8,41,KOTAKLOVOL
2022-07-18,EQ,12.32,12.55,11.96,12.32,12.31,12.32,12.34,15.0,10.5,6059,74777.82,83,KOTAKLOVOL
2022-07-19,EQ,12.42,12.6,12.2,12.32,12.6,12.6,12.35,15.0,10.5,8912,110083.48,80,KOTAKLOVOL
2022-07-20,EQ,12.6,12.95,12.15,12.6,12.61,12.61,12.44,15.0,10.5,6135,76299.79,143,KOTAKLOVOL
2022-07-21,EQ,12.98,12.98,12.15,12.61,12.75,12.79,12.41,15.0,10.5,9300,115437.74,221,KOTAKLOVOL
2022-07-22,EQ,12.9,13.45,12.15,12.79,13.25,13.26,13.13,15.0,10.5,601946,7901241.13,288,KOTAKLOVOL
2022-07-25,EQ,13.24,13.34,12.65,13.26,12.65,12.74,12.91,15.0,10.5,3511,45333.04,187,KOTAKLOVOL
2022-07-26,EQ,12.7,13.0,12.61,12.74,13.0,12.82,12.71,15.0,10.5,1752,22267.3,123,KOTAKLOVOL
2022-07-27,EQ,13.0,13.0,12.61,12.82,12.62,12.72,12.69,15.0,10.5,1487,18865.55,69,KOTAKLOVOL
2022-07-28,EQ,13.1,13.1,12.69,12.72,12.84,12.83,12.82,15.0,10.5,1512,19385.25,67,KOTAKLOVOL
2022-07-29,EQ,12.6,13.1,12.6,12.83,13.0,12.87,12.84,15.0,10.5,1838,23594.91,67,KOTAKLOVOL
2022-08-01,EQ,13.0,13.65,12.53,12.87,13.02,13.24,13.26,15.0,10.5,19536,259115.12,163,KOTAKLOVOL
2022-08-02,EQ,13.24,13.3,12.63,13.24,13.1,13.1,12.93,15.0,10.5,29376,379820.95,143,KOTAKLOVOL
2022-08-03,EQ,12.97,13.3,12.97,13.1,13.19,13.17,13.12,15.0,10.5,785,10300.4,66,KOTAKLOVOL
2022-08-04,EQ,13.3,13.3,12.6,13.17,13.25,13.25,13.12,15.0,10.5,4553,59720.2,84,KOTAKLOVOL
2022-08-05,EQ,13.4,13.8,13.15,13.25,13.3,13.26,13.32,15.0,10.5,4208,56050.46,85,KOTAKLOVOL
2022-08-08,EQ,13.26,13.72,12.95,13.26,13.58,13.25,13.23,15.0,10.5,959,12688.04,84,KOTAKLOVOL
