date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2015-04-16,EQ,9.65,14.0,9.65,12.05,10.3,10.0,10.1,18.9,9.65,17530,177122.4,98,MANAKCOAT
2015-04-17,EQ,8.4,12.0,8.4,10.0,10.95,10.45,10.92,18.9,8.4,32830,358442.85,139,MANAKCOAT
2015-04-20,EQ,10.3,10.3,8.4,10.45,8.85,8.7,8.78,18.9,8.4,31698,278257.25,106,MANAKCOAT
2015-04-21,EQ,8.7,8.7,7.85,8.7,8.35,8.35,8.21,18.9,7.85,6529,53608.95,46,MANAKCOAT
2015-04-22,EQ,8.35,8.95,7.55,8.35,8.1,8.0,8.5,18.9,7.55,16915,143840.75,61,MANAKCOAT
2015-04-23,EQ,7.8,8.0,7.3,8.0,7.4,7.45,7.6,18.9,7.3,10889,82806.1,39,MANAKCOAT
2015-04-24,EQ,7.45,7.45,6.75,7.45,7.05,7.1,7.0,18.9,6.75,14135,99004.6,75,MANAKCOAT
2015-04-27,EQ,7.05,7.05,6.4,7.1,6.4,6.4,6.57,18.9,6.4,6865,45093.1,21,MANAKCOAT
2015-04-28,EQ,6.1,6.7,6.1,6.4,6.35,6.35,6.44,18.9,6.1,11232,72353.4,40,MANAKCOAT
2015-04-29,EQ,6.55,6.65,6.35,6.35,6.5,6.6,6.63,18.9,6.1,16035,106277.0,25,MANAKCOAT
2015-04-30,EQ,6.4,6.9,6.4,6.6,6.9,6.9,6.66,18.9,6.1,11783,78425.5,33,MANAKCOAT
2015-05-04,EQ,6.7,7.2,6.7,6.9,6.8,6.8,7.05,18.9,6.1,2964,20895.8,11,MANAKCOAT
2015-05-05,EQ,6.6,7.1,6.6,6.8,6.7,7.05,6.99,18.9,6.1,1308,9147.6,9,MANAKCOAT
2015-05-06,EQ,6.8,7.3,6.7,7.05,6.7,6.7,6.76,18.9,6.1,4722,31932.4,17,MANAKCOAT
2015-05-07,EQ,6.85,6.85,6.4,6.7,6.4,6.4,6.54,18.9,6.1,4132,27033.3,15,MANAKCOAT
2015-05-08,EQ,6.15,6.5,6.1,6.4,6.1,6.15,6.23,18.9,6.1,6595,41119.8,29,MANAKCOAT
2015-05-11,EQ,6.4,6.45,5.85,6.15,5.95,5.95,5.95,18.9,5.85,9119,54278.9,26,MANAKCOAT
2015-05-12,EQ,5.8,6.0,5.7,5.95,5.95,5.95,5.73,18.9,5.7,12207,69924.2,21,MANAKCOAT
2015-05-14,EQ,5.7,5.75,5.45,5.7,5.45,5.45,5.54,18.9,5.45,4435,24579.15,13,MANAKCOAT
2015-05-15,EQ,5.25,5.25,5.2,5.45,5.2,5.2,5.2,18.9,5.2,5938,30882.05,12,MANAKCOAT
2015-05-18,EQ,4.95,4.95,4.95,5.2,4.95,4.95,4.95,18.9,4.95,10001,49504.95,4,MANAKCOAT
2015-05-19,EQ,4.85,5.1,4.75,4.95,4.75,4.95,4.98,18.9,4.75,853,4249.7,12,MANAKCOAT
2015-05-20,EQ,4.9,4.9,4.75,4.95,4.75,4.75,4.87,18.9,4.75,24833,121044.8,42,MANAKCOAT
2015-05-21,EQ,4.6,4.95,4.55,4.75,4.55,4.55,4.57,18.9,4.55,2461,11249.05,11,MANAKCOAT
2015-05-22,EQ,4.35,4.55,4.35,4.55,4.35,4.35,4.35,18.9,4.35,12628,54951.6,40,MANAKCOAT
2015-05-25,EQ,4.15,4.15,4.15,4.35,4.15,4.15,4.15,18.9,4.15,3981,16521.15,9,MANAKCOAT
2015-05-26,EQ,4.15,4.2,3.95,4.15,4.15,4.15,4.15,18.9,3.95,1860,7710.5,13,MANAKCOAT
2015-05-27,EQ,4.15,4.15,3.95,4.15,4.0,4.0,4.0,18.9,3.95,3014,12055.0,10,MANAKCOAT
2015-05-28,EQ,3.8,4.0,3.8,4.0,3.95,3.95,3.99,18.9,3.8,205,817.7,5,MANAKCOAT
2015-05-29,EQ,4.0,4.0,3.8,3.95,3.8,3.8,3.92,18.9,3.8,1478,5799.3,15,MANAKCOAT
2015-06-01,EQ,3.9,3.95,3.65,3.8,3.95,3.95,3.89,18.9,3.65,10421,40557.25,32,MANAKCOAT
2015-06-02,EQ,3.95,4.1,3.95,3.95,3.95,3.95,4.0,18.9,3.65,285,1140.75,4,MANAKCOAT
2015-06-03,EQ,3.95,3.95,3.8,3.95,3.8,3.8,3.87,18.9,3.65,2050,7927.5,7,MANAKCOAT
2015-06-04,EQ,3.7,3.75,3.65,3.8,3.65,3.65,3.73,18.9,3.65,2650,9890.0,6,MANAKCOAT
2015-06-05,EQ,3.8,3.8,3.6,3.65,3.8,3.8,3.78,18.9,3.6,1609,6077.3,8,MANAKCOAT
2015-06-08,EQ,3.75,3.95,3.65,3.8,3.65,3.65,3.74,18.9,3.6,1401,5235.35,8,MANAKCOAT
2015-06-10,EQ,3.75,3.8,3.75,3.65,3.8,3.8,3.79,18.9,3.6,960,3638.0,6,MANAKCOAT
2015-06-11,EQ,3.7,3.9,3.7,3.8,3.9,3.9,3.74,18.9,3.6,1415,5285.8,11,MANAKCOAT
2015-06-12,EQ,3.75,3.75,3.75,3.9,3.75,3.75,3.75,18.9,3.6,103,386.25,4,MANAKCOAT
2015-06-15,EQ,3.6,3.9,3.6,3.75,3.9,3.9,3.75,18.9,3.6,438,1642.5,6,MANAKCOAT
2015-06-16,EQ,3.75,3.9,3.75,3.9,3.75,3.75,3.84,18.9,3.6,839,3223.2,8,MANAKCOAT
2015-06-17,EQ,3.6,3.8,3.6,3.75,3.6,3.6,3.62,18.9,3.6,6820,24664.6,18,MANAKCOAT
2015-06-18,EQ,3.5,3.75,3.45,3.6,3.45,3.45,3.63,18.9,3.45,1077,3913.05,14,MANAKCOAT
2015-06-19,EQ,3.4,3.6,3.3,3.45,3.3,3.3,3.31,18.9,3.3,15919,52764.4,41,MANAKCOAT
2015-06-22,EQ,3.2,3.45,3.15,3.3,3.45,3.45,3.21,18.9,3.15,1489,4781.95,13,MANAKCOAT
2015-06-23,EQ,3.3,3.55,3.3,3.45,3.3,3.3,3.3,18.9,3.15,4323,14266.35,21,MANAKCOAT
2015-06-24,EQ,3.4,3.4,3.15,3.3,3.25,3.15,3.15,18.9,3.15,7802,24596.05,16,MANAKCOAT
2015-06-25,EQ,3.25,3.3,3.0,3.15,3.25,3.25,3.06,18.9,3.0,25198,77113.25,19,MANAKCOAT
2015-06-26,EQ,3.1,3.3,3.1,3.25,3.1,3.1,3.11,18.9,3.0,6544,20324.2,14,MANAKCOAT
2015-06-29,EQ,2.95,2.95,2.95,3.1,2.95,2.95,2.95,18.9,2.95,3940,11623.0,5,MANAKCOAT
2015-06-30,EQ,3.0,3.0,2.85,2.95,2.85,2.85,2.85,18.9,2.85,9307,26525.7,16,MANAKCOAT
2015-07-01,EQ,2.95,2.95,2.75,2.85,2.75,2.75,2.86,18.9,2.75,5477,15658.55,15,MANAKCOAT
2015-07-02,EQ,2.85,2.85,2.65,2.75,2.65,2.65,2.73,18.9,2.65,7062,19254.4,21,MANAKCOAT
2015-07-03,EQ,2.65,2.75,2.55,2.65,2.55,2.55,2.65,18.9,2.55,33368,88317.15,23,MANAKCOAT
2015-07-06,EQ,2.65,2.65,2.45,2.55,2.45,2.45,2.57,18.9,2.45,7868,20182.75,33,MANAKCOAT
2015-07-07,EQ,2.35,2.55,2.35,2.45,2.55,2.55,2.46,18.9,2.35,68856,169617.5,42,MANAKCOAT
2015-07-08,EQ,2.65,2.65,2.55,2.55,2.65,2.65,2.64,18.9,2.35,56548,149127.3,28,MANAKCOAT
2015-07-09,EQ,2.75,2.75,2.6,2.65,2.75,2.75,2.75,18.9,2.35,67465,185224.85,29,MANAKCOAT
2015-07-10,EQ,2.85,2.85,2.85,2.75,2.85,2.85,2.85,18.9,2.35,16670,47509.5,10,MANAKCOAT
2015-07-13,EQ,2.95,2.95,2.95,2.85,2.95,2.95,2.95,18.9,2.35,1372,4047.4,6,MANAKCOAT
2015-07-14,EQ,3.05,3.05,3.05,2.95,3.05,3.05,3.05,18.9,2.35,1,3.05,1,MANAKCOAT
2015-07-15,EQ,3.2,3.2,3.2,3.05,3.2,3.2,3.2,18.9,2.35,1669,5340.8,11,MANAKCOAT
2015-07-16,EQ,3.35,3.35,3.35,3.2,3.35,3.35,3.35,18.9,2.35,3960,13266.0,12,MANAKCOAT
2015-07-17,EQ,3.5,3.5,3.2,3.35,3.5,3.5,3.48,18.9,2.35,21182,73652.0,33,MANAKCOAT
2015-07-20,EQ,3.65,3.65,3.65,3.5,3.65,3.65,3.65,18.9,2.35,11902,43442.3,18,MANAKCOAT
2015-07-21,EQ,3.8,3.8,3.8,3.65,3.8,3.8,3.8,18.9,2.35,7563,28739.4,15,MANAKCOAT
2015-07-22,EQ,3.95,3.95,3.95,3.8,3.95,3.95,3.95,18.9,2.35,7847,30995.65,16,MANAKCOAT
2015-07-23,EQ,4.0,4.1,4.0,3.95,4.1,4.1,4.09,18.9,2.35,1713,7009.7,9,MANAKCOAT
2015-07-24,EQ,4.3,4.3,4.15,4.1,4.15,4.15,4.26,18.9,2.35,7482,31836.6,28,MANAKCOAT
2015-07-27,EQ,3.95,3.95,3.95,4.15,3.95,3.95,3.95,18.9,2.35,6562,25919.9,14,MANAKCOAT
2015-07-28,EQ,3.8,4.1,3.8,3.95,3.8,3.8,3.83,18.9,2.35,5684,21781.2,12,MANAKCOAT
2015-07-29,EQ,3.7,3.95,3.7,3.8,3.95,3.95,3.94,18.9,2.35,2590,10196.75,7,MANAKCOAT
2015-07-30,EQ,4.1,4.1,3.85,3.95,3.85,3.85,4.07,18.9,2.35,3386,13795.1,12,MANAKCOAT
2015-07-31,EQ,4.0,4.0,4.0,3.85,4.0,4.0,4.0,18.9,2.35,950,3800.0,7,MANAKCOAT
2015-08-03,EQ,4.0,4.0,4.0,4.0,4.0,4.0,4.0,18.9,2.35,691,2764.0,5,MANAKCOAT
2015-08-04,EQ,3.8,4.2,3.8,4.0,3.8,3.85,3.83,18.9,2.35,1600,6128.8,8,MANAKCOAT
2015-08-06,EQ,3.8,3.8,3.6,3.75,3.7,3.7,3.68,18.9,2.35,2871,10562.3,15,MANAKCOAT
2015-08-07,EQ,3.7,3.7,3.55,3.7,3.55,3.55,3.69,18.9,2.35,2660,9818.0,6,MANAKCOAT
2015-08-10,EQ,3.4,3.7,3.4,3.55,3.4,3.4,3.46,18.9,2.35,991,3428.8,9,MANAKCOAT
2015-09-08,EQ,3.4,3.4,3.1,3.25,3.1,3.1,3.2,18.9,2.35,1899,6084.15,6,MANAKCOAT
2015-09-09,EQ,2.95,3.0,2.95,3.1,3.0,3.0,2.97,18.9,2.35,10550,31346.5,9,MANAKCOAT
2015-09-10,EQ,2.85,2.85,2.85,3.0,2.85,2.85,2.85,18.9,2.35,100,285.0,1,MANAKCOAT
2015-09-11,EQ,2.8,2.95,2.8,2.85,2.9,2.9,2.82,18.9,2.35,32057,90306.85,9,MANAKCOAT
2015-09-14,EQ,2.85,3.0,2.85,2.9,2.95,2.95,2.99,18.9,2.35,1690,5052.65,6,MANAKCOAT
2015-09-15,EQ,2.9,3.05,2.85,2.95,3.05,3.05,2.97,18.9,2.35,9776,29009.1,13,MANAKCOAT
2015-09-16,EQ,3.0,3.2,3.0,3.05,3.2,3.2,3.1,18.9,2.35,600,1860.0,3,MANAKCOAT
2015-09-18,EQ,3.1,3.25,3.05,3.2,3.15,3.15,3.06,18.9,2.35,4315,13211.05,10,MANAKCOAT
2015-09-21,EQ,3.0,3.3,3.0,3.15,3.15,3.2,3.13,18.9,2.35,18721,58557.9,39,MANAKCOAT
2015-09-22,EQ,3.05,3.35,3.05,3.2,3.05,3.05,3.06,18.9,2.35,2788,8531.1,10,MANAKCOAT
2015-09-23,EQ,2.9,3.2,2.9,3.05,3.2,3.2,3.13,18.9,2.35,538,1686.5,8,MANAKCOAT
2015-09-24,EQ,3.05,3.05,3.05,3.2,3.05,3.05,3.05,18.9,2.35,40,122.0,1,MANAKCOAT
2015-09-28,EQ,2.95,3.2,2.95,3.05,3.2,3.2,3.04,18.9,2.35,1211,3679.45,9,MANAKCOAT
2015-09-29,EQ,3.2,3.35,3.2,3.2,3.35,3.3,3.3,18.9,2.35,396,1305.6,4,MANAKCOAT
2015-09-30,EQ,3.15,3.4,3.15,3.3,3.4,3.4,3.23,18.9,2.35,1499,4846.6,6,MANAKCOAT
2015-10-01,EQ,3.25,3.25,3.25,3.4,3.25,3.25,3.25,18.9,2.35,70,227.5,2,MANAKCOAT
2015-10-05,EQ,2.95,3.55,2.95,3.25,3.1,3.1,3.44,18.9,2.35,20100,69070.0,10,MANAKCOAT
2015-10-06,EQ,2.8,3.4,2.8,3.1,3.0,3.05,3.15,18.9,2.35,2162,6814.7,21,MANAKCOAT
2015-10-07,EQ,2.9,3.35,2.75,3.05,3.2,3.2,2.85,18.9,2.35,2936,8372.45,37,MANAKCOAT
2015-10-08,EQ,2.9,3.2,2.9,3.2,2.95,2.95,3.04,18.9,2.35,522,1585.1,7,MANAKCOAT
2015-10-09,EQ,2.8,3.2,2.8,2.95,3.0,3.0,3.0,18.9,2.35,38381,115136.55,13,MANAKCOAT
2015-10-12,EQ,2.85,3.3,2.85,3.0,3.3,3.3,3.29,18.9,2.35,1540,5064.0,3,MANAKCOAT
2015-10-13,EQ,3.0,3.2,3.0,3.3,3.05,3.15,3.08,18.9,2.35,4032,12429.1,20,MANAKCOAT
2015-10-14,EQ,3.35,3.4,3.05,3.15,3.4,3.35,3.31,18.9,2.35,852,2824.15,14,MANAKCOAT
2015-10-15,EQ,3.15,3.2,3.15,3.35,3.2,3.2,3.15,18.9,2.35,2116,6666.9,5,MANAKCOAT
2015-10-16,EQ,2.9,3.5,2.9,3.2,3.5,3.5,3.41,18.9,2.35,1756,5994.4,5,MANAKCOAT
2015-10-19,EQ,3.5,3.75,3.2,3.5,3.3,3.3,3.45,18.9,2.35,3025,10433.8,16,MANAKCOAT
2015-10-20,EQ,3.25,3.6,3.1,3.3,3.1,3.1,3.44,18.9,2.35,2932,10100.25,14,MANAKCOAT
2015-10-21,EQ,3.0,3.35,3.0,3.1,3.0,3.0,3.02,18.9,2.35,1397,4219.85,9,MANAKCOAT
2015-10-23,EQ,2.75,3.3,2.75,3.0,3.25,3.1,3.22,18.9,2.35,1390,4480.35,11,MANAKCOAT
2015-10-26,EQ,2.9,3.35,2.85,3.1,3.35,3.35,2.91,18.9,2.35,3416,9927.1,23,MANAKCOAT
2015-10-27,EQ,3.05,3.35,3.05,3.35,3.05,3.05,3.05,18.9,2.35,5791,17662.85,12,MANAKCOAT
2015-10-28,EQ,3.0,3.35,2.75,3.05,3.0,3.3,2.99,18.9,2.35,12171,36343.0,27,MANAKCOAT
2015-10-29,EQ,3.0,3.25,3.0,3.3,3.15,3.15,3.09,18.9,2.35,144,445.4,3,MANAKCOAT
2015-10-30,EQ,3.0,3.45,3.0,3.15,3.1,3.1,3.13,18.9,2.35,1446,4531.5,13,MANAKCOAT
2015-11-02,EQ,3.0,3.35,3.0,3.1,3.1,3.2,3.15,18.9,2.35,1805,5686.55,12,MANAKCOAT
2015-11-03,EQ,3.0,3.5,3.0,3.2,3.4,3.25,3.31,18.9,2.35,2015,6667.55,15,MANAKCOAT
2015-11-04,EQ,3.0,3.4,3.0,3.25,3.4,3.1,3.1,18.9,2.35,341,1058.3,9,MANAKCOAT
2015-11-05,EQ,3.0,3.3,3.0,3.1,3.3,3.3,3.01,18.9,2.35,1136,3419.8,5,MANAKCOAT
2015-11-06,EQ,3.3,3.95,3.3,3.3,3.95,3.95,3.81,18.9,2.35,15547,59175.7,18,MANAKCOAT
