date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2003-07-09,EQ,164.9,170.4,155.0,125.0,164.0,164.3,165.95,0.0,0.0,35164283,5835528161.85,0,MARUTI
2003-07-10,EQ,167.0,168.7,164.5,164.3,167.0,167.0,166.74,170.4,155.0,10464179,1744819621.2,0,MARUTI
2003-07-11,EQ,167.75,174.85,166.25,167.0,173.6,173.35,172.45,170.4,155.0,11740117,2024621547.45,0,MARUTI
2003-07-14,EQ,174.25,179.25,174.25,173.35,178.6,177.95,177.91,174.85,155.0,5982324,1064313100.3,0,MARUTI
2003-07-15,EQ,200.0,200.0,173.0,177.95,176.3,176.2,176.88,179.25,155.0,6173689,1092000790.4,0,MARUTI
2003-07-16,EQ,176.45,179.1,175.35,176.2,176.9,177.1,177.59,200.0,155.0,3759085,667569503.1,0,MARUTI
2003-07-17,EQ,177.5,178.0,170.65,177.1,170.7,172.2,175.48,200.0,155.0,3814181,669302968.7,0,MARUTI
2003-07-18,EQ,165.0,171.9,160.0,172.2,167.4,167.4,167.66,200.0,155.0,5375212,901190322.25,0,MARUTI
2003-07-21,EQ,169.0,169.4,163.05,167.4,164.0,164.9,166.67,200.0,155.0,3315845,552664616.55,0,MARUTI
2003-07-22,EQ,164.0,169.15,162.1,164.9,168.6,167.25,165.06,200.0,155.0,4627992,763912422.25,0,MARUTI
2003-07-23,EQ,170.5,178.0,169.8,167.25,175.55,174.7,174.54,200.0,155.0,13262249,2314758951.85,0,MARUTI
2003-07-24,EQ,175.9,177.0,172.85,174.7,173.65,174.1,174.45,200.0,155.0,4305936,751152915.65,0,MARUTI
2003-07-25,EQ,174.4,175.0,172.1,174.1,174.0,173.65,173.66,200.0,155.0,2832967,491960368.4,0,MARUTI
2003-07-28,EQ,188.0,188.0,175.1,173.65,179.25,178.85,178.01,200.0,155.0,5415867,964085339.5,0,MARUTI
2003-07-29,EQ,179.95,182.9,179.1,178.85,180.2,180.3,180.93,200.0,155.0,5229181,946096236.7,0,MARUTI
2003-07-30,EQ,181.25,184.75,180.1,180.3,180.25,181.1,182.55,200.0,155.0,4632246,845601875.4,0,MARUTI
2003-07-31,EQ,181.7,183.65,179.65,181.1,181.0,180.85,181.87,200.0,155.0,3562717,647935649.8,0,MARUTI
2003-08-01,EQ,182.0,189.0,178.75,180.85,188.4,187.15,184.36,200.0,155.0,8027285,1479884036.25,0,MARUTI
2003-08-04,EQ,187.85,198.5,185.0,187.15,197.5,197.6,194.65,200.0,155.0,9982429,1943084193.25,0,MARUTI
2003-08-05,EQ,199.0,203.45,192.85,197.6,193.85,193.6,198.15,200.0,155.0,9651327,1912434118.05,0,MARUTI
2003-08-06,EQ,191.5,197.5,189.85,193.6,191.75,191.6,193.45,203.45,155.0,7451054,1441434528.65,0,MARUTI
2003-08-07,EQ,193.5,196.0,192.25,191.6,195.7,195.4,194.27,203.45,155.0,3223676,626275934.6,0,MARUTI
2003-08-08,EQ,197.0,198.9,196.0,195.4,197.5,197.15,197.37,203.45,155.0,2530289,499393163.85,0,MARUTI
2003-08-11,EQ,198.1,203.8,196.0,197.15,201.8,202.2,201.71,203.45,155.0,5651311,1139927056.9,0,MARUTI
2003-08-12,EQ,203.8,212.0,203.5,202.2,210.8,210.45,207.77,203.8,155.0,8215213,1706880854.0,0,MARUTI
2003-08-13,EQ,213.0,219.5,212.0,210.45,218.5,217.8,215.87,212.0,155.0,7839204,1692252362.05,0,MARUTI
2003-08-14,EQ,223.0,224.4,215.0,217.8,217.75,216.55,220.36,219.5,155.0,6298655,1387996403.05,0,MARUTI
2003-08-18,EQ,218.1,221.0,215.4,216.55,218.25,216.9,217.99,224.4,155.0,3382031,737245777.85,0,MARUTI
2003-08-19,EQ,219.85,219.9,215.0,216.9,215.3,215.65,216.41,224.4,155.0,3080091,666577482.3,0,MARUTI
2003-08-20,EQ,217.4,226.45,217.3,215.65,226.0,225.0,222.96,224.4,155.0,6049174,1348700176.9,0,MARUTI
2003-08-21,EQ,227.0,228.9,223.3,225.0,228.1,227.95,226.97,226.45,155.0,4012069,910625565.6,0,MARUTI
2003-08-22,EQ,228.05,232.8,225.9,227.95,229.2,229.3,229.44,228.9,155.0,4436016,1017817575.05,0,MARUTI
2003-08-25,EQ,230.0,231.45,216.1,229.3,220.5,221.05,222.47,232.8,155.0,4827198,1073923718.8,0,MARUTI
2003-08-26,EQ,217.0,235.0,217.0,221.05,234.75,232.45,228.74,232.8,155.0,3968069,907642849.9,0,MARUTI
2003-08-27,EQ,235.4,237.6,233.0,232.45,233.5,234.3,235.26,235.0,155.0,2267859,533539695.4,0,MARUTI
2003-08-28,EQ,235.75,235.75,226.0,234.3,228.1,228.05,229.17,237.6,155.0,3554363,814539780.85,0,MARUTI
2003-08-29,EQ,232.05,238.5,231.5,228.05,235.2,235.4,235.52,237.6,155.0,3212067,756495315.4,0,MARUTI
2003-09-01,EQ,236.4,237.0,231.7,235.4,237.0,235.55,234.78,238.5,155.0,2478236,581843674.85,0,MARUTI
2003-09-02,EQ,234.85,234.85,224.1,235.55,226.1,226.55,226.77,238.5,155.0,3975812,901602158.2,0,MARUTI
2003-09-03,EQ,227.1,231.75,221.0,226.55,222.0,222.8,226.33,238.5,155.0,3945233,892909145.85,0,MARUTI
2003-09-04,EQ,223.0,225.7,218.45,222.8,221.3,221.55,221.67,238.5,155.0,3682478,816297551.45,0,MARUTI
2003-09-05,EQ,223.9,230.0,222.4,221.55,229.3,229.3,225.96,238.5,155.0,2971415,671426877.25,0,MARUTI
2003-09-08,EQ,231.0,233.9,227.15,229.3,227.5,228.75,230.58,238.5,155.0,1817991,419187530.1,0,MARUTI
2003-09-09,EQ,230.0,235.0,225.8,228.75,228.0,228.2,227.95,238.5,155.0,2034401,463733500.55,0,MARUTI
2003-09-10,EQ,227.75,230.4,225.8,228.2,227.25,227.8,227.91,238.5,155.0,1476667,336546321.9,0,MARUTI
2003-09-11,EQ,230.0,230.1,225.0,227.8,225.3,225.65,227.66,238.5,155.0,1092801,248785850.65,0,MARUTI
2003-09-12,EQ,228.0,228.5,219.1,225.65,221.0,220.35,222.31,238.5,155.0,2496597,555021689.75,0,MARUTI
2003-09-15,EQ,219.0,221.35,207.1,220.35,207.8,208.35,211.05,238.5,155.0,3469640,732254214.85,0,MARUTI
2003-09-16,EQ,207.0,210.0,195.1,208.35,208.0,208.5,203.06,238.5,155.0,4004037,813048173.05,0,MARUTI
2003-09-17,EQ,212.5,219.5,209.25,208.5,215.0,216.05,214.52,238.5,155.0,3800473,815269072.95,0,MARUTI
2003-09-18,EQ,215.9,215.9,203.4,216.05,204.0,205.6,209.1,238.5,155.0,2813556,588313638.5,0,MARUTI
2003-09-19,EQ,207.0,210.4,198.8,205.6,207.0,205.75,204.62,238.5,155.0,3442717,704455144.1,0,MARUTI
2003-09-22,EQ,206.0,212.8,205.75,205.75,212.0,210.7,209.7,238.5,155.0,2575343,540049496.45,0,MARUTI
2003-09-23,EQ,210.3,214.4,208.2,210.7,214.4,213.15,210.92,238.5,155.0,1766451,372573553.65,0,MARUTI
2003-09-24,EQ,216.0,221.0,213.1,213.15,219.5,219.95,217.39,238.5,155.0,2133208,463744162.45,0,MARUTI
2003-09-25,EQ,220.1,220.1,211.5,219.95,214.05,213.7,216.23,238.5,155.0,1916650,414440001.95,0,MARUTI
2003-09-26,EQ,214.4,217.85,213.1,213.7,214.5,214.8,215.45,238.5,155.0,2531520,545406407.45,0,MARUTI
2003-09-29,EQ,216.0,229.45,215.15,214.8,228.0,227.2,223.33,238.5,155.0,3711837,828975698.4,0,MARUTI
2003-09-30,EQ,230.0,233.35,228.0,227.2,232.3,232.55,231.32,238.5,155.0,3594810,831550144.95,0,MARUTI
2003-10-01,EQ,232.0,233.0,227.1,232.55,228.1,228.45,229.6,238.5,155.0,2402620,551652558.65,0,MARUTI
2003-10-03,EQ,229.0,235.0,228.9,228.45,234.5,234.4,232.34,238.5,155.0,2511914,583613924.75,0,MARUTI
2003-10-06,EQ,236.6,242.35,235.0,234.4,241.5,241.3,240.02,238.5,155.0,3094324,742691278.3,0,MARUTI
2003-10-07,EQ,244.0,246.4,236.05,241.3,237.25,237.55,242.21,242.35,155.0,2440562,591116977.8,0,MARUTI
2003-10-08,EQ,238.75,245.0,237.1,237.55,241.25,240.25,241.01,246.4,155.0,1859277,448108600.6,0,MARUTI
2003-10-09,EQ,240.85,259.75,240.85,240.25,259.5,258.05,253.48,246.4,155.0,6993550,1772695592.6,0,MARUTI
2003-10-10,EQ,260.65,272.4,259.8,258.05,271.75,269.1,265.45,259.75,155.0,3707816,984224966.9,0,MARUTI
2003-10-13,EQ,273.0,280.35,272.0,269.1,276.0,276.1,277.05,272.4,155.0,3693070,1023164504.0,0,MARUTI
2003-10-14,EQ,278.0,278.6,262.8,276.1,266.0,264.9,269.57,280.35,155.0,5123854,1381255156.85,0,MARUTI
2003-10-15,EQ,264.9,272.7,261.3,264.9,271.7,270.5,268.63,280.35,155.0,3478259,934359744.65,0,MARUTI
2003-10-16,EQ,273.7,281.3,272.5,270.5,273.5,276.2,277.76,280.35,155.0,4100489,1138949291.05,0,MARUTI
2003-10-17,EQ,280.55,286.4,275.45,276.2,281.1,282.3,282.56,281.3,155.0,4126840,1166097935.65,0,MARUTI
2003-10-20,EQ,282.0,284.8,273.3,282.3,274.0,274.75,279.12,286.4,155.0,2192534,611989434.3,0,MARUTI
2003-10-21,EQ,276.1,279.0,257.0,274.75,263.0,261.25,270.7,286.4,155.0,3223848,872691446.45,0,MARUTI
2003-10-22,EQ,263.95,279.0,260.55,261.25,264.5,263.7,265.52,286.4,155.0,2569557,682275852.45,0,MARUTI
2003-10-23,EQ,264.5,273.25,261.65,263.7,264.0,263.8,268.26,286.4,155.0,3114998,835627905.75,0,MARUTI
2003-10-24,EQ,265.0,291.0,260.0,263.8,290.15,285.0,275.12,286.4,155.0,5225375,1437604058.55,0,MARUTI
2003-10-25,EQ,294.9,297.7,291.5,285.0,293.6,293.75,294.51,291.0,155.0,1888755,556256201.15,0,MARUTI
2003-10-27,EQ,294.9,298.0,281.6,293.75,282.9,283.2,290.7,297.7,155.0,5831782,1695318125.2,0,MARUTI
2003-10-28,EQ,283.0,291.9,277.8,283.2,289.9,286.3,287.45,298.0,155.0,5640636,1621396905.5,0,MARUTI
2003-10-29,EQ,291.45,308.3,286.2,286.3,306.2,305.0,296.45,298.0,155.0,7996572,2370612539.0,0,MARUTI
2003-10-30,EQ,306.5,310.7,302.0,305.0,305.1,305.9,306.66,308.3,155.0,7108567,2179918835.05,0,MARUTI
2003-10-31,EQ,307.8,324.2,306.5,305.9,323.8,322.3,316.63,310.7,155.0,9924397,3142330675.5,0,MARUTI
2003-11-03,EQ,324.0,349.5,324.0,322.3,347.65,347.6,339.73,324.2,155.0,9820043,3336184892.35,0,MARUTI
2003-11-04,EQ,355.0,356.6,345.2,347.6,348.25,349.5,350.46,349.5,155.0,7884723,2763254037.75,0,MARUTI
2003-11-05,EQ,350.0,350.0,330.1,349.5,338.2,336.1,339.0,356.6,155.0,7280790,2468162615.25,0,MARUTI
2003-11-06,EQ,340.0,345.7,334.0,336.1,336.5,338.45,339.03,356.6,155.0,6122862,2075836583.95,0,MARUTI
2003-11-07,EQ,340.9,343.4,331.25,338.45,332.25,333.25,336.17,356.6,155.0,4584798,1541265059.4,0,MARUTI
2003-11-10,EQ,337.0,345.0,327.1,333.25,344.1,341.7,338.39,356.6,155.0,1953978,661200527.5,0,MARUTI
2003-11-11,EQ,343.75,346.85,338.35,341.7,340.15,340.7,342.28,356.6,155.0,3262766,1116767449.95,0,MARUTI
2003-11-12,EQ,338.05,347.0,338.05,340.7,342.0,342.95,344.4,356.6,155.0,3302571,1137402996.0,0,MARUTI
2003-11-13,EQ,344.95,356.7,338.0,342.95,346.0,346.75,350.69,356.6,155.0,7982920,2799519839.85,0,MARUTI
2003-11-14,EQ,346.0,346.5,326.15,346.75,329.0,329.3,337.99,356.7,155.0,4834168,1633892972.0,0,MARUTI
2003-11-15,EQ,330.0,342.0,325.65,329.3,340.65,337.45,333.56,356.7,155.0,1843493,614910868.6,0,MARUTI
2003-11-17,EQ,340.65,353.5,337.0,337.45,352.2,350.0,344.9,356.7,155.0,4081415,1407677065.35,0,MARUTI
2003-11-18,EQ,353.0,354.4,340.0,350.0,344.0,344.05,346.88,356.7,155.0,4672908,1620934017.15,0,MARUTI
2003-11-19,EQ,346.0,346.0,329.0,344.05,330.6,330.6,335.75,356.7,155.0,4672785,1568886232.85,0,MARUTI
2003-11-20,EQ,331.95,339.05,321.0,330.6,322.6,323.05,331.9,356.7,155.0,5484243,1820245412.3,0,MARUTI
2003-11-21,EQ,324.0,327.0,314.1,323.05,324.2,324.05,320.1,356.7,155.0,8100784,2593044058.7,0,MARUTI
2003-11-24,EQ,328.7,333.0,324.0,324.05,327.0,327.25,328.9,356.7,155.0,5287524,1739042389.05,0,MARUTI
2003-11-25,EQ,330.55,338.5,328.65,327.25,338.0,337.3,333.21,356.7,155.0,5021011,1673050876.2,0,MARUTI
