date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2023-11-13,EQ,286.95,319.0,286.9,287.6,312.0,308.25,307.68,319.0,242.75,138868,42726346.45,2038,MAXESTATES
2023-11-15,EQ,311.0,320.0,307.1,308.25,309.95,309.85,315.76,320.0,242.75,128207,40482307.85,1983,MAXESTATES
2023-11-16,EQ,317.0,317.0,308.0,309.85,308.0,310.8,312.01,320.0,242.75,96990,30262305.6,2115,MAXESTATES
2023-11-17,EQ,308.0,313.9,304.25,310.8,310.0,309.95,310.13,320.0,242.75,66713,20689722.95,3610,MAXESTATES
2023-11-20,EQ,309.95,311.2,302.6,309.95,303.35,304.25,305.99,320.0,242.75,103306,31610935.0,7317,MAXESTATES
2023-11-21,EQ,307.5,313.9,304.0,304.25,306.7,307.15,309.0,320.0,242.75,177056,54710288.75,15813,MAXESTATES
2023-11-22,EQ,310.0,312.65,299.05,307.15,305.0,308.0,308.76,320.0,242.75,367876,113583976.6,38893,MAXESTATES
2023-11-23,EQ,314.9,320.0,303.3,308.0,305.5,304.55,308.35,320.0,242.75,88257,27214422.6,10885,MAXESTATES
2023-11-24,EQ,309.15,312.7,305.05,304.55,307.55,307.85,308.56,320.0,242.75,72477,22363803.45,7073,MAXESTATES
2023-11-28,EQ,314.0,314.1,300.85,307.85,306.5,304.6,306.84,320.0,242.75,112409,34492136.5,9977,MAXESTATES
2023-11-29,EQ,304.6,309.95,300.2,304.6,302.5,301.95,303.26,320.0,242.75,77361,23460812.85,5949,MAXESTATES
2023-11-30,EQ,304.95,307.2,295.4,301.95,300.35,299.7,299.04,320.0,242.75,145082,43385542.0,15512,MAXESTATES
2023-12-01,EQ,302.25,303.7,295.55,299.7,298.0,297.5,299.58,320.0,242.75,40373,12095063.55,2082,MAXESTATES
2023-12-04,EQ,301.0,303.0,295.55,297.5,298.95,299.05,299.13,320.0,242.75,60091,17975105.3,3690,MAXESTATES
2023-12-05,EQ,303.0,303.0,289.6,299.05,291.0,292.15,293.89,320.0,242.75,78064,22941849.45,4112,MAXESTATES
2023-12-06,EQ,295.0,307.95,285.75,292.15,288.0,287.8,292.43,320.0,242.75,309896,90623208.45,10637,MAXESTATES
2023-12-07,EQ,294.05,294.95,286.7,287.8,294.95,291.9,290.91,320.0,242.75,50768,14768985.6,3977,MAXESTATES
