date,series,open,high,low,prev. close,ltp,close,vwap,52w h,52w l,volume,value,no of trades,symbol
2022-03-17,EQ,107.6,107.6,100.25,102.5,107.6,107.6,106.18,107.6,100.25,77205,8197992.45,372,MITCON
2022-03-21,EQ,112.95,112.95,112.95,107.6,112.95,112.95,112.95,112.95,100.25,34602,3908295.9,98,MITCON
2022-03-22,EQ,118.55,118.55,107.35,112.95,111.9,111.7,114.57,118.55,100.25,203455,23310083.45,1600,MITCON
2022-03-23,EQ,114.8,115.0,106.15,111.7,106.15,106.45,108.2,118.55,100.25,101881,11023921.9,1041,MITCON
2022-03-24,EQ,105.0,105.95,101.15,106.45,101.15,101.15,102.07,118.55,100.25,33780,3448006.1,354,MITCON
2022-03-25,EQ,105.9,106.0,97.7,101.15,101.0,99.65,101.7,118.55,97.7,19616,1994955.15,340,MITCON
2022-03-28,EQ,101.65,104.0,94.7,99.65,94.7,94.7,95.32,118.55,94.7,41325,3939209.65,348,MITCON
2022-03-29,EQ,94.7,95.4,90.0,94.7,90.0,90.0,91.45,118.55,90.0,17856,1632855.3,217,MITCON
2022-03-30,EQ,90.0,90.7,85.5,90.0,87.65,86.45,86.04,118.55,85.5,66973,5762472.3,483,MITCON
2022-03-31,EQ,88.0,90.75,88.0,86.45,90.75,90.75,90.35,118.55,85.5,3519,317951.35,37,MITCON
2022-04-01,EQ,95.25,95.25,88.05,90.75,95.25,95.25,93.99,118.55,85.5,61493,5779543.8,514,MITCON
2022-04-04,EQ,99.45,100.0,95.75,95.25,100.0,100.0,99.59,118.55,85.5,15641,1557661.25,89,MITCON
2022-04-05,EQ,105.0,105.0,102.15,100.0,105.0,105.0,104.92,118.55,85.5,38840,4074973.2,189,MITCON
2022-04-06,EQ,110.25,110.25,102.0,105.0,107.1,108.65,107.98,118.55,85.5,46491,5019895.1,658,MITCON
2022-04-07,EQ,109.45,109.45,103.25,108.65,103.25,103.25,104.47,118.55,85.5,43118,4504467.65,272,MITCON
2022-04-08,EQ,98.1,107.9,98.1,103.25,98.1,98.75,99.81,118.55,85.5,42199,4211963.5,351,MITCON
2022-04-11,EQ,103.65,103.65,95.5,98.75,100.0,98.8,98.72,118.55,85.5,34391,3395143.3,273,MITCON
2022-04-12,EQ,99.0,101.6,93.9,98.8,95.7,95.35,95.22,118.55,85.5,61490,5855118.55,259,MITCON
2022-04-13,EQ,97.3,100.0,92.75,95.35,94.9,94.9,97.65,118.55,85.5,16445,1605926.35,225,MITCON
2022-04-18,EQ,98.9,99.6,90.3,94.9,99.6,99.6,97.57,118.55,85.5,34849,3400164.75,282,MITCON
2022-04-19,EQ,103.5,103.5,94.7,99.6,94.7,96.35,97.3,118.55,85.5,22760,2214644.8,210,MITCON
2022-04-20,EQ,99.9,101.1,92.7,96.35,96.5,97.6,95.98,118.55,85.5,21444,2058286.55,226,MITCON
2022-04-21,EQ,99.0,99.5,94.15,97.6,95.5,95.55,95.79,118.55,85.5,6115,585731.25,93,MITCON
2022-04-22,EQ,98.75,98.75,92.05,95.55,92.2,93.7,94.8,118.55,85.5,14031,1330187.1,154,MITCON
2022-04-25,EQ,94.95,95.0,89.05,93.7,89.05,89.05,90.7,118.55,85.5,21757,1973265.4,219,MITCON
2022-04-26,EQ,92.4,92.4,88.0,89.05,88.3,90.05,89.83,118.55,85.5,8417,756081.05,164,MITCON
2022-04-27,EQ,89.0,92.15,86.95,90.05,88.05,88.05,89.4,118.55,85.5,3861,345158.05,72,MITCON
2022-04-28,EQ,89.95,89.95,83.65,88.05,87.0,84.0,84.8,118.55,83.65,23148,1962998.55,191,MITCON
2022-04-29,EQ,86.75,88.2,81.65,84.0,88.2,88.15,86.83,118.55,81.65,23531,2043146.7,272,MITCON
2022-05-02,EQ,91.0,92.55,88.7,88.15,92.55,92.55,92.19,118.55,81.65,32607,3006179.2,245,MITCON
2022-05-04,EQ,96.95,97.15,90.15,92.55,91.0,92.0,94.9,118.55,81.65,24503,2325282.0,227,MITCON
2022-05-05,EQ,96.6,96.6,90.65,92.0,96.6,96.05,96.16,118.55,81.65,36261,3486715.2,150,MITCON
2022-05-06,EQ,99.5,100.0,91.25,96.05,94.0,92.05,93.27,118.55,81.65,20319,1895066.9,224,MITCON
2022-05-09,EQ,88.0,93.05,87.45,92.05,89.5,88.3,88.49,118.55,81.65,15395,1362374.6,182,MITCON
2022-05-10,EQ,92.0,92.6,83.9,88.3,83.9,84.45,87.34,118.55,81.65,9815,857242.8,128,MITCON
2022-05-11,EQ,87.7,87.7,80.25,84.45,83.8,83.7,81.98,118.55,80.25,19063,1562692.75,133,MITCON
2022-05-12,EQ,85.25,85.25,79.55,83.7,79.55,79.55,80.25,118.55,79.55,12033,965643.6,97,MITCON
2022-05-13,EQ,75.75,83.5,75.75,79.55,82.15,83.35,80.68,118.55,75.75,15144,1221752.05,186,MITCON
2022-05-16,EQ,84.3,87.5,84.3,83.35,87.5,87.45,86.69,118.55,75.75,6375,552666.4,108,MITCON
2022-05-17,EQ,87.45,91.8,87.45,87.45,91.8,91.7,91.57,118.55,75.75,9312,852709.9,106,MITCON
2022-05-18,EQ,91.7,96.25,91.7,91.7,92.5,94.2,95.35,118.55,75.75,25793,2459379.75,278,MITCON
2022-05-19,EQ,89.55,93.35,89.5,94.2,89.5,89.5,90.04,118.55,75.75,8205,738814.05,86,MITCON
2022-05-20,EQ,85.05,92.4,85.05,89.5,89.0,90.35,89.21,118.55,75.75,6531,582619.75,129,MITCON
2022-05-23,EQ,93.0,94.85,93.0,90.35,94.85,94.85,94.82,118.55,75.75,32577,3089058.8,72,MITCON
2022-05-24,EQ,97.5,99.5,90.55,94.85,90.6,91.7,95.75,118.55,75.75,19223,1840617.3,289,MITCON
2022-05-25,EQ,95.4,95.4,87.15,91.7,87.15,87.2,89.2,118.55,75.75,12603,1124203.1,88,MITCON
2022-05-26,EQ,87.1,90.55,82.85,87.2,82.85,83.65,83.62,118.55,75.75,12257,1024958.2,107,MITCON
2022-05-27,EQ,85.0,87.5,79.5,83.65,81.95,82.4,81.57,118.55,75.75,16884,1377287.5,160,MITCON
2022-05-30,EQ,79.05,86.0,78.55,82.4,78.75,79.95,81.66,118.55,75.75,10712,874724.4,158,MITCON
2022-05-31,EQ,81.35,83.0,77.05,79.95,82.0,81.15,80.63,118.55,75.75,16181,1304753.4,140,MITCON
2022-06-01,EQ,83.35,83.35,78.75,81.15,81.0,79.9,80.37,118.55,75.75,4056,325997.3,88,MITCON
2022-06-02,EQ,76.95,82.05,76.95,79.9,80.0,79.7,78.87,118.55,75.75,4387,346019.75,113,MITCON
2022-06-03,EQ,78.25,81.05,78.2,79.7,78.7,79.85,78.99,118.55,75.75,6441,508758.15,79,MITCON
2022-06-06,EQ,83.0,83.0,77.95,79.85,82.0,80.75,80.15,118.55,75.75,5633,451509.25,67,MITCON
2022-06-07,EQ,82.95,82.95,77.95,80.75,78.0,79.5,79.69,118.55,75.75,3678,293118.1,68,MITCON
2022-06-08,EQ,81.55,81.55,72.65,79.5,75.05,75.05,76.03,118.55,72.65,8818,670417.7,123,MITCON
2022-06-09,EQ,78.4,80.7,73.15,75.05,74.0,74.6,76.08,118.55,72.65,10487,797848.6,167,MITCON
2022-06-10,EQ,74.05,80.45,68.05,74.6,75.75,77.85,75.42,118.55,68.05,10330,779083.2,175,MITCON
2022-06-13,EQ,80.95,80.95,73.0,77.85,74.0,74.0,74.46,118.55,68.05,5642,420075.85,85,MITCON
2022-06-14,EQ,80.95,80.95,74.0,74.0,78.9,78.4,78.25,118.55,68.05,18421,1441514.1,182,MITCON
2022-06-15,EQ,81.0,82.0,75.0,78.4,75.0,75.6,78.37,118.55,68.05,3671,287711.25,103,MITCON
2022-06-16,EQ,75.55,79.0,73.0,75.6,73.0,73.85,74.82,118.55,68.05,14593,1091835.55,124,MITCON
2022-06-17,EQ,75.35,75.35,70.85,73.85,71.0,71.75,71.6,118.55,68.05,12420,889320.4,82,MITCON
2022-06-20,EQ,73.85,75.65,65.35,71.75,68.0,68.35,69.57,118.55,65.35,9638,670484.25,121,MITCON
2022-06-21,EQ,73.0,73.85,65.1,68.35,73.85,73.6,69.54,118.55,65.1,1467,102011.1,50,MITCON
2022-06-22,EQ,71.55,74.35,69.1,73.6,69.1,69.7,70.8,118.55,65.1,3657,258921.0,75,MITCON
2022-06-23,EQ,73.0,73.0,67.95,69.7,72.35,70.05,70.93,118.55,65.1,1946,138022.75,55,MITCON
2022-06-24,EQ,75.0,75.0,69.95,70.05,73.25,72.3,72.23,118.55,65.1,3891,281031.35,159,MITCON
2022-06-27,EQ,71.0,73.65,70.0,72.3,72.2,72.35,71.25,118.55,65.1,4664,332326.8,97,MITCON
2022-06-28,EQ,74.0,74.0,70.05,72.35,72.25,70.45,71.51,118.55,65.1,2248,160746.65,43,MITCON
2022-06-29,EQ,68.0,77.45,65.95,70.45,77.45,77.45,73.27,118.55,65.1,12082,885254.25,142,MITCON
2022-06-30,EQ,85.15,85.15,85.15,77.45,85.15,85.15,85.15,118.55,65.1,13308,1133176.2,77,MITCON
2022-07-01,EQ,92.0,92.0,77.9,85.15,79.55,79.35,83.92,118.55,65.1,18015,1511803.0,476,MITCON
2022-07-04,EQ,84.65,84.65,77.65,79.35,80.1,80.1,79.48,118.55,65.1,5511,438001.4,94,MITCON
2022-07-05,EQ,73.85,80.1,73.85,80.1,75.85,75.15,75.49,118.55,65.1,16059,1212358.75,287,MITCON
2022-07-06,EQ,78.0,78.0,74.15,75.15,74.5,75.0,75.68,118.55,65.1,3766,285022.75,136,MITCON
2022-07-07,EQ,74.0,76.75,71.55,75.0,74.7,74.3,74.25,118.55,65.1,4626,343472.0,218,MITCON
2022-07-08,EQ,72.25,77.75,72.0,74.3,75.55,75.1,74.33,118.55,65.1,3510,260907.55,112,MITCON
2022-07-11,EQ,75.0,77.05,72.35,75.1,72.65,73.15,74.61,118.55,65.1,5180,386462.75,158,MITCON
2022-07-12,EQ,77.65,77.65,73.45,73.15,74.6,74.85,75.35,118.55,65.1,4756,358346.85,106,MITCON
2022-07-13,EQ,75.6,77.2,72.65,74.85,75.0,73.55,75.15,118.55,65.1,1899,142713.9,59,MITCON
2022-07-14,EQ,74.95,75.0,72.45,73.55,73.0,73.95,73.99,118.55,65.1,3172,234692.95,93,MITCON
2022-07-15,EQ,73.05,75.0,73.05,73.95,74.85,74.9,74.43,118.55,65.1,1915,142529.1,50,MITCON
2022-07-18,EQ,79.7,79.7,69.15,74.9,72.0,72.35,72.23,118.55,65.1,6680,482487.9,219,MITCON
2022-07-19,EQ,78.05,78.05,71.05,72.35,72.0,72.95,73.46,118.55,65.1,3788,278271.3,121,MITCON
2022-07-20,EQ,74.15,80.2,72.65,72.95,80.2,80.2,78.27,118.55,65.1,12607,986717.85,141,MITCON
2022-07-21,EQ,87.8,88.2,80.4,80.2,86.4,85.8,86.23,118.55,65.1,59974,5171332.6,778,MITCON
2022-07-22,EQ,85.0,86.65,80.35,85.8,86.0,83.9,82.67,118.55,65.1,14364,1187460.5,322,MITCON
2022-07-25,EQ,92.25,92.25,81.05,83.9,85.55,86.55,87.21,118.55,65.1,25716,2242765.15,489,MITCON
2022-07-26,EQ,91.9,91.9,82.55,86.55,85.55,85.5,85.44,118.55,65.1,25378,2168308.4,327,MITCON
2022-07-27,EQ,86.9,88.15,82.6,85.5,84.75,83.8,84.92,118.55,65.1,3292,279564.85,148,MITCON
2022-07-28,EQ,83.8,89.6,83.8,83.8,86.9,86.55,86.33,118.55,65.1,24748,2136463.25,205,MITCON
2022-07-29,EQ,88.95,92.9,81.35,86.55,85.7,86.95,87.67,118.55,65.1,69591,6101109.85,549,MITCON
